# reference_flux:        115.3529
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1325.32620      1325.31311        115.5456          0.8149         15.2831          0.0077         -0.7975          0.0732        1.570365        0.814875
     1325.34703      1325.33394        112.0079          0.8264         15.3169          0.0080         -1.4003          0.0732       -0.708558        0.826352
     1325.36786      1325.35477        114.1392          0.8316         15.2964          0.0079         -2.9223          0.0732        0.948481        0.831624
     1325.38870      1325.37561        111.5152          0.8307         15.3217          0.0081         -2.6550         -0.0750       -1.006616        0.830655
     1325.40953      1325.39644        113.3647          0.8345         15.3038          0.0080         -3.6374         -0.0750        0.657233        0.834487
     1325.43036      1325.41727        111.7326          0.8303         15.3196          0.0081         -3.9122         -0.0750        0.618440        0.830348
     1325.45120      1325.43811        112.9837          0.8340         15.3075          0.0080         -4.2662         -0.0750        0.725149        0.833992
     1325.47203      1325.45894        113.7590          0.8480         15.3000          0.0081         -6.7602         -0.1113       -0.426482        0.848035
     1325.49286      1325.47977        112.2767          0.8400         15.3143          0.0081         -4.2212         -0.1113        0.115900        0.839985
     1325.51369      1325.50061        112.7062          0.8582         15.3101          0.0083         -6.7889         -0.1113       -0.795606        0.858186
     1325.53453      1325.52144        110.8743          0.8796         15.3279          0.0086         -6.4087         -0.1214        0.296369        0.879650
     1325.55536      1325.54227        111.6635          0.8628         15.3202          0.0084         -6.4538         -0.2586       -0.798336        0.862842
     1325.57619      1325.56311        111.6323          0.8648         15.3205          0.0084         -8.5162         -0.3379        0.220123        0.864826
     1325.59703      1325.58394        111.7798          0.8817         15.3191          0.0086         -7.8781         -0.3379        0.853773        0.881713
     1325.61786      1325.60477        114.7219          0.8736         15.2909          0.0083         -8.2169         -0.3379       -0.074972        0.873604
     1325.63869      1325.62561        110.8390          0.8791         15.3283          0.0086         -8.1585         -0.3379       -2.202861        0.879103
     1325.65953      1325.64644        111.7684          0.8824         15.3192          0.0086         -8.2919         -0.3379       -0.121409        0.882394
     1325.68036      1325.66727        113.3906          0.8842         15.3036          0.0085         -9.2089         -0.3379        1.216908        0.884250
     1325.70119      1325.68811        109.6803          0.8738         15.3397          0.0086         -6.6341         -0.4265       -0.111293        0.873779
     1325.72203      1325.70894        111.8877          0.8806         15.3180          0.0085         -9.1704         -0.5257       -1.408131        0.880594
     1325.74286      1325.72977        112.7647          0.8756         15.3096          0.0084         -7.6709         -0.7086        0.584842        0.875635
     1325.76369      1325.75061        111.5762          0.8782         15.3211          0.0085         -7.2540         -0.7086        0.619054        0.878165
     1325.78453      1325.77144        111.1538          0.8718         15.3252          0.0085         -8.7133         -0.7086        0.073165        0.871824
     1325.80536      1325.79227        111.8866          0.8766         15.3181          0.0085         -9.9392         -0.7165       -0.337935        0.876598
     1325.82619      1325.81311        108.0718          0.8818         15.3557          0.0089         -8.9638         -0.7165       -1.505236        0.881779
     1325.84703      1325.83394        109.1452          0.8920         15.3450          0.0089         -8.9749         -0.7956       -1.166768        0.892045
     1325.86786      1325.85477        112.7755          0.8899         15.3095          0.0086         -8.6488         -0.7983       -1.212761        0.889894
