# reference_flux:         49.6069
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1325.32517      1325.31311         43.5761          0.6535         16.3419          0.0163         -0.4952         -0.8532       -1.094008        0.653537
     1325.34600      1325.33394         47.2759          0.6598         16.2534          0.0152          0.3250         -0.6332       -0.427431        0.659793
     1325.36684      1325.35477         45.4206          0.6686         16.2969          0.0160          1.9628         -0.6332       -0.408048        0.668637
     1325.38767      1325.37561         47.4287          0.6735         16.2499          0.0154          1.3343         -0.8532       -0.189020        0.673548
     1325.40851      1325.39644         49.0029          0.6709         16.2144          0.0149          2.4150         -0.6332        1.375563        0.670879
     1325.42934      1325.41727         48.8139          0.6727         16.2186          0.0150         -0.3074         -0.6332       -0.195954        0.672660
     1325.45017      1325.43811         46.6907          0.6772         16.2669          0.0157         -0.8353         -0.8532        0.053961        0.677173
     1325.47101      1325.45894         47.6823          0.6722         16.2441          0.0153         -0.5890         -0.8532       -0.299321        0.672232
     1325.49184      1325.47977         45.6043          0.6737         16.2925          0.0160          1.2435         -1.0093       -1.971549        0.673745
     1325.51268      1325.50061         46.1472          0.6753         16.2796          0.0159         -1.0658         -1.0093       -0.633227        0.675328
     1325.53351      1325.52144         46.0374          0.7017         16.2822          0.0165          2.1484         -1.0093       -0.517106        0.701694
     1325.55434      1325.54227         47.6174          0.7088         16.2456          0.0162          0.3189         -1.0093       -1.854162        0.708846
     1325.57518      1325.56311         44.8074          0.7133         16.3116          0.0173          1.8947         -0.8532       -2.306880        0.713272
     1325.59601      1325.58394         45.5929          0.7199         16.2928          0.0171          1.8657         -0.8532       -2.019442        0.719872
     1325.61684      1325.60477         47.1465          0.7190         16.2564          0.0166          0.2660         -1.0093       -1.785018        0.718962
     1325.63768      1325.62561         47.4292          0.7204         16.2499          0.0165         -0.4223         -1.0940       -1.425371        0.720357
     1325.65851      1325.64644         47.9003          0.7201         16.2392          0.0163         -0.1060         -1.0940       -0.853219        0.720127
     1325.67935      1325.66727         49.6615          0.7205         16.2000          0.0158          0.9076         -1.0940        0.119832        0.720489
