# reference_flux:      -5904.6166
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1385.97507      1385.95891          0.3497          0.8727         19.3951         99.9000         -0.0627          0.0359        0.406400        0.872680
     1385.99590      1385.97975          1.2292          0.8737         19.3937         99.9000         -1.0318          0.0359       -0.667602        0.873744
     1386.01673      1386.00058         -0.2600          0.8729         19.3948         99.9000          0.1434          0.0359       -0.459703        0.872872
     1386.03757      1386.02141         -0.2502          0.8730         19.3946         99.9000         -1.8189          0.0359       -1.155065        0.873033
     1386.05840      1386.04225          1.9621          0.8739         19.3936         99.9000          0.2850          0.0359        2.515100        0.873865
     1386.07923      1386.06308         -0.6559          0.8722         19.3956         99.9000         -1.0065          0.0359       -0.747174        0.872240
     1386.10007      1386.08391          2.4097          0.8735         19.3940         99.9000         -0.1993         -0.1041        0.095360        0.873498
     1386.12090      1386.10475          0.5964          0.8728         19.3949         99.9000         -0.6239         -0.1041        0.463270        0.872794
     1386.14173      1386.12558         -0.5337          0.8729         19.3948         99.9000         -0.7469         -0.1041        0.035943        0.872856
     1386.16257      1386.14641         -0.4724          0.8724         19.3955         99.9000         -1.0336         -0.1041       -0.701533        0.872361
     1386.18340      1386.16725          2.4386          0.8736         19.3939         99.9000         -1.2197         -0.1041        1.265280        0.873586
     1386.20423      1386.18808         -1.3134          0.8723         19.3955         99.9000          0.1689          0.0359       -1.234389        0.872292
     1386.22507      1386.20891          0.3364          0.8735         19.3940         99.9000          0.3494         -0.1041        0.467174        0.873531
     1386.24590      1386.22975         -1.5721          0.8734         19.3942         99.9000          1.1418         -0.1041       -1.049580        0.873403
     1386.26673      1386.25058          1.7841          0.8726         19.3952         99.9000         -2.4782         -0.1041        1.147181        0.872576
     1386.28757      1386.27141         -2.0826          0.8726         19.3952         99.9000          1.2382          0.0359       -1.191306        0.872571
     1386.30840      1386.29225         -0.7516          0.8727         19.3950         99.9000         -1.1103         -0.1041       -0.786978        0.872709
     1386.32923      1386.31308         -3.6613          0.8714         19.3966         99.9000         -1.4724         -0.1041        0.052012        0.871438
     1386.35007      1386.33391          0.8718          0.8733         19.3943         99.9000         -0.4603         -0.3000        0.376247        0.873307
     1386.37090      1386.35475         -2.1473          0.8727         19.3950         99.9000         -0.0345         -0.3000       -0.932041        0.872748
     1386.39173      1386.37558          1.6563          0.8736         19.3939         99.9000          0.2622         -0.3000        0.541765        0.873582
     1386.41257      1386.39641          1.3547          0.8732         19.3945         99.9000         -0.9686         -0.1041        0.680232        0.873167
     1386.43340      1386.41725         -0.1205          0.8726         19.3952         99.9000         -1.6577         -0.1041       -1.160100        0.872557
     1386.45423      1386.43808          0.7239          0.8730         19.3946         99.9000         -0.4343          0.0359        0.049057        0.873044
     1386.47507      1386.45891         -2.0647          0.8728         19.3949         99.9000         -0.2414         -0.1041       -0.104143        0.872794
     1386.49590      1386.47975         -0.2834          0.8733         19.3943         99.9000         -0.1693         -0.3000        0.987799        0.873259
     1386.51673      1386.50058         -0.9240          0.8737         19.3938         99.9000          0.4566         -0.1041        0.663204        0.873663
     1386.53757      1386.52141         -0.5446          0.8733         19.3943         99.9000         -0.8701          0.0359       -1.374133        0.873305
     1386.55840      1386.54225         -0.9816          0.8734         19.3942         99.9000         -0.3433          0.0359       -0.810326        0.873393
     1386.57923      1386.56308          0.3195          0.8737         19.3939         99.9000         -1.3524          0.0359       -0.607370        0.873650
     1386.60007      1386.58391          3.6626          0.8738         19.0305          0.2590         -1.4218          0.0359        0.931571        0.873804
     1386.62090      1386.60475         -1.6252          0.8734         19.3941         99.9000         -0.2349          0.0359       -2.011413        0.873425
     1386.64173      1386.62558         -0.8603          0.8738         19.3936         99.9000         -0.0894          0.0359       -0.300039        0.873827
     1386.66257      1386.64641          0.8024          0.8740         19.3934         99.9000         -0.9725          0.0491        1.231388        0.874012
     1386.68340      1386.66725         -0.0689          0.8743         19.3931         99.9000          0.0824          0.0520        0.657072        0.874297
     1386.70423      1386.68808         -1.3602          0.8737         19.3938         99.9000         -0.3276          0.0520       -0.644019        0.873655
     1386.72507      1386.70891         -2.2871          0.8734         19.3941         99.9000         -1.4698          0.1128       -0.955686        0.873435
     1386.74590      1386.72975         -0.8325          0.8735         19.3940         99.9000         -1.0592          0.0520        0.112825        0.873535
     1386.76673      1386.75058          3.6504          0.8746         19.0341          0.2601         -0.3345          0.0520        0.671473        0.874617
     1386.78757      1386.77141         -3.4223          0.8735         19.3941         99.9000         -0.4560          0.0520       -1.472992        0.873450
     1386.80840      1386.79225          1.3938          0.8749         19.3923         99.9000          0.0599          0.0933        1.615381        0.874893
     1386.82923      1386.81308         -0.8141          0.8743         19.3930         99.9000         -1.8172          0.0933       -1.326015        0.874307
     1386.85007      1386.83391         -1.3949          0.8743         19.3930         99.9000          0.8682          0.1128       -1.456273        0.874316
     1386.87090      1386.85475          0.0650          0.8751         19.3921         99.9000         -1.3185          0.0933        0.296747        0.875062
     1386.89174      1386.87558         -0.0197          0.8753         19.3918         99.9000         -0.1856          0.0933        0.684683        0.875323
     1386.91257      1386.89641         -0.2884          0.8755         19.3915         99.9000          0.5850          0.0933       -0.734443        0.875528
     1386.93340      1386.91725         -0.1293          0.8764         19.3905         99.9000         -0.8021          0.0491        0.394473        0.876380
     1386.95424      1386.93808          0.1564          0.8763         19.3905         99.9000         -0.4340          0.0933       -0.690930        0.876316
     1386.97507      1386.95891         -2.7476          0.8770         19.3897         99.9000          0.4243          0.0933       -1.044172        0.877003
     1386.99590      1386.97975         -1.4953          0.8758         19.3912         99.9000          0.1727          0.1067        0.265335        0.875809
     1387.01674      1387.00058          0.5967          0.8764         19.3904         99.9000         -0.9350          0.0933        0.955072        0.876420
     1387.03757      1387.02141          1.4522          0.8777         19.3889         99.9000         -1.6251          0.0864       -0.176117        0.877679
     1387.05840      1387.04225          3.6064          0.8792         19.0473          0.2647         -0.9887          0.0933        1.402663        0.879168
     1387.07924      1387.06308         -0.9561          0.8768         19.3899         99.9000          0.5872          0.0933       -0.250652        0.876847
     1387.10007      1387.08391          0.0771          0.8776         19.3890         99.9000          0.2426          0.1067        0.657570        0.877552
     1387.12090      1387.10475          0.9227          0.8784         19.3880         99.9000         -0.1685          0.0933        0.862219        0.878382
     1387.14174      1387.12558          0.3734          0.8784         19.3879         99.9000          0.0203          0.1067        1.322528        0.878443
     1387.16257      1387.14641          1.1194          0.8776         19.3889         99.9000          0.1211          0.1128        0.799853        0.877605
     1387.18340      1387.16725          1.7868          0.8809         19.3849         99.9000         -0.1714          0.1067        1.044322        0.880854
     1387.20424      1387.18808          1.8536          0.8816         19.3840         99.9000         -0.5843          0.1067        0.345910        0.881635
     1387.22507      1387.20891         -1.1703          0.8805         19.3854         99.9000          0.4031          0.1128       -0.215829        0.880459
     1387.24590      1387.22975         -0.4934          0.8818         19.3838         99.9000         -1.0588          0.1809       -0.968886        0.881794
     1387.26674      1387.25058          0.5084          0.8805         19.3853         99.9000          0.0712          0.1814        0.093251        0.880544
     1387.28757      1387.27141          0.3272          0.8763         19.3906         99.9000          0.7009          0.1814        0.486444        0.876298
     1387.30840      1387.29225          1.4214          0.8772         19.3895         99.9000         -1.2862          0.2653       -0.337860        0.877182
     1387.32924      1387.31308          0.2285          0.8766         19.3902         99.9000         -0.3041          0.2653        0.736467        0.876624
     1387.37090      1387.35475         -0.5723          0.8759         19.3910         99.9000          1.0957          0.2967       -0.020556        0.875948
     1387.39174      1387.37558         -4.7356          0.8768         19.3899         99.9000          0.9410          0.2967       -0.999919        0.876797
     1387.41257      1387.39641         -2.2166          0.8764         19.3905         99.9000         -0.0324          0.2653        0.718069        0.876373
     1387.43340      1387.41725         -0.0860          0.8767         19.3901         99.9000         -1.1305          0.2653       -0.170748        0.876662
     1387.45424      1387.43808         -0.5126          0.8772         19.3895         99.9000         -0.2048          0.2653        0.106656        0.877175
     1387.47507      1387.45891          0.2176          0.8777         19.3888         99.9000          0.1867          0.2018       -0.565187        0.877689
     1387.49590      1387.47975          2.2404          0.8779         19.3886         99.9000         -2.2540          0.2653        1.327277        0.877875
     1387.51674      1387.50058         -0.9026          0.8776         19.3889         99.9000          0.5307          0.2653        0.086382        0.877623
     1387.53757      1387.52141         -3.2504          0.8776         19.3890         99.9000          0.3204          0.3333       -0.229410        0.877578
     1387.55840      1387.54225          1.9516          0.8778         19.3887         99.9000         -1.1282          0.2018        1.042833        0.877844
     1387.57924      1387.56308         -1.7772          0.8780         19.3884         99.9000         -0.5980          0.2018       -2.541938        0.878014
     1387.60007      1387.58391          2.2655          0.8789         19.3873         99.9000         -1.0081          0.1814        1.988775        0.878905
     1387.62090      1387.60475         -0.6450          0.8793         19.3869         99.9000          0.8803          0.1814       -0.559558        0.879263
     1387.64174      1387.62558          0.5608          0.8790         19.3872         99.9000          0.5493          0.1814        0.441361        0.879045
     1387.66257      1387.64641         -2.4864          0.8780         19.3884         99.9000         -1.0123          0.1809        0.180942        0.878011
     1387.68340      1387.66725          0.1863          0.8788         19.3874         99.9000         -0.2760          0.1067       -0.156735        0.878820
     1387.70424      1387.68808          1.7565          0.8788         19.3874         99.9000         -0.4962          0.1067        0.333316        0.878822
     1387.72507      1387.70891          0.8361          0.8799         19.3861         99.9000          0.0239          0.0933        1.831425        0.879898
     1387.78757      1387.77141         -0.2310          0.8793         19.3868         99.9000          0.9521          0.0864        0.181423        0.879329
     1387.80840      1387.79225          1.0236          0.8798         19.3862         99.9000          0.6307          0.0864        0.444776        0.879799
     1387.85007      1387.83391         -0.1063          0.8793         19.3869         99.9000         -1.4316          0.0864        0.359983        0.879299
     1387.87090      1387.85475         -0.1231          0.8791         19.3871         99.9000         -0.7589          0.0418        1.209276        0.879134
     1387.89174      1387.87558          0.7574          0.8792         19.3869         99.9000         -1.0638         -0.0055        1.303946        0.879240
     1387.91257      1387.89641          1.1845          0.8799         19.3861         99.9000          0.4931         -0.0055        1.107241        0.879918
