# reference_flux:        128.0160
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1385.97132      1385.95892        267.1384          0.6942         14.3732          0.0028          1.6147          0.9761        0.681207        0.694241
     1385.99216      1385.97975        284.8300          0.7070         14.3035          0.0027          2.0486          0.9761        1.178002        0.707040
     1386.01299      1386.00059        272.4244          0.6960         14.3519          0.0028          0.4058          0.9761        2.540371        0.695962
     1386.03382      1386.02142        269.3555          0.6987         14.3642          0.0028          0.1522          0.9578        0.940547        0.698726
     1386.05466      1386.04225        289.1718          0.7026         14.2871          0.0026          0.3999          0.9761        1.656648        0.702644
     1386.07549      1386.06309        272.7207          0.7009         14.3507          0.0028          0.4454          0.9761        1.887796        0.700931
     1386.09632      1386.08392        266.2618          0.6964         14.3767          0.0028          1.5853          0.9578        1.348370        0.696366
     1386.11716      1386.10475        283.8646          0.7034         14.3072          0.0027          0.1945          0.9578        0.424380        0.703363
     1386.13799      1386.12559        266.2611          0.7024         14.3767          0.0029         -0.5557          0.9405        0.467041        0.702446
     1386.15882      1386.14642        275.6320          0.7084         14.3392          0.0028          0.7568          0.9578        1.625470        0.708365
     1386.17966      1386.16725        275.1710          0.6988         14.3410          0.0028          0.5543          0.9761        0.299389        0.698798
     1386.20049      1386.18809        259.9707          0.6910         14.4027          0.0029          1.3475          0.9761        1.287118        0.691007
     1386.22133      1386.20892        275.8934          0.7023         14.3381          0.0028          1.0597          1.0682        0.384869        0.702285
     1386.24216      1386.22975        267.1007          0.7045         14.3733          0.0029          1.6611          1.0682        0.976092        0.704480
     1386.26299      1386.25059        258.0488          0.6913         14.4107          0.0029          0.4034          1.0682        0.327102        0.691339
     1386.28383      1386.27142        273.4070          0.6945         14.3480          0.0028          0.3767          1.0482       -1.202763        0.694506
     1386.30466      1386.29225        261.5972          0.7004         14.3959          0.0029          0.0648          1.0682        1.199824        0.700438
     1386.32549      1386.31309        255.5867          0.6946         14.4212          0.0030          0.5080          1.1068        1.801539        0.694600
     1386.34633      1386.33392        276.5592          0.6975         14.3355          0.0027          0.0507          1.0682        1.245465        0.697471
     1386.36716      1386.35475        256.0784          0.6922         14.4191          0.0029          0.3394          1.0482        0.455760        0.692215
     1386.38799      1386.37559        257.6384          0.6898         14.4125          0.0029          0.3220          0.9816        0.163633        0.689764
     1386.40883      1386.39642        268.0005          0.7008         14.3697          0.0028          0.9868          1.0482        1.331930        0.700820
     1386.42966      1386.41725        252.7791          0.6910         14.4331          0.0030          0.5279          0.9816        1.106783        0.690992
     1386.45050      1386.43809        262.8836          0.7028         14.3906          0.0029          0.7424          0.9816        0.957801        0.702756
     1386.47133      1386.45892        263.1023          0.7057         14.3897          0.0029          2.2206          1.0482        0.900700        0.705701
     1386.49216      1386.47975        249.5195          0.6911         14.4472          0.0030          1.2522          1.0682        0.749083        0.691095
     1386.51300      1386.50059        266.7890          0.6973         14.3746          0.0028         -0.8740          1.0682       -0.546790        0.697304
     1386.53383      1386.52142        259.1635          0.7127         14.4061          0.0030          1.2522          1.0482        1.276804        0.712677
     1386.55466      1386.54225        244.8745          0.6883         14.4676          0.0031          0.8406          1.0682        0.151300        0.688308
     1386.57550      1386.56309        270.2679          0.7096         14.3605          0.0029         -0.1181          1.0682        0.873480        0.709558
     1386.59633      1386.58392        256.4570          0.7029         14.4175          0.0030          0.8176          1.0482        1.068179        0.702888
     1386.61716      1386.60475        247.8954          0.6997         14.4543          0.0031          1.4666          0.9816        0.489930        0.699672
     1386.63800      1386.62559        268.9066          0.7106         14.3660          0.0029          0.7218          1.0446        2.572945        0.710595
     1386.65883      1386.64642        249.0419          0.7022         14.4493          0.0031         -0.3737          1.0482        1.591154        0.702174
     1386.67967      1386.66725        249.8362          0.7020         14.4459          0.0031          1.4243          1.0446        1.636273        0.702037
     1386.70050      1386.68809        259.4954          0.7014         14.4047          0.0029          0.0492          1.0482        2.064692        0.701449
