# reference_flux:        596.9422
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1410.93252      1410.91726        591.7596          0.8492         13.5096          0.0016          0.7338         -1.3792       -0.943629        0.849190
     1410.95335      1410.93809        590.9482          0.8495         13.5111          0.0016          1.4401         -1.1007       -2.537843        0.849535
     1410.97418      1410.95893        593.4760          0.8522         13.5065          0.0016         -0.1074         -1.3792       -0.857047        0.852244
     1410.99502      1410.97976        592.1232          0.8507         13.5090          0.0016         -2.0884         -1.3792       -0.868294        0.850669
     1411.01585      1411.00059        592.0426          0.8500         13.5091          0.0016          0.5542         -1.1007       -0.975304        0.850012
     1411.03669      1411.02143        589.6458          0.8493         13.5135          0.0016         -0.1007         -1.1007       -0.791470        0.849279
     1411.05752      1411.04226        594.8605          0.8506         13.5040          0.0016          0.7480         -1.1007       -0.649134        0.850641
     1411.07835      1411.06309        592.0694          0.8497         13.5091          0.0016         -0.3791         -1.1007       -1.857010        0.849654
     1411.09919      1411.08393        591.7294          0.8496         13.5097          0.0016          0.9428         -1.1007       -1.911456        0.849621
     1411.12002      1411.10476        592.2861          0.8496         13.5087          0.0016         -0.9026         -1.1007       -0.401055        0.849586
     1411.14085      1411.12559        592.4616          0.8501         13.5083          0.0016         -0.7472         -1.1007       -2.606030        0.850094
     1411.16169      1411.14643        591.2989          0.8500         13.5105          0.0016          0.1726         -1.1007       -1.892696        0.849995
     1411.18252      1411.16726        592.7023          0.8501         13.5079          0.0016          0.6220         -1.0924       -1.100675        0.850062
     1411.20336      1411.18809        593.9945          0.8499         13.5055          0.0016         -0.0897         -1.0924       -2.494239        0.849924
     1411.22419      1411.20893        593.5555          0.8501         13.5063          0.0016         -1.0271         -1.0496       -1.870245        0.850127
     1411.24502      1411.22976        591.4273          0.8493         13.5102          0.0016          0.0092         -1.0496       -1.793571        0.849341
     1411.26586      1411.25059        595.0691          0.8500         13.5036          0.0016         -1.9319         -1.0496       -0.489551        0.850009
     1411.28669      1411.27143        590.6966          0.8496         13.5116          0.0016         -0.8285         -1.0496       -2.009930        0.849629
     1411.30752      1411.29226        593.5836          0.8501         13.5063          0.0016          0.8748         -1.0924       -2.860733        0.850082
     1411.32836      1411.31309        592.4769          0.8494         13.5083          0.0016         -0.7122         -1.0924       -0.630886        0.849375
     1411.34919      1411.33393        590.4818          0.8492         13.5120          0.0016          0.2060         -1.1007       -2.423199        0.849177
     1411.37002      1411.35476        594.0252          0.8501         13.5055          0.0016          1.1904         -1.1007       -0.793385        0.850109
     1411.39086      1411.37559        595.1602          0.8498         13.5034          0.0016         -0.0871         -1.1634        0.422506        0.849841
