# reference_flux:        488.4028
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1438.01543      1438.00059        498.9249          1.9753         13.6949          0.0043         -6.3790         -0.6685       -0.342935        1.975279
     1438.03626      1438.02142        505.7912          1.9583         13.6801          0.0042         -5.0628         -0.6685       -0.530581        1.958252
     1438.05709      1438.04225        500.1051          1.9357         13.6923          0.0042         -6.9291         -0.6685        0.412666        1.935710
     1438.07793      1438.06309        503.4705          1.9121         13.6851          0.0041         -3.8128         -0.6685       -1.187210        1.912134
     1438.09876      1438.08392        504.7980          1.8897         13.6822          0.0041         -0.5925         -0.5400        0.784161        1.889669
     1438.11960      1438.10475        503.7828          1.8579         13.6844          0.0040         -4.1404         -0.5400       -0.903265        1.857932
     1438.14043      1438.12559        498.2646          1.8443         13.6963          0.0040         -3.7124         -0.5306       -3.671394        1.844327
     1438.16126      1438.14642        500.1485          1.8334         13.6923          0.0040         -2.0374         -0.5400       -0.371104        1.833392
     1438.18210      1438.16725        509.4815          1.8287         13.6722          0.0039         -2.6396         -0.5400       -1.562992        1.828735
     1438.20293      1438.18809        509.5519          1.8044         13.6720          0.0038         -2.0144         -0.6685       -1.897815        1.804383
     1438.22377      1438.20892        501.4161          1.7881         13.6895          0.0039         -3.5079         -0.7740       -2.362621        1.788087
     1438.24460      1438.22975        498.4817          1.7787         13.6959          0.0039         -1.1995         -0.6685       -1.873375        1.778717
     1438.26543      1438.25059        495.0255          1.7830         13.7034          0.0039        -12.0980         -0.6685       -0.530475        1.782984
     1438.28627      1438.27142        499.5408          1.7459         13.6936          0.0038          2.7003         -0.5719       -2.115204        1.745947
     1438.30710      1438.29225        501.0926          1.7353         13.6902          0.0038          3.9103         -0.5719       -0.132836        1.735345
     1438.32794      1438.31309        489.0964          1.7287         13.7165          0.0038         -1.6441         -0.5400       -0.401336        1.728700
     1438.34877      1438.33392        500.9052          1.7170         13.6906          0.0037          2.4110         -0.5306        0.004078        1.717015
     1438.36960      1438.35475        495.3144          1.7144         13.7028          0.0038          0.1162         -0.5306        0.752463        1.714405
     1438.39044      1438.37559        497.8472          1.7119         13.6973          0.0037          0.9983         -0.5306       -1.524742        1.711884
     1438.41127      1438.39642        500.3252          1.6978         13.6919          0.0037          2.6100         -0.5306       -3.010374        1.697803
     1438.43211      1438.41725        489.1247          1.6846         13.7165          0.0037          4.0045         -0.5306       -2.073396        1.684562
     1438.45294      1438.43809        492.0828          1.6841         13.7099          0.0037          1.8391         -0.5305       -0.668468        1.684122
     1438.47377      1438.45892        489.9216          1.6845         13.7147          0.0037          3.9006         -0.5305        0.461619        1.684475
     1438.49461      1438.47975        487.3635          1.7474         13.7204          0.0039          3.4791         -0.5305        0.554380        1.747438
