# reference_flux:         51.4767
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1438.01515      1438.00059         49.9838          1.2259         16.1929          0.0266       -128.7763         -0.4628       -0.658769        1.225925
     1438.03599      1438.02142         48.4920          1.1972         16.2258          0.0268       -105.3978         -0.4628       -1.628041        1.197161
     1438.05682      1438.04225         48.8882          1.1655         16.2170          0.0259        -82.7392         -0.4628       -0.382651        1.165487
     1438.07766      1438.06309         51.0329          1.1378         16.1704          0.0242        -70.2637         -0.4628       -2.016148        1.137815
     1438.09849      1438.08392         47.6614          1.1061         16.2446          0.0252        -58.0806         -0.4356       -0.435643        1.106140
     1438.11932      1438.10475         46.0142          1.0799         16.2828          0.0255        -56.5058         -0.4356       -0.705631        1.079916
     1438.14016      1438.12559         45.7651          1.0467         16.2887          0.0248        -49.0265         -0.4356       -1.483082        1.046742
     1438.16099      1438.14642         45.6004          1.0232         16.2926          0.0244        -39.8274         -0.4356       -0.258836        1.023174
     1438.18183      1438.16725         46.9077          1.0009         16.2619          0.0232        -28.8355         -0.3827        0.340460        1.000922
     1438.20266      1438.18809         48.7990          0.9908         16.2190          0.0220        -26.4347         -0.4356       -0.675871        0.990788
     1438.22349      1438.20892         49.8849          0.9772         16.1951          0.0213        -18.7789         -0.4356        1.066289        0.977172
     1438.24433      1438.22975         49.6550          0.9645         16.2001          0.0211        -15.5420         -0.4356       -0.119559        0.964536
     1438.26516      1438.25059         48.2993          0.9489         16.2301          0.0213        -12.7480         -0.3827       -0.478055        0.948891
     1438.28600      1438.27142         49.6220          0.9270         16.2008          0.0203         -9.6057         -0.3827        1.749785        0.926988
     1438.30683      1438.29225         49.9356          0.9187         16.1940          0.0200         -8.9503         -0.3827        1.946218        0.918715
     1438.32767      1438.31309         48.7003          0.9132         16.2212          0.0204         -8.5990         -0.3827        0.365936        0.913223
     1438.34850      1438.33392         47.4222          0.9041         16.2500          0.0207         -6.2309         -0.3827       -2.070195        0.904105
     1438.36933      1438.35475         46.7001          0.8938         16.2667          0.0208         -1.4900         -0.3827       -2.916135        0.893828
     1438.39017      1438.37559         50.1468          0.8846         16.1894          0.0192         -1.1768         -0.3827        0.191621        0.884614
     1438.41100      1438.39642         50.4981          0.8794         16.1818          0.0189         -1.1310         -0.3827       -1.259753        0.879374
     1438.43184      1438.41725         50.7074          0.8724         16.1773          0.0187          0.4357         -0.2588       -0.978751        0.872427
     1438.45267      1438.43809         51.1159          0.8709         16.1686          0.0185         -0.0967         -0.1926       -0.462822        0.870930
     1438.47350      1438.45892         51.3132          0.8753         16.1644          0.0185         -0.9893         -0.1595        0.421049        0.875317
     1438.49434      1438.47975         50.3011          0.8632         16.1861          0.0186         -0.6489         -0.1582        0.546277        0.863236
     1438.51517      1438.50059         48.4393          0.8689         16.2270          0.0195         -0.6185         -0.1196       -0.159507        0.868932
     1438.53601      1438.52142         50.3412          0.8690         16.1852          0.0187         -2.7256         -0.0241       -0.714105        0.868975
     1438.55684      1438.54225         51.3922          0.8696         16.1628          0.0184         -1.9055          0.1507       -0.192554        0.869607
     1438.57768      1438.56309         54.3433          0.8745         16.1021          0.0175         -1.2803          0.1507        2.553892        0.874476
     1438.59851      1438.58392         51.0223          0.8694         16.1706          0.0185         -2.7430          0.1916       -0.677405        0.869375
     1438.61934      1438.60475         49.6820          0.8685         16.1995          0.0190         -0.2998          0.2903        0.446410        0.868498
     1438.64018      1438.62559         52.8974          0.8731         16.1314          0.0179         -1.6998          0.2903        0.542051        0.873109
     1438.66101      1438.64642         52.0527          0.8720         16.1489          0.0182         -0.7669          0.3405       -0.158199        0.872000
     1438.68185      1438.66725         49.7881          0.8762         16.1972          0.0191         -0.6372          0.3659       -1.559390        0.876225
     1438.70268      1438.68809         54.5580          0.8783         16.0979          0.0175         -0.4446          0.4210        0.707779        0.878324
     1438.72351      1438.70892         53.9835          0.8737         16.1093          0.0176         -0.6429          0.4210        1.737836        0.873669
     1438.74435      1438.72975         50.7729          0.8720         16.1759          0.0186         -1.6988          0.3659        0.857388        0.872036
     1438.76518      1438.75059         53.9063          0.8796         16.1109          0.0177         -1.9490          0.3659        2.220255        0.879617
     1438.78602      1438.77142         52.5348          0.8713         16.1389          0.0180         -1.6714          0.3659        0.520086        0.871349
     1438.80685      1438.79225         50.5738          0.8733         16.1802          0.0187         -0.5399          0.3659        0.553029        0.873273
     1438.82769      1438.81309         51.0115          0.8817         16.1708          0.0188         -1.3473          0.3659       -0.821041        0.881735
     1438.84852      1438.83392         52.0289          0.8861         16.1494          0.0185         -1.6712          0.2903        0.673223        0.886082
     1438.86935      1438.85475         53.4837          0.8847         16.1194          0.0180         -1.1904          0.3777        0.290308        0.884731
     1438.89019      1438.87559         50.1418          0.8847         16.1895          0.0192         -0.2568          0.3777       -2.189925        0.884673
     1438.91102      1438.89642         53.6436          0.8781         16.1162          0.0178         -2.2027          0.4210        1.219016        0.878086
     1438.93186      1438.91725         50.8703          0.8726         16.1738          0.0186         -1.1743          0.4210        1.026206        0.872617
     1438.95269      1438.93809         51.0146          0.8673         16.1708          0.0185         -1.6495          0.4210        0.150655        0.867299
     1438.97352      1438.95892         52.0679          0.8687         16.1486          0.0181         -1.6047          0.4210        1.251977        0.868690
     1438.99436      1438.97975         51.1108          0.8689         16.1687          0.0185         -0.0811          0.4263       -0.024095        0.868907
     1439.01519      1439.00059         52.0614          0.8714         16.1487          0.0182         -0.4841          0.3777        0.540043        0.871440
     1439.03603      1439.02142         51.5137          0.8702         16.1602          0.0183         -1.7376          0.3777        0.566832        0.870155
     1439.05686      1439.04225         48.9848          0.8744         16.2148          0.0194         -0.4264          0.3777       -0.523427        0.874367
     1439.07770      1439.06309         53.9566          0.8778         16.1099          0.0177         -2.0648          0.3777        0.783867        0.877802
     1439.09853      1439.08392         53.7565          0.8804         16.1139          0.0178          0.2403          0.2903        0.904664        0.880355
     1439.11936      1439.10475         48.4479          0.8777         16.2268          0.0197         -1.3616          0.2903       -0.403910        0.877683
     1439.14020      1439.12559         51.9102          0.8798         16.1519          0.0184          0.4043          0.2809        0.896895        0.879758
     1439.16103      1439.14642         52.6209          0.8674         16.1371          0.0179          1.0027          0.2274        1.095358        0.867357
     1439.18187      1439.16725         50.9887          0.8666         16.1713          0.0185          0.2647          0.2809        0.773760        0.866568
     1439.20270      1439.18809         50.5632          0.8720         16.1804          0.0187         -0.4643          0.2809       -0.564038        0.871965
     1439.22353      1439.20892         49.3694          0.8726         16.2064          0.0192          0.7392          0.2809       -1.193457        0.872636
     1439.24437      1439.22975         51.7501          0.8693         16.1552          0.0182         -0.9485          0.2274       -0.866576        0.869256
     1439.26520      1439.25059         50.8803          0.8715         16.1736          0.0186         -0.7130          0.1507       -0.765556        0.871539
     1439.28604      1439.27142         51.7940          0.8714         16.1543          0.0183          0.4518          0.1507        0.663239        0.871418
     1439.30687      1439.29225         51.8277          0.8744         16.1536          0.0183          0.5926          0.1507        0.377660        0.874361
     1439.32770      1439.31309         51.0775          0.8762         16.1694          0.0186         -0.4237          0.1507        0.280877        0.876194
     1439.34854      1439.33392         51.3611          0.8823         16.1634          0.0187         -0.2792          0.2274        0.426269        0.882321
     1439.36937      1439.35475         50.8101          0.8738         16.1751          0.0187          0.0857          0.2274       -0.067292        0.873836
     1439.39021      1439.37559         54.6811          0.8744         16.0954          0.0174          0.9430          0.1507        0.617959        0.874397
     1439.41104      1439.39642         50.7477          0.8769         16.1765          0.0188          0.0748          0.1507        0.227443        0.876939
     1439.43187      1439.41725         50.0124          0.8756         16.1923          0.0190          0.4339          0.1507       -0.299417        0.875572
     1439.45271      1439.43809         47.3010          0.8756         16.2528          0.0201          0.2630          0.1507       -2.269919        0.875598
     1439.47354      1439.45892         51.1439          0.8802         16.1680          0.0187          1.0241          0.0059        0.614929        0.880239
     1439.49438      1439.47975         50.6962          0.8748         16.1776          0.0187         -0.2384          0.0059       -1.814939        0.874848
     1439.51521      1439.50059         50.1318          0.8825         16.1897          0.0191          1.1423          0.1827       -0.970361        0.882453
     1439.53605      1439.52142         47.7734          0.8755         16.2420          0.0199         -1.4284          0.1827       -2.128541        0.875454
     1439.55688      1439.54225         48.8101          0.8778         16.2187          0.0195          0.3304          0.1827       -1.426419        0.877765
     1439.57771      1439.56309         52.2637          0.8752         16.1445          0.0182         -2.6707          0.1827        0.005889        0.875224
     1439.59855      1439.58392         49.2491          0.8828         16.2090          0.0195         -0.8737          0.0059       -1.800482        0.882803
     1439.61938      1439.60475         50.4991          0.8772         16.1818          0.0189         -0.1522          0.0002       -0.061203        0.877240
     1439.64022      1439.62559         46.4832          0.8712         16.2718          0.0203         -0.5548          0.0002       -1.894619        0.871158
     1439.66105      1439.64642         54.4527          0.8808         16.1000          0.0176          0.5760          0.0002        0.604057        0.880762
     1439.68188      1439.66725         51.1481          0.8745         16.1679          0.0186         -0.7718          0.0002       -1.322403        0.874540
     1439.70272      1439.68809         51.2921          0.8768         16.1649          0.0186         -0.2724         -0.0612        0.564387        0.876815
     1439.72355      1439.70892         50.7190          0.8738         16.1771          0.0187         -0.7777          0.0002       -0.200800        0.873825
     1439.74439      1439.72975         51.1541          0.8761         16.1678          0.0186         -0.0815          0.0059       -0.688476        0.876073
     1439.76522      1439.75059         54.3905          0.8809         16.1012          0.0176         -0.5004          0.0059        2.147616        0.880926
     1439.78605      1439.77142         51.0321          0.8791         16.1704          0.0187          1.2837          0.0059        0.349748        0.879074
     1439.80689      1439.79225         48.9581          0.8779         16.2154          0.0195          2.0127          0.0059        1.188168        0.877901
     1439.82772      1439.81309         55.1524          0.8777         16.0861          0.0173          0.8438          0.0002        1.401933        0.877686
     1439.84856      1439.83392         51.1838          0.8767         16.1672          0.0186          0.1463         -0.0612        0.865931        0.876668
     1439.86939      1439.85475         50.3295          0.8734         16.1854          0.0188         -1.7945         -0.0612       -0.582765        0.873441
