# reference_flux:       -728.8225
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1438.01104      1438.00058        -45.1064          1.4235         18.8638         99.9000         13.8387         -2.3747        0.977377        1.423535
     1438.03187      1438.02141        -40.3136          1.3877         18.8914         99.9000          7.0504         -2.3747       -2.210866        1.387745
     1438.05271      1438.04225        -40.9307          1.3406         18.9289         99.9000          9.0257         -2.2109       -9.017366        1.340628
     1438.07354      1438.06308        -41.1903          1.2987         18.9635         99.9000          9.1328         -2.2109       -4.650421        1.298670
     1438.09438      1438.08391        -43.8306          1.2959         18.9658         99.9000          3.9332         -2.2109        0.793801        1.295856
     1438.11521      1438.10475        -49.7571          1.3046         18.9585         99.9000          5.4411         -2.2109       -1.233366        1.304559
     1438.13604      1438.12558        -42.9768          1.2226         19.0290         99.9000          5.0285         -2.2281        2.359022        1.222628
     1438.15688      1438.14641        -43.6778          1.0632         19.1807         99.9000          2.3484         -2.2281        0.444520        1.063173
     1438.17771      1438.16725        -35.4241          1.0266         19.2187         99.9000         -3.1478         -2.2281       -5.828353        1.026614
     1438.19854      1438.18808        -39.6854          0.9784         19.2709         99.9000          3.4436         -2.2281       -5.752834        0.978386
     1438.21938      1438.20891        -43.5557          0.9354         19.3197         99.9000          2.2365         -2.3747       -1.170933        0.935439
     1438.24021      1438.22975        -42.5267          0.9180         19.3401         99.9000          1.0140         -2.3747       -2.374683        0.917972
     1438.26104      1438.25058        -43.1332          0.9126         19.3465         99.9000          1.5170         -2.7256        0.703118        0.912587
     1438.28188      1438.27141        -41.9930          0.8492         19.4246         99.9000          0.1669         -2.7927        1.368984        0.849224
     1438.30271      1438.29225        -43.5802          0.8731         19.3946         99.9000          0.1561         -3.1740        0.397372        0.873083
     1438.32354      1438.31308        -40.0959          0.8570         19.4148         99.9000         -3.7853         -3.1740       -5.970083        0.856975
     1438.34438      1438.33391        -40.4127          0.8079         19.4788         99.9000         -2.9258         -2.7927       -6.512793        0.807897
     1438.36521      1438.35475        -40.7352          0.7457         19.5658         99.9000         -2.1586         -2.7927       -9.429400        0.745710
     1438.38604      1438.37558        -41.8100          0.7517         19.5571         99.9000         -2.0832         -2.9591       -0.200802        0.751671
