# reference_flux:         64.1446
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1438.01205      1438.00058         55.4986          1.2966         16.0793          0.0254        -13.9171         -0.3681       -3.425507        1.296580
     1438.03288      1438.02141         57.8859          1.2638         16.0336          0.0237        -10.4361         -0.3681       -1.167007        1.263803
     1438.05372      1438.04225         56.2299          1.2219         16.0651          0.0236        -13.5303         -0.3681       -2.791049        1.221883
     1438.07455      1438.06308         53.2274          1.1765         16.1247          0.0240        -36.0640         -0.3681       -0.488114        1.176530
     1438.09538      1438.08391         53.5250          1.1331         16.1186          0.0230        -32.7011         -0.3681       -3.187130        1.133140
     1438.11622      1438.10475         61.2796          1.0918         15.9717          0.0193        -31.6812         -0.3681        2.149540        1.091810
     1438.13705      1438.12558         60.9801          1.0486         15.9770          0.0187        -23.2342         -0.3681        3.122990        1.048557
     1438.15788      1438.14641         54.8915          1.0032         16.0912          0.0198        -17.1200         -0.3681       -0.368085        1.003155
     1438.17872      1438.16725         56.3147          0.9575         16.0634          0.0185        -17.2445         -0.4881        0.210878        0.957527
     1438.19955      1438.18808         57.3214          0.9159         16.0442          0.0173        -17.9398         -0.4881        1.058021        0.915852
     1438.22038      1438.20891         56.0084          0.8760         16.0694          0.0170        -12.7096         -0.7135        1.656109        0.875998
     1438.24122      1438.22975         54.0860          0.8426         16.1073          0.0169        -10.4577         -0.9683        1.478586        0.842586
     1438.26205      1438.25058         54.4209          0.8105         16.1006          0.0162         -9.6002         -0.9683        2.126689        0.810484
     1438.28288      1438.27141         57.3137          0.7792         16.0444          0.0148         -4.8233         -0.9683        1.043191        0.779193
     1438.30372      1438.29225         54.1547          0.7511         16.1059          0.0151         -4.2533         -1.0730        1.315772        0.751120
     1438.32455      1438.31308         53.8584          0.7196         16.1119          0.0145         -3.7851         -1.0730        1.148171        0.719602
     1438.34538      1438.33391         55.5579          0.6924         16.0781          0.0135         -1.2799         -1.0730        1.164535        0.692388
     1438.36622      1438.35475         57.5529          0.6688         16.0398          0.0126          0.9666         -1.1082        0.293915        0.668774
     1438.38705      1438.37558         57.0861          0.6534         16.0487          0.0124          1.8263         -1.1082       -0.713502        0.653395
     1438.40788      1438.39641         56.7606          0.6486         16.0549          0.0124          2.8970         -1.1578       -1.214235        0.648603
     1438.42872      1438.41725         58.0909          0.6473         16.0297          0.0121          0.8598         -1.1082       -0.968284        0.647302
     1438.44955      1438.43808         56.7143          0.6466         16.0558          0.0124          1.3018         -1.1082       -3.427546        0.646555
     1438.47038      1438.45891         57.2397          0.6466         16.0458          0.0123          0.4636         -1.0730       -1.497845        0.646616
     1438.49122      1438.47975         56.2351          0.6469         16.0650          0.0125          0.6516         -0.9683       -4.343143        0.646935
     1438.51205      1438.50058         55.9641          0.6469         16.0702          0.0125          1.2039         -0.7135       -2.909847        0.646865
     1438.53288      1438.52141         56.2087          0.6470         16.0655          0.0125          2.9227         -0.6893       -3.237741        0.647014
     1438.55372      1438.54225         60.4482          0.6475         15.9865          0.0116          0.5489         -0.6499       -1.073024        0.647489
