# reference_flux:        -53.4646
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1468.28644      1468.27141        -10.1151          0.7390         19.5756         99.9000         -0.1009         -1.2859       -1.342549        0.739006
     1468.30727      1468.29225        -10.2177          0.7243         19.5974         99.9000          0.1931         -1.2859       -2.176244        0.724299
     1468.32811      1468.31308         -9.5988          0.7286         19.5909         99.9000         -1.4271         -1.2859       -1.240097        0.728645
     1468.34894      1468.33391        -10.2140          0.7231         19.5992         99.9000          1.3908         -1.2859        0.418435        0.723085
     1468.36977      1468.35475         -9.9969          0.7324         19.5853         99.9000         -0.7820         -1.2859       -1.016442        0.732392
     1468.41144      1468.39641         -9.8474          0.7320         19.5860         99.9000          1.3752         -1.2859       -0.691565        0.731963
     1468.43227      1468.41725         -9.7401          0.7273         19.5928         99.9000         -0.3780         -1.3425       -1.568038        0.727347
     1468.45311      1468.43808         -8.8076          0.7310         19.5873         99.9000         -0.5840         -1.2859       -0.458676        0.731043
     1468.47394      1468.45891        -10.0988          0.7327         19.5848         99.9000          0.9408         -1.2859       -1.863189        0.732727
     1468.49477      1468.47975        -11.0782          0.7319         19.5860         99.9000         -0.3559         -1.2401       -1.611685        0.731936
     1468.51561      1468.50058        -11.0581          0.7355         19.5807         99.9000          1.8724         -1.2859       -1.024605        0.735512
     1468.53644      1468.52141         -9.9670          0.7338         19.5832         99.9000          1.7017         -1.2983        0.270627        0.733819
     1468.55727      1468.54225        -10.8032          0.7283         19.5914         99.9000         -1.6534         -1.2859       -1.419844        0.728294
     1468.57811      1468.56308         -9.6884          0.7278         19.5922         99.9000          0.5392         -1.2859       -1.217955        0.727762
     1468.59894      1468.58391         -9.3922          0.7343         19.5825         99.9000         -0.7296         -1.2859       -0.203205        0.734295
     1468.61977      1468.60475        -11.9779          0.7260         19.5949         99.9000          0.0606         -1.2859       -1.285917        0.725952
     1468.64061      1468.62558        -10.6791          0.7400         19.5742         99.9000          0.5025         -1.2859       -1.753531        0.739971
     1468.66144      1468.64641        -10.3278          0.7291         19.5902         99.9000          0.1003         -1.2859       -1.770167        0.729139
     1468.68227      1468.66725         -9.3953          0.7349         19.5816         99.9000         -0.5528         -1.2859       -0.878974        0.734891
     1468.70311      1468.68808        -10.8708          0.7424         19.5706         99.9000         -0.3643         -1.2859       -2.258463        0.742378
