# reference_flux:        722.8639
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1468.28297      1468.27140        650.7622          0.8224         13.4064          0.0014         -0.1107         -2.2692       -0.433057        0.822432
     1468.30381      1468.29223        651.5866          0.8230         13.4051          0.0014          2.3399         -2.2692       -2.601107        0.822992
     1468.32464      1468.31307        649.1087          0.8224         13.4092          0.0014          1.4206         -2.2692       -3.175198        0.822383
     1468.34547      1468.33390        646.3219          0.8222         13.4139          0.0014          0.1170         -2.2692       -3.411051        0.822160
     1468.36631      1468.35473        650.3301          0.8224         13.4072          0.0014          0.3695         -2.2692       -4.182532        0.822439
     1468.40797      1468.39640        651.6716          0.8233         13.4049          0.0014          1.2992         -2.2692       -1.906347        0.823277
     1468.42881      1468.41723        653.5176          0.8235         13.4019          0.0014          2.6177         -2.2692       -1.153937        0.823512
     1468.44964      1468.43807        652.4731          0.8234         13.4036          0.0014          2.3286         -2.2692       -2.775300        0.823372
     1468.47048      1468.45890        652.3640          0.8234         13.4038          0.0014          0.9316         -2.4480       -2.615913        0.823443
     1468.49131      1468.47973        653.0859          0.8234         13.4026          0.0014          0.4035         -2.4517       -0.176369        0.823442
     1468.51214      1468.50057        652.1504          0.8233         13.4041          0.0014          0.5079         -2.4517       -2.269197        0.823281
     1468.53298      1468.52140        651.9501          0.8234         13.4045          0.0014          2.2899         -2.4517       -2.016609        0.823426
     1468.55381      1468.54223        652.7771          0.8233         13.4031          0.0014          2.1760         -2.4517       -2.451724        0.823271
     1468.57464      1468.56307        653.6792          0.8236         13.4016          0.0014          2.8609         -2.4880       -3.084458        0.823565
     1468.59548      1468.58390        654.3207          0.8236         13.4005          0.0014          1.1738         -2.5285       -2.008424        0.823607
     1468.61631      1468.60473        656.6240          0.8235         13.3967          0.0014         -0.4218         -2.5285       -0.016894        0.823528
     1468.63714      1468.62557        653.8485          0.8231         13.4013          0.0014          1.1363         -2.5285       -1.743823        0.823096
     1468.65798      1468.64640        653.2918          0.8233         13.4022          0.0014          2.0486         -2.4880       -2.105140        0.823272
     1468.67881      1468.66723        654.0293          0.8235         13.4010          0.0014          1.2698         -2.4880       -2.039253        0.823537
     1468.69964      1468.68807        657.2318          0.8242         13.3957          0.0014          2.1313         -2.4880       -2.269092        0.824206
     1468.72048      1468.70890        656.7611          0.8240         13.3965          0.0014          0.7969         -2.4517       -2.545493        0.824031
     1468.74131      1468.72973        656.4137          0.8240         13.3971          0.0014          1.5685         -2.4480        0.258497        0.823977
     1468.76214      1468.75057        655.8379          0.8237         13.3980          0.0014          1.7535         -2.4275       -3.408143        0.823660
     1468.78298      1468.77140        657.5392          0.8242         13.3952          0.0014          0.1698         -2.4275       -3.205449        0.824168
     1468.80381      1468.79223        659.1936          0.8243         13.3925          0.0014          0.6852         -2.4480       -4.504472        0.824295
     1468.82465      1468.81307        658.6872          0.8244         13.3933          0.0014          0.7368         -2.4480       -2.901528        0.824432
     1468.84548      1468.83390        659.4033          0.8243         13.3921          0.0014         -0.4419         -2.4480       -3.399857        0.824294
     1468.86631      1468.85473        660.5524          0.8243         13.3902          0.0014          1.7323         -2.4275       -2.447999        0.824345
     1468.88715      1468.87557        660.9611          0.8244         13.3896          0.0014         -0.0316         -2.2692       -1.093130        0.824425
     1468.90798      1468.89640        658.5978          0.8238         13.3934          0.0014          0.6444         -2.2691       -1.707194        0.823808
     1468.92881      1468.91723        663.7289          0.8245         13.3850          0.0013         -0.0483         -2.2691       -0.910952        0.824550
     1468.94965      1468.93807        659.8611          0.8240         13.3914          0.0014         -0.2105         -2.2691       -3.420948        0.823978
     1468.97048      1468.95890        658.1132          0.8237         13.3942          0.0014         -0.1910         -2.2691       -2.785003        0.823669
     1468.99131      1468.97973        660.3091          0.8244         13.3906          0.0014          1.5179         -2.2691       -3.904065        0.824354
     1469.01215      1469.00057        665.1708          0.8253         13.3827          0.0013         -0.7599         -2.2691       -1.554368        0.825309
     1469.03298      1469.02140        662.3120          0.8249         13.3873          0.0014          0.0057         -2.2413       -2.528494        0.824893
     1469.05381      1469.04223        661.9614          0.8250         13.3879          0.0014          1.2000         -2.2691       -2.487962        0.825028
     1469.07465      1469.06307        661.7997          0.8246         13.3882          0.0014          0.6763         -2.2691       -3.051045        0.824602
     1469.09548      1469.08390        663.2078          0.8252         13.3859          0.0014         -0.6374         -2.2413       -1.819988        0.825208
     1469.11631      1469.10473        661.5305          0.8252         13.3886          0.0014          0.7944         -2.2691       -3.261796        0.825165
     1469.13715      1469.12557        665.0976          0.8253         13.3828          0.0013          0.8710         -2.2691       -1.720958        0.825298
     1469.15798      1469.14640        661.5781          0.8249         13.3885          0.0014          1.9134         -2.3049       -2.427473        0.824854
     1469.17881      1469.16723        663.2833          0.8253         13.3858          0.0014          2.0806         -2.3875       -1.647991        0.825302
     1469.19965      1469.18807        666.3533          0.8257         13.3807          0.0013          0.4176         -2.4275       -1.719106        0.825720
     1469.22048      1469.20890        665.9208          0.8255         13.3814          0.0013          1.5877         -2.4344       -0.633485        0.825489
     1469.24131      1469.22973        668.7890          0.8262         13.3768          0.0013         -1.3787         -2.4344       -1.651441        0.826226
     1469.26215      1469.25057        665.5795          0.8255         13.3820          0.0013          0.0979         -2.4480       -2.625807        0.825454
     1469.28298      1469.27140        664.2266          0.8255         13.3842          0.0013          0.5912         -2.4344       -4.219833        0.825546
     1469.30382      1469.29223        665.8147          0.8258         13.3816          0.0013          1.5097         -2.4344       -1.876469        0.825839
     1469.32465      1469.31307        666.8681          0.8258         13.3799          0.0013          0.8023         -2.4275       -2.625105        0.825850
