# reference_flux:         38.4371
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1491.64042      1491.62555        -10.7922          1.0206         19.2250         99.9000          1.7103         -1.6743       -1.964140        1.020632
     1491.66125      1491.64638        -16.4986          1.0031         19.2438         99.9000         -0.3671         -1.6743       -4.526465        1.003118
     1491.68209      1491.66722         -9.8287          0.9885         19.2598         99.9000          1.9465         -1.6743       -1.899364        0.988494
     1491.70292      1491.68805        -10.8008          0.9743         19.2754         99.9000          2.4161         -1.6743       -2.475288        0.974319
     1491.72375      1491.70888        -11.3464          0.9605         19.2910         99.9000          2.5865         -1.6743       -1.115786        0.960465
     1491.74459      1491.72972        -10.8376          0.9472         19.3061         99.9000          1.7352         -1.6743       -3.510970        0.947160
     1491.76542      1491.75055        -14.4480          0.9337         19.3216         99.9000         -0.1992         -1.6743       -1.199391        0.933748
     1491.78626      1491.77138         -6.6176          0.9228         19.3345         99.9000         -0.1792         -1.6743       -2.354303        0.922754
     1491.80709      1491.79222         -9.2019          0.9113         19.3481         99.9000         -2.2962         -1.6743       -0.631958        0.911277
     1491.82792      1491.81305         -7.0306          0.9003         19.3612         99.9000         -3.0320         -1.6743       -1.010362        0.900336
     1491.84876      1491.83388         -8.0179          0.8896         19.3742         99.9000         -2.8332         -1.6948       -1.694793        0.889618
     1491.86959      1491.85472         -2.5224          0.8817         19.3839         99.9000         -8.0922         -1.6948       -2.778738        0.881656
     1491.89043      1491.87555         -9.2247          0.8736         19.3939         99.9000         -0.8776         -1.6948       -2.031404        0.873634
     1491.91126      1491.89638         -3.1530          0.8691         19.3995         99.9000         -0.5447         -1.6743       -0.695715        0.869113
     1491.93210      1491.91722         -4.7921          0.8631         19.4070         99.9000         -0.5130         -1.6743       -1.221712        0.863143
     1491.95293      1491.93805         -5.7497          0.8595         19.4116         99.9000          0.6865         -1.6743       -1.710665        0.859524
     1491.97376      1491.95888         -9.0543          0.8573         19.4144         99.9000          1.4863         -1.6948       -1.674267        0.857273
     1491.99460      1491.97972         -6.4979          0.8566         19.4152         99.9000         -0.6856         -1.6743       -1.465853        0.856614
     1492.01543      1492.00055         -5.2135          0.8567         19.4151         99.9000         -1.1535         -1.6948       -0.244413        0.856684
     1492.03627      1492.02138         -6.7978          0.8562         19.4158         99.9000         -3.8563         -1.6948       -1.198353        0.856190
     1492.05710      1492.04222         -8.5126          0.8564         19.4155         99.9000         -3.0192         -1.6948       -0.554825        0.856417
     1492.07793      1492.06305         -6.0942          0.8568         19.4150         99.9000         -3.4416         -1.6948       -0.350000        0.856789
     1492.09877      1492.08388         -8.1865          0.8567         19.4151         99.9000          0.0589         -1.6743       -1.646365        0.856715
     1492.11960      1492.10472         -6.3657          0.8565         19.4154         99.9000         -0.8294         -1.6743       -1.937640        0.856506
     1492.14044      1492.12555         -8.7609          0.8564         19.4156         99.9000          0.2812         -1.6464       -2.216316        0.856363
     1492.16127      1492.14638        -10.0598          0.8559         19.4161         99.9000         -0.8985         -1.6464       -1.796688        0.855916
     1492.18210      1492.16722         -5.8239          0.8569         19.4148         99.9000         -1.8048         -1.5880       -1.461838        0.856926
