# reference_flux:      -3456.5500
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1491.63882      1491.62554        241.1311          1.9946         14.4844          0.0090          7.6307          7.4410        4.094401        1.994641
     1491.65966      1491.64637        234.3199          1.9835         14.5155          0.0092          5.7829          7.4410        7.618785        1.983479
     1491.68049      1491.66721        242.8221          1.9736         14.4768          0.0088          6.6171          7.4410        7.576366        1.973562
     1491.70133      1491.68804        245.1529          1.9670         14.4664          0.0087          4.3598          7.4410        3.317915        1.966975
     1491.72216      1491.70887        254.5775          1.9596         14.4254          0.0084          5.4713          7.4410        3.939627        1.959561
     1491.74299      1491.72971        245.1156          1.9529         14.4666          0.0087          1.2537          6.9458        7.440970        1.952870
     1491.76383      1491.75054        237.3815          1.9467         14.5014          0.0089          3.5252          6.9458        7.523992        1.946664
     1491.78466      1491.77137        240.4249          1.9431         14.4876          0.0088          1.1706          6.9458        5.420138        1.943133
     1491.80550      1491.79221        238.2445          1.9376         14.4974          0.0088         -2.2934          6.9458        3.559331        1.937648
     1491.82633      1491.81304        245.4296          1.9332         14.4652          0.0086          4.2128          6.8085        9.718638        1.933177
     1491.84716      1491.83387        240.3165          1.9278         14.4880          0.0087          2.8535          6.8085        9.106905        1.927802
     1491.86800      1491.85471        243.0749          1.9257         14.4756          0.0086          4.8971          6.5691        6.569115        1.925692
     1491.88883      1491.87554        247.1415          1.9217         14.4576          0.0084         -0.4620          6.5691        6.945843        1.921660
     1491.90967      1491.89637        254.4001          1.9192         14.4262          0.0082         -0.0561          6.5691        7.819542        1.919246
     1491.93050      1491.91721        253.6095          1.9161         14.4296          0.0082          3.2703          6.4449        5.904470        1.916051
     1491.95133      1491.93804        257.9920          1.9148         14.4110          0.0081         -1.1016          6.0465        9.637908        1.914775
     1491.97217      1491.95887        256.1395          1.9145         14.4188          0.0081          2.8326          6.0465        8.034514        1.914530
     1491.99300      1491.97971        257.6201          1.9143         14.4126          0.0081          0.1641          6.4449       10.213190        1.914334
     1492.01384      1492.00054        255.4384          1.9140         14.4218          0.0081          2.4862          6.4449        5.162772        1.914002
     1492.03467      1492.02137        258.5135          1.9134         14.4088          0.0080         -4.0714          6.4449        8.871919        1.913430
     1492.05550      1492.04221        260.7156          1.9134         14.3996          0.0080         -0.6922          6.4969        6.046489        1.913438
     1492.07634      1492.06304        257.8695          1.9149         14.4115          0.0081         -3.4131          6.5691        7.723705        1.914939
     1492.09717      1492.08387        255.8115          1.9147         14.4202          0.0081         -2.0199          6.5691        8.780356        1.914675
     1492.11801      1492.10471        258.3755          1.9150         14.4094          0.0080          2.3029          6.4969        4.744846        1.915024
     1492.13884      1492.12554        257.0668          1.9140         14.4149          0.0081          0.1084          6.4969        4.389494        1.913962
     1492.15967      1492.14637        254.2446          1.9136         14.4269          0.0082          0.0560          6.5691        8.029485        1.913602
     1492.18051      1492.16721        262.4727          1.9148         14.3923          0.0079          2.3012          6.5691        5.050089        1.914755
     1492.20134      1492.18804        253.9429          1.9132         14.4282          0.0082          1.2435          6.5691        3.267561        1.913179
     1492.22218      1492.20887        258.8610          1.9148         14.4073          0.0080          7.5637          6.8085        5.759784        1.914807
     1492.24301      1492.22971        258.9752          1.9133         14.4069          0.0080         -0.0598          6.8085        6.808522        1.913330
     1492.26384      1492.25054        247.3502          1.9135         14.4567          0.0084          4.4995          6.8085        4.205898        1.913507
     1492.28468      1492.27137        258.2837          1.9143         14.4098          0.0080         -1.3522          6.5691        7.946201        1.914269
     1492.30551      1492.29221        251.5095          1.9137         14.4386          0.0083          5.1160          6.8085        5.055910        1.913732
     1492.32635      1492.31304        251.6854          1.9144         14.4379          0.0083          2.8805          6.8085        5.631823        1.914386
     1492.34718      1492.33387        252.7274          1.9136         14.4334          0.0082          5.1550          6.5691        5.830042        1.913581
     1492.36801      1492.35471        245.4463          1.9146         14.4651          0.0085          4.1786          6.5691        9.172938        1.914560
     1492.38885      1492.37554        246.8062          1.9128         14.4591          0.0084          4.7106          6.4969        6.444853        1.912823
     1492.40968      1492.39637        245.0135          1.9143         14.4670          0.0085          2.8278          6.4449        3.254721        1.914343
     1492.43052      1492.41721        243.1253          1.9143         14.4754          0.0085          7.2217          6.3559        4.655539        1.914346
     1492.45135      1492.43804        244.2776          1.9149         14.4703          0.0085          5.7562          6.3559        5.652974        1.914891
     1492.47218      1492.45887        248.4170          1.9129         14.4520          0.0084          4.1552          6.1035        6.496924        1.912883
     1492.49302      1492.47971        249.7572          1.9127         14.4462          0.0083          3.5784          6.0465       12.092782        1.912660
     1492.51385      1492.50054        242.4332          1.9142         14.4785          0.0086          3.8485          6.0465        8.676273        1.914189
     1492.53469      1492.52137        251.3202          1.9137         14.4394          0.0083          0.8928          6.0465        7.887203        1.913734
     1492.55552      1492.54221        252.5729          1.9145         14.4340          0.0082          4.2113          5.8300        9.824069        1.914469
     1492.57635      1492.56304        252.2944          1.9152         14.4352          0.0082          1.5921          5.8300        9.079509        1.915245
     1492.59719      1492.58387        243.2288          1.9144         14.4750          0.0085          2.5676          5.7598        3.433057        1.914422
     1492.61802      1492.60471        256.5475          1.9156         14.4171          0.0081          0.6334          5.7544        2.899441        1.915559
     1492.63886      1492.62554        256.8440          1.9160         14.4158          0.0081          1.0147          5.7544        8.365567        1.916035
     1492.65969      1492.64637        261.0497          1.9157         14.3982          0.0080          3.0639          5.7544        7.541405        1.915719
     1492.68052      1492.66721        258.7522          1.9155         14.4078          0.0080          2.6028          5.7544       10.539068        1.915533
     1492.70136      1492.68804        258.1411          1.9165         14.4104          0.0081          3.6450          5.7544        7.438962        1.916535
     1492.72219      1492.70887        252.1066          1.9145         14.4360          0.0082          2.3246          5.7544        4.390090        1.914530
     1492.74303      1492.72971        261.9565          1.9147         14.3944          0.0079          4.4227          5.7476        7.357430        1.914657
     1492.76386      1492.75054        260.8414          1.9170         14.3991          0.0080          5.1921          5.7244        6.103514        1.917034
     1492.78469      1492.77137        257.2907          1.9171         14.4139          0.0081          6.4367          5.7244        8.683177        1.917144
     1492.80553      1492.79221        259.0091          1.9154         14.4067          0.0080          7.7176          5.6530        4.721016        1.915357
     1492.82636      1492.81304        250.2673          1.9153         14.4440          0.0083          5.5476          5.6530        5.724367        1.915276
     1492.84720      1492.83387        257.4612          1.9138         14.4132          0.0081          5.4679          5.6530        6.745901        1.913829
     1492.86803      1492.85471        256.2083          1.9145         14.4185          0.0081          3.2616          5.2940        6.355921        1.914546
     1492.88886      1492.87554        251.4038          1.9151         14.4391          0.0083          3.5824          4.9298        5.747647        1.915086
     1492.90970      1492.89637        248.4435          1.9144         14.4519          0.0084          3.5268          4.7210        4.639250        1.914373
     1492.93053      1492.91721        244.6514          1.9144         14.4686          0.0085          2.5746          4.7210        1.421931        1.914435
     1492.95137      1492.93804        239.7494          1.9135         14.4906          0.0087          3.7519          4.7210        2.231374        1.913504
     1492.97220      1492.95887        250.4568          1.9130         14.4432          0.0083          8.0926          4.7101        3.568679        1.912998
     1492.99303      1492.97971        241.6227          1.9127         14.4822          0.0086          9.0814          4.7101        6.832745        1.912741
     1493.01387      1493.00054        235.3620          1.9135         14.5107          0.0088          8.2519          4.7101        5.754448        1.913505
     1493.03470      1493.02137        231.1428          1.9125         14.5303          0.0090          9.0143          4.7101        2.845035        1.912492
     1493.05554      1493.04221        237.1413          1.9121         14.5025          0.0088          7.9204          4.6393        7.177715        1.912126
     1493.07637      1493.06304        234.8873          1.9120         14.5129          0.0088          2.0583          4.6393        5.294038        1.911965
     1493.09720      1493.08387        236.2305          1.9138         14.5067          0.0088          5.3078          4.3901        3.781026        1.913753
     1493.11804      1493.10471        236.4518          1.9114         14.5056          0.0088          6.8920          4.6393        4.929785        1.911387
     1493.13887      1493.12554        220.9406          1.9116         14.5793          0.0094          4.0875          4.6393        3.324805        1.911558
     1493.15971      1493.14637        226.2352          1.9089         14.5536          0.0092          0.6437          4.3901        6.308969        1.908920
     1493.18054      1493.16721        231.1674          1.9093         14.5302          0.0090          0.9690          4.2774        4.018577        1.909269
     1493.20137      1493.18804        218.9481          1.9107         14.5891          0.0095         -0.8954          4.2774        4.710128        1.910732
     1493.22221      1493.20887        217.4949          1.9101         14.5964          0.0095          2.9339          4.0186        1.200514        1.910148
     1493.24304      1493.22970        210.7951          1.9112         14.6303          0.0098         -3.3478          3.8215       -1.406150        1.911199
     1493.26388      1493.25054        212.9580          1.9092         14.6193          0.0097          0.4071          3.8215        1.513009        1.909205
     1493.28471      1493.27137        210.1291          1.9086         14.6338          0.0099          2.8031          3.7916        3.130982        1.908633
     1493.30554      1493.29220        212.7721          1.9092         14.6202          0.0097          3.1397          3.7810        0.179035        1.909210
     1493.32638      1493.31304        210.7177          1.9088         14.6307          0.0098          1.7605          3.7300        1.805806        1.908838
     1493.34721      1493.33387        215.8632          1.9079         14.6046          0.0096         -0.3352          3.7300        2.340292        1.907890
     1493.36805      1493.35470        214.3573          1.9088         14.6122          0.0097          0.2073          3.7300        2.063089        1.908777
     1493.38888      1493.37554        204.7288          1.9079         14.6621          0.0101          1.4256          3.6012        3.730000        1.907887
     1493.40971      1493.39637        211.9407          1.9083         14.6245          0.0098          0.1911          3.5687        3.160445        1.908297
     1493.43055      1493.41720        214.6242          1.9079         14.6108          0.0097         -0.9364          3.5144        3.821532        1.907937
