# reference_flux:        484.3049
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1491.63549      1491.62555        480.4337          1.2367         13.7359          0.0028        -34.2222          5.9628        2.011543        1.236703
     1491.65632      1491.64638        479.2407          1.2039         13.7386          0.0027        -30.6178          5.9628        2.319906        1.203861
     1491.67715      1491.66721        479.9732          1.1878         13.7370          0.0027        -26.3712          5.9628        2.068827        1.187789
     1491.69798      1491.68805        480.3965          1.1623         13.7360          0.0026        -24.1444          5.9628        4.983606        1.162304
     1491.71882      1491.70888        476.5707          1.1323         13.7447          0.0026        -20.2364          5.7658        2.739621        1.132283
     1491.73965      1491.72971        482.2991          1.2597         13.7317          0.0028        -19.6430          5.7658        4.349572        1.259721
     1491.76048      1491.75055        482.4913          1.2344         13.7313          0.0028        -13.2675          5.7658        5.267278        1.234412
     1491.78132      1491.77138        488.0768          1.2175         13.7188          0.0027        -10.9574          5.3351        6.128531        1.217536
     1491.80215      1491.79221        486.7695          1.1896         13.7217          0.0027         -5.9909          5.2673        7.660631        1.189617
     1491.82298      1491.81305        488.0177          1.2161         13.7189          0.0027         -6.6649          5.2673        9.014269        1.216145
     1491.84382      1491.83388        488.5283          1.1882         13.7178          0.0026         -5.2094          4.9836        7.177212        1.188174
     1491.86465      1491.85471        486.3630          1.1727         13.7226          0.0026         -1.4399          4.9836        5.765839        1.172682
     1491.88548      1491.87555        490.8333          1.1950         13.7127          0.0026         -1.5355          4.6304        9.259344        1.194991
     1491.90632      1491.89638        487.9943          1.1793         13.7190          0.0026         -2.1836          4.6304        5.992089        1.179314
     1491.92715      1491.91721        489.0614          1.1790         13.7166          0.0026         -0.3301          4.3496        6.700199        1.178968
     1491.94798      1491.93805        485.6524          1.1756         13.7242          0.0026         -1.1071          4.3496        6.463656        1.175593
     1491.96882      1491.95888        489.7916          1.1724         13.7150          0.0026         -0.3643          4.3496        7.431331        1.172409
     1491.98965      1491.97971        488.4815          1.1705         13.7179          0.0026          0.9771          4.3475        6.445697        1.170452
     1492.01048      1492.00055        488.8977          1.1843         13.7170          0.0026         -2.6209          4.3388        7.835122        1.184317
     1492.03132      1492.02138        486.5377          1.1710         13.7222          0.0026         -0.6234          4.3388        5.335129        1.171013
     1492.05215      1492.04221        487.6648          1.1681         13.7197          0.0026         -2.5221          4.3475        6.044810        1.168114
     1492.07298      1492.06305        486.2335          1.1783         13.7229          0.0026          0.7728          4.3420        4.630425        1.178325
     1492.09381      1492.08388        489.3546          1.1679         13.7159          0.0026         -1.7351          4.3475        5.962771        1.167949
     1492.11465      1492.10471        485.0818          1.1724         13.7255          0.0026         -3.8574          4.3496        3.986057        1.172422
     1492.13548      1492.12555        486.5881          1.1708         13.7221          0.0026         -3.3307          4.3843        3.344984        1.170779
     1492.15631      1492.14638        487.3817          1.1697         13.7203          0.0026         -5.9817          4.6304        4.347497        1.169692
     1492.17715      1492.16721        482.1936          1.1743         13.7319          0.0026         -3.5135          4.6358        4.129595        1.174307
     1492.19798      1492.18805        482.4031          1.1683         13.7315          0.0026         -3.2048          4.6358        3.569417        1.168307
     1492.21881      1492.20888        485.7177          1.1634         13.7240          0.0026         -3.1975          4.6304        3.769651        1.163367
