# reference_flux:       -100.6668
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1517.36890      1517.35471         22.8184          5.5812         17.0443          0.2656        260.5017          0.4334      -16.444142        5.581153
     1517.38973      1517.37554         21.7195          4.9061         17.0979          0.2452        179.7420          0.4334       -9.200350        4.906054
     1517.41057      1517.39637         19.3126          4.5050         17.2254          0.2533        124.6183          0.4334        7.178237        4.504969
     1517.43140      1517.41721         14.2203          4.1179         17.5577          0.3144         78.0246          0.4334       12.322002        4.117932
     1517.45223      1517.43804         13.9033          3.7844         17.5822          0.2955          3.3917          0.4334        8.825188        3.784406
     1517.47307      1517.45887         13.0483          3.5243         17.6511          0.2933        -29.2740          0.4334        5.782681        3.524299
     1517.49390      1517.47971         18.0036          3.3495         17.3016          0.2020        -41.2997          0.5374       10.181858        3.349538
     1517.51473      1517.50054         20.8318          3.2153         17.1432          0.1676        -56.8831          0.5640       11.034249        3.215313
     1517.53557      1517.52137          7.6144          3.0559         18.0343         99.9000        -58.6598          0.5640        5.156842        3.055912
     1517.55640      1517.54221          9.8519          2.8630         17.9562          0.3155        -58.0992          0.5640        0.934637        2.863023
     1517.57723      1517.56304         -2.2522          2.6839         18.1753         99.9000        -51.9607          0.5640       -9.257259        2.683917
     1517.59807      1517.58387         -6.6033          2.5960         18.2114         99.9000        -37.2169          0.7801      -11.335690        2.596022
     1517.61890      1517.60471        -13.6454          2.5409         18.2347         99.9000        -35.7813          0.9346        0.433409        2.540860
     1517.63973      1517.62554        -12.9775          2.4461         18.2760         99.9000        -39.4898          0.9346       -5.870509        2.446093
     1517.66057      1517.64637        -13.4723          2.3296         18.3290         99.9000        -34.4811          0.9346       -2.325438        2.329584
     1517.68140      1517.66721        -12.4112          2.2152         18.3837         99.9000        -30.3430          0.9540       -7.585289        2.215209
     1517.70223      1517.68804        -15.5618          2.1492         18.4165         99.9000        -29.5287          0.9346       -1.456348        2.149178
     1517.72307      1517.70887         -7.5891          2.0552         18.4650         99.9000         13.5101          0.9346       -8.314818        2.055237
