# reference_flux:        280.1507
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1517.36883      1517.35471        234.9294          3.8188         14.5127          0.0176        149.4501         -0.0431        2.513960        3.818835
     1517.38966      1517.37554        252.4012          3.2579         14.4348          0.0140         94.0676         -0.0431       -2.828068        3.257903
     1517.41050      1517.39637        257.6494          2.9846         14.4124          0.0126         78.0896          0.2345       -6.032064        2.984603
     1517.43133      1517.41721        258.3170          2.7401         14.4096          0.0115         76.6133          0.3136        1.441437        2.740063
     1517.45216      1517.43804        267.9974          2.4991         14.3697          0.0101         69.5744          0.3136        3.547427        2.499146
     1517.47300      1517.45887        267.0320          2.3042         14.3736          0.0094         49.7539          0.3136       -0.367895        2.304160
     1517.49383      1517.47971        269.5137          2.1912         14.3635          0.0088         47.2930          0.4503        0.735922        2.191225
     1517.51467      1517.50054        270.2719          1.9818         14.3605          0.0080         32.2351          0.4503        0.450251        1.981806
     1517.53550      1517.52137        271.0776          1.9405         14.3573          0.0078         26.8264          0.4503        0.807063        1.940512
     1517.55633      1517.54221        267.5245          1.8484         14.3716          0.0075         21.2548          0.3136       -0.279311        1.848367
     1517.57717      1517.56304        273.8511          1.7669         14.3462          0.0070         16.4895          0.2830       -0.606406        1.766903
     1517.59800      1517.58387        277.9351          1.6925         14.3301          0.0066         18.7821          0.2830        2.047224        1.692529
     1517.61884      1517.60471        271.5017          1.6380         14.3556          0.0066         16.2731          0.2830       -1.057261        1.638036
     1517.63967      1517.62554        273.7901          1.5845         14.3465          0.0063         12.3379          0.2345       -0.898177        1.584530
     1517.66050      1517.64637        274.6107          1.5210         14.3432          0.0060         12.6197          0.2345        0.882208        1.520960
     1517.68134      1517.66721        271.5386          1.4773         14.3554          0.0059         13.0817          0.2345        0.678567        1.477296
     1517.70217      1517.68804        275.1400          1.4869         14.3411          0.0059         17.8501         -0.0369        1.116717        1.486910
     1517.72300      1517.70887        273.2017          1.4341         14.3488          0.0057         14.1108         -0.0431       -1.885664        1.434121
     1517.74384      1517.72971        272.9145          1.3560         14.3499          0.0054          4.7101         -0.1305       -0.761172        1.355993
     1517.76467      1517.75054        275.8019          1.3334         14.3385          0.0052          4.1718         -0.1305        0.649365        1.333371
     1517.78551      1517.77137        274.7296          1.3230         14.3427          0.0052          7.6922         -0.1305       -1.711541        1.322992
     1517.80634      1517.79221        273.3588          1.2843         14.3482          0.0051          7.9831         -0.2793       -0.043130        1.284295
     1517.82717      1517.81304        275.3084          1.2438         14.3405          0.0049          8.3688         -0.1305       -1.281266        1.243811
     1517.84801      1517.83387        276.6784          1.2186         14.3351          0.0048          6.8742         -0.1305        0.814118        1.218620
     1517.86884      1517.85471        277.0162          1.1885         14.3337          0.0047          8.0531         -0.2793        1.357452        1.188534
     1517.88968      1517.87554        275.6351          1.1620         14.3392          0.0046          4.4996         -0.3679        0.234500        1.161960
     1517.91051      1517.89637        276.4580          1.1474         14.3359          0.0045          7.3845         -0.2793        0.313598        1.147394
     1517.93134      1517.91721        277.5509          1.1249         14.3316          0.0044          5.4315         -0.1305        0.282980        1.124892
     1517.95218      1517.93804        276.9777          1.1118         14.3339          0.0044          6.5741         -0.1305        0.917732        1.111792
     1517.97301      1517.95887        276.9966          1.1061         14.3338          0.0043          3.9767         -0.1305        1.864756        1.106057
     1517.99384      1517.97971        276.0400          1.0730         14.3376          0.0042          3.1621         -0.0431       -1.776785        1.073004
     1518.01468      1518.00054        277.0679          1.0750         14.3335          0.0042          6.6712         -0.0431        0.875101        1.074985
     1518.03551      1518.02137        276.8902          1.0674         14.3342          0.0042          7.6897         -0.0431       -1.982612        1.067439
     1518.05635      1518.04221        274.5915          1.0521         14.3433          0.0042          5.6193         -0.1305       -1.346652        1.052143
     1518.07718      1518.06304        275.8720          1.0377         14.3382          0.0041          5.1071         -0.1305       -1.502752        1.037703
     1518.09801      1518.08387        279.1872          1.0279         14.3253          0.0040          4.8122         -0.0431       -2.147782        1.027926
     1518.11885      1518.10471        274.2989          1.0153         14.3444          0.0040          5.0053         -0.0431       -0.487231        1.015298
     1518.13968      1518.12554        277.0177          0.9990         14.3337          0.0039          4.1889         -0.0431       -0.036919        0.999043
     1518.16052      1518.14637        276.0476          0.9867         14.3375          0.0039          3.7040         -0.0431       -1.466088        0.986695
     1518.18135      1518.16721        273.1317          0.9859         14.3491          0.0039          3.4166         -0.1116       -1.562062        0.985916
     1518.20218      1518.18804        278.6995          0.9681         14.3272          0.0038          1.2251         -0.1305       -0.130489        0.968067
     1518.22302      1518.20887        276.6600          0.9580         14.3351          0.0038          1.9910         -0.1305       -0.558383        0.957971
     1518.24385      1518.22971        276.6408          0.9539         14.3352          0.0037          1.1500         -0.1116       -1.605188        0.953885
     1518.26468      1518.25054        279.6052          0.9510         14.3236          0.0037          2.5234         -0.1116        0.809864        0.951024
     1518.28552      1518.27137        275.2439          0.9395         14.3407          0.0037          2.0865         -0.1305       -1.072950        0.939458
     1518.30635      1518.29221        276.6683          0.9366         14.3351          0.0037          1.3839         -0.1116        0.410137        0.936579
     1518.32719      1518.31304        276.0317          0.9279         14.3376          0.0036          1.2828         -0.1116       -1.155922        0.927870
     1518.34802      1518.33387        275.6285          0.9224         14.3392          0.0036          0.1564         -0.1116       -0.782591        0.922361
     1518.36885      1518.35471        274.3563          0.9170         14.3442          0.0036          1.9296         -0.1305       -1.754349        0.916982
     1518.38969      1518.37554        277.6895          0.9171         14.3311          0.0036          1.1219         -0.1305        0.453666        0.917122
     1518.41052      1518.39637        277.1933          0.9071         14.3330          0.0036          3.0144         -0.2214        1.087319        0.907129
     1518.43136      1518.41721        279.1883          0.9014         14.3253          0.0035          0.8590         -0.2214        0.264234        0.901358
     1518.45219      1518.43804        276.5241          0.9015         14.3357          0.0035          0.9788         -0.2214        0.544226        0.901535
     1518.47302      1518.45887        277.9853          0.8995         14.3299          0.0035          1.8205         -0.2765        0.376706        0.899454
     1518.49386      1518.47971        278.3336          0.8930         14.3286          0.0035          1.3754         -0.3173        1.256659        0.892980
     1518.51469      1518.50054        275.9405          0.8888         14.3380          0.0035          2.3192         -0.2765        0.367097        0.888778
     1518.53552      1518.52137        279.4089          0.8886         14.3244          0.0035          3.2015         -0.2765       -0.625793        0.888589
     1518.55636      1518.54221        279.4806          0.8904         14.3241          0.0035         -0.2498         -0.2214       -2.133212        0.890393
     1518.57719      1518.56304        278.4382          0.8888         14.3282          0.0035          0.5507         -0.2214        0.018981        0.888813
     1518.59803      1518.58387        281.5842          0.8885         14.3160          0.0034         -0.2907         -0.2214        0.042619        0.888529
     1518.61886      1518.60471        278.4930          0.8877         14.3280          0.0035          0.0770         -0.2214       -1.282274        0.887662
     1518.63969      1518.62554        277.6236          0.8903         14.3314          0.0035          0.1032         -0.2214       -0.111642        0.890275
     1518.66053      1518.64637        278.0616          0.8900         14.3296          0.0035          1.7916         -0.2765       -0.221416        0.889953
     1518.68136      1518.66721        276.9994          0.8894         14.3338          0.0035          2.9131         -0.2214       -1.218177        0.889380
