# reference_flux:         17.1792
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1544.39148      1544.37551         23.4043          1.3380         17.0168          0.0621         43.0910         -0.1900        3.663152        1.337995
     1544.41232      1544.39635         12.4512          1.3057         17.7020          0.1139         36.4001         -0.1900       -2.208532        1.305715
     1544.43315      1544.41718         19.6096          1.2754         17.2088          0.0706         32.3835         -0.1900        0.568131        1.275392
     1544.45398      1544.43801         19.1075          1.2451         17.2370          0.0708         29.6095         -0.1900        1.433675        1.245140
     1544.47482      1544.45885         16.4077          1.2239         17.4024          0.0810         28.3063         -0.1610       -0.762940        1.223945
     1544.49565      1544.47968         16.4387          1.2039         17.4003          0.0795         24.7194         -0.1610        0.021184        1.203911
     1544.51649      1544.50051         17.6384          1.1736         17.3239          0.0722         23.7017         -0.1610        0.495021        1.173609
     1544.53732      1544.52135         17.1700          1.1606         17.3531          0.0734         21.3890         -0.1610       -0.857791        1.160616
     1544.55815      1544.54218         16.8381          1.1489         17.3743          0.0741         18.2422         -0.1610       -0.161008        1.148861
     1544.57899      1544.56301         20.9655          1.1381         17.1362          0.0589         17.0532         -0.1610       -0.281914        1.138081
     1544.59982      1544.58385         18.8463          1.1229         17.2519          0.0647         16.0293         -0.1900       -0.698925        1.122908
     1544.62065      1544.60468         18.3421          1.1137         17.2814          0.0659         15.9371         -0.2819       -2.273818        1.113727
     1544.64149      1544.62551         18.5045          1.1028         17.2718          0.0647         13.4672         -0.2819       -1.455816        1.102838
     1544.66232      1544.64635         22.7105          1.1011         17.0494          0.0526         13.3741         -0.2819        1.445817        1.101135
     1544.68315      1544.66718         16.4929          1.0890         17.3968          0.0717         12.9142         -0.1900       -0.011438        1.088992
     1544.70399      1544.68801         18.7191          1.0796         17.2593          0.0626         10.2682         -0.1900       -0.099961        1.079612
     1544.72482      1544.70885         17.6636          1.0716         17.3223          0.0659         12.0423         -0.2819       -1.495459        1.071631
     1544.74565      1544.72968         20.0000          1.0622         17.1874          0.0577         11.4811         -0.2819        0.896192        1.062237
     1544.76649      1544.75051         16.9143          1.0568         17.3694          0.0678         10.9953         -0.2819       -0.189980        1.056794
     1544.78732      1544.77135         17.9335          1.0585         17.3058          0.0641          8.9446         -0.3997       -1.113446        1.058465
     1544.80816      1544.79218         14.1279          1.0627         17.5648          0.0817          8.9296         -0.3997       -1.785860        1.062711
     1544.82899      1544.81301         16.9925          1.0539         17.3644          0.0673         10.4142         -0.3997       -0.100474        1.053913
     1544.84982      1544.83385         16.2012          1.0435         17.4161          0.0699         10.6861         -0.4723       -0.865636        1.043511
     1544.87066      1544.85468         18.3495          1.0311         17.2809          0.0610          9.7788         -0.4723        0.458618        1.031104
     1544.89149      1544.87551         17.1111          1.0161         17.3568          0.0645          8.7386         -0.4723       -0.504199        1.016150
     1544.91232      1544.89635         18.1121          1.0116         17.2951          0.0606          9.3701         -0.4723        1.391817        1.011596
     1544.93316      1544.91718         19.4023          1.0038         17.2204          0.0562          8.2942         -0.4723        0.500444        1.003848
     1544.95399      1544.93801         19.9180          1.0128         17.1919          0.0552          6.8322         -0.4723        0.101618        1.012762
     1544.97482      1544.95885         17.9224          1.0049         17.3065          0.0609          8.5074         -0.4836       -0.399721        1.004883
     1544.99566      1544.97968         17.2837          0.9946         17.3459          0.0625          6.5358         -0.4836        0.170139        0.994588
     1545.01649      1545.00051         20.7013          0.9834         17.1500          0.0516          5.0173         -0.4836       -0.472289        0.983383
     1545.03733      1545.02135         18.8312          0.9711         17.2528          0.0560          3.3626         -0.5042        0.740230        0.971145
     1545.05816      1545.04218         17.8081          0.9734         17.3135          0.0593          3.3951         -0.4836       -1.178176        0.973377
     1545.07899      1545.06301         17.7746          0.9627         17.3155          0.0588          2.3544         -0.4836       -1.650779        0.962743
     1545.09983      1545.08385         15.6442          0.9560         17.4541          0.0664          1.9363         -0.5042       -1.784422        0.956040
     1545.12066      1545.10468         18.1236          0.9528         17.2944          0.0571          0.5388         -0.4836       -1.533009        0.952818
     1545.14149      1545.12551         18.9199          0.9451         17.2477          0.0542         -2.5484         -0.4836       -1.433948        0.945097
     1545.16233      1545.14635         16.7940          0.9349         17.3771          0.0604         -1.5974         -0.4723       -0.161458        0.934927
     1545.18316      1545.16718         17.1391          0.9263         17.3550          0.0587         -2.1682         -0.4836       -0.483599        0.926261
     1545.20399      1545.18801         19.4619          0.9287         17.2170          0.0518         -0.4808         -0.4836       -0.569766        0.928653
     1545.22483      1545.20885         18.2360          0.9411         17.2877          0.0560         -3.0525         -0.4836       -0.724581        0.941063
     1545.24566      1545.22968         19.7013          0.9328         17.2038          0.0514         -1.1063         -0.4723       -0.168123        0.932811
     1545.26649      1545.25051         15.5771          0.9279         17.4588          0.0647         -0.0800         -0.4723       -1.984419        0.927859
     1545.28733      1545.27135         16.3965          0.9142         17.4031          0.0605         -0.1163         -0.4723       -1.500847        0.914244
     1545.30816      1545.29218         18.5579          0.9033         17.2687          0.0528         -1.0609         -0.3997       -0.143896        0.903276
     1545.32900      1545.31301         18.6355          0.8885         17.2641          0.0518          1.1069         -0.3751       -0.893641        0.888524
     1545.34983      1545.33385         14.8058          0.8822         17.5139          0.0647          1.7881         -0.3751       -0.856073        0.882214
     1545.37066      1545.35468         19.7272          0.8705         17.2023          0.0479          0.0682         -0.3751        1.129501        0.870512
     1545.39150      1545.37551         18.1832          0.8636         17.2908          0.0516         -0.8956         -0.3997        0.014829        0.863555
