# reference_flux:        771.4162
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1569.45219      1569.43802        732.3485          4.4196         13.2782          0.0066        693.6991         15.8554      -12.512432        4.419602
     1569.47302      1569.45885        907.3575          4.1674         13.0456          0.0050        669.3945         21.6156       74.504993        4.167378
     1569.49385      1569.47969        797.7974          4.0058         13.1853          0.0055        664.5926         21.6156       32.527214        4.005755
     1569.51469      1569.50052        859.7555          4.0202         13.1041          0.0051        651.2166         21.6156       55.885378        4.020191
     1569.53552      1569.52135        850.3652          4.0398         13.1160          0.0052        688.0876         21.6156       25.518863        4.039830
     1569.55636      1569.54219        749.2479          3.6971         13.2534          0.0054        800.3419         21.6156       -9.139755        3.697068
     1569.57719      1569.56302        813.7280          5.3401         13.1638          0.0071       1394.7238         21.6156      -83.903954        5.340078
     1569.66053      1569.64635        771.4162             nan         13.2218             nan          0.0000         15.8554       -0.000000             nan
     1569.76470      1569.75052       1693.6169          0.0047         12.3680          0.0000      18442.0159         14.9286      654.902599        0.004657
     1569.78553      1569.77135        741.8306             nan         13.2642             nan         -0.0000         12.5752       -0.334559             nan
     1569.80636      1569.79219        778.2886             nan         13.2121             nan          0.0000         12.4916        5.606645             nan
     1570.09804      1570.08385        817.9067          2.8997         13.1582          0.0038         28.8929         12.4916       -3.594532        2.899732
     1570.11887      1570.10469        828.8003          3.7658         13.1439          0.0049        121.2184         10.8127       24.376622        3.765837
     1570.13971      1570.12552        898.8519          4.1908         13.0558          0.0051        141.0398         12.4916       21.615587        4.190845
     1570.16054      1570.14635        929.0523          4.5968         13.0199          0.0054         26.5242         12.5752       23.318621        4.596825
     1570.18138      1570.16719        893.1564          4.9837         13.0627          0.0061        151.6679         12.5752       43.591309        4.983686
     1570.20221      1570.18802        940.7900          6.1960         13.0063          0.0072        415.2442         12.4916       55.641077        6.196022
     1570.22305      1570.20885        934.7268          7.7252         13.0133          0.0090        174.5452         12.4916       64.855993        7.725191
     1570.24388      1570.22969        838.1969          6.1629         13.1316          0.0080        746.0236         12.4916       15.855392        6.162869
     1570.26471      1570.25052       1014.4855          6.6778         12.9244          0.0071        906.6535         12.4916       33.555244        6.677837
     1570.28555      1570.27135        967.3226          6.0854         12.9761          0.0068        650.8679         10.8127      -55.765836        6.085388
     1570.30638      1570.29219        865.8690          5.8592         13.0964          0.0073        888.2426         10.1749      -45.309180        5.859172
     1570.32721      1570.31302       1158.2021          5.9016         12.7805          0.0055        997.0344         10.1749     -105.690333        5.901569
     1570.34805      1570.33385        881.4296          4.2390         13.0770          0.0052        411.1805         10.1749      -22.865250        4.238952
     1570.36888      1570.35469       1287.2187          5.5241         12.6659          0.0047        728.8812         10.1749      117.645666        5.524108
     1570.38972      1570.37552        768.2964          3.8458         13.2262          0.0054        407.6096         10.1749      -21.103215        3.845842
     1570.41055      1570.39635        969.2058          3.8257         12.9740          0.0043        410.6203          7.6583      -24.379255        3.825672
     1570.43139      1570.41719        965.0344          3.9824         12.9786          0.0045        458.0564          6.9705       12.575211        3.982419
     1570.45222      1570.43802        960.1294          4.0376         12.9842          0.0046        500.8783          5.6066       88.564997        4.037619
     1570.47305      1570.45885        787.8339          2.9084         13.1989          0.0040        286.4016          3.9873       14.928592        2.908369
     1570.49389      1570.47969        763.2357          2.8399         13.2334          0.0040        306.8925          3.9873        3.987317        2.839869
     1570.51472      1570.50052        749.3945          2.9030         13.2532          0.0042        287.4302          5.6066      -12.680799        2.902992
     1570.53556      1570.52135        761.8062          2.7790         13.2354          0.0040        201.5204          6.9705       12.491584        2.778991
     1570.55639      1570.54219        780.7125          2.7605         13.2088          0.0038        240.3939          5.6066       -3.607671        2.760504
     1570.57722      1570.56302        775.3367          2.8004         13.2163          0.0039        249.5950          5.6066       24.283165        2.800446
     1570.59806      1570.58385        774.9747          2.7028         13.2168          0.0038        178.3838          5.1615       10.812737        2.702822
     1570.61889      1570.60469        830.2463          2.6218         13.1420          0.0034        179.3444          5.1615       40.289656        2.621806
     1570.63973      1570.62552        803.3583          2.5359         13.1777          0.0034        162.8047          3.9873       14.687099        2.535921
     1570.66056      1570.64635        795.4198          2.4861         13.1885          0.0034        163.4575          3.7945       10.174923        2.486107
     1570.68139      1570.66719        832.9102          2.4664         13.1385          0.0032        177.8079          3.7945        7.658301        2.466426
     1570.70223      1570.68802        781.4432          2.4035         13.2078          0.0033        159.5399          3.7945       -4.835540        2.403549
     1570.72306      1570.70885        805.0733          2.4323         13.1754          0.0033        175.3568          2.3932      -10.424097        2.432289
     1570.74390      1570.72969        775.0789          2.3685         13.2166          0.0033        134.9448          2.3932        3.794484        2.368487
     1570.76473      1570.75052        759.2776          2.4015         13.2390          0.0034        126.4702          2.3932      -37.030380        2.401509
     1570.78556      1570.77135        718.4024          2.3692         13.2991          0.0036        119.3594          2.1715        6.970530        2.369163
     1570.80640      1570.79219        800.9626          2.3638         13.1810          0.0032        124.5791          2.3932       20.179764        2.363818
     1570.82723      1570.81302        734.8194          2.3182         13.2745          0.0034        109.5941          3.7945       11.167009        2.318234
     1570.84807      1570.83385        772.2414          2.3083         13.2206          0.0032         92.2817          3.7945        2.393171        2.308285
     1570.86890      1570.85469        777.7465          2.3340         13.2129          0.0033        102.5910          3.9873      -15.509478        2.333999
     1570.88973      1570.87552        824.0412          2.3585         13.1501          0.0031        105.7989          3.9873       -7.392396        2.358494
     1570.91057      1570.89635        770.8584          2.3057         13.2226          0.0032         98.3974          3.9873       -9.633598        2.305699
     1570.93140      1570.91719        766.0418          2.2854         13.2294          0.0032         84.9697          3.9873       -8.117032        2.285401
     1570.95224      1570.93802        781.6334          2.3926         13.2075          0.0033         83.9244          3.9873      -34.373106        2.392641
     1570.97307      1570.95885        784.0058          2.3710         13.2042          0.0033         87.5769          3.7945        0.838355        2.370953
     1570.99390      1570.97969        877.9825          2.3657         13.0813          0.0029         85.1500          3.3939       25.049839        2.365748
     1571.01474      1571.00052        819.9399          2.1587         13.1555          0.0029         68.0007          3.3939       34.234621        2.158706
     1571.03557      1571.02135        808.4242          2.1809         13.1709          0.0029         69.4933          3.7945        5.161526        2.180915
