# reference_flux:        341.5512
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1569.45253      1569.43802        214.9930          4.2985         14.6089          0.0217      -1420.9159        -89.9844      -59.035183        4.298537
     1569.47336      1569.45885        232.3485          4.5165         14.5247          0.0211      -1524.5026        -89.9844      -58.968263        4.516512
     1569.49419      1569.47969        196.3319          4.7579         14.7075          0.0263      -1595.6107        -89.9844      -64.995294        4.757882
     1569.51503      1569.50052        223.4324          5.0920         14.5671          0.0247      -1693.5142        -89.9844      -69.821657        5.092039
     1569.53586      1569.52135        392.7812          6.5246         13.9546          0.0180      -1746.7508        -89.5484      -24.681315        6.524553
     1569.55669      1569.54219        432.1087          9.3933         13.8510          0.0236      -1798.5324        -88.9139     -199.136337        9.393316
     1569.57753      1569.56302         10.1608         13.2039         16.4454         99.9000       1152.6618        -89.5484      -92.814712       13.203908
     1569.78587      1569.77135       1926.1044          0.0150         12.2283          0.0000       -172.0959        -89.5484     1489.198796        0.015015
     1569.80670      1569.79219        822.3037          0.0086         13.1524          0.0000        -15.8109        -89.5484      514.609603        0.008570
     1570.07755      1570.06302        216.5640         12.4792         14.6010          0.0626       -393.0190        -89.5484     -136.630964       12.479214
     1570.09838      1570.08385        511.3597         11.0560         13.6682          0.0235      -2640.4299        -88.9139      191.678738       11.055965
     1570.11921      1570.10469        383.6748          9.6815         13.9801          0.0274      -1901.9543        -88.1996       59.008339        9.681496
     1570.14005      1570.12552        219.8016          9.2269         14.5849          0.0456       -522.7000        -87.0641      -89.984405        9.226948
     1570.16088      1570.14635        192.5912          8.0415         14.7284          0.0453         91.4131        -88.1996     -114.313431        8.041476
     1570.18172      1570.16719        183.4361          8.4401         14.7813          0.0500       -162.2412        -88.1996     -122.550299        8.440061
     1570.20255      1570.18802        323.9310          7.4820         14.1639          0.0251       -757.8754        -87.0641      -13.458923        7.482008
     1570.22338      1570.20885        158.9923          6.1111         14.9366          0.0417       -451.1464        -87.0641     -166.203000        6.111098
     1570.24422      1570.22969        266.5107          4.0349         14.3757          0.0164      -1141.1067        -87.0641      -87.064108        4.034900
     1570.26505      1570.25052        270.7927          2.7138         14.3584          0.0109       -684.2591        -85.9242      -81.634878        2.713768
     1570.28589      1570.27135        258.0752          2.4015         14.4106          0.0101       -474.9839        -84.1554     -100.052893        2.401530
     1570.30672      1570.29219        215.2661          2.4601         14.6076          0.0124       -530.9398        -84.1554     -110.617904        2.460067
     1570.32755      1570.31302        214.7802          2.3431         14.6100          0.0118       -505.2776        -84.1554     -111.204375        2.343112
     1570.34839      1570.33385        219.6580          2.2361         14.5856          0.0111       -589.1056        -84.1554     -106.251663        2.236133
     1570.36922      1570.35469        216.1821          2.1460         14.6030          0.0108       -549.7765        -84.1554     -110.089726        2.145973
     1570.39006      1570.37552        226.0085          2.0734         14.5547          0.0100       -525.0307        -84.1554      -97.545141        2.073440
     1570.41089      1570.39635        225.3941          2.0082         14.5576          0.0097       -496.3683        -84.1554      -98.516960        2.008165
     1570.43172      1570.41719        234.6932          1.9583         14.5137          0.0091       -486.0902        -84.1554      -93.909670        1.958325
     1570.45256      1570.43802        232.7460          1.9119         14.5228          0.0089       -473.4583        -84.1554      -89.548379        1.911903
     1570.47339      1570.45885        233.7617          1.8955         14.5181          0.0088       -522.1017        -84.1554      -88.913949        1.895457
     1570.49423      1570.47969        236.9807          1.8684         14.5032          0.0086       -512.6984        -84.1554      -90.153804        1.868417
     1570.51506      1570.50052        243.6553          1.8380         14.4731          0.0082       -504.0202        -84.0643      -85.924208        1.838020
     1570.53590      1570.52135        236.5486          1.8095         14.5052          0.0083       -490.7428        -82.4566      -90.130797        1.809502
     1570.55673      1570.54219        236.9190          1.7806         14.5035          0.0082       -475.9245        -82.4566      -88.199618        1.780628
     1570.57756      1570.56302        259.7654          1.7165         14.4035          0.0072       -385.9820        -82.4566      -77.213797        1.716538
     1570.59840      1570.58385        253.4532          1.6938         14.4303          0.0073       -380.0399        -82.4026      -78.083766        1.693811
     1570.61923      1570.60469        258.9260          1.6858         14.4071          0.0071       -320.8205        -82.4026      -80.042433        1.685798
     1570.64007      1570.62552        234.8313          1.8331         14.5131          0.0085       -359.2270        -82.4026     -104.891258        1.833094
     1570.66090      1570.64635        266.7683          1.6204         14.3747          0.0066       -364.3665        -81.6349      -74.698831        1.620402
     1570.68173      1570.66719        247.8490          1.7733         14.4545          0.0078       -348.5516        -80.0424      -84.155430        1.773253
     1570.70257      1570.68802        246.6754          1.7389         14.4597          0.0077       -332.8132        -78.4598      -82.456606        1.738928
     1570.72340      1570.70885        255.5443          1.6485         14.4213          0.0070       -299.9583        -78.4598      -82.402568        1.648483
     1570.74424      1570.72969        256.0945          1.6143         14.4190          0.0068       -322.9150        -78.0838      -84.064267        1.614261
     1570.76507      1570.75052        260.1822          1.5835         14.4018          0.0066       -269.0220        -77.2138      -76.815890        1.583535
     1570.78590      1570.77135        259.8827          1.5530         14.4031          0.0065       -241.7548        -76.8159      -76.652610        1.552957
     1570.80674      1570.79219        268.8870          1.5298         14.3661          0.0062       -239.4564        -76.6526      -69.809511        1.529824
     1570.82757      1570.81302        268.8536          1.5078         14.3662          0.0061       -231.7938        -74.6988      -69.596419        1.507768
     1570.84841      1570.83385        265.0590          1.6882         14.3816          0.0069       -329.6184        -72.5108      -72.510784        1.688190
     1570.86924      1570.85469        260.1041          1.6690         14.4021          0.0070       -314.6930        -70.9000      -78.459826        1.668964
     1570.89007      1570.87552        266.0397          1.6511         14.3776          0.0067       -301.0068        -70.0010      -70.900029        1.651101
     1570.91091      1570.89635        270.6057          1.6344         14.3592          0.0066       -296.4138        -69.8095      -67.030908        1.634354
     1570.93174      1570.91719        260.3169          1.6131         14.4012          0.0067       -282.8179        -69.5964      -70.000984        1.613110
     1570.95258      1570.93802        272.8941          1.5921         14.3500          0.0063       -280.1471        -67.0309      -63.373931        1.592061
     1570.97341      1570.95885        264.0445          1.6118         14.3858          0.0066       -366.0411        -66.8399      -65.544327        1.611803
     1570.99425      1570.97969        267.3383          1.5891         14.3723          0.0065       -338.9857        -66.7049      -66.704898        1.589050
     1571.01508      1571.00052        265.7462          1.5657         14.3788          0.0064       -319.6143        -65.5443      -66.839875        1.565719
     1571.03591      1571.02135        281.9691          1.5388         14.3145          0.0059       -312.1930        -63.3739      -53.655943        1.538800
     1571.05675      1571.04219        277.8254          1.5181         14.3306          0.0059       -334.0428        -60.1234      -60.123373        1.518115
     1571.07758      1571.06302        280.5332          1.4951         14.3200          0.0058       -274.3042        -53.6559      -51.359324        1.495100
     1571.09841      1571.08385        282.8869          1.4681         14.3110          0.0056       -262.2560        -51.3593      -49.267110        1.468111
     1571.11925      1571.10469        298.4397          1.4175         14.2529          0.0052       -194.5461        -49.2671      -39.511008        1.417477
     1571.14008      1571.12552        288.9356          1.4317         14.2880          0.0054       -274.7450        -47.8927      -47.892691        1.431746
     1571.16092      1571.14635        297.7744          1.3693         14.2553          0.0050       -192.7488        -41.0463      -41.046283        1.369290
     1571.18175      1571.16719        305.1447          1.3540         14.2287          0.0048       -189.2486        -39.5110      -34.109946        1.353979
     1571.20259      1571.18802        300.5712          1.3417         14.2451          0.0048       -178.6925        -34.1099      -33.124305        1.341714
     1571.22342      1571.20885        311.1010          1.3296         14.2077          0.0046       -178.0669        -33.1243      -28.616925        1.329642
     1571.24425      1571.22969        318.7548          1.3189         14.1814          0.0045       -176.9605        -31.7614      -26.300231        1.318901
     1571.26509      1571.25052        320.2581          1.2336         14.1762          0.0042        -95.2074        -28.6169      -24.187288        1.233575
     1571.28592      1571.27135        318.5305          1.2209         14.1821          0.0042        -95.5437        -27.5340      -31.761413        1.220889
     1571.30676      1571.29219        320.8789          1.2080         14.1741          0.0041        -86.2327        -26.3002      -27.533991        1.208012
     1571.32759      1571.31302        326.1340          1.1912         14.1565          0.0040        -58.0470        -24.1873      -20.801467        1.191204
     1571.34842      1571.33385        325.0584          1.1799         14.1601          0.0039        -75.5742        -21.6409      -21.640944        1.179942
     1571.36926      1571.35469        328.3601          1.1653         14.1491          0.0039        -73.7391        -20.8015      -16.725505        1.165290
     1571.39009      1571.37552        334.8645          1.1987         14.1278          0.0039        -78.2013        -17.7788      -17.778811        1.198670
     1571.41093      1571.39635        339.8080          1.1890         14.1119          0.0038        -77.6811        -16.7255       -9.558160        1.189038
     1571.43176      1571.41719        340.0449          1.1757         14.1112          0.0038        -72.8549        -15.3175      -14.529975        1.175675
     1571.45259      1571.43802        338.4008          1.1673         14.1164          0.0037        -68.6546        -15.1429      -12.707503        1.167293
     1571.47343      1571.45885        341.5487          1.1609         14.1064          0.0037        -68.5453        -14.5300      -11.377210        1.160893
     1571.49426      1571.47969        335.7894          1.1582         14.1248          0.0037        -64.9526        -14.1069      -10.673847        1.158199
     1571.51510      1571.50052        338.8510          1.1572         14.1150          0.0037        -68.0690        -13.2935      -14.106943        1.157238
     1571.53593      1571.52135        335.4261          1.1554         14.1260          0.0037        -64.5528        -13.2380      -15.317479        1.155422
     1571.55677      1571.54219        340.1874          1.1524         14.1107          0.0037        -63.9522        -13.1184      -12.100674        1.152387
     1571.57760      1571.56302        337.5359          1.1478         14.1192          0.0037        -65.9228        -12.7075      -15.142934        1.147764
     1571.59843      1571.58385        340.5719          1.1462         14.1095          0.0037        -64.2244        -12.6288      -12.174915        1.146169
     1571.61927      1571.60468        341.2569          1.1449         14.1073          0.0036        -62.0952        -12.4824       -9.018400        1.144869
     1571.64010      1571.62552        336.2788          1.1381         14.1233          0.0037        -58.9890        -12.1749      -12.628835        1.138137
     1571.66094      1571.64635        335.6420          1.1359         14.1253          0.0037        -56.2474        -12.1007      -11.102535        1.135904
     1571.68177      1571.66718        337.2510          1.1354         14.1201          0.0037        -59.9090        -12.0984      -13.293496        1.135429
     1571.70260      1571.68802        337.9798          1.1300         14.1178          0.0036        -57.2113        -11.6066      -10.782635        1.130009
     1571.72344      1571.70885        336.8289          1.1209         14.1215          0.0036        -44.7383        -11.3772      -12.482398        1.120861
     1571.74427      1571.72968        334.2653          1.1171         14.1298          0.0036        -51.8367        -11.1689      -13.118385        1.117141
     1571.76511      1571.75052        335.3815          1.1106         14.1262          0.0036        -42.3545        -11.1244      -13.237981        1.110634
     1571.78594      1571.77135        332.4136          1.1013         14.1358          0.0036        -36.4100        -11.1025      -11.168880        1.101300
     1571.80677      1571.79218        336.6742          1.1014         14.1220          0.0036        -34.3758        -10.8001      -11.606569        1.101370
     1571.82761      1571.81302        335.3742          1.0990         14.1262          0.0036        -34.0590        -10.7864       -9.485682        1.099006
     1571.84844      1571.83385        340.0586          1.0956         14.1111          0.0035        -34.0074        -10.7826       -7.195833        1.095640
     1571.86928      1571.85468        342.6761          1.0978         14.1028          0.0035        -44.4402        -10.6745      -10.046805        1.097845
     1571.89011      1571.87552        335.9337          1.0963         14.1244          0.0035        -35.8591        -10.6738      -11.124446        1.096296
     1571.91094      1571.89635        342.0690          1.0861         14.1047          0.0034        -35.4308        -10.1330       -6.954411        1.086135
     1571.93178      1571.91718        337.6532          1.0919         14.1188          0.0035        -57.8508        -10.1330      -10.674547        1.091915
     1571.95261      1571.93802        333.2774          1.0906         14.1330          0.0036        -37.8038        -10.0468      -12.098391        1.090563
     1571.97345      1571.95885        341.2756          1.0874         14.1072          0.0035        -39.3436         -9.8750       -8.831116        1.087362
     1571.99428      1571.97968        338.9696          1.0860         14.1146          0.0035        -54.9547         -9.8311       -8.510276        1.086022
     1572.01512      1572.00052        338.8634          1.0862         14.1149          0.0035        -35.0117         -9.5549      -10.133005        1.086250
     1572.03595      1572.02135        339.5294          1.0800         14.1128          0.0035        -49.3635         -9.5385       -9.538457        1.079954
     1572.05678      1572.04218        339.5663          1.0764         14.1127          0.0034        -49.3109         -9.4857       -9.875009        1.076390
     1572.07762      1572.06302        335.2644          1.0760         14.1265          0.0035        -57.4005         -9.3812       -9.831066        1.075996
     1572.09845      1572.08385        338.7336          1.0750         14.1154          0.0034        -31.7886         -9.2080       -8.721154        1.075021
     1572.11928      1572.10468        339.2875          1.0682         14.1136          0.0034        -40.8984         -9.1931       -7.595352        1.068159
     1572.14012      1572.12552        341.5894          1.0636         14.1062          0.0034        -40.5937         -9.1931       -6.043470        1.063626
     1572.16095      1572.14635        341.3478          1.0650         14.1070          0.0034        -41.5397         -8.8958       -7.675092        1.065003
     1572.18179      1572.16718        343.1053          1.0661         14.1014          0.0034        -25.6719         -8.8311       -7.555156        1.066121
     1572.20262      1572.18802        335.3499          1.0725         14.1263          0.0035        -34.4260         -8.7212      -10.786370        1.072452
     1572.22346      1572.20885        339.2784          1.0756         14.1136          0.0034        -34.4594         -8.6414       -8.895759        1.075614
     1572.24429      1572.22968        338.8348          1.0771         14.1150          0.0035        -32.4240         -8.5783      -10.800083        1.077074
     1572.26512      1572.25052        338.6735          1.0741         14.1155          0.0034        -22.3118         -8.5148       -9.381202        1.074107
     1572.28596      1572.27135        334.9054          1.0718         14.1277          0.0035        -40.5217         -8.5103       -9.554893        1.071799
     1572.30679      1572.29218        342.5343          1.0676         14.1032          0.0034        -39.3071         -8.4541       -8.578280        1.067591
     1572.32763      1572.31302        334.8364          1.0668         14.1279          0.0035        -36.0867         -8.4143       -9.207990        1.066816
     1572.34846      1572.33385        338.2446          1.0654         14.1169          0.0034        -35.0717         -8.1755       -9.193129        1.065411
     1572.36929      1572.35468        335.5252          1.0624         14.1257          0.0034        -33.0135         -8.1755       -8.514765        1.062421
     1572.39013      1572.37552        335.5399          1.0602         14.1256          0.0034        -32.0565         -7.8233       -6.093297        1.060226
     1572.41096      1572.39635        334.7487          1.0584         14.1282          0.0034        -32.1689         -7.7726       -8.414318        1.058409
     1572.43180      1572.41718        333.8015          1.0581         14.1313          0.0034        -29.3205         -7.7726       -8.454111        1.058096
     1572.45263      1572.43802        331.6479          1.0553         14.1383          0.0035        -21.1273         -7.6751       -8.641433        1.055268
     1572.47346      1572.45885        336.8262          1.0532         14.1215          0.0034        -23.4511         -7.5954       -5.530208        1.053181
     1572.49430      1572.47968        336.4402          1.0509         14.1227          0.0034        -20.2417         -7.5552       -7.238811        1.050874
     1572.51513      1572.50052        331.1176          1.0490         14.1400          0.0034        -24.7622         -7.3401       -8.175538        1.049019
     1572.53597      1572.52135        335.6113          1.0506         14.1254          0.0034        -23.6603         -7.2388       -7.823319        1.050635
     1572.55680      1572.54218        334.9730          1.0507         14.1275          0.0034        -21.7663         -6.0933       -7.772607        1.050702
     1572.57763      1572.56302        338.5993          1.0475         14.1158          0.0034        -23.3878         -6.0435       -3.418268        1.047499
     1572.59847      1572.58385        336.8345          1.0458         14.1215          0.0034        -21.8210         -5.8657       -4.878146        1.045840
     1572.64014      1572.62552        337.1660          1.0459         14.1204          0.0034        -20.7701         -5.8364       -5.100434        1.045926
     1572.66097      1572.64635        334.6023          1.0458         14.1287          0.0034        -18.2658         -5.5302       -5.865700        1.045821
     1572.68181      1572.66718        338.2598          1.0472         14.1169          0.0034        -17.1410         -5.3095       -3.823314        1.047166
     1572.70264      1572.68802        341.1007          1.0463         14.1078          0.0033        -12.9698         -5.1004       -4.084676        1.046291
     1572.72347      1572.70885        336.9668          1.0429         14.1210          0.0034        -15.6164         -4.9617       -4.695923        1.042862
     1572.74431      1572.72968        336.0628          1.0431         14.1239          0.0034        -17.5683         -4.8781       -7.340080        1.043086
     1572.76514      1572.75052        336.7285          1.0438         14.1218          0.0034        -15.8159         -4.8220       -4.142339        1.043765
     1572.78598      1572.77135        341.7052          1.0427         14.1059          0.0033        -14.0802         -4.7923       -4.316922        1.042674
     1572.80681      1572.79218        340.6168          1.0403         14.1093          0.0033        -13.4084         -4.6959       -3.885892        1.040298
     1572.82764      1572.81302        337.2125          1.0396         14.1202          0.0033        -12.7726         -4.5839       -3.048935        1.039597
     1572.84848      1572.83385        340.2292          1.0414         14.1106          0.0033        -15.1469         -4.3169       -4.961709        1.041446
     1572.86931      1572.85468        336.1509          1.0431         14.1237          0.0034        -11.8401         -4.2651       -4.583927        1.043059
     1572.89015      1572.87552        338.8290          1.0469         14.1150          0.0034         -9.3551         -4.1423       -5.836356        1.046870
     1572.91098      1572.89635        341.6171          1.0456         14.1062          0.0033        -14.0516         -4.1265       -1.606828        1.045645
     1572.93181      1572.91718        339.9071          1.0467         14.1116          0.0033         -9.8619         -4.0966       -4.822041        1.046735
     1572.95265      1572.93802        334.1082          1.0457         14.1303          0.0034        -10.0745         -4.0847       -4.792295        1.045731
     1572.97348      1572.95885        336.7829          1.0427         14.1216          0.0034         -9.7097         -3.8859       -4.265061        1.042677
     1572.99432      1572.97968        339.1971          1.0468         14.1139          0.0034        -10.2174         -3.8233       -2.515381        1.046778
     1573.01515      1573.00052        334.0935          1.0408         14.1303          0.0034        -10.3849         -3.5621       -5.309480        1.040780
     1573.03598      1573.02135        338.9800          1.0476         14.1146          0.0034         -6.4816         -3.4183       -3.562059        1.047624
     1573.05682      1573.04218        338.2962          1.0491         14.1168          0.0034         -6.7529         -3.4122       -3.412175        1.049082
     1573.07765      1573.06302        336.1612          1.0414         14.1236          0.0034         -7.8711         -3.3885       -3.388504        1.041383
     1573.09849      1573.08385        338.8478          1.0508         14.1150          0.0034         -7.0350         -3.3550       -2.357330        1.050782
     1573.11932      1573.10468        338.5156          1.0426         14.1161          0.0033         -6.7010         -3.0489       -1.557408        1.042552
     1573.14015      1573.12552        338.2461          1.0428         14.1169          0.0033         -3.7925         -2.8819       -1.218824        1.042789
     1573.16099      1573.14635        338.1783          1.0359         14.1171          0.0033         -4.5126         -2.5467       -1.743376        1.035938
     1573.18182      1573.16718        340.3339          1.0473         14.1102          0.0033         -1.3813         -2.5154       -1.522598        1.047279
     1573.20266      1573.18802        342.6515          1.0468         14.1029          0.0033         -4.0092         -2.4008       -2.546666        1.046763
     1573.22349      1573.20885        339.4321          1.0467         14.1131          0.0033         -3.4350         -2.3573       -2.251408        1.046733
     1573.24433      1573.22968        341.6527          1.0457         14.1060          0.0033         -2.8364         -2.2514       -2.881926        1.045685
     1573.26516      1573.25052        337.4599          1.0502         14.1194          0.0034         -1.8896         -1.8387       -4.126466        1.050234
     1573.28599      1573.27135        336.6515          1.0469         14.1220          0.0034         -2.4349         -1.7434       -4.096612        1.046890
     1573.30683      1573.29218        339.5298          1.0475         14.1128          0.0033         -2.1557         -1.6068       -3.354997        1.047457
     1573.32766      1573.31302        339.3746          1.0386         14.1133          0.0033         -1.9794         -1.5574       -1.838747        1.038579
     1573.34850      1573.33385        339.5433          1.0470         14.1128          0.0033         -2.6804         -1.5226        0.048335        1.047041
     1573.36933      1573.35468        341.0813          1.0449         14.1079          0.0033         -2.0584         -1.2748       -0.720300        1.044905
     1573.39016      1573.37552        338.9987          1.0418         14.1145          0.0033         -1.2724         -1.2188       -2.400803        1.041820
     1573.41100      1573.39635        341.4665          1.0337         14.1066          0.0033         -0.0169         -1.2188       -0.105346        1.033667
     1573.43183      1573.41718        337.3614          1.0390         14.1198          0.0033         -0.9577         -0.9417       -0.941694        1.038997
     1573.45267      1573.43802        342.6345          1.0364         14.1029          0.0033         -0.3708         -0.9417       -1.274788        1.036436
     1573.47350      1573.45885        343.9575          1.0309         14.0987          0.0033         -1.1240         -0.7768        2.147921        1.030918
     1573.49433      1573.47968        342.0033          1.0297         14.1049          0.0033         -0.8387         -0.7768       -0.240364        1.029687
     1573.51517      1573.50052        341.4039          1.0299         14.1068          0.0033          0.3110         -0.7768       -0.129186        1.029914
     1573.53600      1573.52135        341.3829          1.0300         14.1069          0.0033          0.4414         -0.7203       -0.329235        1.029977
     1573.55684      1573.54218        339.4047          1.0418         14.1132          0.0033          0.5552         -0.7052       -0.094308        1.041786
     1573.57767      1573.56302        340.5307          1.0397         14.1096          0.0033         -0.3584         -0.7003       -0.776840        1.039736
     1573.59850      1573.58385        342.9286          1.0369         14.1020          0.0033         -0.8128         -0.6552       -0.655157        1.036877
     1573.61934      1573.60468        342.5962          1.0296         14.1030          0.0033          0.5728         -0.6169        0.696405        1.029590
     1573.64017      1573.62552        345.4484          1.0264         14.0940          0.0032         -0.1316         -0.6169        1.852904        1.026444
     1573.66101      1573.64635        344.7433          1.0225         14.0963          0.0032         -0.5270         -0.6169        1.594592        1.022482
     1573.68184      1573.66718        345.1181          1.0265         14.0951          0.0032         -2.6028         -0.6169        0.907764        1.026454
     1573.70267      1573.68802        342.1456          1.0279         14.1045          0.0033         -1.9629         -0.5514        0.845883        1.027866
     1573.72351      1573.70885        344.3326          1.0415         14.0976          0.0033         -0.5731         -0.5514        0.781729        1.041469
     1573.74434      1573.72968        341.7362          1.0279         14.1058          0.0033          1.7439         -0.5514       -0.705180        1.027859
     1573.76518      1573.75052        342.9494          1.0425         14.1019          0.0033         -0.7510         -0.3884       -0.084455        1.042508
     1573.78601      1573.77135        342.0196          1.0399         14.1049          0.0033         -0.3056         -0.3884        0.539438        1.039927
     1573.80685      1573.79218        337.4342          1.0294         14.1195          0.0033         -0.2063         -0.3441       -0.700336        1.029411
     1573.82768      1573.81302        337.9291          1.0299         14.1179          0.0033          1.5368         -0.3441       -0.388389        1.029886
     1573.84851      1573.83385        342.5487          1.0308         14.1032          0.0033         -1.3258         -0.3292        0.477728        1.030834
     1573.86935      1573.85468        341.0147          1.0317         14.1081          0.0033         -0.8844         -0.3292       -0.015128        1.031741
     1573.89018      1573.87552        341.1331          1.0325         14.1077          0.0033          0.6697         -0.3292       -1.270314        1.032480
     1573.91101      1573.89635        340.9503          1.0326         14.1083          0.0033          1.9259         -0.2404        0.087501        1.032566
     1573.93185      1573.91718        338.1413          1.0310         14.1173          0.0033          1.6616         -0.3292       -1.503333        1.030974
     1573.95268      1573.93802        343.1589          1.0246         14.1013          0.0032          0.3184         -0.2404       -0.045299        1.024566
     1573.97352      1573.95885        341.1077          1.0292         14.1078          0.0033          0.5144         -0.2404       -1.114939        1.029204
     1573.99435      1573.97968        339.3075          1.0283         14.1135          0.0033          0.7031         -0.2404       -1.844714        1.028337
     1574.01519      1574.00052        340.2199          1.0191         14.1106          0.0033          1.1579         -0.3292       -0.616867        1.019129
     1574.03602      1574.02135        343.3769          1.0373         14.1006          0.0033         -1.0294         -0.3292        2.272767        1.037275
