# reference_flux:          1.9590
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1627.66233      1627.64631         -9.8368          2.3932         18.2998         99.9000        -63.0670        -13.3825       -3.015488        2.393167
     1627.68316      1627.66714         -8.6535          1.6564         18.6993         99.9000        -37.5820        -13.3825      -11.003445        1.656382
     1627.70400      1627.68798         -3.1732          2.2900         18.3476         99.9000        -62.8625        -13.3825       -2.695863        2.289978
     1627.72483      1627.70881         -5.4899          1.4045         18.8784         99.9000        -17.4033        -13.1617      -10.847817        1.404530
     1627.74566      1627.72964        -11.4061          1.6391         18.7107         99.9000        -40.1737        -13.1617      -13.533407        1.639054
     1627.76650      1627.75048        -12.6953          1.9034         18.5484         99.9000        -63.8781        -13.1617      -14.514502        1.903380
     1627.78733      1627.77131        -11.9183          1.7494         18.6400         99.9000        -50.4524        -13.0118      -13.700158        1.749398
     1627.80816      1627.79214         -6.1105          1.4912         18.8134         99.9000        -29.6028        -13.0118      -12.274862        1.491170
     1627.82900      1627.81298        -10.3046          1.4685         18.8300         99.9000        -21.3513        -13.0118      -13.569564        1.468463
     1627.84983      1627.83381         -9.8888          1.4295         18.8593         99.9000        -22.5811        -13.0118      -14.783630        1.429467
     1627.87067      1627.85464         -7.8566          1.4444         18.8480         99.9000        -24.3953        -12.2749      -16.136957        1.444361
     1627.89150      1627.87548         -6.3022          1.5960         18.7396         99.9000        -38.6851        -12.2749      -14.835640        1.595957
     1627.91233      1627.89631         -8.3880          1.6271         18.7187         99.9000        -39.2251        -12.2515      -13.382508        1.627059
     1627.93317      1627.91714         -9.7286          1.5909         18.7431         99.9000        -30.6246        -12.0749      -13.011813        1.590914
     1627.95400      1627.93798        -12.2477          1.5052         18.8032         99.9000        -25.6852        -11.0034      -14.855844        1.505208
     1627.97483      1627.95881         -7.2108          1.4568         18.8387         99.9000        -22.5523        -11.0034      -12.074865        1.456839
     1627.99567      1627.97964         -0.0247          2.1561         18.4130         99.9000        -53.2676        -10.8478       -6.099583        2.156058
     1628.01650      1628.00048        -15.1219          1.5859         18.7465         99.9000        -33.3765        -10.8478      -17.551050        1.585940
     1628.03734      1628.02131        -11.3159          1.6462         18.7060         99.9000        -40.6254        -10.5835      -15.737578        1.646224
     1628.05817      1628.04214         -9.0977          1.5779         18.7520         99.9000        -30.5309         -8.2080      -12.251545        1.577887
     1628.07900      1628.06298         -9.1824          1.6612         18.6961         99.9000        -39.4243         -6.4293      -13.161659        1.661236
     1628.09984      1628.08381        -14.2499          1.5211         18.7918         99.9000        -25.0341         -6.0996      -14.964898        1.521077
     1628.14150      1628.12548         -8.9252          2.1411         18.4206         99.9000        -49.2007         -6.0996       -1.710104        2.141096
     1628.16234      1628.14631         -1.3395          2.1301         18.4262         99.9000        -51.3017         -6.0230       -3.553488        2.130102
     1628.18317      1628.16714         -3.8362          2.0269         18.4801         99.9000        -43.2546         -6.0230       -3.057862        2.026929
     1628.20401      1628.18798        -13.0871          2.0851         18.4494         99.9000        -45.3284         -6.0230       -6.429329        2.085054
     1628.22484      1628.20881         -7.9919          2.0999         18.4417         99.9000        -42.7061         -4.7053       -2.732306        2.099871
     1628.24567      1628.22964        -10.0581          1.3559         18.9166         99.9000        -12.0535         -4.7053      -10.583479        1.355950
     1628.26651      1628.25048         -8.8109          2.0265         18.4803         99.9000        -45.0235         -4.4174       -8.208030        2.026490
     1628.28734      1628.27131        -12.1084          2.0443         18.4709         99.9000        -35.7931         -3.9789       -6.022993        2.044259
     1628.30817      1628.29214         -3.5808          2.0543         18.4656         99.9000        -41.8068         -3.7712       -3.978862        2.054262
     1628.32901      1628.31298         -8.7895          1.9849         18.5028         99.9000        -38.5683         -3.6845       -3.684464        1.984917
     1628.34984      1628.33381         -3.0083          1.9448         18.5250         99.9000        -33.6171         -3.6845       -3.771187        1.944833
     1628.37068      1628.35464         -2.3207          2.0497         18.4680         99.9000        -42.1306         -3.6845       -0.496563        2.049664
     1628.39151      1628.37548        -10.8027          2.0438         18.4711         99.9000        -37.9892         -3.6845       -4.417360        2.043827
     1628.41234      1628.39631         -4.9268          1.9120         18.5435         99.9000        -30.9403         -3.6132       -1.024281        1.911977
     1628.43318      1628.41714         -6.6941          1.9597         18.5167         99.9000        -30.9621         -3.5535       -3.445421        1.959744
     1628.45401      1628.43798         -6.6679          1.9819         18.5045         99.9000        -32.3852         -3.5535        1.420155        1.981864
     1628.47484      1628.45881         -6.0136          1.9381         18.5288         99.9000        -30.7690         -3.5535       -1.529314        1.938085
     1628.49568      1628.47964         -3.4711          1.9155         18.5415         99.9000        -31.0507         -3.5535        0.474973        1.915499
     1628.51651      1628.50048        -10.4318          1.9592         18.5170         99.9000        -30.8154         -3.5535        2.763201        1.959177
