# reference_flux:         20.9442
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1624.97151      1624.95882         18.6988          0.8911         17.2605          0.0517        -28.0036          7.3116       -0.000394        0.891103
     1624.99235      1624.97965         20.6109          0.9761         17.1548          0.0514        -47.4465          7.3116        2.673506        0.976081
     1625.01318      1625.00048         15.4513          1.1041         17.4676          0.0776        -72.3585          7.3116       -4.133530        1.104123
     1625.03401      1625.02132         21.0224          1.2156         17.1333          0.0628        -83.0661          7.3116       -1.452496        1.215643
     1625.05485      1625.04215         19.0726          1.3435         17.2390          0.0765       -107.5911          7.3116       -2.796412        1.343543
     1625.07568      1625.06298         22.0688          1.4385         17.0806          0.0708       -171.8767          7.3116        3.144769        1.438531
     1625.09652      1625.08382         22.2262          1.5346         17.0728          0.0750       -200.0311          7.3116        2.940209        1.534630
     1625.11735      1625.10465         21.3047          1.6295         17.1188          0.0830       -232.9523          7.3116        4.614398        1.629477
     1625.13818      1625.12548         18.3952          1.8865         17.2782          0.1113       -308.9255          7.5063       -0.436631        1.886498
     1625.15902      1625.14632         27.0386          1.9101         16.8600          0.0767       -322.5979          7.5063        6.727219        1.910079
     1625.17985      1625.16715         31.1520          2.0011         16.7063          0.0697       -382.5119          7.5063        9.600641        2.001121
     1625.20068      1625.18798         37.2022          2.0746         16.5136          0.0605       -406.2793          8.3473       16.586468        2.074632
     1625.22152      1625.20882         28.0978          2.1225         16.8183          0.0820       -419.3583          8.3473        8.347255        2.122465
     1625.24235      1625.22965         25.2387          2.1781         16.9348          0.0937       -453.3068          8.3473        4.379579        2.178064
     1625.26319      1625.25048         28.8660          2.2085         16.7890          0.0831       -472.0218          7.5063        7.506251        2.208542
     1625.28402      1625.27132         31.8003          2.3047         16.6839          0.0787       -503.8931          7.5063       13.263791        2.304747
     1625.30485      1625.29215         25.0964          2.3416         16.9410          0.1013       -516.2986          8.3473        7.311565        2.341581
     1625.32569      1625.31298         35.0510          2.4399         16.5782          0.0756       -573.0467          9.6006       16.442795        2.439933
     1625.34652      1625.33382         33.7914          2.5029         16.6180          0.0804       -600.9405         10.0161       12.639732        2.502933
     1625.36736      1625.35465         42.9580          2.5710         16.3574          0.0650       -623.8330         10.0161       25.632685        2.570986
     1625.38819      1625.37548         25.6570          2.6276         16.9170          0.1112       -639.5960         10.0161       16.088592        2.627585
     1625.40902      1625.39632         34.0469          2.6801         16.6098          0.0855       -663.9656         10.0161       19.591566        2.680127
     1625.42986      1625.41715         36.1303          2.7180         16.5453          0.0817       -686.7856         10.0161       15.265264        2.718047
     1625.45069      1625.43798         37.4442          2.7455         16.5065          0.0796       -691.1191         10.0161       20.686102        2.745536
     1625.47153      1625.45882         41.2920          2.7370         16.4003          0.0720       -684.7321         10.0161       24.814850        2.737023
