# reference_flux:        806.4743
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1683.36819      1683.35462        819.0196          1.6054         13.1568          0.0021         13.1120         -1.6422        0.194391        1.605393
     1683.38902      1683.37545        817.3390          1.6068         13.1590          0.0021         14.8469         -1.6422       -1.461632        1.606820
     1683.40985      1683.39629        814.8895          1.6069         13.1623          0.0021         16.3128         -1.6422       -4.871130        1.606860
     1683.43069      1683.41712        817.0794          1.6142         13.1593          0.0021         15.5031         -1.6422       -3.380622        1.614244
     1683.45152      1683.43795        811.6644          1.5952         13.1666          0.0021         13.0704         -1.6422       -2.129679        1.595235
     1683.47235      1683.45879        815.5492          1.6045         13.1614          0.0021          9.8629         -1.6422       -1.868107        1.604513
     1683.49319      1683.47962        808.8654          1.6041         13.1703          0.0022         12.6320         -1.6422       -3.605336        1.604067
     1683.51402      1683.50045        809.5207          1.5987         13.1694          0.0021          6.4385         -1.6422       -1.066726        1.598703
     1683.53486      1683.52129        809.5271          1.6045         13.1694          0.0022         10.8927         -1.8491        0.604797        1.604522
     1683.55569      1683.54212        814.1525          1.6110         13.1632          0.0021         11.1024         -1.8491       -0.218262        1.610984
     1683.57652      1683.56295        810.0803          1.5737         13.1687          0.0021          0.7025         -1.8491       -3.631752        1.573658
     1683.59736      1683.58379        815.9421          1.5996         13.1609          0.0021          8.8757         -1.6422       -1.900273        1.599566
     1683.61819      1683.60462        816.0349          1.5932         13.1607          0.0021          8.1783         -1.6422       -0.890606        1.593248
     1683.63902      1683.62545        814.2711          1.5688         13.1631          0.0021         -0.5441         -1.4616       -2.683300        1.568803
     1683.65986      1683.64629        823.6448          1.6244         13.1507          0.0021          8.3341         -1.4616       -0.218392        1.624446
     1683.68069      1683.66712        814.8920          1.6130         13.1622          0.0021         -0.0130         -1.4616       -1.642195        1.613031
     1683.70153      1683.68795        812.7804          1.5903         13.1651          0.0021         10.8929         -1.4616        0.257000        1.590306
     1683.72236      1683.70879        820.3867          1.5927         13.1550          0.0021          7.3977         -1.4616        0.582768        1.592702
     1683.74319      1683.72962        819.7548          1.6283         13.1558          0.0022         12.1048         -1.4122       -0.697834        1.628276
     1683.76403      1683.75045        819.1424          1.6293         13.1566          0.0022          7.9089         -1.1284        0.702860        1.629319
     1683.78486      1683.77129        813.0154          1.5716         13.1648          0.0021          3.5255         -1.0667       -1.849076        1.571636
     1683.80569      1683.79212        812.4435          1.5879         13.1655          0.0021          2.0232         -1.0039       -3.660155        1.587879
     1683.82653      1683.81295        808.1353          1.5946         13.1713          0.0021          3.2586         -0.9955       -2.809306        1.594562
     1683.84736      1683.83379        802.4072          1.6076         13.1790          0.0022          5.3971         -0.8906       -1.128400        1.607636
     1683.86819      1683.85462        805.5553          1.6188         13.1748          0.0022         13.5752         -0.8906       -1.412185        1.618780
     1683.88903      1683.87545        807.7668          1.6081         13.1718          0.0022          5.0432         -0.8906       -3.667862        1.608065
     1683.90986      1683.89629        811.3003          1.5907         13.1670          0.0021          5.3059         -0.7733       -4.648184        1.590675
     1683.93070      1683.91712        808.8431          1.5916         13.1703          0.0021          6.1035         -0.6978       -2.285006        1.591627
     1683.95153      1683.93795        807.2623          1.6046         13.1725          0.0022         11.4097         -0.4344       -3.878652        1.604589
     1683.97236      1683.95879        812.2261          1.6074         13.1658          0.0021          5.3833         -0.2184        1.056256        1.607406
     1683.99320      1683.97962        813.6335          1.6163         13.1639          0.0022          9.5136         -0.2183        1.195031        1.616254
     1684.01403      1684.00045        808.1546          1.6037         13.1713          0.0022          4.8920          0.2570       -3.144872        1.603689
     1684.03486      1684.02129        810.5780          1.6051         13.1680          0.0021          4.2956          0.2570       -0.773272        1.605090
     1684.05570      1684.04212        807.1935          1.5991         13.1726          0.0022          3.7315          0.2570       -0.995486        1.599143
     1684.07653      1684.06295        807.0555          1.5943         13.1727          0.0021          2.2646          0.5538       -1.003902        1.594260
     1684.09737      1684.08379        812.9388          1.5946         13.1649          0.0021          0.3528          0.5828        1.615092        1.594579
     1684.11820      1684.10462        810.3971          1.5877         13.1683          0.0021         -4.7230          0.5874       -0.434365        1.587692
     1684.13903      1684.12545        819.5063          1.5909         13.1561          0.0021         -8.9481          0.7029        1.418280        1.590947
     1684.15987      1684.14629        821.9432          1.6113         13.1529          0.0021         -5.5364          1.0563        4.770578        1.611312
     1684.18070      1684.16712        818.3715          1.6106         13.1576          0.0021         -8.4290          1.1026        2.239319        1.610591
     1684.20153      1684.18795        821.3941          1.6154         13.1536          0.0021         -8.9539          1.1026        3.762749        1.615365
     1684.22237      1684.20879        820.2750          1.6149         13.1551          0.0021         -7.6032          1.1118        2.780806        1.614855
     1684.24320      1684.22962        829.1561          1.6105         13.1434          0.0021         -8.7164          1.1950        3.858349        1.610478
     1684.26403      1684.25045        822.9644          1.5967         13.1515          0.0021         -3.7284          1.4183        3.847226        1.596718
     1684.28487      1684.27129        822.5261          1.6146         13.1521          0.0021         -5.4335          1.6151        1.111787        1.614561
     1684.30570      1684.29212        821.9108          1.6201         13.1529          0.0021         -2.3979          2.0801        5.595796        1.620101
     1684.32654      1684.31295        827.1063          1.6103         13.1461          0.0021         -2.3995          2.2393        4.963361        1.610250
     1684.34737      1684.33379        823.7813          1.6341         13.1505          0.0022         -5.1338          2.5922        5.879381        1.634087
     1684.36820      1684.35462        823.8768          1.6517         13.1503          0.0022         -5.4950          2.7199        4.861607        1.651728
     1684.38904      1684.37545        822.6683          1.6483         13.1519          0.0022         -6.4060          2.7808        5.283256        1.648327
     1684.40987      1684.39629        822.3059          1.6575         13.1524          0.0022         -8.9554          2.9389        2.719910        1.657458
     1684.43070      1684.41712        820.8860          1.6529         13.1543          0.0022        -14.6074          2.9683        5.272517        1.652936
     1684.45154      1684.43795        821.2312          1.6555         13.1538          0.0022        -20.7862          2.9683        5.559214        1.655526
     1684.47237      1684.45879        819.2168          1.6741         13.1565          0.0022        -19.8612          2.9683        2.592182        1.674099
     1684.49321      1684.47962        815.9133          1.6740         13.1609          0.0022        -12.9279          2.9683        3.392686        1.673981
     1684.51404      1684.50045        814.6921          1.6940         13.1625          0.0023        -15.8083          2.9683       -0.009374        1.693985
     1684.53487      1684.52129        809.4683          1.6980         13.1695          0.0023        -10.6903          3.0076        0.553835        1.698033
     1684.55571      1684.54212        816.5702          1.7162         13.1600          0.0023        -15.4149          3.0076        3.462018        1.716191
     1684.57654      1684.56295        813.0410          1.6970         13.1647          0.0023        -19.9576          3.0076        0.587410        1.697002
     1684.59737      1684.58379        816.1646          1.6991         13.1606          0.0023        -16.2532          3.0076        4.161180        1.699057
     1684.61821      1684.60462        819.4857          1.7102         13.1561          0.0023        -19.6180          3.2927        4.596431        1.710226
     1684.63904      1684.62545        818.1696          1.7170         13.1579          0.0023        -15.3741          3.2927        1.102616        1.717025
     1684.65988      1684.64629        828.1583          1.7204         13.1447          0.0023        -23.6545          3.3927        3.763688        1.720447
     1684.68071      1684.66712        822.8801          1.7334         13.1517          0.0023        -19.4982          3.3927       -0.359220        1.733366
     1684.70154      1684.68795        824.1389          1.7812         13.1500          0.0023        -22.4078          3.3927        2.968271        1.781214
     1684.72238      1684.70879        821.8519          1.7795         13.1530          0.0024        -27.5707          3.2927        3.007560        1.779537
     1684.74321      1684.72962        827.0326          1.7117         13.1462          0.0022        -26.8683          3.2927        3.807776        1.711660
     1684.76404      1684.75045        824.3583          1.7130         13.1497          0.0023        -22.4107          3.0076        2.938881        1.713040
     1684.78488      1684.77129        822.7320          1.7741         13.1519          0.0023        -27.9963          3.0076        2.080096        1.774068
     1684.80571      1684.79212        832.8827          1.7499         13.1385          0.0023        -24.5135          3.0076        6.977264        1.749904
     1684.82654      1684.81295        829.6192          1.7826         13.1428          0.0023        -23.7960          2.9683        6.512904        1.782644
     1684.84738      1684.83379        834.7231          1.8000         13.1361          0.0023        -23.3310          2.9683        3.495369        1.800003
     1684.86821      1684.85462        833.9594          1.8219         13.1371          0.0024        -15.8472          2.9389        6.319212        1.821938
     1684.88905      1684.87545        830.7242          1.8115         13.1414          0.0024          0.4827          2.8827        4.094777        1.811507
     1684.90988      1684.89629        837.0946          1.8053         13.1331          0.0023        -26.3323          2.7199        3.292716        1.805306
     1684.93071      1684.91712        831.7085          1.7973         13.1401          0.0023        -30.0104          2.5922        1.392864        1.797286
     1684.95155      1684.93795        834.0451          1.7967         13.1370          0.0023        -32.5445          2.4041        0.571485        1.796658
     1684.97238      1684.95879        831.9100          1.7969         13.1398          0.0023        -27.9846          2.3428        2.404051        1.796872
     1684.99321      1684.97962        833.1193          1.8087         13.1382          0.0024        -25.1559          2.0801       -0.082045        1.808658
     1685.01405      1685.00045        839.5134          1.8249         13.1299          0.0024        -25.9338          1.9612        3.495359        1.824899
     1685.03488      1685.02129        835.5549          1.8250         13.1351          0.0024        -21.1666          2.0801        0.752217        1.825035
     1685.05571      1685.04212        830.2594          1.7774         13.1420          0.0023        -29.1226          2.3007        1.943387        1.777437
     1685.07655      1685.06295        829.5895          1.8324         13.1428          0.0024        -26.7278          2.3007        1.961161        1.832417
     1685.09738      1685.08379        827.1866          1.8436         13.1460          0.0024        -24.4012          2.3007        3.479514        1.843614
