# reference_flux:     249243.7582
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1683.36541      1683.35462     249244.1062          0.7060          6.9484          0.0000         -0.6014          0.4106        0.218835        0.705967
     1683.38625      1683.37546     249243.2523          0.7086          6.9484          0.0000         -0.3712          0.4106        0.354028        0.708646
     1683.40708      1683.39629     249242.5362          0.7097          6.9484          0.0000          0.6746          0.4106       -0.310815        0.709747
     1683.42791      1683.41712     249243.4866          0.7047          6.9484          0.0000         -0.4792          0.4106        1.166019        0.704697
     1683.44875      1683.43796     249242.2868          0.7045          6.9484          0.0000         -0.7688          0.4106       -0.126326        0.704513
     1683.46958      1683.45879     249244.9839          0.7056          6.9484          0.0000         -0.8500          0.4106        0.823182        0.705585
     1683.49041      1683.47962     249244.4357          0.7089          6.9484          0.0000         -0.6221          0.3540        0.920897        0.708905
     1683.51125      1683.50046     249244.4507          0.7035          6.9484          0.0000          0.7425          0.3540       -0.459049        0.703503
     1683.53208      1683.52129     249242.0675          0.7088          6.9484          0.0000          1.3126          0.2188       -0.515910        0.708764
     1683.55291      1683.54212     249242.7958          0.7010          6.9484          0.0000          0.3911          0.3452       -0.786011        0.701005
     1683.57375      1683.56296     249246.2410          0.7053          6.9484          0.0000         -0.8980          0.3452        0.569425        0.705306
     1683.59458      1683.58379     249242.3411          0.7054          6.9484          0.0000          2.0913          0.3452       -0.553335        0.705418
     1683.61541      1683.60462     249243.3687          0.7025          6.9484          0.0000         -0.0007          0.2188        1.431444        0.702538
     1683.63624      1683.62546     249243.8453          0.7075          6.9484          0.0000          0.8770          0.2188        0.147446        0.707498
     1683.65708      1683.64629     249243.5740          0.7004          6.9484          0.0000          0.9296          0.2188        0.195765        0.700424
     1683.67791      1683.66712     249244.4952          0.7087          6.9484          0.0000          0.5001          0.3452       -0.099928        0.708724
     1683.69874      1683.68796     249244.0524          0.7072          6.9484          0.0000         -0.0821          0.3452        0.564756        0.707201
     1683.71958      1683.70879     249244.4572          0.7043          6.9484          0.0000         -0.1881          0.3540        1.109687        0.704263
     1683.74041      1683.72962     249243.9380          0.7096          6.9484          0.0000          0.7935          0.3540        0.518266        0.709574
     1683.76124      1683.75046     249243.1871          0.7046          6.9484          0.0000          1.9320          0.3540        0.468062        0.704578
     1683.78208      1683.77129     249244.6698          0.7132          6.9484          0.0000         -0.7106          0.3540        1.289345        0.713235
     1683.80291      1683.79212     249247.5520          0.7131          6.9484          0.0000         -0.6203          0.3540        1.344606        0.713138
     1683.82374      1683.81296     249245.1323          0.7067          6.9484          0.0000          1.4010          0.3540        0.410568        0.706696
     1683.84458      1683.83379     249244.1768          0.7142          6.9484          0.0000         -0.2027          0.4106        0.532634        0.714202
     1683.86541      1683.85462     249243.7714          0.7079          6.9484          0.0000         -0.9446          0.4473       -0.159253        0.707858
     1683.88624      1683.87546     249244.9402          0.7160          6.9484          0.0000          0.2141          0.4499        1.284775        0.716038
     1683.90708      1683.89629     249246.5933          0.7158          6.9484          0.0000         -0.2993          0.4681        1.965027        0.715762
     1683.92791      1683.91712     249242.4747          0.7089          6.9484          0.0000          0.9204          0.4814        0.481406        0.708914
     1683.94874      1683.93796     249246.0909          0.7062          6.9484          0.0000          0.8815          0.4814        1.714753        0.706220
     1683.96957      1683.95879     249243.9946          0.7078          6.9484          0.0000          1.2129          0.5183       -0.011536        0.707827
     1683.99041      1683.97962     249243.4260          0.7092          6.9484          0.0000          0.2370          0.5183       -0.126794        0.709242
     1684.01124      1684.00046     249242.8904          0.7123          6.9484          0.0000          0.9314          0.5183       -0.819790        0.712288
     1684.03207      1684.02129     249243.6009          0.7079          6.9484          0.0000          0.1398          0.5326        0.345231        0.707928
     1684.05291      1684.04212     249243.2312          0.7067          6.9484          0.0000          1.6044          0.5648        0.155156        0.706687
     1684.07374      1684.06296     249242.5033          0.7049          6.9484          0.0000          1.1195          0.5648        0.129601        0.704933
     1684.09457      1684.08379     249242.4647          0.7091          6.9484          0.0000          0.7172          0.5648       -0.535310        0.709120
     1684.11541      1684.10462     249242.7352          0.7102          6.9484          0.0000          0.4602          0.6016       -1.345232        0.710241
     1684.13624      1684.12546     249244.7628          0.7115          6.9484          0.0000          0.4174          0.6016        0.917753        0.711531
     1684.15707      1684.14629     249243.3394          0.7154          6.9484          0.0000          1.5400          0.6382        0.447265        0.715414
     1684.17791      1684.16712     249243.3109          0.7084          6.9484          0.0000          1.2202          0.7326       -0.536655        0.708424
     1684.19874      1684.18796     249244.7866          0.7146          6.9484          0.0000         -0.1696          0.8541        1.024659        0.714558
     1684.21957      1684.20879     249244.4892          0.7129          6.9484          0.0000          1.2404          0.8578        1.179895        0.712906
     1684.24041      1684.22962     249243.9331          0.7149          6.9484          0.0000          1.1870          0.8578        0.732592        0.714928
     1684.26124      1684.25046     249247.3939          0.7173          6.9484          0.0000          1.9962          0.8578        2.058197        0.717289
     1684.28207      1684.27129     249243.3992          0.7194          6.9484          0.0000          1.6517          0.8851        0.449884        0.719424
     1684.30290      1684.29212     249243.2583          0.7268          6.9484          0.0000         -0.2116          0.8851        0.001434        0.726843
     1684.32374      1684.31296     249244.8971          0.7241          6.9484          0.0000          0.6743          0.8851        1.454131        0.724128
     1684.34457      1684.33379     249242.8237          0.7218          6.9484          0.0000         -0.0226          0.9178        1.291467        0.721787
     1684.36540      1684.35462     249244.6695          0.7250          6.9484          0.0000         -0.7163          0.9903        1.126424        0.724967
     1684.38624      1684.37546     249244.0061          0.7331          6.9484          0.0000         -0.5409          0.9903        1.826638        0.733094
     1684.40707      1684.39629     249244.2776          0.7387          6.9484          0.0000         -1.1229          0.9903        0.885071        0.738740
     1684.42790      1684.41712     249242.0355          0.7370          6.9484          0.0000         -1.2373          0.9178        0.601560        0.736951
     1684.44874      1684.43796     249242.1146          0.7319          6.9484          0.0000          1.1518          0.9178        0.638182        0.731872
