         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1683.36451      1683.35462      -6224.1298        893.0358       1233.0813        -91.1166        826.2519        893.0358
     1683.38534      1683.37546      -6656.8896        888.2588         19.3369        -91.1166       -676.5129        888.2588
     1683.40617      1683.39629      -4535.3099        848.2921       -816.1681        -91.1166       -878.0237        848.2921
     1683.42701      1683.41712      -3167.0909        846.1836       1046.8187        -91.1166        652.1192        846.1836
     1683.44784      1683.43796      -3666.1166        838.4275       1042.9452        -91.1166        496.7218        838.4275
     1683.46867      1683.45879      -5138.2366        854.4188        430.9777        -91.1166         -0.4687        854.4188
     1683.48951      1683.47962      -6937.7673        872.3348        799.5637        -95.8122       -906.7173        872.3348
     1683.51034      1683.50046      -6593.9182        862.2211       -602.1307        -95.8122        668.6988        862.2211
     1683.53117      1683.52129      -4604.6143        856.4417       1555.3944        -95.8122        -91.1166        856.4417
     1683.55201      1683.54212      -4716.8723        870.2821        891.1545        -95.8122        387.7013        870.2821
     1683.57284      1683.56296      -7383.2900        849.5972       -482.4020        -91.1166       -307.4003        849.5972
     1683.59367      1683.58379      -3473.3352        868.6149       -900.4694        -91.1166         11.2836        868.6149
     1683.61450      1683.60462      -3336.3675        837.7154      -1086.9412        -91.1166       -608.5600        837.7154
     1683.63534      1683.62546      -6080.5153        819.2019       -301.2659        -91.1166       -691.8670        819.2019
     1683.65617      1683.64629      -3202.7996        829.3088        572.8840        -91.1166       -210.9614        829.3088
     1683.67700      1683.66712      -6169.5633        810.8029        413.7987        -95.8122        -95.8122        810.8029
     1683.69784      1683.68796      -6284.6686        839.9660       2383.1795        -95.8122        282.8791        839.9660
     1683.71867      1683.70879      -4084.5411        866.1652         56.7300        -99.9139        259.4723        866.1652
     1683.73950      1683.72962      -6041.3779        860.5877       1288.1957        -95.8122        -33.1319        860.5877
     1683.76034      1683.75046      -5692.2470        865.5209        903.4060        -99.9139       -152.0786        865.5209
     1683.78117      1683.77129      -3681.4523        846.6687        747.7934        -99.9139        -43.1062        846.6687
     1683.80200      1683.79212      -6771.2535        863.4140        720.1001       -147.8565       -768.5157        863.4140
     1683.82283      1683.81296      -3943.5681        862.3016        200.9193       -147.8565       -538.4783        862.3016
     1683.84367      1683.83379      -7284.7320        852.9308        434.3202       -147.8565        109.2289        852.9308
     1683.86450      1683.85462      -2556.1604        839.1529        321.4850       -152.0786        224.5957        839.1529
     1683.88533      1683.87546      -1867.6650        839.9449       -783.8868       -152.0786       -347.8065        839.9449
     1683.90617      1683.89629      -3978.6354        821.5712          9.9344       -147.8565       -275.5370        821.5712
     1683.92700      1683.91712      -5076.1092        856.1872       -756.8861       -147.8565       -902.4371        856.1872
     1683.94783      1683.93796      -5186.2432        860.5977        181.5616       -152.0786       -147.8565        860.5977
     1683.96867      1683.95879      -6287.2563        862.0563        864.3718       -206.9256       -206.9256        862.0563
     1683.98950      1683.97962      -6144.2199        857.1302       1908.9600       -210.9614        595.2450        857.1302
     1684.01033      1684.00046      -6036.6807        852.3620        971.2992       -210.9614        242.4560        852.3620
     1684.03117      1684.02129      -4236.0385        848.6194        556.1712       -213.3720       -395.4020        848.6194
     1684.05200      1684.04212      -3532.9991        840.3424       -131.8149       -214.0300        402.4004        840.3424
     1684.07283      1684.06296      -4851.3083        849.7363        532.2877       -239.4265        -22.1331        849.7363
     1684.09367      1684.08379      -5157.0940        825.0432        -96.2153       -239.4265       -526.0515        825.0432
     1684.11450      1684.10462      -4433.6192        838.6253       -531.5855       -275.5370       -483.5960        838.6253
     1684.13533      1684.12546      -4312.8680        831.1914         82.6446       -275.5370        -99.9139        831.1914
     1684.15616      1684.14629      -4751.1699        855.4976       -191.9162       -239.4265       -213.3720        855.4976
     1684.17700      1684.16712      -5602.1164        846.1280         74.5890       -275.5370        -69.9967        846.1280
     1684.19783      1684.18796      -6601.2454        844.5302         55.5829       -310.4402       -768.3439        844.5302
     1684.21866      1684.20879      -3885.5971        847.6106        606.4159       -347.8065        -50.6391        847.6106
     1684.23950      1684.22962      -6574.9113        845.2498        626.9919       -395.4020       -239.4265        845.2498
     1684.26033      1684.25046      -6408.0482        862.4029       1662.4643       -447.2043        -78.9133        862.4029
     1684.28116      1684.27129      -2157.9327        871.0750       -227.2814       -447.2043       -447.2043        871.0750
     1684.30200      1684.29212      -8858.7230        873.1381       1271.9533       -483.5960       -752.8766        873.1381
     1684.32283      1684.31296      -6517.9272        898.2993       1829.9002       -483.5960       -951.3392        898.2993
     1684.34366      1684.33379      -6499.8376        877.8840       1291.6228       -447.2043       -577.6554        877.8840
     1684.36449      1684.35462      -6999.7418        878.5158       3260.5851       -447.2043        -98.4398        878.5158
     1684.38533      1684.37546      -3834.3921        891.5696       1371.0871       -483.5960        329.4795        891.5696
     1684.40616      1684.39629      -6557.6587        893.6179       1282.4846       -487.0495       -789.6757        893.6179
     1684.42699      1684.41712      -5714.4029        881.7911       -107.1455       -526.0515      -1254.4580        881.7911
     1684.44783      1684.43796      -4483.7800        854.1966       1888.9051       -505.0662       -310.4402        854.1966
     1684.46866      1684.45879      -3198.3786        852.9006          8.9110       -526.0515       -584.8736        852.9006
     1684.48949      1684.47962      -4209.5641        834.5576       1030.9021       -526.4360       -663.0377        834.5576
