# reference_flux:         26.5168
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.39017      1711.37544         26.6864          0.7454         16.8743          0.0303          1.4291          0.3099       -0.281428        0.745438
     1711.41100      1711.39627         29.5669          0.7463         16.7630          0.0274          1.0467          0.3099        1.728231        0.746338
     1711.43183      1711.41711         26.5647          0.7412         16.8792          0.0303          0.9456          0.3099        1.063267        0.741236
     1711.45267      1711.43794         26.5183          0.7441         16.8811          0.0305          0.6993          0.3099       -0.000812        0.744137
     1711.47350      1711.45877         28.5900          0.7607         16.7995          0.0289         -0.2615          0.3099        1.429146        0.760737
     1711.49433      1711.47961         26.6644          0.7481         16.8752          0.0305          0.6160          0.5481        1.511970        0.748098
     1711.51517      1711.50044         25.1240          0.7472         16.9398          0.0323          0.2588          0.5481       -0.091612        0.747211
     1711.53600      1711.52127         26.2855          0.7557         16.8907          0.0312          0.4904          0.5481        0.309858        0.755722
     1711.55683      1711.54211         28.2180          0.7358         16.8137          0.0283          0.2903          0.5481        1.322980        0.735777
     1711.57767      1711.56294         28.2584          0.7377         16.8121          0.0283          2.6860          0.5603        1.720040        0.737719
     1711.59850      1711.58377         27.7366          0.7486         16.8324          0.0293          1.6014          0.5481        2.465795        0.748611
     1711.61933      1711.60461         27.1040          0.7452         16.8574          0.0299          0.1181          0.5481       -0.132432        0.745224
     1711.64017      1711.62544         25.7977          0.7408         16.9110          0.0312          1.7750          0.5481        0.746103        0.740806
     1711.66100      1711.64627         28.2650          0.7373         16.8119          0.0283          1.3142          0.5481        0.052158        0.737319
     1711.68183      1711.66711         27.1096          0.7442         16.8572          0.0298          1.3714          0.4200        0.560309        0.744163
     1711.70267      1711.68794         26.3671          0.7297         16.8873          0.0300          1.0090          0.4200       -0.479289        0.729691
     1711.72350      1711.70877         23.6811          0.7313         17.0040          0.0335          0.0381          0.4200       -2.194888        0.731273
     1711.74434      1711.72961         28.3505          0.7486         16.8086          0.0287          0.9337          0.4200        0.957012        0.748635
     1711.76517      1711.75044         26.5437          0.7320         16.8801          0.0299          0.2957          0.5481       -0.383643        0.732038
     1711.78600      1711.77127         23.8549          0.7465         16.9961          0.0340         -0.7613          0.4200       -1.319916        0.746472
     1711.80684      1711.79211         27.0349          0.7541         16.8602          0.0303          0.0973          0.3099       -0.610677        0.754087
     1711.82767      1711.81294         28.1495          0.7434         16.8163          0.0287          0.4177          0.4200        0.709260        0.743410
     1711.84850      1711.83377         26.5411          0.7432         16.8802          0.0304          0.7254          0.3099       -0.587262        0.743192
     1711.86934      1711.85461         28.8280          0.7427         16.7905          0.0280          0.7887          0.2909        2.213482        0.742724
     1711.89017      1711.87544         28.6686          0.7388         16.7965          0.0280         -0.4906          0.3099        0.991328        0.738790
     1711.91100      1711.89627         25.7743          0.7391         16.9120          0.0311          0.6447          0.3099       -1.459852        0.739112
     1711.93184      1711.91711         26.3520          0.7483         16.8880          0.0308          1.3077          0.2909        0.548114        0.748254
     1711.95267      1711.93794         25.0149          0.7511         16.9445          0.0326         -0.2068          0.2909       -0.286359        0.751065
     1711.97350      1711.95877         29.4094          0.7512         16.7688          0.0277         -0.1886          0.2909        3.063575        0.751168
     1711.99434      1711.97961         25.5725          0.7414         16.9206          0.0315          0.1958          0.2909        0.420035        0.741420
     1712.01517      1712.00044         26.4127          0.7514         16.8855          0.0309          0.2199          0.0522        1.689455        0.751424
     1712.03601      1712.02127         26.8879          0.7485         16.8661          0.0302          0.5116          0.0522       -1.128010        0.748541
     1712.05684      1712.04211         27.0554          0.7542         16.8594          0.0303          0.4885         -0.1324        0.896837        0.754243
     1712.07767      1712.06294         28.2010          0.7564         16.8143          0.0291          1.0899         -0.1324        0.290902        0.756436
     1712.09851      1712.08377         25.3047          0.7548         16.9320          0.0324          1.9668         -0.2270       -0.226991        0.754837
     1712.11934      1712.10461         26.3399          0.7551         16.8885          0.0311          0.5754         -0.2270        1.042342        0.755068
     1712.14017      1712.12544         26.4526          0.7543         16.8838          0.0310         -0.9052         -0.2709       -0.757155        0.754307
     1712.16101      1712.14627         25.7476          0.7521         16.9132          0.0317          0.5959         -0.2709       -0.735303        0.752070
     1712.18184      1712.16711         28.5422          0.7576         16.8013          0.0288          0.2655         -0.2864        1.276299        0.757586
     1712.20267      1712.18794         26.0642          0.7588         16.8999          0.0316          0.0753         -0.2864        0.679364        0.758757
     1712.22351      1712.20877         27.7203          0.7581         16.8330          0.0297         -0.8390         -0.2864       -1.064914        0.758086
     1712.24434      1712.22961         26.7486          0.7591         16.8717          0.0308         -0.2791         -0.2864        0.557559        0.759115
     1712.26517      1712.25044         25.2524          0.7633         16.9342          0.0328          1.0609         -0.3836       -0.608250        0.763262
     1712.28601      1712.27127         25.3123          0.7626         16.9317          0.0327         -0.3761         -0.5383       -0.916768        0.762600
     1712.30684      1712.29211         26.3113          0.7620         16.8896          0.0314          0.8725         -0.2864        0.851410        0.761992
     1712.32767      1712.31294         25.3845          0.7612         16.9286          0.0326         -0.4398         -0.2864       -0.589302        0.761160
     1712.34851      1712.33377         28.4695          0.7588         16.8041          0.0289         -1.3536         -0.2864       -1.814385        0.758834
     1712.36934      1712.35461         27.1786          0.7555         16.8544          0.0302          0.3375         -0.2864        0.527046        0.755472
     1712.39017      1712.37544         25.2679          0.7543         16.9336          0.0324         -1.6771         -0.2864       -1.652087        0.754275
     1712.41101      1712.39627         24.9160          0.7616         16.9488          0.0332          0.2225         -0.2864       -1.003230        0.761613
     1712.43184      1712.41711         28.1676          0.7633         16.8156          0.0294          0.8586         -0.2864        1.444633        0.763329
     1712.45267      1712.43794         22.9479          0.7634         17.0381          0.0361          0.1774         -0.4026       -1.023774        0.763431
     1712.47351      1712.45877         27.0902          0.7697         16.8580          0.0308          0.3708         -0.4026        2.019670        0.769701
     1712.49434      1712.47961         23.5788          0.7682         17.0087          0.0354          0.3560         -0.4026       -1.636259        0.768201
     1712.51518      1712.50044         24.8439          0.7726         16.9520          0.0338         -1.1657         -0.5383       -0.270931        0.772571
     1712.53601      1712.52127         26.0123          0.7717         16.9021          0.0322         -0.4614         -0.5383       -0.968028        0.771665
     1712.55684      1712.54211         25.9876          0.7676         16.9031          0.0321         -0.6254         -0.5383        0.263297        0.767559
