# reference_flux:        495.2028
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38680      1711.37546        494.8893          1.1765         13.7037          0.0026          0.2035         -1.0595       -0.675963        1.176462
     1711.40763      1711.39629        495.9909          1.1764         13.7013          0.0026         -0.4291         -1.0595        0.561541        1.176421
     1711.42847      1711.41712        500.1965          1.1718         13.6921          0.0025         -0.4223         -1.0595        0.255505        1.171805
     1711.44930      1711.43796        500.5650          1.1656         13.6913          0.0025          0.9520         -0.8103        4.765982        1.165647
     1711.47013      1711.45879        510.7749          1.1651         13.6694          0.0025          2.9086         -0.6943        4.822867        1.165142
     1711.49097      1711.47962        505.6612          1.1651         13.6804          0.0025          0.5756         -0.6943        2.175494        1.165118
     1711.51180      1711.50046        502.3533          1.1645         13.6875          0.0025          0.2935         -0.6943        1.260600        1.164462
     1711.53264      1711.52129        497.1563          1.1704         13.6988          0.0026         -0.4368         -0.6760        0.265436        1.170436
     1711.55347      1711.54212        498.9007          1.1679         13.6950          0.0025          0.8881         -0.6760       -0.385240        1.167948
     1711.57430      1711.56296        491.8076          1.1677         13.7105          0.0026          0.2194         -0.5096       -3.109934        1.167678
     1711.59514      1711.58379        489.6673          1.1675         13.7152          0.0026          0.4094         -0.4651       -1.567167        1.167522
     1711.61597      1711.60462        487.3632          1.1609         13.7204          0.0026          0.5970         -0.4651       -3.324161        1.160905
     1711.63680      1711.62546        485.7030          1.1617         13.7241          0.0026         -2.2764         -0.3852       -3.249331        1.161735
     1711.65764      1711.64629        489.7159          1.1675         13.7151          0.0026         -0.5649         -0.3852       -2.035927        1.167492
     1711.67847      1711.66712        496.7801          1.1735         13.6996          0.0026         -0.2836         -0.3852       -0.694306        1.173505
     1711.69930      1711.68796        500.0362          1.1725         13.6925          0.0025         -1.8909         -0.3852       -1.059452        1.172457
     1711.72014      1711.70879        496.7910          1.1774         13.6996          0.0026         -2.0553         -0.4651       -2.766689        1.177398
     1711.74097      1711.72962        489.9510          1.1732         13.7146          0.0026          0.6205         -0.5096       -4.524981        1.173207
     1711.76180      1711.75046        490.6203          1.1795         13.7131          0.0026         -0.7839         -0.6063       -4.952168        1.179522
     1711.78264      1711.77129        492.7661          1.1656         13.7084          0.0026         -1.6132         -0.6063       -4.304814        1.165633
     1711.80347      1711.79212        496.3826          1.1809         13.7005          0.0026         -0.3314         -0.6063       -1.725019        1.180931
     1711.82430      1711.81296        493.0615          1.1789         13.7077          0.0026         -0.9422         -0.6063       -2.444593        1.178905
     1711.84514      1711.83379        497.8285          1.1819         13.6973          0.0026          0.8791         -0.6760       -0.257864        1.181920
     1711.86597      1711.85462        494.1940          1.1779         13.7053          0.0026          0.4606         -0.6760       -0.509605        1.177946
     1711.88681      1711.87546        498.6149          1.1758         13.6956          0.0026         -2.1567         -0.6943       -0.810276        1.175753
     1711.90764      1711.89629        495.5810          1.1729         13.7022          0.0026         -0.5071         -0.7262       -0.465059        1.172905
     1711.92847      1711.91712        497.3049          1.1667         13.6984          0.0025         -0.5969         -0.7596       -0.009085        1.166680
     1711.94931      1711.93796        494.5934          1.1751         13.7044          0.0026          0.4828         -0.8103        0.005615        1.175123
     1711.97014      1711.95879        498.1094          1.1703         13.6967          0.0026         -0.4712         -0.8215        0.821812        1.170324
     1711.99097      1711.97962        500.1801          1.1693         13.6922          0.0025         -1.5426         -0.9369       -1.280159        1.169314
     1712.01181      1712.00046        497.2310          1.1698         13.6986          0.0026         -2.5611         -1.0595        1.068931        1.169775
     1712.03264      1712.02129        493.9165          1.1636         13.7059          0.0026          1.0058         -1.0608        1.701164        1.163584
     1712.05347      1712.04212        496.6348          1.1653         13.6999          0.0025         -0.9756         -1.0608        2.620383        1.165260
     1712.07431      1712.06296        496.8257          1.1680         13.6995          0.0026          0.8149         -1.0608        1.081240        1.167981
     1712.09514      1712.08379        492.3882          1.1644         13.7092          0.0026         -1.8793         -1.0595       -1.156045        1.164433
     1712.11597      1712.10462        496.5105          1.1541         13.7002          0.0025          0.8071         -0.9369        1.556803        1.154096
     1712.13681      1712.12546        490.6555          1.1521         13.7131          0.0025         -0.2303         -0.8215       -2.513803        1.152090
     1712.15764      1712.14629        491.0380          1.1668         13.7122          0.0026          0.3658         -0.8103       -2.542728        1.166754
     1712.17847      1712.16712        492.7070          1.1650         13.7085          0.0026          0.0628         -0.7596       -0.759554        1.165038
     1712.19931      1712.18796        495.2470          1.1716         13.7029          0.0026          0.2761         -0.7596       -0.606257        1.171614
     1712.22014      1712.20879        495.9538          1.1671         13.7014          0.0026          1.4153         -0.7262       -0.726173        1.167123
     1712.24097      1712.22962        497.9372          1.1756         13.6971          0.0026         -0.7478         -0.7262       -0.821452        1.175576
     1712.26181      1712.25046        499.1723          1.1736         13.6944          0.0026         -1.1397         -0.7262       -0.532748        1.173650
     1712.28264      1712.27129        499.4272          1.1725         13.6938          0.0025         -0.4381         -0.7262       -0.123698        1.172532
     1712.30347      1712.29212        503.3400          1.1714         13.6853          0.0025         -0.4866         -0.7262        2.535052        1.171407
     1712.32431      1712.31296        496.9698          1.1852         13.6992          0.0026         -1.9768         -0.6063       -1.177025        1.185240
     1712.34514      1712.33379        490.4413          1.1644         13.7135          0.0026         -1.4956         -0.6063       -4.644263        1.164357
     1712.36597      1712.35462        493.8849          1.1773         13.7059          0.0026         -3.8399         -0.6063       -1.588804        1.177259
     1712.38681      1712.37546        491.0179          1.1812         13.7123          0.0026         -3.8923         -0.7262       -3.040898        1.181181
     1712.40764      1712.39629        483.6389          1.1798         13.7287          0.0026         -1.1980         -0.7262       -3.668688        1.179839
     1712.42847      1712.41712        487.0806          1.1759         13.7210          0.0026         -4.0019         -0.7262       -4.191021        1.175867
     1712.44931      1712.43796        492.1077          1.1741         13.7098          0.0026         -4.5750         -0.7596       -0.936888        1.174096
     1712.47014      1712.45879        491.4862          1.1837         13.7112          0.0026         -6.0048         -0.7596       -3.362310        1.183717
     1712.49098      1712.47962        492.8420          1.1867         13.7082          0.0026         -5.5857         -0.8215       -2.159492        1.186651
     1712.51181      1712.50046        497.6184          1.1893         13.6978          0.0026         -5.0158         -0.8215       -1.060846        1.189262
     1712.53264      1712.52129        498.0626          1.2030         13.6968          0.0026         -5.8754         -0.8215        1.814808        1.202966
     1712.55348      1712.54212        504.9650          1.1824         13.6818          0.0025         -6.3962         -0.9201        4.442882        1.182362
     1712.57431      1712.56296        498.8216          1.2007         13.6951          0.0026         -7.1877         -0.9369        3.183844        1.200747
     1712.59514      1712.58379        503.5289          1.2016         13.6849          0.0026         -6.4792         -0.9369        3.837663        1.201600
     1712.61598      1712.60462        500.2743          1.1922         13.6920          0.0026         -5.0365         -0.9369        1.602151        1.192161
     1712.63681      1712.62546        501.4245          1.1984         13.6895          0.0026         -6.6216         -0.9369        2.688415        1.198401
     1712.65764      1712.64629        501.9180          1.2023         13.6884          0.0026         -7.9609         -0.9201        3.900736        1.202329
     1712.67848      1712.66712        494.0341          1.1828         13.7056          0.0026         -8.5988         -0.9201        1.746164        1.182788
     1712.69931      1712.68796        495.3258          1.2147         13.7028          0.0027         -7.5000         -0.9369        0.368434        1.214744
     1712.72014      1712.70879        486.6571          1.2084         13.7219          0.0027         -7.1290         -1.0315       -4.346816        1.208434
     1712.74098      1712.72962        490.0279          1.2130         13.7144          0.0027        -11.9705         -1.0608       -5.204038        1.212971
