# reference_flux:        175.3140
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38593      1711.37545        165.7761          0.6311         14.8912          0.0041         -1.7940         -0.6530       -0.612738        0.631142
     1711.40676      1711.39628        164.5115          0.6283         14.8995          0.0041          0.8075         -0.6530       -0.234332        0.628280
     1711.42760      1711.41711        163.8504          0.6312         14.9039          0.0042          0.7105         -0.6530       -0.065706        0.631219
     1711.44843      1711.43795        166.6333          0.6280         14.8856          0.0041         -0.6496         -0.6530       -0.083997        0.628037
     1711.46926      1711.45878        163.6262          0.6292         14.9054          0.0042          0.3463         -0.6127       -0.088601        0.629213
     1711.49009      1711.47961        164.8791          0.6316         14.8971          0.0042         -0.7181         -0.6127       -0.459221        0.631580
     1711.51093      1711.50045        165.7975          0.6313         14.8911          0.0041          0.2750         -0.6127       -0.000460        0.631284
     1711.53176      1711.52128        164.4570          0.6316         14.8999          0.0042          0.5715         -0.5540       -0.554014        0.631587
     1711.55259      1711.54211        165.2950          0.6302         14.8944          0.0041          1.2639         -0.5540        0.654264        0.630182
     1711.57343      1711.56295        163.4077          0.6293         14.9068          0.0042         -0.6732         -0.5540       -1.281085        0.629298
     1711.59426      1711.58378        166.0785          0.6286         14.8892          0.0041         -1.6464         -0.5540        0.126062        0.628644
     1711.61509      1711.60461        164.2209          0.6286         14.9014          0.0042          0.4355         -0.4769       -0.406657        0.628589
     1711.63593      1711.62545        164.6805          0.6307         14.8984          0.0042         -0.9390         -0.5540       -0.170499        0.630745
     1711.65676      1711.64628        161.8133          0.6307         14.9175          0.0042          0.7317         -0.5540       -1.854324        0.630686
     1711.67759      1711.66711        164.9239          0.6298         14.8968          0.0041          0.0754         -0.6127       -0.652956        0.629805
     1711.69842      1711.68795        163.2314          0.6309         14.9080          0.0042         -0.8709         -0.6127       -1.886918        0.630869
     1711.71926      1711.70878        163.0158          0.6340         14.9094          0.0042         -0.0976         -0.6127       -1.256857        0.633965
     1711.74009      1711.72961        165.5873          0.6347         14.8924          0.0042         -0.7400         -0.6127       -1.853144        0.634652
     1711.76092      1711.75045        164.8697          0.6311         14.8971          0.0042         -0.2939         -0.6127       -1.648198        0.631142
     1711.78176      1711.77128        167.2336          0.6277         14.8817          0.0041         -2.0809         -0.6127       -1.498530        0.627704
     1711.80259      1711.79211        165.3427          0.6305         14.8940          0.0041          0.1357         -0.6127       -0.933821        0.630543
     1711.82342      1711.81295        164.1335          0.6312         14.9020          0.0042         -0.8045         -0.6127       -2.345376        0.631152
     1711.84426      1711.83378        164.1642          0.6317         14.9018          0.0042         -1.5447         -0.6530       -0.988974        0.631747
     1711.86509      1711.85461        165.7496          0.6331         14.8914          0.0041          0.5342         -0.7016       -1.059275        0.633133
     1711.88592      1711.87545        163.8496          0.6301         14.9039          0.0042          0.4971         -0.7016       -1.360418        0.630149
     1711.90676      1711.89628        164.0854          0.6331         14.9023          0.0042         -0.9008         -0.7016       -1.669682        0.633128
     1711.92759      1711.91711        161.8985          0.6305         14.9169          0.0042         -0.8515         -0.7016       -0.812462        0.630491
     1711.94842      1711.93795        165.1622          0.6295         14.8952          0.0041          0.6059         -0.7016       -0.430964        0.629469
     1711.96925      1711.95878        164.1093          0.6318         14.9022          0.0042          0.2534         -0.7544       -1.505519        0.631778
     1711.99009      1711.97961        164.0212          0.6327         14.9028          0.0042         -0.6735         -0.8064       -0.304715        0.632716
     1712.01092      1712.00045        165.1520          0.6286         14.8953          0.0041         -0.0790         -0.8064        0.747553        0.628579
     1712.03175      1712.02128        165.9492          0.6336         14.8901          0.0041          0.7114         -0.8125       -0.701552        0.633596
     1712.05259      1712.04211        163.9935          0.6298         14.9029          0.0042          0.7436         -0.9338       -0.297402        0.629800
     1712.07342      1712.06295        163.7312          0.6338         14.9047          0.0042         -0.3046         -0.9436       -1.147340        0.633800
     1712.09425      1712.08378        166.2449          0.6293         14.8881          0.0041          0.6496         -0.9436       -0.476891        0.629320
     1712.11508      1712.10461        164.7865          0.6336         14.8977          0.0042          1.7930         -0.9890       -1.026022        0.633565
     1712.13592      1712.12545        164.2943          0.6314         14.9009          0.0042         -0.9081         -1.0260       -1.536973        0.631448
     1712.15675      1712.14628        164.2208          0.6326         14.9014          0.0042          2.5062         -1.0593       -0.754355        0.632636
     1712.17758      1712.16711        164.7349          0.6341         14.8980          0.0042          0.4021         -1.0593       -1.128940        0.634092
     1712.19842      1712.18795        167.4448          0.6317         14.8803          0.0041          0.5246         -1.1289        0.121271        0.631731
     1712.21925      1712.20878        163.2817          0.6329         14.9077          0.0042          0.4226         -1.1289       -2.118350        0.632938
     1712.24008      1712.22961        163.4144          0.6321         14.9068          0.0042         -0.2935         -1.1289       -0.429619        0.632055
     1712.26092      1712.25045        166.2749          0.6320         14.8879          0.0041         -0.5075         -1.1289        0.667012        0.632040
     1712.28175      1712.27128        163.6396          0.6324         14.9053          0.0042          1.2004         -1.1289       -0.312863        0.632401
     1712.30258      1712.29211        166.5940          0.6340         14.8859          0.0041          0.9490         -1.1289       -0.557182        0.634042
     1712.32341      1712.31295        166.0434          0.6366         14.8894          0.0042          0.2591         -1.1473       -0.943617        0.636590
     1712.34425      1712.33378        161.6610          0.6358         14.9185          0.0043          0.6407         -1.1473       -1.813261        0.635781
     1712.36508      1712.35461        167.0314          0.6373         14.8830          0.0041          0.1371         -1.2215       -0.538642        0.637324
     1712.38591      1712.37545        162.9703          0.6365         14.9097          0.0042          0.1192         -1.3604        0.256468        0.636472
     1712.40675      1712.39628        164.8637          0.6400         14.8972          0.0042          0.6980         -1.2215        0.050687        0.640049
     1712.42758      1712.41711        163.5841          0.6409         14.9056          0.0043          0.2591         -1.2215        0.274274        0.640893
     1712.44841      1712.43795        163.5681          0.6450         14.9058          0.0043         -0.3667         -1.2215       -0.806400        0.644977
     1712.46925      1712.45878        164.1516          0.6462         14.9019          0.0043          0.2376         -1.4835       -3.023896        0.646163
     1712.49008      1712.47961        163.6906          0.6502         14.9049          0.0043         -0.3957         -1.4835       -0.767261        0.650183
     1712.51091      1712.50045        163.9187          0.6497         14.9034          0.0043          1.0647         -1.5370       -1.675129        0.649748
     1712.53174      1712.52128        163.6699          0.6516         14.9051          0.0043         -0.8111         -1.6207       -1.742260        0.651553
     1712.55258      1712.54211        164.3844          0.6526         14.9003          0.0043         -1.1029         -1.6735       -1.905805        0.652580
     1712.57341      1712.56295        165.6619          0.6546         14.8919          0.0043         -1.1606         -1.6735       -2.456182        0.654583
     1712.59424      1712.58378        163.4845          0.6545         14.9063          0.0043         -0.9037         -1.6735       -2.679196        0.654543
     1712.61508      1712.60461        163.7523          0.6556         14.9045          0.0043         -0.8200         -1.6735       -1.221508        0.655620
     1712.63591      1712.62545        163.1575          0.6605         14.9085          0.0044         -1.5110         -1.6751       -2.402041        0.660479
     1712.65674      1712.64628        165.5935          0.6610         14.8924          0.0043         -0.6130         -1.7423       -2.121177        0.661047
     1712.67758      1712.66711        162.3171          0.6587         14.9141          0.0044         -1.4080         -1.8033       -1.893932        0.658748
     1712.69841      1712.68795        164.0667          0.6619         14.9024          0.0044         -1.2036         -1.8133       -2.177422        0.661887
     1712.71924      1712.70878        162.8711          0.6643         14.9104          0.0044         -0.0679         -1.8133       -1.620696        0.664323
     1712.74007      1712.72961        164.9579          0.6679         14.8966          0.0044         -0.3823         -1.8033       -1.673470        0.667944
     1712.76091      1712.75045        165.7488          0.6683         14.8914          0.0044         -2.6834         -1.8133       -2.674854        0.668332
     1712.78174      1712.77128        163.6520          0.6679         14.9052          0.0044         -1.7995         -1.8133       -2.136864        0.667866
     1712.80257      1712.79211        164.9949          0.6730         14.8963          0.0044          0.7568         -1.8939       -1.483510        0.673042
     1712.82341      1712.81295        164.0337          0.6753         14.9027          0.0045         -1.5430         -1.8979       -3.924150        0.675334
     1712.84424      1712.83378        164.1365          0.6803         14.9020          0.0045         -2.1486         -1.8979       -2.985795        0.680343
     1712.86507      1712.85461        164.5718          0.6811         14.8991          0.0045         -1.6014         -1.8979       -3.454623        0.681086
     1712.88591      1712.87545        166.5720          0.6760         14.8860          0.0044         -0.5268         -1.8979       -0.400721        0.676046
     1712.90674      1712.89628        163.2757          0.6802         14.9077          0.0045         -1.6067         -1.9058       -3.390941        0.680245
     1712.92757      1712.91711        166.8425          0.6765         14.8842          0.0044         -2.0513         -1.9058       -0.628592        0.676482
     1712.94840      1712.93795        162.9478          0.6801         14.9099          0.0045         -1.0607         -1.9974       -2.485701        0.680070
     1712.96924      1712.95878        162.6786          0.6790         14.9117          0.0045         -1.7849         -2.0056       -1.897933        0.678998
     1712.99007      1712.97961        165.4094          0.6808         14.8936          0.0045         -0.3693         -1.9974       -2.061369        0.680811
     1713.01090      1713.00045        166.2475          0.6784         14.8881          0.0044         -1.5123         -1.9974       -2.400974        0.678376
     1713.03174      1713.02128        166.1671          0.6820         14.8886          0.0045         -1.6511         -1.9974       -2.444828        0.682038
     1713.05257      1713.04211        165.2306          0.6845         14.8948          0.0045         -3.3872         -1.9974       -1.006583        0.684498
     1713.07340      1713.06295        164.0890          0.6890         14.9023          0.0046         -2.6222         -1.9974       -1.317864        0.689030
