# reference_flux:        166.8802
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38570      1711.37545        165.5484          0.6580         14.8927          0.0043          0.9136         -0.0927       -0.273025        0.658007
     1711.40653      1711.39628        167.7565          0.6611         14.8783          0.0043         -2.2845         -0.0927       -0.325747        0.661107
     1711.42736      1711.41711        166.5286          0.6599         14.8863          0.0043          0.8280         -0.0927       -0.408419        0.659857
     1711.44820      1711.43795        166.1332          0.6603         14.8889          0.0043          0.8855         -0.2730       -1.180503        0.660269
     1711.46903      1711.45878        168.0840          0.6609         14.8762          0.0043         -1.0765         -0.2730       -0.704572        0.660859
     1711.48986      1711.47961        167.6005          0.6610         14.8793          0.0043         -1.0849         -0.2730       -1.202254        0.660961
     1711.51070      1711.50045        168.3012          0.6637         14.8748          0.0043          0.1436         -0.2730        0.861554        0.663687
     1711.53153      1711.52128        167.3385          0.6639         14.8810          0.0043         -0.0490         -0.2730       -1.768075        0.663888
     1711.55236      1711.54211        165.3450          0.6629         14.8940          0.0044         -0.2254         -0.2730       -1.602097        0.662920
     1711.57320      1711.56295        166.3811          0.6619         14.8872          0.0043          0.8885         -0.2730       -1.284287        0.661852
     1711.59403      1711.58378        169.8969          0.6638         14.8645          0.0042         -0.5233         -0.2730        0.000187        0.663779
     1711.61486      1711.60461        167.2858          0.6633         14.8814          0.0043          0.1995         -0.2730        1.190770        0.663302
     1711.63570      1711.62545        166.5685          0.6656         14.8860          0.0043         -0.6168         -0.2730       -0.621810        0.665630
     1711.65653      1711.64628        170.1036          0.6650         14.8632          0.0042          0.7813         -0.2730        0.336763        0.665039
     1711.67736      1711.66711        169.6160          0.6630         14.8663          0.0042         -0.6240         -0.2730       -0.092729        0.662978
     1711.69820      1711.68795        166.6397          0.6654         14.8856          0.0043         -2.0553         -0.2730       -2.168313        0.665397
     1711.71903      1711.70878        165.8940          0.6617         14.8904          0.0043         -0.4066         -0.1704        0.766256        0.661674
