# reference_flux:        690.9421
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38527      1711.37545        230.0739          1.0282         14.5353          0.0049         -3.6780          0.1109       -4.816320        1.028197
     1711.40610      1711.39628         -1.4574          1.0176         19.2282         99.9000         -2.2049          0.1109       -5.015969        1.017620
     1711.42693      1711.41711        -37.1876          0.9836         19.2652         99.9000         -4.6230          0.1109       -6.701904        0.983557
     1711.44777      1711.43795          8.4080          0.9896         18.1283          0.1278         -2.3336          0.1109       -1.671171        0.989571
     1711.46860      1711.45878        200.1280          1.0250         14.6867          0.0056         -3.4295          0.1109       -2.658062        1.024983
     1711.48944      1711.47961        436.6619          1.0407         13.8396          0.0026         -1.7474          0.1109       -4.709051        1.040713
     1711.51027      1711.50045        618.3776          1.0590         13.4619          0.0019         -1.0211          0.1109       -2.178440        1.059019
     1711.53110      1711.52128        689.6694          1.0536         13.3434          0.0017          0.1778          0.1109       -1.337593        1.053578
     1711.55194      1711.54211        693.0940          1.0572         13.3380          0.0017          0.2153          0.1109        0.324808        1.057238
     1711.57277      1711.56295        693.4011          1.0550         13.3375          0.0017          0.1826          0.1109        0.287582        1.054985
     1711.59360      1711.58378        690.1369          1.0618         13.3427          0.0017          0.0179          0.1109       -1.784988        1.061771
     1711.61444      1711.60461        691.1804          1.0638         13.3410          0.0017         -0.7291          0.2119       -0.743831        1.063758
     1711.63527      1711.62545        695.8099          1.0599         13.3338          0.0017         -1.5810          0.2119        1.183228        1.059901
     1711.65610      1711.64628        696.0836          1.0728         13.3333          0.0017          0.3672          0.2155        0.052554        1.072826
     1711.67694      1711.66711        695.2036          1.0705         13.3347          0.0017         -0.0888          0.2876        0.211890        1.070538
     1711.69777      1711.68795        697.4974          1.0727         13.3311          0.0017         -1.0614          0.2876        1.133710        1.072676
     1711.71860      1711.70878        697.0253          1.0582         13.3319          0.0016          0.1559          0.2876        0.110886        1.058218
     1711.73944      1711.72961        698.7333          1.0687         13.3292          0.0017          0.4528          0.3248        3.038454        1.068658
     1711.76027      1711.75045        700.5220          1.0722         13.3264          0.0017         -0.3484          0.3248        0.498403        1.072166
     1711.78110      1711.77128        700.9692          1.0820         13.3258          0.0017         -0.2170          0.4550        1.661361        1.081964
     1711.80194      1711.79211        700.2502          1.0818         13.3269          0.0017          0.4645          0.4984        3.099393        1.081838
