# reference_flux:       3929.8983
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38481      1711.37545       3937.8335          1.4303         11.4519          0.0004          1.2927          2.5440        1.162092        1.430304
     1711.40564      1711.39628       3935.2957          1.4342         11.4526          0.0004         -0.9194          2.5440       -0.832777        1.434159
     1711.42647      1711.41711       3935.5342          1.4161         11.4525          0.0004          0.0550          2.5440        3.238833        1.416073
     1711.44731      1711.43795       3942.3490          1.4332         11.4506          0.0004         -1.7146          2.5844        2.780772        1.433151
     1711.46814      1711.45878       3940.7276          1.4433         11.4511          0.0004         -0.9135          2.5844        1.295532        1.443260
     1711.48897      1711.47961       3940.9011          1.4400         11.4510          0.0004         -0.9268          2.5844        2.979814        1.439957
     1711.50981      1711.50045       3943.2997          1.4558         11.4504          0.0004          2.5016          2.5440        2.672854        1.455768
     1711.53064      1711.52128       3943.2068          1.4799         11.4504          0.0004          0.4198          2.4086        1.692265        1.479893
     1711.55147      1711.54211       3947.6905          1.4332         11.4491          0.0004         -0.5763          2.4086        4.353057        1.433220
     1711.57231      1711.56295       3947.0885          1.4455         11.4493          0.0004          1.6572          2.4086        2.584929        1.445481
     1711.59314      1711.58378       3939.2819          1.4533         11.4515          0.0004          0.8718          2.4086        2.408601        1.453309
     1711.61397      1711.60461       3938.6200          1.4328         11.4516          0.0004         -0.0030          2.2401        2.584399        1.432824
     1711.63481      1711.62545       3944.1297          1.4431         11.4501          0.0004         -0.4455          2.2401        1.480387        1.443078
     1711.65564      1711.64628       3945.8970          1.4554         11.4496          0.0004          0.9227          2.0912        2.997476        1.455377
     1711.67647      1711.66711       3948.7452          1.4411         11.4489          0.0004         -0.0570          2.0727        3.361004        1.441086
     1711.69731      1711.68795       3949.9266          1.4305         11.4485          0.0004         -1.1465          2.0322        3.045355        1.430503
     1711.71814      1711.70878       3950.2427          1.4435         11.4484          0.0004         -0.7189          1.8757        0.820957        1.443521
     1711.73897      1711.72961       3947.8494          1.4387         11.4491          0.0004          0.5194          2.0322        3.796036        1.438695
     1711.75981      1711.75045       3948.2275          1.4344         11.4490          0.0004          1.2378          2.0322        2.657494        1.434351
     1711.78064      1711.77128       3947.9990          1.4390         11.4491          0.0004          0.4224          1.8757       -0.629239        1.438982
     1711.80147      1711.79211       3949.8491          1.4311         11.4485          0.0004         -0.9210          1.8757        0.440538        1.431124
     1711.82231      1711.81295       3948.5659          1.4353         11.4489          0.0004          2.6424          1.8328        2.544022        1.435314
     1711.84314      1711.83378       3944.3115          1.4329         11.4501          0.0004         -1.2753          1.8328       -1.156385        1.432928
     1711.86397      1711.85461       3945.6319          1.4588         11.4497          0.0004          1.3423          1.8757        1.110130        1.458763
     1711.88481      1711.87545       3950.3327          1.4331         11.4484          0.0004         -1.1765          1.8757       -0.654023        1.433124
     1711.90564      1711.89628       3950.9980          1.4385         11.4482          0.0004         -1.4640          1.8757        0.667972        1.438495
     1711.92647      1711.91711       3950.8301          1.4419         11.4483          0.0004          0.5867          1.8757        3.332965        1.441933
     1711.94731      1711.93795       3951.6820          1.4391         11.4480          0.0004         -0.5839          1.8757        1.826789        1.439053
     1711.96814      1711.95878       3954.7958          1.4337         11.4472          0.0004         -0.9409          1.8328        1.232461        1.433746
     1711.98897      1711.97961       3951.3918          1.4135         11.4481          0.0004          0.4820          1.8328        2.240073        1.413544
     1712.00981      1712.00045       3950.7335          1.4286         11.4483          0.0004         -0.5751          1.8268        1.101417        1.428564
     1712.03064      1712.02128       3949.9479          1.4324         11.4485          0.0004          1.2442          1.8268        1.832843        1.432408
     1712.05148      1712.04211       3952.6625          1.4504         11.4478          0.0004          0.7493          1.8328        2.091196        1.450424
     1712.07231      1712.06295       3950.6859          1.4238         11.4483          0.0004          0.0236          1.8268        2.940117        1.423763
     1712.09314      1712.08378       3953.0710          1.4048         11.4477          0.0004         -1.1277          1.8268        1.236781        1.404790
     1712.11398      1712.10461       3957.6516          1.4277         11.4464          0.0004          0.9864          1.7076        2.072678        1.427666
     1712.13481      1712.12545       3957.4640          1.4253         11.4465          0.0004         -0.3256          1.5141        2.032153        1.425296
     1712.15564      1712.14628       3962.3298          1.4195         11.4451          0.0004         -1.5503          1.5572        1.875693        1.419465
     1712.17648      1712.16711       3956.3414          1.4626         11.4468          0.0004         -0.2948          1.5141        0.948559        1.462556
     1712.19731      1712.18795       3956.9098          1.4447         11.4466          0.0004          0.4855          1.3574        1.066953        1.444694
     1712.21814      1712.20878       3959.2475          1.4335         11.4460          0.0004          0.2121          1.2368        3.447119        1.433460
     1712.23898      1712.22961       3956.4892          1.4284         11.4467          0.0004         -0.9461          1.2368        3.009210        1.428438
     1712.25981      1712.25045       3957.5248          1.4343         11.4464          0.0004         -0.2157          1.2325       -0.072313        1.434283
     1712.28064      1712.27128       3955.0737          1.4419         11.4471          0.0004         -0.3763          1.2325        0.093470        1.441860
     1712.30148      1712.29211       3959.7098          1.4353         11.4458          0.0004         -0.2190          1.2325       -0.279388        1.435294
     1712.32231      1712.31295       3959.3022          1.4460         11.4460          0.0004          1.2037          1.2325        2.668623        1.446025
     1712.34314      1712.33378       3958.2755          1.4292         11.4462          0.0004         -0.2340          1.2325        4.765706        1.429209
     1712.36398      1712.35461       3957.2471          1.4376         11.4465          0.0004         -0.7192          1.2325        1.514120        1.437647
     1712.38481      1712.37545       3957.0931          1.4462         11.4466          0.0004         -1.6023          1.2325        1.357385        1.446169
     1712.40564      1712.39628       3956.9422          1.4474         11.4466          0.0004         -0.0320          1.2325        1.002744        1.447387
     1712.42648      1712.41711       3961.7528          1.4177         11.4453          0.0004         -0.0824          1.2325        2.076422        1.417735
     1712.44731      1712.43795       3953.2180          1.4610         11.4476          0.0004         -1.0429          1.2015        0.622182        1.460973
     1712.46814      1712.45878       3959.0429          1.4419         11.4460          0.0004         -1.8715          1.2015        0.363725        1.441898
     1712.48898      1712.47961       3959.2610          1.4524         11.4460          0.0004         -2.2045          1.2015       -1.281702        1.452416
     1712.50981      1712.50045       3963.0328          1.4394         11.4449          0.0004         -2.3573          1.1754        2.050544        1.439365
     1712.53064      1712.52128       3958.9962          1.4885         11.4460          0.0004         -0.3073          1.2015        2.150504        1.488524
     1712.55148      1712.54211       3958.9893          1.4503         11.4460          0.0004         -4.7387          1.2015        1.707609        1.450279
     1712.57231      1712.56295       3966.3672          1.4608         11.4440          0.0004         -3.7554          1.1754        3.059140        1.460796
     1712.59314      1712.58378       3956.8068          1.4035         11.4466          0.0004         -2.6796          1.1754        1.071165        1.403451
     1712.61398      1712.60461       3952.1936          1.4620         11.4479          0.0004         -2.7578          1.1350        1.175383        1.462045
     1712.63481      1712.62545       3961.1519          1.4616         11.4454          0.0004         -4.0637          1.0887        1.557157        1.461594
     1712.65564      1712.64628       3957.9428          1.4393         11.4463          0.0004         -1.7767          1.0712        1.088670        1.439265
     1712.67648      1712.66711       3954.5665          1.4382         11.4473          0.0004         -2.9081          1.0712        1.134958        1.438236
     1712.69731      1712.68795       3959.5640          1.4287         11.4459          0.0004         -3.3397          1.0887        0.961024        1.428749
     1712.71814      1712.70878       3954.1189          1.4409         11.4474          0.0004         -3.1361          1.0887        0.669573        1.440883
     1712.73898      1712.72961       3956.9656          1.4732         11.4466          0.0004         -3.0458          1.0887       -0.869100        1.473214
     1712.75981      1712.75045       3953.4682          1.4100         11.4476          0.0004         -3.3743          1.0712        2.018229        1.410039
     1712.78064      1712.77128       3951.9503          1.4317         11.4480          0.0004         -2.0938          1.0712       -0.136361        1.431728
     1712.80148      1712.79211       3952.6080          1.4400         11.4478          0.0004         -3.4688          1.0712        0.317603        1.439950
     1712.82231      1712.81295       3955.0905          1.4405         11.4471          0.0004         -2.9499          1.0887        2.048799        1.440544
     1712.84314      1712.83378       3951.3989          1.4824         11.4481          0.0004         -5.7105          1.0887       -1.599271        1.482432
     1712.86398      1712.85461       3951.2482          1.4471         11.4482          0.0004         -3.6548          1.0712        1.201532        1.447112
     1712.88481      1712.87545       3951.1581          1.4476         11.4482          0.0004         -2.0273          1.0319        0.759410        1.447556
     1712.90564      1712.89628       3951.5584          1.4528         11.4481          0.0004         -4.8049          1.0042       -1.397143        1.452843
     1712.92648      1712.91711       3953.7146          1.4266         11.4475          0.0004         -5.1559          1.0042       -0.431275        1.426644
     1712.94731      1712.93795       3957.3193          1.4692         11.4465          0.0004         -4.3879          0.9610        1.753640        1.469172
     1712.96814      1712.95878       3947.6037          1.4265         11.4492          0.0004         -3.6602          1.0042        1.291364        1.426537
     1712.98898      1712.97961       3950.6796          1.4765         11.4483          0.0004         -3.6699          1.0099        0.807115        1.476514
     1713.00981      1713.00045       3945.1564          1.4453         11.4498          0.0004         -4.0042          1.0099        1.837097        1.445340
     1713.03064      1713.02128       3949.0229          1.5170         11.4488          0.0004         -3.6640          1.0042        4.321286        1.517035
     1713.05148      1713.04211       3949.6854          1.4489         11.4486          0.0004         -4.4662          0.9610        1.004244        1.448907
     1713.07231      1713.06295       3947.1297          1.5116         11.4493          0.0004         -4.4186          0.8071        2.421574        1.511563
     1713.09314      1713.08378       3942.5255          1.4490         11.4506          0.0004         -4.1170          0.7594        1.031919        1.449049
     1713.11398      1713.10461       3945.6320          1.4957         11.4497          0.0004         -3.2432          0.6696        0.067098        1.495687
     1713.13481      1713.12545       3941.3258          1.4714         11.4509          0.0004         -4.1047          0.5707        0.511600        1.471396
     1713.15564      1713.14628       3944.7412          1.4734         11.4500          0.0004         -4.4318          0.5116        1.210521        1.473448
     1713.17648      1713.16711       3943.6456          1.5047         11.4503          0.0004         -5.0318          0.3176        3.006573        1.504696
     1713.19731      1713.18795       3943.6627          1.4918         11.4503          0.0004         -5.6252          0.3176       -0.881428        1.491836
     1713.21814      1713.20878       3943.9572          1.4832         11.4502          0.0004         -4.7068          0.0671        1.355750        1.483185
     1713.23898      1713.22961       3940.5335          1.4952         11.4511          0.0004         -4.2705          0.0671       -0.762273        1.495216
     1713.25981      1713.25045       3939.6944          1.4801         11.4513          0.0004         -5.8146          0.0671       -1.778479        1.480139
     1713.28064      1713.27128       3935.8413          1.4875         11.4524          0.0004         -4.9047         -0.0377       -0.037680        1.487502
     1713.30148      1713.29211       3940.6008          1.5027         11.4511          0.0004         -2.7869         -0.0377        2.523829        1.502739
     1713.32231      1713.31295       3937.6067          1.4390         11.4519          0.0004         -4.2251         -0.0377        1.206838        1.438950
     1713.34314      1713.33378       3944.6845          1.5530         11.4500          0.0004         -5.0891         -0.0979       -2.800910        1.552979
     1713.36398      1713.35461       3941.5730          1.4364         11.4508          0.0004         -4.3513         -0.0979        0.570688        1.436443
     1713.38481      1713.37545       3942.0028          1.4993         11.4507          0.0004         -6.4430         -0.1140       -2.143883        1.499296
     1713.40564      1713.39628       3937.9628          1.4898         11.4518          0.0004         -3.7835         -0.1876       -2.213048        1.489803
     1713.42648      1713.41711       3939.9845          1.4649         11.4513          0.0004         -3.0868         -0.1876       -0.097925        1.464856
     1713.44731      1713.43795       3942.3913          1.5013         11.4506          0.0004         -5.3582         -0.1876        1.214475        1.501316
     1713.46814      1713.45878       3940.2222          1.4704         11.4512          0.0004         -4.3025         -0.2064        1.009920        1.470408
     1713.48898      1713.47961       3934.9696          1.4765         11.4526          0.0004         -3.2576         -0.2528       -3.415068        1.476518
     1713.50981      1713.50045       3938.4989          1.4945         11.4517          0.0004         -6.3022         -0.3454       -0.113988        1.494489
     1713.53064      1713.52128       3936.4815          1.4508         11.4522          0.0004         -4.6611         -0.3900       -1.076754        1.450820
     1713.55148      1713.54211       3935.7307          1.5186         11.4524          0.0004         -5.6823         -0.4047       -0.618322        1.518583
     1713.57231      1713.56294       3938.0917          1.4707         11.4518          0.0004         -4.4396         -0.5895       -0.390021        1.470696
     1713.59314      1713.58378       3936.8949          1.4595         11.4521          0.0004         -5.8500         -0.6183       -0.187633        1.459470
     1713.61398      1713.60461       3939.0555          1.5191         11.4515          0.0004         -4.5930         -0.6183       -2.263225        1.519111
     1713.63481      1713.62544       3930.9730          1.4201         11.4537          0.0004         -4.8423         -0.7623       -1.463139        1.420067
     1713.65565      1713.64628       3937.8950          1.4963         11.4518          0.0004         -5.4107         -0.8814       -0.252794        1.496324
     1713.67648      1713.66711       3939.7122          1.4578         11.4513          0.0004         -4.1627         -1.0768        2.175541        1.457769
     1713.69731      1713.68794       3934.0427          1.4792         11.4529          0.0004         -5.1613         -1.1252       -0.206363        1.479240
     1713.71815      1713.70878       3937.0981          1.4745         11.4521          0.0004         -6.4851         -1.1383        0.795432        1.474523
     1713.73898      1713.72961       3932.0472          1.4748         11.4535          0.0004         -4.3038         -1.4213       -1.989930        1.474831
     1713.75981      1713.75044       3931.0955          1.4693         11.4537          0.0004         -4.5955         -1.4631       -1.421348        1.469334
     1713.78065      1713.77128       3936.6178          1.4812         11.4522          0.0004         -6.3752         -1.4631       -0.404685        1.481184
     1713.80148      1713.79211       3930.9863          1.4883         11.4537          0.0004         -7.4222         -1.7264        0.250148        1.488318
     1713.82231      1713.81294       3931.2218          1.4530         11.4537          0.0004         -3.9410         -1.7876       -1.787598        1.452959
     1713.84315      1713.83378       3929.3785          1.5120         11.4542          0.0004         -5.4066         -1.8688       -0.618319        1.512012
     1713.86398      1713.85461       3930.2591          1.4690         11.4539          0.0004         -4.8046         -1.8688       -1.138343        1.468998
     1713.88481      1713.87544       3928.4640          1.5078         11.4544          0.0004         -4.8747         -1.9899       -0.589507        1.507838
     1713.90565      1713.89628       3927.4216          1.5051         11.4547          0.0004         -5.4704         -1.9899       -1.125218        1.505106
     1713.92648      1713.91711       3922.3586          1.5082         11.4561          0.0004         -7.1957         -1.9899       -4.122213        1.508210
     1713.94731      1713.93794       3921.4554          1.4818         11.4564          0.0004         -5.0208         -2.0311       -2.063503        1.481813
     1713.96815      1713.95878       3929.1131          1.5194         11.4543          0.0004         -4.5315         -2.0311       -0.345368        1.519390
     1713.98898      1713.97961       3925.2733          1.5011         11.4553          0.0004         -6.2340         -2.0635       -1.726413        1.501094
     1714.00981      1714.00044       3927.6227          1.5926         11.4547          0.0004         -6.9691         -2.0635       -4.884330        1.592628
     1714.03065      1714.02128       3921.8289          1.4825         11.4563          0.0004         -4.8995         -2.2632       -1.868838        1.482508
     1714.05148      1714.04211       3927.7375          1.5633         11.4546          0.0004         -5.6494         -2.8209       -4.970292        1.563304
     1714.07231      1714.06294       3924.8929          1.5196         11.4554          0.0004         -7.9695         -3.6996       -3.926817        1.519626
     1714.09315      1714.08378       3915.2025          1.4799         11.4581          0.0004         -6.3114         -3.6996       -4.956682        1.479930
     1714.11398      1714.10461       3925.1298          1.5835         11.4554          0.0004         -7.0812         -3.8489       -7.097418        1.583519
     1714.13481      1714.12544       3917.9462          1.4688         11.4574          0.0004         -6.5232         -3.9268       -4.993487        1.468756
     1714.15565      1714.14628       3921.6737          1.5071         11.4563          0.0004         -6.9113         -3.9268       -2.031062        1.507098
     1714.17648      1714.16711       3919.3413          1.5469         11.4570          0.0004         -7.5532         -3.9268       -3.848925        1.546860
     1714.19731      1714.18794       3921.4549          1.4813         11.4564          0.0004         -7.0952         -3.9964       -4.902452        1.481322
     1714.21815      1714.20878       3920.9351          1.5630         11.4565          0.0004         -7.7337         -4.0282       -5.092449        1.562968
     1714.23898      1714.22961       3919.0777          1.5339         11.4570          0.0004         -4.9254         -4.0990       -6.634439        1.533869
     1714.25981      1714.25044       3922.1084          1.4628         11.4562          0.0004         -5.2039         -4.1222       -2.820921        1.462810
     1714.28065      1714.27128       3918.9857          1.5275         11.4571          0.0004         -4.5185         -4.3137       -6.638783        1.527500
     1714.30148      1714.29211       3914.6923          1.4721         11.4583          0.0004         -6.0812         -4.3784       -4.313685        1.472063
     1714.32231      1714.31294       3916.8683          1.5173         11.4577          0.0004         -6.9882         -4.3784       -3.996378        1.517307
     1714.34315      1714.33378       3914.3073          1.5351         11.4584          0.0004         -5.0818         -4.6070       -4.870707        1.535121
     1714.36398      1714.35461       3917.5562          1.5393         11.4575          0.0004         -6.5063         -4.7298       -4.378418        1.539341
     1714.38481      1714.37544       3920.8582          1.4580         11.4565          0.0004         -7.7595         -4.7298       -4.607031        1.458020
     1714.40565      1714.39628       3911.3119          1.4995         11.4592          0.0004         -4.3037         -4.8707       -4.099034        1.499514
     1714.42648      1714.41711       3915.9112          1.5365         11.4579          0.0004         -6.3469         -4.8843       -5.543413        1.536484
     1714.44731      1714.43794       3924.0122          1.4459         11.4557          0.0004         -6.9982         -4.9025       -2.011955        1.445909
     1714.46815      1714.45878       3921.1021          1.4258         11.4565          0.0004         -6.6735         -4.9025       -3.699599        1.425757
     1714.48898      1714.47961       3915.6076          1.4392         11.4580          0.0004         -6.0762         -4.9025       -4.028202        1.439155
     1714.50981      1714.50044       3911.5838          1.4715         11.4591          0.0004         -5.0469         -4.9025       -6.049242        1.471499
     1714.53065      1714.52128       3914.4184          1.5245         11.4583          0.0004         -5.7371         -4.9025       -6.119726        1.524468
     1714.55148      1714.54211       3918.5960          1.5132         11.4572          0.0004         -8.7413         -4.9567       -5.970962        1.513180
     1714.57231      1714.56294       3927.6848          1.4986         11.4547          0.0004         -8.4023         -4.9567       -1.137362        1.498558
     1714.59315      1714.58378       3912.0042          1.5486         11.4590          0.0004         -7.0358         -4.9935       -5.723906        1.548568
     1714.61398      1714.60461       3911.8191          1.5001         11.4591          0.0004         -7.2638         -5.0924       -5.403109        1.500132
     1714.63481      1714.62544       3919.0423          1.4548         11.4571          0.0004         -7.4598         -4.9935       -3.224702        1.454754
     1714.65565      1714.64628       3909.9895          1.4348         11.4596          0.0004         -7.5108         -5.0924       -3.722182        1.434849
     1714.67648      1714.66711       3915.2501          1.5155         11.4581          0.0004         -6.5097         -5.1127       -4.729771        1.515496
     1714.69731      1714.68794       3917.1725          1.4576         11.4576          0.0004         -6.5527         -5.1127       -5.896793        1.457554
     1714.71815      1714.70878       3911.1165          1.5333         11.4592          0.0004         -9.4845         -5.2200       -9.162245        1.533265
     1714.73898      1714.72961       3914.1036          1.5129         11.4584          0.0004         -7.5270         -5.2200       -5.220033        1.512904
     1714.75981      1714.75044       3911.8517          1.4321         11.4590          0.0004         -7.5002         -5.1127       -7.141213        1.432132
     1714.78065      1714.77128       3911.6961          1.5181         11.4591          0.0004         -7.3753         -5.2200       -6.157358        1.518124
     1714.80148      1714.79211       3913.9042          1.4489         11.4585          0.0004         -5.8330         -5.2200       -2.958493        1.448914
     1714.82231      1714.81294       3911.0100          1.4890         11.4593          0.0004         -8.0452         -5.2447       -9.002347        1.489029
     1714.84315      1714.83378       3913.0902          1.5325         11.4587          0.0004         -7.9659         -5.2447       -5.918759        1.532495
     1714.86398      1714.85461       3914.2223          1.4449         11.4584          0.0004         -6.4669         -5.2563       -3.287408        1.444891
     1714.88481      1714.87544       3919.9630          1.5525         11.4568          0.0004         -9.6203         -5.2563       -6.341939        1.552453
     1714.90565      1714.89628       3914.5558          1.4706         11.4583          0.0004         -6.7494         -5.4031       -5.661692        1.470640
