# reference_flux:          5.2837
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38472      1711.37545          4.5232          0.5611         18.8014          0.1347          0.1259          0.2894        1.215709        0.561060
     1711.40556      1711.39628          5.0761          0.5668         18.6762          0.1212         -0.8456          0.2894       -1.615027        0.566793
     1711.42639      1711.41711          6.0484          0.5697         18.4859          0.1023         -1.0244          0.2894       -0.267320        0.569675
     1711.44722      1711.43795          5.0631          0.5710         18.6789          0.1225          0.1149          0.2894        0.537099        0.571041
     1711.46806      1711.45878          5.5256          0.5673         18.5841          0.1115         -0.2519          0.2894        0.299965        0.567333
     1711.48889      1711.47961          5.7897          0.5760         18.5334          0.1080         -0.0892          0.2894        0.289386        0.576037
     1711.50972      1711.50045          6.0221          0.5779         18.4906          0.1042          0.4853          0.2894        0.898059        0.577897
     1711.53055      1711.52128          8.3390          0.5781         18.1372          0.0753          0.1100          0.2894        1.429664        0.578088
     1711.55139      1711.54211          5.2784          0.5781         18.6338          0.1189         -1.3692          0.2894       -0.217316        0.578091
     1711.57222      1711.56295          3.3948          0.5722         19.1130          0.1830         -0.7536          0.2894       -0.802916        0.572168
     1711.59305      1711.58378          5.8334          0.5688         18.5252          0.1059         -0.1319          0.2894        0.720768        0.568831
     1711.61388      1711.60461          5.1939          0.5759         18.6513          0.1204         -0.6164          0.2894       -0.138617        0.575890
     1711.63472      1711.62545          4.6447          0.5728         18.7726          0.1339          0.1692          0.2894        0.693768        0.572800
     1711.65555      1711.64628          4.3664          0.5806         18.8397          0.1444         -1.5853          0.2894       -0.664062        0.580603
     1711.67638      1711.66711          7.9479          0.5598         18.1894          0.0765          0.0997          0.2894        1.673387        0.559783
     1711.69721      1711.68795          4.8309          0.5652         18.7299          0.1270          1.1151          0.2894        0.160863        0.565194
     1711.71805      1711.70878          5.8168          0.5750         18.5283          0.1073          1.1437          0.2894        1.865313        0.574959
     1711.73888      1711.72961          3.8776          0.5787         18.9686          0.1620         -0.8601          0.2894        0.425237        0.578719
     1711.75971      1711.75045          7.5493          0.5778         18.2452          0.0831          0.1281          0.2894        0.772334        0.577785
     1711.78055      1711.77128          3.4414          0.5662         19.0982          0.1786          0.5696          0.3000       -1.257816        0.566224
     1711.80138      1711.79211          3.2388          0.5630         19.1640          0.1887          0.0578          0.3000       -0.854954        0.563007
     1711.82221      1711.81295          4.5878          0.5638         18.7860          0.1334         -0.1951          0.2894        0.224570        0.563839
     1711.84304      1711.83378          3.7087          0.5658         19.0169          0.1656         -1.3144          0.2894       -0.827881        0.565800
     1711.86388      1711.85461          5.8146          0.5809         18.5287          0.1085         -1.6725          0.3000        0.459049        0.580856
     1711.88471      1711.87545          4.6945          0.5698         18.7610          0.1318          0.0690          0.3000       -0.210140        0.569840
     1711.90554      1711.89628          1.7077          0.5823         19.8344         99.9000          1.0848          0.2894       -1.849836        0.582251
     1711.92638      1711.91711          6.4714          0.5762         18.4125          0.0967          1.5779          0.3000        0.591271        0.576242
     1711.94721      1711.93795          4.2198          0.5795         18.8768          0.1491         -0.1305          0.3452       -1.303484        0.579473
     1711.96804      1711.95878          5.8224          0.5652         18.5272          0.1054          0.3947          0.3000        0.241151        0.565187
     1711.98887      1711.97961          6.7863          0.5730         18.3609          0.0917          0.0412          0.3452        1.201392        0.572954
     1712.00971      1712.00045          4.3867          0.5799         18.8346          0.1435          1.4625          0.3452        0.224157        0.579877
     1712.03054      1712.02128          5.8766          0.5846         18.5172          0.1080         -1.3196          0.2412        1.206753        0.584594
     1712.05137      1712.04211          2.4314          0.5814         19.4753          0.2596         -0.6121          0.2246       -0.542718        0.581382
     1712.07220      1712.06295          5.5279          0.5855         18.5836          0.1150          0.7330          0.2412        2.300192        0.585527
     1712.09304      1712.08378          5.5265          0.5713         18.5839          0.1122          1.4594          0.2412        1.668344        0.571255
     1712.11387      1712.10461          2.4564          0.5794         19.4642          0.2561         -1.3235          0.2412       -0.297887        0.579353
     1712.13470      1712.12545          3.8931          0.5714         18.9643          0.1593          1.2614          0.2412        0.223286        0.571371
     1712.15554      1712.14628          6.1830          0.5665         18.4620          0.0995         -1.8113          0.2246        0.456281        0.566535
     1712.17637      1712.16711          4.3314          0.5655         18.8484          0.1417          0.4818          0.2412        0.733420        0.565487
     1712.19720      1712.18795          2.3164          0.5777         19.5280          0.2708          0.8553          0.2246       -0.289368        0.577667
     1712.21803      1712.20878          4.9641          0.5727         18.7004          0.1253         -0.0773          0.2246        0.345197        0.572715
     1712.23887      1712.22961          5.8792          0.5761         18.5167          0.1064         -1.9388          0.2246        0.704843        0.576074
     1712.25970      1712.25045          6.1166          0.5749         18.4737          0.1020         -1.1981          0.2246        0.801280        0.574858
     1712.28053      1712.27128          4.4896          0.5760         18.8095          0.1393          1.2659          0.2242        1.078777        0.576048
     1712.30137      1712.29211          5.0662          0.5802         18.6783          0.1243          0.7358          0.2242       -0.346291        0.580157
     1712.32220      1712.31295          3.2919          0.5743         19.1464          0.1894          0.7780          0.2242       -0.133572        0.574317
     1712.34303      1712.33378          5.0436          0.5753         18.6832          0.1238          1.0487          0.2233        0.885222        0.575269
     1712.36386      1712.35461          5.8899          0.5734         18.5147          0.1057         -0.3274          0.2242        1.533317        0.573432
     1712.38470      1712.37545          5.0816          0.5760         18.6750          0.1231          0.0945          0.2242       -0.115342        0.576015
     1712.40553      1712.39628          8.6443          0.5801         18.0982          0.0729          1.3158          0.2242        2.326153        0.580122
     1712.42636      1712.41711          6.8612          0.5800         18.3490          0.0918          0.4735          0.2242        0.545879        0.580013
