# reference_flux:         55.0193
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38433      1711.37545         51.9190          0.6017         16.1517          0.0126          0.7914         -0.2128       -0.492293        0.601735
     1711.40516      1711.39628         52.4220          0.6047         16.1412          0.0125          1.5803         -0.1608       -0.160775        0.604740
     1711.42599      1711.41711         49.8842          0.6079         16.1951          0.0132         -0.1298         -0.1608       -3.344331        0.607859
     1711.44682      1711.43795         53.5936          0.6020         16.1172          0.0122         -0.8748         -0.1608       -0.212841        0.602049
     1711.46766      1711.45878         52.8873          0.6065         16.1316          0.0125          0.5724         -0.1608       -1.031861        0.606464
     1711.48849      1711.47961         55.8096          0.6072         16.0732          0.0118         -0.1337         -0.2128        1.011304        0.607155
     1711.50932      1711.50045         50.1412          0.6071         16.1895          0.0131          1.2427         -0.2128       -0.018641        0.607111
     1711.53016      1711.52128         51.1895          0.6041         16.1670          0.0128          1.7665         -0.2128       -1.882590        0.604101
     1711.55099      1711.54211         52.1338          0.5995         16.1472          0.0125         -0.0651         -0.1608       -0.131620        0.599460
     1711.57182      1711.56295         55.7936          0.6064         16.0735          0.0118          0.2368         -0.1608        3.183720        0.606437
     1711.59266      1711.58378         53.7311          0.6041         16.1144          0.0122         -0.0483         -0.1608       -1.479081        0.604134
     1711.61349      1711.60461         53.3418          0.6086         16.1223          0.0124         -1.1117         -0.1608        1.066482        0.608559
     1711.63432      1711.62545         53.7760          0.6043         16.1135          0.0122          1.4375         -0.1608        1.616931        0.604329
     1711.65515      1711.64628         50.2512          0.6052         16.1871          0.0131         -0.7262         -0.1608       -2.144208        0.605213
     1711.67599      1711.66711         52.3841          0.6039         16.1420          0.0125          0.5670         -0.1608       -0.124759        0.603858
     1711.69682      1711.68795         52.9259          0.6037         16.1308          0.0124          1.9214         -0.1608       -0.660841        0.603663
     1711.71765      1711.70878         53.0377          0.6086         16.1285          0.0125         -1.1692         -0.1608       -1.457833        0.608599
     1711.73849      1711.72961         54.9187          0.6078         16.0907          0.0120          0.9704         -0.1385        1.001818        0.607795
