# reference_flux:         23.5306
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38371      1711.37545         23.0983          0.6785         17.0310          0.0319          0.3115         -0.1679       -0.192734        0.678484
     1711.40454      1711.39629         23.7860          0.6785         16.9992          0.0310         -0.6663         -0.1679        0.272673        0.678492
     1711.42538      1711.41712         20.2709          0.6776         17.1728          0.0363         -0.4229         -0.1679       -2.102576        0.677562
     1711.44621      1711.43795         20.1924          0.6761         17.1770          0.0364          0.1911         -0.1291       -1.367350        0.676090
     1711.46704      1711.45879         23.4173          0.6781         17.0162          0.0314         -0.7086         -0.1679       -0.558532        0.678132
     1711.48788      1711.47962         22.4238          0.6776         17.0632          0.0328          0.2628         -0.1291       -0.423015        0.677579
     1711.50871      1711.50045         23.2697          0.6767         17.0230          0.0316         -0.4349         -0.1291       -0.129064        0.676718
     1711.52954      1711.52129         23.2656          0.6791         17.0232          0.0317          0.2138         -0.1291       -0.426186        0.679111
     1711.55038      1711.54212         22.3055          0.6762         17.0690          0.0329          0.3623         -0.1291        0.190444        0.676213
     1711.57121      1711.56295         22.2885          0.6759         17.0698          0.0329          0.5691         -0.1291       -0.823165        0.675889
     1711.59204      1711.58379         23.1282          0.6765         17.0296          0.0318          0.9635         -0.1291        0.356127        0.676492
     1711.61288      1711.60462         23.0823          0.6794         17.0318          0.0320         -0.1658         -0.1291        0.291621        0.679397
     1711.63371      1711.62545         23.4308          0.6784         17.0155          0.0314          0.7718         -0.1291       -0.167925        0.678426
     1711.65454      1711.64629         23.9060          0.6796         16.9937          0.0309         -0.1242         -0.1291        0.560329        0.679569
     1711.67538      1711.66712         25.2202          0.6773         16.9356          0.0292         -0.6497         -0.1291        1.482681        0.677256
     1711.69621      1711.68795         25.9543          0.6773         16.9045          0.0283         -0.8950         -0.1291        1.770263        0.677312
