# reference_flux:         12.3570
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1711.38296      1711.37545         13.5376          0.6940         17.6111          0.0557          0.1886          0.1428        0.838796        0.694027
     1711.40380      1711.39629         11.0285          0.6912         17.8337          0.0681          0.7217          0.4475       -1.184810        0.691232
     1711.42463      1711.41712         10.9485          0.6971         17.8416          0.0691          1.2535          0.4475       -0.405623        0.697117
     1711.44546      1711.43795         12.0428          0.6962         17.7382          0.0628          1.2450          0.4475        1.504028        0.696204
     1711.46630      1711.45879         13.5126          0.6955         17.6132          0.0559          0.2350          0.2370        1.786493        0.695490
     1711.48713      1711.47962         13.4850          0.7006         17.6154          0.0564          0.7035          0.2370        0.861245        0.700583
     1711.50796      1711.50045         12.0114          0.6942         17.7410          0.0628         -0.3070          0.2370       -0.585009        0.694210
     1711.52879      1711.52129         11.7912          0.6851         17.7611          0.0631          0.4744          0.2370        0.750530        0.685066
     1711.54963      1711.54212         12.9454          0.6897         17.6597          0.0578         -0.3985          0.1428       -1.029512        0.689747
     1711.57046      1711.56295         10.7395          0.6920         17.8625          0.0700          0.8830          0.1428        0.756608        0.691956
     1711.59129      1711.58379         11.6680          0.6936         17.7725          0.0645          0.0641          0.0354        0.447465        0.693617
     1711.61212      1711.60462         13.0451          0.6931         17.6514          0.0577          0.4398          0.0354       -0.338641        0.693115
     1711.63296      1711.62545         13.9507          0.6859         17.5785          0.0534         -0.3336          0.0354        0.035389        0.685948
     1711.65379      1711.64629         11.0077          0.6865         17.8358          0.0677          0.4398          0.1428        0.142830        0.686498
     1711.67462      1711.66712         13.0033          0.6917         17.6549          0.0578          0.6306          0.1428        0.845079        0.691662
     1711.69546      1711.68795         14.5948          0.6917         17.5295          0.0515          1.3367          0.1428        0.971485        0.691690
     1711.71629      1711.70879         12.8800          0.6858         17.6652          0.0578          0.2819          0.1428        0.710062        0.685818
     1711.73712      1711.72962          9.3877          0.6912         18.0086          0.0799         -0.0805          0.1428       -1.779631        0.691238
     1711.75795      1711.75045         10.8723          0.6885         17.8492          0.0688          0.3408          0.2370       -1.418548        0.688511
     1711.77879      1711.77129         13.1757          0.6884         17.6406          0.0567          0.3774          0.1428        1.456297        0.688384
     1711.79962      1711.79212         12.0824          0.6890         17.7346          0.0619          1.3263          0.1428        1.331168        0.688964
     1711.82045      1711.81295         11.0828          0.6897         17.8284          0.0676          0.5382          0.0498       -0.371714        0.689716
     1711.84128      1711.83379         11.0004          0.6958         17.8365          0.0687          0.9985          0.0498       -0.820898        0.695765
     1711.86212      1711.85462         12.8014          0.6921         17.6719          0.0587         -0.5847          0.0498       -1.171989        0.692131
     1711.88295      1711.87545         13.1288          0.6986         17.6444          0.0578          0.2546          0.0498        0.761872        0.698586
     1711.90378      1711.89629         10.6823          0.7048         17.8683          0.0716          0.7364          0.0498       -0.519066        0.704805
     1711.92462      1711.91712         13.2568          0.7062         17.6339          0.0578         -0.2898          0.1428       -0.104137        0.706193
     1711.94545      1711.93795         13.3687          0.6997         17.6248          0.0568         -0.0637          0.1428        0.237037        0.699684
     1711.96628      1711.95879         13.5480          0.7012         17.6103          0.0562          0.5128          0.0498        0.823863        0.701207
     1711.98711      1711.97962         13.6823          0.6973         17.5996          0.0553         -0.3089          0.0498       -0.142480        0.697283
     1712.00795      1712.00045         11.5890          0.6997         17.7799          0.0656          0.8906          0.0354       -0.540560        0.699735
     1712.02878      1712.02129         10.9217          0.7059         17.8443          0.0702          1.4456          0.0354        0.019167        0.705949
     1712.04961      1712.04212         12.2591          0.6952         17.7189          0.0616          0.0286          0.0354       -0.166313        0.695159
     1712.07045      1712.06295         10.8589          0.6942         17.8505          0.0694          0.7461          0.0354       -1.176762        0.694250
     1712.09128      1712.08379         12.9780          0.6937         17.6570          0.0580          0.4520          0.0192        0.792152        0.693701
     1712.11211      1712.10462         10.6796          0.6952         17.8686          0.0707          0.3884          0.0192       -1.225785        0.695202
     1712.13294      1712.12545         12.8789          0.7016         17.6653          0.0591         -0.5106          0.0354        0.570873        0.701612
     1712.15378      1712.14629         12.8878          0.7072         17.6646          0.0596          0.5131          0.0192        0.526843        0.707232
     1712.17461      1712.16712         11.0607          0.7020         17.8305          0.0689         -0.0013          0.0192        0.323515        0.702026
     1712.19544      1712.18795         12.4813          0.7010         17.6993          0.0610          0.9077          0.0192        0.049787        0.701043
     1712.21627      1712.20879         11.3073          0.7074         17.8066          0.0679          0.6784          0.0192        0.289778        0.707420
     1712.23711      1712.22962         11.2835          0.7053         17.8089          0.0679          0.8331         -0.0073        0.268773        0.705298
     1712.25794      1712.25045         11.1246          0.6923         17.8243          0.0676          0.1299         -0.0073       -0.539324        0.692260
     1712.27877      1712.27129         13.6054          0.6992         17.6057          0.0558          0.9976         -0.0073        0.366595        0.699170
     1712.29961      1712.29212         12.0977          0.7014         17.7332          0.0629         -0.8796         -0.0073       -0.549144        0.701354
     1712.32044      1712.31295         12.1360          0.6976         17.7298          0.0624          0.3558         -0.0073       -0.321716        0.697576
     1712.34127      1712.33379         12.5771          0.6956         17.6910          0.0601         -0.0498          0.0192       -1.328048        0.695641
     1712.36210      1712.35462         12.4932          0.7007         17.6983          0.0609         -0.0757          0.0498        0.425106        0.700687
     1712.38294      1712.37545         13.7942          0.7001         17.5908          0.0551         -0.5757          0.0498        0.279120        0.700149
     1712.40377      1712.39629         14.0433          0.7084         17.5713          0.0548          0.1550          0.0498        0.190600        0.708414
     1712.42460      1712.41712         13.1349          0.7026         17.6439          0.0581         -0.4599          0.0498       -0.131328        0.702623
     1712.44544      1712.43795         11.7156          0.7163         17.7681          0.0664          2.0663          0.0602       -0.095269        0.716280
     1712.46627      1712.45879         12.3858          0.7179         17.7077          0.0629         -0.1245          0.0602        0.060154        0.717899
     1712.48710      1712.47962         11.8150          0.7203         17.7589          0.0662         -0.4876          0.0602       -0.175740        0.720281
     1712.50793      1712.50045         12.1095          0.7254         17.7322          0.0650         -1.2922          0.0602       -1.042646        0.725370
     1712.52877      1712.52129         12.1354          0.7285         17.7299          0.0652          1.4569          0.0602        0.402302        0.728497
     1712.54960      1712.54212         12.8036          0.7277         17.6717          0.0617         -1.3971          0.1633       -0.686555        0.727657
     1712.57043      1712.56295         13.8489          0.7467         17.5865          0.0585          0.4695          0.1906       -0.702154        0.746672
     1712.59127      1712.58379         13.8078          0.7606         17.5897          0.0598          0.6029          0.2688        1.882571        0.760611
     1712.61210      1712.60462         12.6311          0.7106         17.6864          0.0611         -0.5042          0.1906        0.574171        0.710606
     1712.63293      1712.62545         12.2012          0.7139         17.7240          0.0635         -0.3318          0.2688       -0.007304        0.713886
     1712.65376      1712.64629         12.1048          0.7539         17.7326          0.0676         -0.3188          0.1906        0.754097        0.753890
     1712.67460      1712.66712         11.9131          0.7223         17.7499          0.0658          0.1056          0.1633        1.294269        0.722337
     1712.69543      1712.68795         13.1476          0.7286         17.6429          0.0602         -0.9309          0.1633        0.709754        0.728604
     1712.71626      1712.70879          9.5684          0.7395         17.9879          0.0839          0.1595          0.1906       -0.250687        0.739492
     1712.73709      1712.72962         12.1985          0.7409         17.7242          0.0659         -0.5038          0.1906       -0.022767        0.740876
     1712.75793      1712.75045         11.0040          0.7524         17.8361          0.0742         -1.1888          0.1906       -1.209135        0.752442
     1712.77876      1712.77129         11.4509          0.7878         17.7929          0.0747          0.0747          0.2295        0.163334        0.787818
     1712.79959      1712.79212         11.7747          0.7970         17.7626          0.0735          1.5304          0.2295        2.109890        0.797012
     1712.82043      1712.81295         11.4183          0.8102         17.7960          0.0770          0.6376          0.2791        1.347899        0.810211
     1712.84126      1712.83379         11.3365          0.8140         17.8038          0.0780          0.6710          0.2904        1.191300        0.814015
     1712.86209      1712.85462         11.5716          0.8026         17.7815          0.0753          0.3513          0.2946        0.031845        0.802555
     1712.88293      1712.87545         13.7264          0.8073         17.5961          0.0639         -0.7284          0.2904        1.693561        0.807308
     1712.90376      1712.89629         10.3310          0.7990         17.9046          0.0840          0.1198          0.2946       -1.052698        0.799023
     1712.92459      1712.91712         13.5736          0.7956         17.6083          0.0636         -0.1014          0.3439        1.559716        0.795605
     1712.94542      1712.93795         10.7890          0.7970         17.8576          0.0802          0.2939          0.4023        0.343909        0.797031
     1712.96626      1712.95879         14.2452          0.7910         17.5558          0.0603          0.5004          0.4023        1.788955        0.790996
     1712.98709      1712.97962         11.3617          0.7877         17.8014          0.0753          0.0621          0.4023       -1.386836        0.787682
     1713.00792      1713.00045         11.0789          0.7901         17.8288          0.0774         -1.2231          0.5742       -1.007854        0.790074
     1713.02875      1713.02129         14.5130          0.7959         17.5356          0.0595          0.0109          0.7098        1.726386        0.795855
     1713.04959      1713.04212         11.0533          0.7970         17.8313          0.0783          0.3382          0.7541        0.959925        0.797050
     1713.07042      1713.06295         12.0473          0.8081         17.7378          0.0728          0.8772          0.7616        0.869843        0.808120
     1713.09125      1713.08379         10.9546          0.8179         17.8410          0.0811         -1.7541          0.7616       -0.610453        0.817864
     1713.11209      1713.10462         10.3114          0.8296         17.9067          0.0874         -0.2881          0.7541        1.035559        0.829615
     1713.13292      1713.12545         11.9872          0.8262         17.7432          0.0748          1.3641          0.7541       -0.142913        0.826213
     1713.15375      1713.14629         11.8329          0.8266         17.7573          0.0758          0.4927          0.7541        0.123811        0.826555
     1713.17458      1713.16712         11.5867          0.8147         17.7801          0.0763          0.6391          0.7098        0.294586        0.814695
     1713.19542      1713.18795         11.5403          0.8014         17.7845          0.0754          0.9661          0.7098        0.229545        0.801397
     1713.21625      1713.20879         14.1730          0.8130         17.5613          0.0623          1.9403          0.7616        1.510921        0.812994
     1713.23708      1713.22962         10.2646          0.8027         17.9116          0.0849          0.4240          0.7616        0.761565        0.802705
     1713.25792      1713.25045         13.8025          0.7788         17.5901          0.0613          0.5506          0.7616        1.204759        0.778845
     1713.27875      1713.27129         13.5428          0.7733         17.6107          0.0620          1.8131          0.8399        2.142655        0.773343
     1713.29958      1713.29212         13.0797          0.7860         17.6485          0.0652         -0.5096          0.8698        0.839896        0.786019
     1713.32041      1713.31295         11.1163          0.7728         17.8251          0.0755          0.8134          0.8399        0.290370        0.772778
     1713.34125      1713.33379         13.6460          0.7698         17.6025          0.0613          0.6265          0.7616        1.990185        0.769820
     1713.36208      1713.35462         11.0139          0.7933         17.8351          0.0782         -0.1765          0.7616       -0.219975        0.793258
     1713.38291      1713.37545         10.5892          0.8012         17.8778          0.0822          0.1372          0.8399        1.044748        0.801229
     1713.40375      1713.39629         10.8713          0.8023         17.8493          0.0801          1.3365          0.8399        1.779413        0.802296
     1713.42458      1713.41712         12.3338          0.8040         17.7123          0.0708         -0.9297          0.8698        1.414487        0.804050
     1713.44541      1713.43795         12.1739          0.8178         17.7264          0.0729          0.2938          0.8399       -0.367897        0.817850
     1713.46624      1713.45879         11.9938          0.8120         17.7426          0.0735          1.2990          0.8399       -0.877153        0.811994
     1713.48708      1713.47962         11.5038          0.8127         17.7879          0.0767         -0.3872          0.7616        1.116712        0.812734
     1713.50791      1713.50045         13.2992          0.8115         17.6304          0.0663         -0.2157          0.8399        1.717283        0.811525
     1713.52874      1713.52129         12.1637          0.8118         17.7273          0.0725         -0.6090          0.8698        1.583037        0.811840
     1713.54958      1713.54212         12.1939          0.8059         17.7246          0.0718         -0.1031          0.8399        0.927490        0.805897
     1713.57041      1713.56295         11.2590          0.8057         17.8113          0.0777         -0.2381          0.7616       -0.375270        0.805724
     1713.59124      1713.58379          9.6152          0.7994         17.9826          0.0903          2.3063          0.7616       -0.242150        0.799422
     1713.61207      1713.60462         11.0891          0.8077         17.8278          0.0791          1.4486          0.7616       -0.429087        0.807696
     1713.63291      1713.62545         10.8380          0.8101         17.8526          0.0812         -0.6871          0.6648       -0.564837        0.810118
     1713.65374      1713.64629         10.3788          0.8114         17.8996          0.0849          1.0782          0.7616       -0.615322        0.811398
     1713.67457      1713.66712         11.5592          0.8133         17.7827          0.0764          1.2957          0.7616        0.953708        0.813320
     1713.69540      1713.68795         16.3625          0.8169         17.4054          0.0542          0.4471          0.7616        1.758253        0.816863
     1713.71624      1713.70879         11.4155          0.8174         17.7963          0.0777         -0.2947          0.7616        0.198209        0.817402
     1713.73707      1713.72962         10.8786          0.8147         17.8486          0.0813          0.0900          0.6677        0.063744        0.814661
     1713.75790      1713.75045         12.5814          0.8247         17.6907          0.0712         -0.3878          0.6648        1.387601        0.824688
     1713.77874      1713.77129          8.6384          0.8278         18.0989          0.1040         -0.2913          0.6648        1.623862        0.827840
     1713.79957      1713.79212          9.8953          0.8368         17.9514          0.0918          0.1697          0.6648        0.113789        0.836785
     1713.82040      1713.81295         12.5436          0.8450         17.6939          0.0731         -0.3609          0.6533       -1.123370        0.845022
     1713.84123      1713.83378         13.5649          0.8410         17.6090          0.0673         -0.9003          0.6648        1.469062        0.841017
     1713.86207      1713.85462         11.4974          0.8466         17.7885          0.0799         -1.1432          0.6648        1.392952        0.846562
     1713.88290      1713.87545         12.5578          0.8461         17.6927          0.0732         -1.0736          0.6677        1.645859        0.846122
     1713.90373      1713.89628         12.4419          0.8480         17.7028          0.0740         -0.3168          0.6677        1.482196        0.847996
     1713.92457      1713.91712         11.2415          0.8463         17.8129          0.0817         -1.7199          0.6648       -2.065677        0.846341
     1713.94540      1713.93795         10.9205          0.8379         17.8444          0.0833         -2.9381          0.6533       -0.976001        0.837876
     1713.96623      1713.95878         12.3178          0.8152         17.7137          0.0719         -3.2038          0.6533       -0.026622        0.815192
     1713.98706      1713.97962         16.3691          0.8176         17.4049          0.0542         -0.9490          0.6533        2.819508        0.817641
     1714.00790      1714.00045         12.3263          0.8120         17.7129          0.0715         -1.1506          0.6210        1.713777        0.812038
     1714.02873      1714.02128         10.5480          0.8126         17.8821          0.0836         -1.2470          0.6210        0.664810        0.812613
     1714.04956      1714.04212         11.1832          0.8154         17.8186          0.0792         -0.1286          0.5253        0.621029        0.815375
     1714.07040      1714.06295         10.0865          0.8227         17.9306          0.0886         -0.4227          0.5253        0.768842        0.822716
     1714.09123      1714.08378          9.8520          0.8285         17.9562          0.0913         -1.0794          0.5253       -1.162661        0.828507
     1714.11206      1714.10462         10.9950          0.8409         17.8370          0.0830         -0.6285          0.5253        0.653282        0.840885
     1714.13289      1714.12545         12.4152          0.8328         17.7051          0.0728         -1.7612          0.5253        1.104649        0.832838
     1714.15373      1714.14628         10.5760          0.8305         17.8792          0.0853         -0.9618          0.6210        0.667730        0.830469
     1714.17456      1714.16712         11.9016          0.8240         17.7510          0.0752         -1.9004          0.6533       -0.968493        0.823981
     1714.19539      1714.18795         10.7388          0.8117         17.8626          0.0821         -0.1921          0.6533        0.207582        0.811651
     1714.21623      1714.20878         11.3861          0.8216         17.7991          0.0783          0.7353          0.6210       -0.297945        0.821584
     1714.23706      1714.22962         11.5139          0.8222         17.7869          0.0775         -1.3636          0.6216       -0.295206        0.822241
     1714.25789      1714.25045         11.4208          0.8182         17.7958          0.0778         -1.6434          0.6533        0.932414        0.818243
     1714.27872      1714.27128         12.4489          0.8220         17.7022          0.0717          0.6682          0.6533        2.028827        0.822016
     1714.29956      1714.29212         11.5698          0.8255         17.7817          0.0775         -1.4346          0.6455       -0.348576        0.825461
