# reference_flux:       -151.6631
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1738.68043      1738.66710       -371.3547          1.1397         19.1052         99.9000          2.1444         -3.7583       -5.176098        1.139681
     1738.70126      1738.68793       -321.5920          1.1492         19.0962         99.9000          3.1584         -3.7583       -4.761759        1.149216
     1738.72210      1738.70876       -278.2279          1.1594         19.0866         99.9000          4.4322         -3.7583       -0.175845        1.159436
     1738.74293      1738.72960       -290.4149          1.1427         19.1023         99.9000          2.3965         -3.7583       -2.227527        1.142744
     1738.76376      1738.75043       -320.2474          1.1464         19.0989         99.9000         -0.2472         -3.7583       -1.050026        1.146369
     1738.78460      1738.77126       -347.8309          1.1364         19.1083         99.9000          1.3893         -3.7583       -6.170905        1.136426
     1738.80543      1738.79210       -367.9441          1.1349         19.1098         99.9000          0.7263         -3.7583       -3.485797        1.134945
     1738.82626      1738.81293       -380.9968          1.1460         19.0992         99.9000          0.1823         -3.7583       -6.822088        1.145995
     1738.84710      1738.83376       -377.5431          1.1456         19.0996         99.9000          0.7575         -3.7583       -5.582570        1.145626
     1738.86793      1738.85460       -349.3953          1.1430         19.1021         99.9000          0.9842         -3.7583       -2.384112        1.143017
     1738.88876      1738.87543       -307.6456          1.1665         19.0800         99.9000          7.1496         -3.7583       -1.771784        1.166513
     1738.90960      1738.89626       -287.6512          1.1543         19.0914         99.9000          3.9972         -3.7583       -0.255506        1.154277
     1738.93043      1738.91710       -312.3512          1.1545         19.0913         99.9000          4.2690         -4.3350       -0.640112        1.154455
     1738.95126      1738.93793       -341.9871          1.1609         19.0852         99.9000          0.9735         -4.3350       -1.541622        1.160936
     1738.97210      1738.95876       -352.0415          1.1472         19.0981         99.9000         -1.4919         -4.3350       -5.549378        1.147200
     1738.99293      1738.97960       -373.0529          1.1453         19.0999         99.9000         -1.0346         -4.3350       -6.546177        1.145337
     1739.01376      1739.00043       -381.8736          1.1474         19.0979         99.9000          0.3929         -4.3350       -3.758251        1.147413
     1739.03460      1739.02126       -371.2139          1.1479         19.0974         99.9000         -0.4255         -3.7583       -5.808693        1.147947
     1739.05543      1739.04210       -333.2519          1.1452         19.1000         99.9000          3.2512         -4.3350       -3.332071        1.145172
     1739.07626      1739.06293       -300.8777          1.1515         19.0940         99.9000          6.9721         -4.3350       -1.981071        1.151504
     1739.09710      1739.08376       -302.6444          1.1535         19.0922         99.9000          5.1761         -4.7469       -0.538066        1.153456
     1739.11793      1739.10460       -322.2133          1.1550         19.0907         99.9000          3.8874         -4.7618       -5.951555        1.155050
     1739.13876      1739.12543       -338.8616          1.1604         19.0857         99.9000         -0.6766         -4.7618       -5.732253        1.160370
     1739.15960      1739.14626       -358.8293          1.1651         19.0813         99.9000         -2.6010         -5.0301       -6.727292        1.165095
     1739.18043      1739.16710       -371.4116          1.1487         19.0967         99.9000         -5.0523         -5.0301       -8.694515        1.148719
     1739.20126      1739.18793       -381.5828          1.1499         19.0956         99.9000         -3.8731         -5.0282       -4.746945        1.149866
     1739.22210      1739.20876       -369.9958          1.1480         19.0973         99.9000         -1.0600         -5.0301       -6.688673        1.147997
     1739.24293      1739.22960       -329.8687          1.1582         19.0877         99.9000          4.2507         -5.2439       -2.441757        1.158207
     1739.26376      1739.25043       -286.2548          1.1601         19.0859         99.9000          6.0471         -5.3371        0.594441        1.160134
     1739.28459      1739.27126       -298.8664          1.1503         19.0951         99.9000          6.2898         -5.5494       -3.219351        1.150339
     1739.30543      1739.29210       -327.4598          1.1478         19.0976         99.9000          3.6643         -5.5494       -5.030138        1.147775
     1739.32626      1739.31293       -343.4632          1.1480         19.0973         99.9000          0.4443         -5.5494       -8.766576        1.148030
     1739.34709      1739.33376       -362.6982          1.1504         19.0951         99.9000          0.4674         -5.5494       -5.243928        1.150385
     1739.36793      1739.35460       -373.1919          1.1550         19.0907         99.9000         -1.8040         -5.5494       -4.335011        1.155043
