# reference_flux:         64.2207
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1738.67704      1738.66710         66.2090          0.6645         15.8877          0.0109         -0.9816         -0.0357        0.224580        0.664467
     1738.69787      1738.68793         64.9165          0.6552         15.9091          0.0110         -0.1193         -0.0357       -0.035729        0.655247
     1738.71871      1738.70877         67.8502          0.6509         15.8611          0.0104         -0.0789         -0.0357        0.082578        0.650855
     1738.73954      1738.72960         65.1306          0.6607         15.9055          0.0110          0.0952          0.0523        0.297923        0.660740
     1738.76037      1738.75043         66.1182          0.6530         15.8892          0.0107          0.5284          0.0523        0.647701        0.652995
     1738.78121      1738.77127         65.9171          0.6508         15.8925          0.0107          0.2258          0.0523        1.648087        0.650752
     1738.80204      1738.79210         66.2962          0.6569         15.8863          0.0108         -0.5365         -0.0357       -0.084628        0.656907
     1738.82287      1738.81293         67.2993          0.6456         15.8700          0.0104          1.0959          0.0523        2.034647        0.645606
     1738.84371      1738.83377         66.2577          0.6546         15.8869          0.0107          0.1278          0.0523       -0.982822        0.654582
     1738.86454      1738.85460         61.6759          0.6440         15.9647          0.0113          2.5812          0.0826       -0.685025        0.644020
     1738.88537      1738.87543         65.9027          0.6502         15.8927          0.0107         -1.2132          0.0826        0.895052        0.650235
     1738.90621      1738.89627         65.9615          0.6485         15.8918          0.0107          0.3468          0.0826        0.264442        0.648498
     1738.92704      1738.91710         63.8560          0.6436         15.9270          0.0109          1.3677          0.0826       -0.478988        0.643562
     1738.94787      1738.93793         64.4696          0.6354         15.9166          0.0107          0.4444          0.0826       -0.772374        0.635416
     1738.96870      1738.95877         64.9155          0.6561         15.9091          0.0110         -0.7579          0.0523       -0.755688        0.656086
     1738.98954      1738.97960         64.6207          0.6604         15.9141          0.0111         -1.3182          0.0523       -0.249723        0.660439
     1739.01037      1739.00043         65.2864          0.6692         15.9029          0.0111          0.7263          0.0826       -0.598894        0.669172
     1739.03120      1739.02127         64.4334          0.6343         15.9172          0.0107          0.4900          0.0523       -1.395021        0.634265
