# reference_flux:         -7.1775
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1738.67735      1738.66710         -0.4588          0.6007         19.8005         99.9000         -0.7596         -0.6924       -0.998687        0.600725
     1738.69818      1738.68793         -2.8103          0.5917         19.8170         99.9000         -0.1015         -0.6834       -1.479761        0.591661
     1738.71902      1738.70877         -1.4963          0.6048         19.7931         99.9000         -0.6915         -0.6834        0.067496        0.604845
     1738.73985      1738.72960         -1.5583          0.5912         19.8178         99.9000          1.3370         -0.6834       -0.683420        0.591217
     1738.76068      1738.75043         -2.9583          0.5990         19.8036         99.9000          0.7803         -0.6834       -0.480550        0.598994
     1738.78151      1738.77127         -1.2360          0.5964         19.8084         99.9000         -0.3239         -0.6834       -1.033696        0.596388
     1738.80235      1738.79210         -0.3645          0.5965         19.8081         99.9000          1.1710         -0.6834        0.620527        0.596527
     1738.82318      1738.81293         -3.0098          0.5942         19.8123         99.9000          0.3625         -0.6924       -0.753596        0.594209
     1738.84401      1738.83377         -0.4644          0.5875         19.8246         99.9000         -0.3207         -0.6989       -0.789955        0.587526
     1738.86485      1738.85460         -1.5077          0.5987         19.8042         99.9000          1.5075         -0.6989       -0.698912        0.598709
     1738.88568      1738.87543         -1.2324          0.6021         19.7979         99.9000         -0.0097         -0.6924       -0.108948        0.602146
     1738.90651      1738.89627         -1.1960          0.6029         19.7967         99.9000          0.6590         -0.6924       -1.067941        0.602853
     1738.92735      1738.91710         -2.0953          0.6073         19.7886         99.9000          0.7852         -0.6924       -1.783172        0.607341
     1738.94818      1738.93793         -1.2964          0.5996         19.8025         99.9000          0.9418         -0.6834       -0.099437        0.599625
     1738.96901      1738.95877         -2.7352          0.5953         19.8104         99.9000          0.6212         -0.6924       -1.878737        0.595273
     1738.98985      1738.97960         -0.4818          0.5968         19.8077         99.9000         -0.1342         -0.6834        0.487223        0.596754
     1739.01068      1739.00043          0.2390          0.6023         19.7976         99.9000          0.9518         -0.6834       -0.463713        0.602330
     1739.03151      1739.02127          0.0200          0.6016         19.7990         99.9000         -0.8896         -0.6834       -0.181215        0.601584
     1739.05235      1739.04210          0.5501          0.6039         19.7948         99.9000         -0.2009         -0.6834       -0.359423        0.603883
     1739.07318      1739.06293          0.9333          0.5777         19.8429         99.9000          1.2789         -0.6834        0.885719        0.577704
     1739.09401      1739.08377         -1.8057          0.5987         19.8042         99.9000          0.2626         -0.6834       -0.251882        0.598700
     1739.11485      1739.10460         -2.4916          0.6044         19.7939         99.9000          0.6645         -0.6834       -0.692433        0.604381
     1739.13568      1739.12543         -2.7401          0.6063         19.7905         99.9000          0.5952         -0.6834       -1.358054        0.606293
     1739.15651      1739.14627         -1.4184          0.6003         19.8013         99.9000         -0.4284         -0.5893       -0.840335        0.600289
     1739.17734      1739.16710         -0.7455          0.5916         19.8171         99.9000          0.6938         -0.5893       -0.486010        0.591636
     1739.19818      1739.18793         -1.9944          0.5962         19.8087         99.9000          0.1362         -0.5893       -0.748431        0.596200
     1739.21901      1739.20877         -2.0230          0.5901         19.8200         99.9000          2.4458         -0.5893       -0.113416        0.590060
     1739.23984      1739.22960         -0.1068          0.5848         19.8297         99.9000          0.3276         -0.6295        1.694305        0.584766
     1739.26068      1739.25043         -1.9312          0.5908         19.8187         99.9000         -0.2258         -0.6295       -2.707257        0.590754
     1739.28151      1739.27127          0.8501          0.5885         19.8229         99.9000         -0.5132         -0.6924        0.110084        0.588476
     1739.30234      1739.29210         -2.7749          0.5973         19.8067         99.9000          0.8878         -0.6924       -1.811339        0.597320
     1739.32318      1739.31293         -3.0432          0.5865         19.8266         99.9000          0.4226         -0.6989       -2.282142        0.586473
     1739.34401      1739.33377         -1.7778          0.5807         19.8374         99.9000         -1.1670         -0.6924       -0.292398        0.580672
     1739.36484      1739.35460          0.8103          0.5905         19.8191         99.9000          0.1951         -0.6295        0.660636        0.590519
     1739.38568      1739.37543         -0.9099          0.5808         19.8372         99.9000          1.0800         -0.5893       -0.561232        0.580766
