# reference_flux:        179.9168
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1738.67775      1738.66710        178.3124          0.6853         14.8120          0.0042          1.0138          0.0472       -1.498459        0.685264
     1738.69858      1738.68793        179.8052          0.6853         14.8030          0.0041          0.2651          0.0472        0.342970        0.685255
     1738.71941      1738.70877        180.9064          0.6871         14.7964          0.0041         -0.3783         -0.0516        0.875461        0.687109
     1738.74025      1738.72960        180.0381          0.6861         14.8016          0.0041          2.2613         -0.0516       -0.549466        0.686122
     1738.76108      1738.75043        178.7134          0.6852         14.8096          0.0042         -0.3667         -0.0516       -0.232141        0.685157
     1738.78191      1738.77127        181.4873          0.6858         14.7929          0.0041          0.0001         -0.0516        0.264035        0.685831
     1738.80275      1738.79210        178.7765          0.6846         14.8092          0.0042         -0.1594          0.0472        0.427967        0.684598
     1738.82358      1738.81293        179.5332          0.6836         14.8046          0.0041         -1.4273         -0.0516       -0.769856        0.683558
     1738.84441      1738.83377        180.7558          0.6848         14.7973          0.0041          0.5333         -0.0516        0.697712        0.684770
     1738.86525      1738.85460        178.6348          0.6841         14.8101          0.0042          0.3142         -0.0516        0.579068        0.684059
     1738.88608      1738.87543        178.3393          0.6849         14.8119          0.0042         -0.9182         -0.0516       -1.538564        0.684933
     1738.90691      1738.89627        180.9972          0.6843         14.7958          0.0041         -0.1049         -0.0067       -0.091591        0.684294
     1738.92775      1738.91710        178.8596          0.6848         14.8087          0.0042          0.2701         -0.0067       -1.126729        0.684773
     1738.94858      1738.93793        179.4724          0.6857         14.8050          0.0041          0.9076          0.0472       -0.051643        0.685746
     1738.96941      1738.95877        180.1709          0.6857         14.8008          0.0041          0.8271          0.0781        0.086505        0.685658
     1738.99025      1738.97960        179.1715          0.6855         14.8068          0.0042          0.7639          0.0781        0.078115        0.685516
     1739.01108      1739.00043        177.8330          0.6846         14.8150          0.0042          1.0774          0.0781       -0.596261        0.684550
     1739.03192      1739.02127        180.6375          0.6837         14.7980          0.0041         -1.8915          0.0781        0.971149        0.683714
     1739.05275      1739.04210        179.5456          0.6853         14.8046          0.0041         -0.3387          0.0472       -0.423607        0.685312
     1739.07358      1739.06293        179.0576          0.6848         14.8075          0.0042          0.2244          0.0472        0.047186        0.684839
     1739.09442      1739.08377        178.9123          0.6843         14.8084          0.0042         -0.4510          0.0472       -1.386353        0.684261
     1739.11525      1739.10460        180.4018          0.6862         14.7994          0.0041         -1.4639          0.0781        1.032922        0.686230
     1739.13608      1739.12543        179.5913          0.6845         14.8043          0.0041         -1.2257          0.0781        0.600971        0.684453
     1739.15692      1739.14627        178.1936          0.6852         14.8128          0.0042         -0.7085          0.0472        0.384138        0.685188
     1739.17775      1739.16710        179.4434          0.6854         14.8052          0.0041         -0.1636          0.0781       -0.186310        0.685364
     1739.19858      1739.18793        177.9837          0.6864         14.8140          0.0042          1.1104          0.0865       -0.098858        0.686391
     1739.21942      1739.20877        179.4663          0.6854         14.8050          0.0041          0.4356          0.0865        0.821448        0.685378
     1739.24025      1739.22960        177.5228          0.6860         14.8169          0.0042          1.9819          0.0781       -0.594500        0.686047
     1739.26108      1739.25043        178.6955          0.6865         14.8097          0.0042          0.7181          0.0781        0.367997        0.686482
     1739.28192      1739.27127        182.0409          0.6871         14.7896          0.0041          0.4291          0.0865        0.440169        0.687052
     1739.30275      1739.29210        177.5466          0.6846         14.8167          0.0042          0.0748          0.0781       -1.182672        0.684615
     1739.32359      1739.31293        179.3346          0.6856         14.8058          0.0042          0.3732          0.0472       -0.618617        0.685567
     1739.34442      1739.33377        178.9142          0.6834         14.8084          0.0041          0.8574          0.0781        0.654748        0.683386
     1739.36525      1739.35460        179.1131          0.6866         14.8072          0.0042         -0.0241          0.0472        0.687916        0.686568
     1739.38609      1739.37543        179.3224          0.6859         14.8059          0.0042          0.9497          0.0458       -0.006742        0.685926
     1739.40692      1739.39627        179.0432          0.6847         14.8076          0.0042          0.4268          0.0472       -1.006172        0.684736
     1739.42775      1739.41710        179.7711          0.6813         14.8032          0.0041         -0.0073          0.0472        0.684628        0.681312
     1739.44859      1739.43793        179.7199          0.6856         14.8035          0.0041         -0.6487          0.0472        1.517177        0.685590
     1739.46942      1739.45877        179.5412          0.6843         14.8046          0.0041          0.1364          0.0472        0.973943        0.684300
     1739.49025      1739.47960        179.4633          0.6852         14.8051          0.0041          0.1378          0.0458        0.117154        0.685186
     1739.51109      1739.50043        178.6553          0.6863         14.8100          0.0042          0.3201          0.0458        0.045762        0.686253
     1739.53192      1739.52127        178.0034          0.6852         14.8139          0.0042          0.2629          0.0458       -0.093890        0.685206
     1739.55275      1739.54210        179.3957          0.6867         14.8055          0.0042         -0.0974         -0.0039        0.210149        0.686747
     1739.57359      1739.56293        178.7466          0.6823         14.8094          0.0041          0.4040         -0.0039       -0.732437        0.682348
     1739.59442      1739.58377        180.2212          0.6890         14.8005          0.0042         -0.0115         -0.0067        1.196461        0.688997
     1739.61525      1739.60460        180.4753          0.6876         14.7990          0.0041         -1.7909         -0.0067        0.821148        0.687639
     1739.63609      1739.62543        178.5894          0.6883         14.8104          0.0042          0.0090         -0.0939       -0.422245        0.688291
     1739.65692      1739.64627        179.3146          0.6864         14.8060          0.0042         -0.0767         -0.0989        0.440923        0.686403
     1739.67775      1739.66710        180.6762          0.6911         14.7977          0.0042         -0.0256         -0.0989        0.980333        0.691074
     1739.69859      1739.68793        179.5225          0.6907         14.8047          0.0042          0.5706         -0.0989        0.568258        0.690739
     1739.71942      1739.70877        177.8347          0.6904         14.8150          0.0042          0.3202         -0.0991       -1.990389        0.690370
     1739.74025      1739.72960        178.5255          0.6984         14.8107          0.0042          1.3993         -0.1106       -0.676099        0.698385
     1739.76109      1739.75043        178.8015          0.6989         14.8091          0.0042          0.2986         -0.1106        0.345074        0.698942
     1739.78192      1739.77127        182.7272          0.6979         14.7855          0.0041         -1.4762         -0.1638       -0.099103        0.697870
     1739.80276      1739.79210        180.2483          0.6972         14.8003          0.0042         -0.5216         -0.1638       -0.003883        0.697168
     1739.82359      1739.81293        182.0647          0.7018         14.7894          0.0042          0.2292         -0.1106        1.230702        0.701779
