# reference_flux:         16.3750
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1738.67620      1738.66710         17.1617          0.6143         17.3536          0.0389          0.8834         -0.0339       -0.969843        0.614350
     1738.69703      1738.68793         15.7040          0.6100         17.4500          0.0422          0.8823         -0.0339       -0.889132        0.609951
     1738.71786      1738.70877         14.8155          0.6167         17.5132          0.0452          0.6133         -0.0339        0.073580        0.616691
     1738.73870      1738.72960         14.1192          0.6123         17.5655          0.0471          0.0683         -0.0339       -1.688921        0.612348
     1738.75953      1738.75043         15.0649          0.6161         17.4951          0.0444          0.7024         -0.0339       -1.812059        0.616138
     1738.78036      1738.77127         15.2778          0.6111         17.4799          0.0434          0.6022         -0.3844       -1.382089        0.611093
     1738.80120      1738.79210         16.6984          0.6145         17.3833          0.0400          0.0792         -0.3844       -0.033944        0.614489
     1738.82203      1738.81293         17.1095          0.6159         17.3569          0.0391          0.0120         -0.0339        0.172136        0.615850
     1738.84286      1738.83377         17.1901          0.6093         17.3518          0.0385          0.8877         -0.0339        1.203924        0.609261
     1738.86370      1738.85460         23.1173          0.6166         17.0302          0.0290          0.2292         -0.0339        1.506339        0.616616
     1738.88453      1738.87543         17.9754          0.6096         17.3033          0.0368          0.2095         -0.3844        0.991562        0.609631
     1738.90536      1738.89627         17.5441          0.6091         17.3297          0.0377         -0.2848         -0.3844       -0.642644        0.609067
     1738.92620      1738.91710         14.5960          0.6119         17.5294          0.0455         -0.3326         -0.0339       -0.794853        0.611917
     1738.94703      1738.93793         17.7295          0.6156         17.3183          0.0377          1.0168         -0.0339       -2.270985        0.615583
     1738.96786      1738.95877         15.8358          0.6110         17.4409          0.0419          0.1359         -0.3844        0.383838        0.611031
     1738.98870      1738.97960         18.0355          0.6162         17.2997          0.0371          0.5775         -0.3844        0.594943        0.616213
     1739.00953      1739.00043         15.5664          0.6119         17.4595          0.0427          0.7321         -0.3844       -0.015625        0.611855
     1739.03036      1739.02127         14.3206          0.6139         17.5501          0.0465          1.4007         -0.3844       -1.395028        0.613947
     1739.05120      1739.04210         15.3580          0.6095         17.4742          0.0431          0.6211         -0.3844       -2.201223        0.609471
     1739.07203      1739.06293         15.3761          0.6160         17.4729          0.0435          0.4467         -0.3844       -0.008852        0.616049
     1739.09286      1739.08377         15.5015          0.6143         17.4641          0.0430         -0.3708         -0.0339       -1.519488        0.614256
     1739.11370      1739.10460         18.5987          0.6156         17.2663          0.0359          1.7762         -0.0156        0.296574        0.615590
     1739.13453      1739.12543         17.5402          0.6136         17.3299          0.0380         -0.3052         -0.0156        0.761179        0.613577
     1739.15536      1739.14627         16.4566          0.6058         17.3992          0.0400          1.4903         -0.0089        0.592132        0.605831
     1739.17620      1739.16710         16.1788          0.6091         17.4176          0.0409          0.1999         -0.0015       -0.969784        0.609150
     1739.19703      1739.18793         18.5054          0.6100         17.2718          0.0358          0.2388         -0.0015        2.057428        0.610023
     1739.21786      1739.20877         18.4617          0.6088         17.2743          0.0358          0.5075          0.0736        0.339731        0.608832
     1739.23870      1739.22960         15.6443          0.6046         17.4541          0.0420          1.0325          0.0866       -0.384364        0.604617
     1739.25953      1739.25043         15.0192          0.6049         17.4984          0.0437          0.1713          0.0866       -1.153658        0.604876
     1739.28036      1739.27127         17.3538          0.6004         17.3415          0.0376          0.1369          0.0866       -0.626893        0.600422
     1739.30120      1739.29210         17.0905          0.6086         17.3581          0.0387          0.2618          0.1721        0.204973        0.608602
     1739.32203      1739.31293         17.3854          0.6064         17.3395          0.0379          0.1621          0.1721        0.761717        0.606379
