# reference_flux:        -34.5895
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1738.67681      1738.66710         -1.1647          0.5911         19.8180         99.9000          0.0628         -0.4627       -1.195339        0.591137
     1738.69765      1738.68793         -1.3217          0.5918         19.8167         99.9000          0.5970         -0.4627       -0.251147        0.591808
     1738.71848      1738.70877          2.2607          0.5906         19.5544          0.2836         -1.7636         -0.4627        1.704625        0.590567
     1738.73931      1738.72960         -0.7884          0.5835         19.8321         99.9000         -0.4863         -0.4627       -0.616885        0.583522
     1738.76015      1738.75043         -1.4146          0.5903         19.8196         99.9000          0.1687         -0.4627       -0.041917        0.590263
     1738.78098      1738.77127         -1.4870          0.5822         19.8344         99.9000          0.7768         -0.4545       -0.887417        0.582242
     1738.80181      1738.79210         -2.0614          0.5806         19.8374         99.9000          0.4961         -0.4545        0.224206        0.580634
     1738.82265      1738.81293         -0.7536          0.5873         19.8251         99.9000          1.8810         -0.4545       -0.000689        0.587289
     1738.84348      1738.83377         -0.6269          0.5874         19.8249         99.9000          0.6335         -0.4545       -1.269022        0.587359
     1738.86431      1738.85460         -1.2109          0.5839         19.8313         99.9000         -0.0646         -0.4545       -0.620132        0.583929
     1738.88514      1738.87543         -1.3099          0.5726         19.8526         99.9000          0.5561         -0.4545       -1.244501        0.572583
     1738.90598      1738.89627         -2.8197          0.5800         19.8386         99.9000          0.6938         -0.4429       -0.944673        0.580019
     1738.92681      1738.91710          0.3964          0.5799         19.8388         99.9000         -0.9009         -0.4429       -0.204217        0.579918
     1738.94764      1738.93793         -1.5659          0.5749         19.8483         99.9000         -0.6845         -0.4429       -1.154764        0.574864
     1738.96848      1738.95877          1.2015          0.5741         19.8498         99.9000          1.6160         -0.3440        1.065010        0.574062
     1738.98931      1738.97960         -2.2240          0.5721         19.8535         99.9000          0.6380         -0.3425       -0.272026        0.572133
     1739.01014      1739.00043         -0.5125          0.5818         19.8352         99.9000          0.8418         -0.3425       -0.696088        0.581816
     1739.03098      1739.02127         -1.0824          0.5905         19.8192         99.9000          1.2391         -0.3440        0.132900        0.590464
     1739.05181      1739.04210         -2.4304          0.5753         19.8474         99.9000          0.0210         -0.3440       -0.454478        0.575330
     1739.07264      1739.06293         -1.1037          0.5792         19.8401         99.9000          0.5069         -0.3440       -0.462711        0.579197
     1739.09348      1739.08377         -1.7073          0.5900         19.8201         99.9000          0.8035         -0.4429       -0.581922        0.590008
     1739.11431      1739.10460         -0.1562          0.5818         19.8352         99.9000          0.1714         -0.3440       -1.122216        0.581811
     1739.13514      1739.12543          0.2796          0.5843         19.8307         99.9000          0.7403         -0.4429        0.710651        0.584257
     1739.15598      1739.14627         -0.0314          0.5770         19.8443         99.9000          0.5864         -0.4429       -0.344007        0.576957
     1739.17681      1739.16710         -3.4739          0.5844         19.8303         99.9000          0.4128         -0.3751       -1.699992        0.584448
     1739.19764      1739.18793         -0.6004          0.5884         19.8230         99.9000          0.2453         -0.3751        0.060047        0.588416
     1739.21848      1739.20877         -1.0882          0.5788         19.8409         99.9000         -0.1760         -0.4429       -1.612444        0.578802
     1739.23931      1739.22960          0.4455          0.5843         19.8306         99.9000          0.2882         -0.4429        1.014234        0.584285
     1739.26014      1739.25043          0.4539          0.5862         19.8271         99.9000          0.6083         -0.4429       -0.107365        0.586172
     1739.28097      1739.27127         -0.2883          0.5852         19.8290         99.9000         -0.5423         -0.4545       -0.442870        0.585168
     1739.30181      1739.29210         -0.6409          0.5839         19.8314         99.9000          0.5620         -0.4545       -0.142429        0.583885
     1739.32264      1739.31293         -0.3841          0.5768         19.8446         99.9000         -0.1465         -0.4627       -0.530993        0.576814
     1739.34347      1739.33377         -1.8197          0.5782         19.8420         99.9000          1.1900         -0.5310        0.145269        0.578177
     1739.36431      1739.35460         -1.7436          0.5703         19.8569         99.9000         -0.0335         -0.5310        0.496935        0.570344
     1739.38514      1739.37543         -1.2948          0.5743         19.8494         99.9000          0.6089         -0.4627        0.040494        0.574252
     1739.40597      1739.39627          0.2991          0.5846         19.8301         99.9000         -0.1688         -0.4545       -0.188278        0.584596
     1739.42681      1739.41710         -1.0181          0.5837         19.8318         99.9000          1.4813         -0.4545       -1.178995        0.583677
     1739.44764      1739.43793          0.6491          0.5907         19.8187         99.9000          0.4365         -0.4627        0.161700        0.590718
     1739.46847      1739.45877          0.1939          0.5912         19.8179         99.9000          0.6761         -0.4627       -0.342542        0.591152
     1739.48931      1739.47960         -2.9571          0.5872         19.8252         99.9000          0.9713         -0.4627       -2.439861        0.587235
     1739.51014      1739.50043         -0.9774          0.5830         19.8330         99.9000          0.3767         -0.5310       -0.899888        0.583027
     1739.53097      1739.52127          1.8478          0.5791         19.7734          0.3403          0.0989         -0.4627        0.528342        0.579092
     1739.55181      1739.54210          0.9189          0.5901         19.8200         99.9000          0.4652         -0.5310       -0.661456        0.590051
     1739.57264      1739.56293         -1.4729          0.5882         19.8234         99.9000          0.9468         -0.5310       -0.531009        0.588201
     1739.59347      1739.58377         -0.3102          0.5832         19.8326         99.9000          0.6805         -0.5310        0.035258        0.583233
     1739.61431      1739.60460          0.0962          0.5913         19.8177         99.9000          1.4016         -0.5265       -0.547931        0.591314
     1739.63514      1739.62543          0.2908          0.5932         19.8141         99.9000          1.6441         -0.4429        0.667089        0.593238
     1739.65597      1739.64627         -0.0873          0.5843         19.8306         99.9000         -0.4445         -0.4429       -0.375076        0.584316
     1739.67680      1739.66710         -2.2460          0.5857         19.8280         99.9000          0.3403         -0.4429       -1.264525        0.585709
     1739.69764      1739.68793         -2.5160          0.5793         19.8399         99.9000         -1.1221         -0.3751       -0.949982        0.579299
     1739.71847      1739.70877         -1.3486          0.5846         19.8300         99.9000          1.0745         -0.3751        0.013357        0.584608
     1739.73930      1739.72960         -0.9586          0.5868         19.8259         99.9000          0.4960         -0.3751       -2.024636        0.586844
     1739.76014      1739.75043          0.1145          0.5883         19.8231         99.9000         -0.0543         -0.4429       -1.409626        0.588344
     1739.78097      1739.77127         -1.7609          0.5830         19.8329         99.9000          0.5542         -0.4730       -0.726732        0.583048
     1739.80180      1739.79210         -0.8913          0.5964         19.8084         99.9000          0.6342         -0.5265       -0.677836        0.596400
     1739.82264      1739.81293         -2.5427          0.5936         19.8134         99.9000          0.8660         -0.5265       -0.745441        0.593631
     1739.84347      1739.83377         -1.7632          0.6007         19.8005         99.9000         -0.4742         -0.5265       -1.422954        0.600746
     1739.86430      1739.85460         -0.3255          0.5937         19.8133         99.9000         -0.2882         -0.5265       -0.300519        0.593663
     1739.88514      1739.87543         -0.2430          0.5992         19.8033         99.9000          0.0869         -0.5310        0.471070        0.599162
     1739.90597      1739.89627         -1.0023          0.6060         19.7911         99.9000         -0.4809         -0.5479       -0.891357        0.605976
     1739.92680      1739.91710         -1.8639          0.5941         19.8125         99.9000          0.5765         -0.5479       -1.441551        0.594107
     1739.94764      1739.93793         -3.2910          0.6048         19.7931         99.9000          0.0777         -0.5310       -0.630611        0.604830
     1739.96847      1739.95877         -0.8955          0.6060         19.7910         99.9000          0.7768         -0.5479        0.879895        0.605985
     1739.98930      1739.97960         -1.8396          0.5976         19.8062         99.9000         -0.2401         -0.5755       -0.888698        0.597590
     1740.01014      1740.00043         -0.6289          0.6005         19.8009         99.9000         -1.7638         -0.5755       -0.146582        0.600521
     1740.03097      1740.02127         -2.6515          0.6035         19.7956         99.9000         -0.3308         -0.5479       -0.948028        0.603457
     1740.05180      1740.04210         -0.9810          0.6110         19.7821         99.9000         -0.2870         -0.5755        0.157999        0.610976
     1740.07264      1740.06293         -0.2890          0.6117         19.7808         99.9000         -1.0167         -0.5479        0.913735        0.611733
     1740.09347      1740.08377         -0.4513          0.6144         19.7762         99.9000         -0.7525         -0.5755       -0.526531        0.614351
     1740.11430      1740.10460          0.0230          0.6165         19.7723         99.9000         -2.1117         -0.5755        1.271286        0.616524
     1740.13514      1740.12543         -1.1510          0.6154         19.7743         99.9000         -1.3958         -0.5755        0.194728        0.615386
     1740.15597      1740.14627          0.7512          0.6068         19.7895         99.9000          0.0770         -0.6306        0.235111        0.606839
     1740.17680      1740.16710          1.2556          0.6095         19.7848         99.9000         -2.1514         -0.6778        0.767875        0.609459
     1740.19763      1740.18793         -0.0090          0.6115         19.7812         99.9000          0.4540         -0.6306       -0.327097        0.611495
     1740.21847      1740.20877          0.1802          0.6224         19.7620         99.9000         -0.6298         -0.6306       -0.575456        0.622436
     1740.23930      1740.22960         -1.0612          0.5981         19.8052         99.9000         -1.5477         -0.6778       -0.473037        0.598135
     1740.26013      1740.25043         -1.2186          0.6166         19.7722         99.9000         -2.0931         -0.6306       -2.052310        0.616611
     1740.28097      1740.27127         -0.0377          0.6041         19.7944         99.9000         -0.8052         -0.5755       -0.878196        0.604114
     1740.30180      1740.29210          0.3194          0.6182         19.7694         99.9000          0.7806         -0.5265        0.016093        0.618209
     1740.32263      1740.31293         -3.4449          0.6059         19.7912         99.9000         -1.2193         -0.4856       -2.043957        0.605891
     1740.34347      1740.33377          0.0388          0.6112         19.7817         99.9000         -1.2360         -0.4730       -0.471271        0.611209
     1740.36430      1740.35460          0.3595          0.6071         19.7890         99.9000         -0.1955         -0.4730       -1.456689        0.607119
     1740.38513      1740.37543         -0.6062          0.6038         19.7950         99.9000         -1.4664         -0.4730       -1.212708        0.603753
     1740.40597      1740.39627          0.4626          0.6102         19.7835         99.9000         -0.5128         -0.4856        0.448795        0.610194
     1740.42680      1740.41710         -0.3856          0.6081         19.7872         99.9000         -0.9926         -0.4856        0.107440        0.608125
     1740.44763      1740.43793         -3.5618          0.6066         19.7899         99.9000         -1.5283         -0.4730       -1.062887        0.606633
     1740.46847      1740.45877         -1.4194          0.6142         19.7765         99.9000         -2.0894         -0.4730       -1.271357        0.614161
     1740.48930      1740.47960          0.6612          0.6119         19.7805         99.9000         -1.9041         -0.4851       -0.849136        0.611915
     1740.51013      1740.50043         -0.3407          0.6044         19.7939         99.9000         -1.0949         -0.4851        0.253763        0.604398
     1740.53097      1740.52127         -0.9001          0.6084         19.7867         99.9000         -1.5419         -0.4851       -0.760966        0.608401
     1740.55180      1740.54210          2.0467          0.6179         19.6624          0.3278         -0.9973         -0.4730        1.365767        0.617886
     1740.57263      1740.56293         -0.7551          0.6236         19.7600         99.9000         -1.7703         -0.4730       -0.986106        0.623569
     1740.59346      1740.58377         -1.1520          0.6133         19.7779         99.9000         -1.5906         -0.4851       -0.226229        0.613349
     1740.61430      1740.60460         -0.5789          0.6057         19.7916         99.9000         -0.9700         -0.4730       -0.485590        0.605679
     1740.63513      1740.62543         -2.1878          0.6062         19.7907         99.9000         -1.1676         -0.4851       -1.424967        0.606203
     1740.65596      1740.64627          0.4980          0.6277         19.7528         99.9000         -2.0054         -0.4851       -1.202136        0.627721
     1740.67680      1740.66710          0.7885          0.6162         19.7730         99.9000         -2.8347         -0.4851        1.065169        0.616157
     1740.69763      1740.68793         -1.9704          0.6164         19.7725         99.9000         -1.5999         -0.4856       -0.745075        0.616432
     1740.71846      1740.70877         -0.7332          0.6099         19.7840         99.9000         -2.7379         -0.5755       -0.738718        0.609922
     1740.73930      1740.72960          0.7764          0.6274         19.7534         99.9000         -2.0494         -0.4856        0.156643        0.627389
     1740.76013      1740.75043         -1.9283          0.6187         19.7686         99.9000         -1.5457         -0.4856       -0.193496        0.618652
     1740.78096      1740.77127          1.2819          0.6169         19.7717         99.9000         -2.7509         -0.4856        0.392797        0.616859
     1740.80180      1740.79210         -0.2902          0.6144         19.7760         99.9000         -0.7568         -0.4856       -0.249263        0.614446
     1740.82263      1740.81293          0.2149          0.6189         19.7681         99.9000         -1.7859         -0.6071        0.342648        0.618898
     1740.84346      1740.83377          0.3930          0.6062         19.7907         99.9000         -2.2412         -0.6071       -0.668309        0.606195
     1740.86430      1740.85460          1.0223          0.6131         19.7783         99.9000         -1.5080         -0.6217       -0.036224        0.613124
     1740.88513      1740.87543         -1.8639          0.6353         19.7397         99.9000         -0.6288         -0.6071       -1.622982        0.635340
     1740.90596      1740.89627         -2.3431          0.6162         19.7729         99.9000         -2.3536         -0.4856       -0.621748        0.616175
     1740.92680      1740.91710         -1.3615          0.6148         19.7753         99.9000         -1.8366         -0.4856        0.540012        0.614812
     1740.94763      1740.93793          1.1699          0.6258         19.7560         99.9000         -1.7557         -0.6071       -0.607085        0.625838
     1740.96846      1740.95877         -1.6269          0.6247         19.7581         99.9000         -1.8004         -0.4856       -0.485085        0.624681
     1740.98929      1740.97960         -1.5000          0.6016         19.7989         99.9000         -1.0966         -0.4851       -1.522220        0.601592
     1741.01013      1741.00043          0.0831          0.6093         19.7851         99.9000         -2.1374         -0.3277        0.082786        0.609296
     1741.03096      1741.02127         -0.7784          0.6209         19.7647         99.9000         -1.8122         -0.3277        0.420875        0.620862
     1741.05179      1741.04210          1.6467          0.6151         19.7748         99.9000         -1.9599         -0.3277       -0.132354        0.615114
     1741.07263      1741.06293         -0.7701          0.6389         19.7337         99.9000         -3.3156         -0.3277       -1.067928        0.638850
     1741.09346      1741.08377          3.7768          0.6276         18.9972          0.1804         -3.2663         -0.3039        2.421007        0.627648
     1741.11429      1741.10460         -1.4691          0.6106         19.7827         99.9000         -0.5780         -0.3039       -0.773588        0.610639
     1741.13513      1741.12543         -1.1597          0.6232         19.7606         99.9000         -1.7270         -0.3039       -0.303915        0.623234
     1741.15596      1741.14627          0.3594          0.6204         19.7656         99.9000         -2.8732         -0.3039        0.518494        0.620378
     1741.17679      1741.16710          0.2330          0.6337         19.7426         99.9000         -2.2750         -0.3039       -1.781469        0.633652
     1741.19763      1741.18793         -0.1856          0.6234         19.7602         99.9000         -2.0427         -0.3277       -1.391406        0.623445
     1741.21846      1741.20877         -1.4040          0.6149         19.7752         99.9000         -0.7891         -0.3277        0.058908        0.614902
     1741.23929      1741.22960         -1.1902          0.6186         19.7686         99.9000         -1.1751         -0.3277        0.553673        0.618629
     1741.26013      1741.25043         -0.8945          0.6354         19.7396         99.9000         -0.8524         -0.4851       -1.387529        0.635386
     1741.28096      1741.27127          0.2303          0.6228         19.7613         99.9000         -2.2017         -0.4851       -0.908652        0.622835
     1741.30179      1741.29210          1.0119          0.6182         19.7694         99.9000         -2.2583         -0.4851       -1.006325        0.618159
     1741.32263      1741.31293         -1.6309          0.6243         19.7587         99.9000         -1.7222         -0.4851       -1.314350        0.624282
     1741.34346      1741.33377         -1.0885          0.6316         19.7461         99.9000         -3.0069         -0.5733       -0.854720        0.631594
     1741.36429      1741.35460          0.6194          0.6143         19.7763         99.9000         -2.5718         -0.5733        0.246199        0.614262
     1741.38513      1741.37543          2.2481          0.6173         19.5604          0.2981         -1.4716         -0.5733        1.649105        0.617317
     1741.40596      1741.39627          0.3088          0.6218         19.7631         99.9000         -2.0042         -0.5733        1.082493        0.621762
     1741.42679      1741.41710          1.1280          0.6215         19.7637         99.9000         -1.3769         -0.4851       -1.109159        0.621463
     1741.44762      1741.43793         -0.0759          0.6191         19.7679         99.9000         -2.4657         -0.5733       -0.036534        0.619064
     1741.46846      1741.45877         -0.7568          0.6145         19.7759         99.9000         -2.1277         -0.5733       -0.327738        0.614502
     1741.48929      1741.47960          0.2340          0.6146         19.7758         99.9000         -2.4012         -0.5733        0.537563        0.614579
     1741.51012      1741.50043          1.1991          0.6104         19.7832         99.9000         -2.4209         -0.5733        0.421338        0.610394
     1741.53096      1741.52127         -1.4918          0.6480         19.7182         99.9000         -2.6930         -0.5733       -0.809337        0.648041
     1741.55179      1741.54210         -0.1875          0.6429         19.7268         99.9000         -1.9791         -0.6326       -0.248930        0.642943
     1741.57262      1741.56293          0.3109          0.6225         19.7619         99.9000         -1.9681         -0.6326       -0.284085        0.622479
     1741.59346      1741.58377          0.8220          0.6176         19.7704         99.9000         -2.8170         -0.5733        0.100724        0.617622
     1741.61429      1741.60460          2.3262          0.6400         19.5234          0.2987         -2.8322         -0.5733       -0.752210        0.639964
     1741.63512      1741.62543          0.7420          0.6402         19.7314         99.9000         -3.8918         -0.5733       -1.605844        0.640203
     1741.65596      1741.64627          0.8186          0.6345         19.7411         99.9000         -2.5164         -0.6326       -0.892243        0.634490
     1741.67679      1741.66710         -3.8648          0.6389         19.7336         99.9000         -2.1961         -0.6460       -2.276208        0.638898
     1741.69762      1741.68793          0.3006          0.6464         19.7210         99.9000         -4.1511         -0.6326       -0.706316        0.646390
     1741.71846      1741.70877         -0.4773          0.6363         19.7380         99.9000         -2.2974         -0.6326       -0.573285        0.636349
     1741.73929      1741.72960          0.4079          0.6173         19.7710         99.9000         -2.2293         -0.6460       -0.750197        0.617271
     1741.76012      1741.75043          0.7537          0.6517         19.7120         99.9000         -2.6825         -0.6460        1.035256        0.651739
     1741.78096      1741.77127         -0.4450          0.6409         19.7302         99.9000         -2.5773         -0.6460        0.826345        0.640911
