# reference_flux:        483.8506
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1764.70358      1764.68792        481.7442          0.9253         13.7330          0.0021          0.0614         -0.5287       -0.830287        0.925274
     1764.72442      1764.70875        480.9667          0.9196         13.7347          0.0021         -0.3355         -0.5287       -0.589189        0.919558
     1764.74525      1764.72958        477.6334          0.9227         13.7423          0.0021          1.8380         -0.5287       -1.760596        0.922727
     1764.76608      1764.75042        483.0152          0.9222         13.7301          0.0021         -1.4497         -0.3716        1.270956        0.922154
     1764.78692      1764.77125        483.5495          0.9181         13.7289          0.0021         -0.1430         -0.3716       -1.492104        0.918053
     1764.80775      1764.79208        479.4402          0.9321         13.7382          0.0021         -0.0321         -0.3716       -1.077854        0.932150
     1764.82859      1764.81292        481.0495          0.9241         13.7345          0.0021         -1.1019         -0.3716        1.140775        0.924118
     1764.84942      1764.83375        481.5090          0.9283         13.7335          0.0021         -0.5205         -0.3716       -1.565773        0.928284
     1764.87025      1764.85458        485.8161          0.9250         13.7238          0.0021         -2.7206         -0.3716       -0.528669        0.925012
     1764.89109      1764.87542        481.7116          0.9283         13.7330          0.0021         -2.7070         -0.3716       -2.331803        0.928293
     1764.91192      1764.89625        481.8470          0.9265         13.7327          0.0021         -0.0892         -0.3716       -0.286891        0.926534
     1764.93276      1764.91708        482.6113          0.9274         13.7310          0.0021         -0.8410         -0.5287       -0.371595        0.927427
     1764.95359      1764.93792        483.1136          0.9306         13.7299          0.0021         -0.5258         -0.3716       -0.584629        0.930591
     1764.97442      1764.95875        482.5635          0.9261         13.7311          0.0021          0.0902         -0.5287        0.292027        0.926105
     1764.99526      1764.97958        482.7714          0.9214         13.7306          0.0021          0.0177         -0.5287       -1.048083        0.921403
     1765.01609      1765.00042        481.8432          0.9289         13.7327          0.0021          1.1237         -0.3716        0.902979        0.928929
     1765.03692      1765.02125        481.1992          0.9203         13.7342          0.0021          1.5495         -0.3716        1.022252        0.920335
