# reference_flux:        -55.0289
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1764.70260      1764.68793         -1.4416          0.7504         19.5590         99.9000         -0.5203         -0.9030       -1.417683        0.750374
     1764.72343      1764.70877          1.4714          0.7526         19.5558         99.9000          0.0925         -0.9030        0.121942        0.752587
     1764.74427      1764.72960         -3.5623          0.7486         19.5616         99.9000          0.8494         -0.8744       -0.734124        0.748553
     1764.76510      1764.75043         -1.0117          0.7357         19.5805         99.9000          1.2848         -0.8744       -0.384157        0.735652
     1764.78594      1764.77127         -1.1528          0.7524         19.5561         99.9000          0.5931         -0.9030        0.330040        0.752355
     1764.80677      1764.79210         -1.3439          0.7316         19.5866         99.9000          0.8273         -0.8744       -1.219542        0.731552
     1764.82760      1764.81293         -1.8518          0.7454         19.5662         99.9000         -0.4759         -0.8744       -0.285080        0.745411
     1764.84844      1764.83377         -1.0944          0.7375         19.5777         99.9000         -2.0355         -0.8007       -1.795443        0.737537
     1764.86927      1764.85460         -3.0879          0.7288         19.5907         99.9000         -1.1835         -0.8007       -1.908878        0.728792
     1764.89010      1764.87543         -3.1604          0.7249         19.5966         99.9000         -1.5323         -0.7660       -0.452212        0.724859
     1764.91094      1764.89627         -2.8498          0.7322         19.5856         99.9000         -1.6537         -0.7660        0.734848        0.732233
     1764.93177      1764.91710         -1.4670          0.7265         19.5940         99.9000         -1.1743         -0.7341        0.741072        0.726549
     1764.95260      1764.93793         -3.8564          0.7182         19.6065         99.9000         -0.8106         -0.7341       -1.684354        0.718237
     1764.97344      1764.95877         -1.4756          0.7152         19.6111         99.9000         -0.9527         -0.7341       -0.874430        0.715227
     1764.99427      1764.97960         -6.3137          0.7269         19.5935         99.9000         -0.5015         -0.7341       -1.807290        0.726925
     1765.01510      1765.00043         -3.0213          0.7310         19.5874         99.9000         -1.1415         -0.7341       -1.518438        0.730973
     1765.03594      1765.02127         -3.2816          0.7279         19.5920         99.9000         -2.4200         -0.7341       -1.841976        0.727911
     1765.05677      1765.04210         -2.3032          0.7235         19.5985         99.9000         -3.1077         -0.5433       -1.200385        0.723535
     1765.07760      1765.06293         -3.1699          0.7324         19.5853         99.9000         -0.5346         -0.5433       -0.902984        0.732399
     1765.09843      1765.08377         -2.6447          0.7319         19.5861         99.9000         -1.0619         -0.5433       -1.025643        0.731851
     1765.11927      1765.10460         -0.9065          0.7392         19.5752         99.9000         -0.3138         -0.5433       -0.411056        0.739249
     1765.14010      1765.12543         -1.5326          0.7428         19.5699         99.9000         -0.9640         -0.7341       -0.765998        0.742850
     1765.16093      1765.14627         -4.0917          0.7337         19.5833         99.9000          0.1589         -0.6947       -2.268964        0.733740
     1765.18177      1765.16710         -1.2750          0.7459         19.5655         99.9000         -1.1702         -0.7341       -0.412332        0.745877
     1765.20260      1765.18793         -0.0039          0.7431         19.5696         99.9000         -1.2372         -0.6947        0.617129        0.743072
     1765.22343      1765.20877         -1.5321          0.7208         19.6026         99.9000         -1.5485         -0.6947        0.725090        0.720839
     1765.24427      1765.22960         -4.5685          0.7432         19.5694         99.9000         -0.6309         -0.7341       -0.486362        0.743245
     1765.26510      1765.25043         -0.7989          0.7414         19.5721         99.9000         -2.0426         -0.6947       -1.088973        0.741368
     1765.28593      1765.27127          0.5986          0.7429         19.5699         99.9000         -2.2173         -0.6947       -0.800687        0.742904
