# reference_flux:         37.2332
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1764.69976      1764.68792         37.1722          0.7375         16.5145          0.0215         -0.1597         -0.1939       -0.319867        0.737486
     1764.72059      1764.70876         36.7518          0.7484         16.5268          0.0221          1.4811         -0.1939        0.343695        0.748356
     1764.74142      1764.72959         38.6976          0.7405         16.4708          0.0208          0.6083         -0.1939       -0.156865        0.740484
     1764.76226      1764.75042         37.7328          0.7449         16.4982          0.0214         -0.6018         -0.1688        0.547887        0.744907
     1764.78309      1764.77126         38.6007          0.7459         16.4735          0.0210         -0.7987         -0.1939        0.198122        0.745909
     1764.80392      1764.79209         36.5315          0.7457         16.5333          0.0222          0.6983         -0.1939       -0.040859        0.745651
     1764.82476      1764.81292         38.4293          0.7508         16.4783          0.0212          0.0065         -0.1939        0.677075        0.750763
     1764.84559      1764.83376         35.8540          0.7355         16.5537          0.0223          1.6995         -0.1939       -0.447685        0.735540
     1764.86642      1764.85459         35.7805          0.7411         16.5559          0.0225          0.5054         -0.1939       -0.681892        0.741053
     1764.88726      1764.87542         37.2077          0.7345         16.5134          0.0214         -0.7994         -0.1939       -0.193889        0.734477
     1764.90809      1764.89626         35.4955          0.7445         16.5646          0.0228         -0.7426         -0.1939       -2.152505        0.744495
     1764.92892      1764.91709         39.1383          0.7366         16.4585          0.0204          0.3652         -0.1939        0.215293        0.736582
     1764.94976      1764.93792         37.0709          0.7385         16.5174          0.0216          0.1307         -0.1939        0.899922        0.738474
     1764.97059      1764.95876         35.4496          0.7587         16.5660          0.0232          0.0679         -0.1939       -1.372218        0.758715
     1764.99142      1764.97959         37.3733          0.7470         16.5086          0.0217          0.3359         -0.1939        0.022996        0.747041
     1765.01226      1765.00042         37.1913          0.7580         16.5139          0.0221         -0.3738         -0.1939       -0.463164        0.758020
     1765.03309      1765.02126         38.6646          0.7482         16.4717          0.0210          2.0207         -0.1688       -0.168847        0.748201
     1765.05393      1765.04209         36.5056          0.7651         16.5341          0.0228         -0.2874         -0.1569        0.382379        0.765063
     1765.07476      1765.06292         33.5816          0.7568         16.6247          0.0245          0.4260         -0.1688       -0.478072        0.756822
     1765.09559      1765.08376         36.3774          0.7598         16.5379          0.0227          1.0064         -0.1688       -0.678429        0.759795
