# reference_flux:         16.7819
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1764.69953      1764.68793         17.6299          0.6743         17.3244          0.0415         -0.1586          0.3080        1.056860        0.674295
     1764.72036      1764.70876         14.8572          0.6738         17.5102          0.0492          0.4011          0.3080        0.713886        0.673804
     1764.74120      1764.72960         17.0304          0.6743         17.3619          0.0430         -0.3497          0.4428       -0.174928        0.674250
     1764.76203      1764.75043         17.9901          0.6745         17.3024          0.0407         -0.7624          0.4428        0.568545        0.674493
     1764.78286      1764.77126         16.4076          0.6745         17.4024          0.0446          0.3551          0.4820       -0.343025        0.674460
     1764.80370      1764.79210         16.2689          0.6741         17.4116          0.0450         -0.5048          0.4820       -1.538719        0.674094
     1764.82453      1764.81293         19.0260          0.6745         17.2416          0.0385         -1.7778          0.4820        1.479904        0.674457
     1764.84536      1764.83376         17.0382          0.6746         17.3614          0.0430         -1.0083          0.4820        1.124798        0.674556
     1764.86619      1764.85460         15.8974          0.6740         17.4367          0.0460          0.0124          0.4428        0.814730        0.674026
     1764.88703      1764.87543         17.8034          0.6749         17.3137          0.0412         -0.1126          0.4820        1.833612        0.674899
     1764.90786      1764.89626         15.7191          0.6734         17.4489          0.0465         -0.7418          0.4820       -1.418464        0.673446
     1764.92869      1764.91710         14.5718          0.6736         17.5312          0.0502          0.2401          0.4428       -1.377858        0.673637
     1764.94953      1764.93793         17.2992          0.6738         17.3449          0.0423         -0.4169          0.3080        1.012961        0.673835
     1764.97036      1764.95876         16.1900          0.6735         17.4169          0.0452         -0.7698          0.3080        0.815047        0.673531
     1764.99119      1764.97960         15.1354          0.6733         17.4900          0.0483         -0.4583          0.4428       -0.303414        0.673347
     1765.01203      1765.00043         17.9687          0.6741         17.3037          0.0407          0.3966          0.4428        0.442824        0.674094
     1765.03286      1765.02126         17.3891          0.6743         17.3393          0.0421         -0.0126          0.3080        0.481954        0.674260
     1765.05369      1765.04210         17.5521          0.6745         17.3292          0.0417          0.6423          0.3080        0.308016        0.674504
     1765.07452      1765.06293         15.6777          0.6742         17.4518          0.0467         -0.3153          0.3080       -0.479370        0.674221
     1765.09536      1765.08376         16.5121          0.6744         17.3955          0.0443          0.7556          0.3080        0.685470        0.674398
     1765.11619      1765.10460         18.3065          0.6739         17.2835          0.0400         -1.1332          0.3080        0.243758        0.673928
     1765.13702      1765.12543         16.4836          0.6735         17.3974          0.0444         -0.4760          0.2438       -1.133273        0.673528
     1765.15786      1765.14626         16.4552          0.6736         17.3992          0.0444          0.2887          0.2438       -0.647022        0.673610
     1765.17869      1765.16710         16.6074          0.6741         17.3892          0.0441          0.9076          0.0668       -0.279955        0.674123
     1765.19952      1765.18793         17.9237          0.6744         17.3064          0.0409          0.7112          0.0515        0.066841        0.674412
     1765.22036      1765.20876         18.0812          0.6741         17.2969          0.0405         -0.3097         -0.0691        1.447186        0.674083
     1765.24119      1765.22960         18.0025          0.6742         17.3017          0.0407         -0.6727         -0.1603        0.577876        0.674238
     1765.26202      1765.25043         19.2913          0.6741         17.2266          0.0379         -0.2015         -0.1603        1.752911        0.674061
     1765.28286      1765.27126         20.8055          0.6750         17.1446          0.0352         -1.6614         -0.1603        1.761434        0.675031
     1765.30369      1765.29210         16.2789          0.6736         17.4109          0.0449         -0.3586         -0.0691       -0.387512        0.673591
     1765.32452      1765.31293         15.8406          0.6736         17.4406          0.0462         -0.3390          0.0515        0.051543        0.673582
     1765.34535      1765.33376         14.5872          0.6735         17.5301          0.0501          0.0611          0.0515       -0.298268        0.673505
     1765.36619      1765.35460         16.9342          0.6740         17.3681          0.0432         -0.2630         -0.0691        0.699246        0.673999
     1765.38702      1765.37543         15.6755          0.6738         17.4519          0.0467          0.0946         -0.1396       -1.821788        0.673778
     1765.40785      1765.39626         18.7074          0.6751         17.2600          0.0392         -0.6995         -0.1396       -0.225885        0.675137
     1765.42869      1765.41710         16.8918          0.6742         17.3708          0.0433         -0.8548         -0.1396       -0.224607        0.674168
     1765.44952      1765.43793         14.6650          0.6744         17.5243          0.0499          0.0592         -0.0691       -1.796383        0.674414
     1765.47035      1765.45876         16.2478          0.6743         17.4130          0.0451          0.1939         -0.0691        0.674440        0.674280
     1765.49118      1765.47960         16.8144          0.6745         17.3758          0.0436         -0.2948         -0.0691        0.866344        0.674466
     1765.51202      1765.50043         15.3273          0.6744         17.4763          0.0478          0.3999          0.0515       -0.160322        0.674374
     1765.53285      1765.52126         18.4719          0.6752         17.2737          0.0397         -0.0557         -0.0691        0.734418        0.675207
     1765.55368      1765.54210         17.1489          0.6749         17.3544          0.0427         -0.3309         -0.0691        0.496079        0.674912
     1765.57452      1765.56293         16.6994          0.6751         17.3832          0.0439         -0.5928         -0.1396       -0.554879        0.675077
     1765.59535      1765.58376         15.7756          0.6745         17.4450          0.0464          2.0641         -0.1396       -0.069053        0.674515
     1765.61618      1765.60460         15.7524          0.6744         17.4466          0.0465          0.2329         -0.1396       -0.623093        0.674390
     1765.63702      1765.62543         14.4004          0.6748         17.5441          0.0509          0.0875         -0.1396       -1.036723        0.674821
     1765.65785      1765.64626         14.0481          0.6747         17.5710          0.0521          1.0909         -0.1396       -0.766097        0.674712
     1765.67868      1765.66710         15.4356          0.6744         17.4687          0.0474          0.7311         -0.0691       -1.012439        0.674448
     1765.69951      1765.68793         15.8330          0.6741         17.4411          0.0462         -0.7170         -0.0691       -1.220542        0.674066
     1765.72035      1765.70876         15.9157          0.6748         17.4354          0.0460          0.3359         -0.0691       -0.327738        0.674751
     1765.74118      1765.72960         13.7152          0.6741         17.5970          0.0534         -1.0137         -0.1396       -1.053569        0.674092
     1765.76201      1765.75043         16.4628          0.6753         17.3987          0.0445         -0.2641         -0.1603        0.976405        0.675348
     1765.78285      1765.77126         16.9672          0.6751         17.3660          0.0432         -0.5080         -0.1603        1.277834        0.675125
     1765.80368      1765.79210         16.7044          0.6754         17.3829          0.0439         -0.4017         -0.2246        1.298627        0.675405
     1765.82451      1765.81293         18.0982          0.6758         17.2959          0.0405         -0.0781         -0.2246        0.822412        0.675803
     1765.84535      1765.83376         18.5273          0.6760         17.2705          0.0396         -0.3384         -0.2259       -0.139602        0.675984
     1765.86618      1765.85460         15.4612          0.6749         17.4669          0.0474          0.8986         -0.2246       -0.732522        0.674878
     1765.88701      1765.87543         16.4700          0.6758         17.3983          0.0446          1.4048         -0.2259        0.174786        0.675840
     1765.90784      1765.89626         14.5044          0.6750         17.5362          0.0505          0.4368         -0.2246       -0.731982        0.675009
     1765.92868      1765.91710         19.0449          0.6760         17.2406          0.0385          0.7501         -0.1603        1.386170        0.675966
     1765.94951      1765.93793         17.7834          0.6755         17.3150          0.0412          0.1604         -0.1603        1.079229        0.675493
     1765.97034      1765.95876         17.2447          0.6760         17.3484          0.0426          0.9510         -0.1603        0.842930        0.675962
     1765.99118      1765.97960         17.4444          0.6756         17.3359          0.0420          0.0301         -0.1603        0.791044        0.675572
     1766.01201      1766.00043         14.0511          0.6746         17.5707          0.0521         -0.3360         -0.1603       -2.569721        0.674635
     1766.03284      1766.02126         17.0303          0.6758         17.3619          0.0431          1.2104         -0.2760        1.271061        0.675847
     1766.05368      1766.04210         16.0332          0.6747         17.4274          0.0457         -0.7799         -0.2760       -1.545418        0.674723
     1766.07451      1766.06293         15.7472          0.6755         17.4470          0.0466          1.5463         -0.2760       -1.169090        0.675465
     1766.09534      1766.08376         14.7074          0.6744         17.5212          0.0498          1.0683         -0.1754        0.613204        0.674403
     1766.11618      1766.10460         16.2495          0.6748         17.4129          0.0451          0.9003         -0.1754        0.548667        0.674815
     1766.13701      1766.12543         14.9340          0.6748         17.5046          0.0491          2.5015         -0.1396       -1.960166        0.674800
     1766.15784      1766.14626         17.5493          0.6750         17.3294          0.0418         -0.3073          0.1389        1.124336        0.675012
     1766.17867      1766.16710         17.9226          0.6751         17.3065          0.0409          1.2346          0.1389       -1.000626        0.675147
     1766.19951      1766.18793         16.9519          0.6749         17.3670          0.0432          0.2226          0.1389        0.173619        0.674912
     1766.22034      1766.20876         14.1693          0.6741         17.5616          0.0517          0.7729          0.1389       -0.379598        0.674135
     1766.24117      1766.22960         16.0867          0.6741         17.4238          0.0455         -1.0652          0.1719       -1.652692        0.674108
     1766.26201      1766.25043         17.6405          0.6750         17.3237          0.0415          0.6354          0.1736        0.842919        0.675026
     1766.28284      1766.27126         15.5365          0.6748         17.4616          0.0472          1.3155          0.1736       -1.097932        0.674756
     1766.30367      1766.29210         14.7386          0.6745         17.5189          0.0497          0.6741          0.1736       -2.346519        0.674523
     1766.32451      1766.31293         17.7823          0.6746         17.3150          0.0412         -0.9845          0.1736       -0.275989        0.674600
     1766.34534      1766.33376         13.9884          0.6745         17.5756          0.0524          1.5475          0.1736        0.594800        0.674545
     1766.36617      1766.35459         17.6029          0.6751         17.3260          0.0416          0.8196          0.1748       -0.278165        0.675097
     1766.38700      1766.37543         17.0878          0.6744         17.3583          0.0428          0.8456          0.4023        1.579775        0.674384
     1766.40784      1766.39626         16.5485          0.6739         17.3931          0.0442         -1.0514          0.4074        0.138900        0.673931
     1766.42867      1766.41709         18.0262          0.6745         17.3002          0.0406         -0.3240          0.4425       -0.394441        0.674547
     1766.44950      1766.43793         18.0783          0.6747         17.2971          0.0405         -1.9827          0.4074       -1.004224        0.674688
     1766.47034      1766.45876         17.9169          0.6755         17.3068          0.0409         -0.3444          0.4074        0.700969        0.675472
     1766.49117      1766.47959         23.9830          0.6762         16.9902          0.0306          0.3255          0.4023        1.924562        0.676220
     1766.51200      1766.50043         18.7143          0.6749         17.2596          0.0392         -0.6073          0.4023       -1.272613        0.674880
     1766.53283      1766.52126         18.2150          0.6751         17.2889          0.0402         -0.5504          0.4074       -0.175372        0.675062
     1766.55367      1766.54209         20.8689          0.6756         17.1413          0.0351         -0.5939          0.4074        0.701364        0.675577
     1766.57450      1766.56293         18.0315          0.6745         17.2999          0.0406         -0.4500          0.4425        1.127757        0.674506
     1766.59533      1766.58376         17.3476          0.6747         17.3419          0.0422          0.9071          0.4425        0.916935        0.674735
     1766.61617      1766.60459         19.4934          0.6751         17.2153          0.0376         -0.2503          0.4074        1.263747        0.675131
     1766.63700      1766.62543         16.1854          0.6745         17.4172          0.0452          0.7619          0.4074        0.171941        0.674507
     1766.65783      1766.64626         17.3985          0.6749         17.3387          0.0421          0.5603          0.4425       -1.299406        0.674896
     1766.67867      1766.66709         19.5271          0.6750         17.2134          0.0375         -1.0308          0.4074        0.022210        0.675044
     1766.69950      1766.68793         18.0979          0.6748         17.2959          0.0405         -0.4364          0.4425       -0.205934        0.674751
     1766.72033      1766.70876         18.2979          0.6750         17.2840          0.0401         -0.4511          0.4436        0.443601        0.675019
     1766.74116      1766.72959         20.5397          0.6758         17.1585          0.0357         -0.8121          0.5948        0.407416        0.675805
     1766.76200      1766.75043         22.4518          0.6758         17.0619          0.0327         -0.4700          0.6197        1.956401        0.675831
     1766.78283      1766.77126         19.4815          0.6751         17.2159          0.0376         -1.0696          0.6197        0.442531        0.675103
     1766.80366      1766.79209         18.3554          0.6754         17.2806          0.0399         -0.1161          0.6738        1.016652        0.675381
     1766.82450      1766.81293         21.1590          0.6758         17.1263          0.0347         -1.0404          0.7010        0.402272        0.675752
     1766.84533      1766.83376         20.6700          0.6760         17.1516          0.0355          0.3699          0.7010        0.940736        0.675991
     1766.86616      1766.85459         17.9756          0.6752         17.3033          0.0408         -0.3474          0.7014        0.673784        0.675219
     1766.88700      1766.87543         19.9468          0.6759         17.1903          0.0368          0.0552          0.7803        1.136251        0.675897
     1766.90783      1766.89626         21.5708          0.6760         17.1053          0.0340         -0.8963          0.7803        1.557794        0.676041
     1766.92866      1766.91709         20.9088          0.6758         17.1392          0.0351         -0.4337          0.7843       -1.101044        0.675850
     1766.94950      1766.93793         24.4260          0.6767         16.9704          0.0301         -1.5652          0.8563        1.716427        0.676681
     1766.97033      1766.95876         20.8795          0.6757         17.1407          0.0351         -1.6645          0.8563       -0.694720        0.675671
     1766.99116      1766.97959         22.2788          0.6767         17.0703          0.0330         -0.4271          0.8563        1.220270        0.676670
     1767.01199      1767.00043         22.2210          0.6764         17.0731          0.0330          0.6104          0.8563        2.807529        0.676366
     1767.03283      1767.02126         24.6641          0.6766         16.9598          0.0298         -2.4181          0.8563        0.619721        0.676572
     1767.05366      1767.04209         23.4667          0.6765         17.0139          0.0313         -0.7575          0.9169        1.035372        0.676537
     1767.07449      1767.06293         22.9116          0.6764         17.0399          0.0321         -1.0850          0.9169        0.243762        0.676362
     1767.09533      1767.08376         23.4165          0.6769         17.0162          0.0314          0.2987          0.8563        0.008728        0.676937
     1767.11616      1767.10459         24.4071          0.6770         16.9712          0.0301          0.3908          0.8563        2.798683        0.677035
     1767.13699      1767.12543         23.7021          0.6771         17.0030          0.0310          0.5585          0.7925        2.207654        0.677099
     1767.15783      1767.14626         21.5154          0.6764         17.1081          0.0341         -0.8152          0.8563        0.173698        0.676424
     1767.17866      1767.16709         23.6623          0.6767         17.0049          0.0310         -1.4413          0.8563        1.382537        0.676689
     1767.19949      1767.18793         22.2423          0.6767         17.0721          0.0330          0.6976          0.9407        0.784338        0.676669
     1767.22032      1767.20876         24.9522          0.6774         16.9472          0.0295          0.5335          0.9407        1.905530        0.677378
     1767.24116      1767.22959         23.9248          0.6772         16.9929          0.0307          0.7818          1.0167        2.061575        0.677233
     1767.26199      1767.25043         24.9034          0.6771         16.9494          0.0295         -0.9777          1.0354        1.705751        0.677090
     1767.28282      1767.27126         23.4021          0.6766         17.0169          0.0314         -0.9065          1.0354        0.856346        0.676606
     1767.30366      1767.29209         23.7440          0.6769         17.0011          0.0310         -0.7349          1.0785        1.078550        0.676895
     1767.32449      1767.31293         26.1770          0.6774         16.8952          0.0281         -0.2944          1.1363        0.052917        0.677373
     1767.34532      1767.33376         22.9262          0.6768         17.0392          0.0321         -0.6675          1.1363        0.780263        0.676826
     1767.36615      1767.35459         24.6124          0.6771         16.9621          0.0299         -1.1153          1.1363        3.208163        0.677063
     1767.38699      1767.37543         22.6788          0.6769         17.0509          0.0324         -0.6865          1.1363        2.247003        0.676927
     1767.40782      1767.39626         23.4305          0.6774         17.0155          0.0314          0.5960          1.1501        1.762195        0.677441
     1767.42865      1767.41709         24.9979          0.6772         16.9452          0.0294         -1.7621          1.0785        1.606233        0.677204
     1767.44949      1767.43793         22.0379          0.6770         17.0821          0.0334         -1.0065          1.0785        0.617101        0.676993
     1767.47032      1767.45876         25.1720          0.6778         16.9377          0.0292         -0.7197          1.0785        0.252199        0.677785
     1767.49115      1767.47959         23.1889          0.6775         17.0268          0.0317          0.5244          1.1501        1.354083        0.677465
     1767.51199      1767.50043         22.3533          0.6769         17.0666          0.0329         -1.4806          1.0785        0.399464        0.676896
     1767.53282      1767.52126         26.5178          0.6783         16.8812          0.0278          0.3804          1.0354        2.481434        0.678292
     1767.55365      1767.54209         23.5450          0.6775         17.0103          0.0312         -0.2270          1.0354       -0.075527        0.677518
     1767.57448      1767.56293         24.6001          0.6778         16.9627          0.0299         -0.6634          0.8891       -0.098825        0.677808
