# reference_flux:         31.0823
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1790.68282      1790.66707         30.1019          0.7842         16.7435          0.0283         -0.3337          0.2299        0.048760        0.784210
     1790.70365      1790.68791         28.4907          0.7818         16.8032          0.0298         -1.0824          0.2299        0.229860        0.781762
     1790.72448      1790.70874         28.9013          0.7711         16.7877          0.0290          0.6666          0.2299       -1.174997        0.771080
     1790.74532      1790.72957         28.7093          0.7799         16.7949          0.0295         -0.3781          0.2299       -1.157567        0.779887
     1790.76615      1790.75041         31.4095          0.7730         16.6973          0.0267         -0.3227          0.2299        1.322639        0.772998
     1790.78698      1790.77124         30.3719          0.7642         16.7338          0.0273         -0.3309          0.2299       -0.416050        0.764180
     1790.80782      1790.79207         31.6065          0.7880         16.6906          0.0271         -0.9868          0.2299        0.477347        0.787986
     1790.82865      1790.81291         29.9559          0.7661         16.7488          0.0278         -0.1736          0.1790       -1.557195        0.766099
     1790.84948      1790.83374         32.8222          0.7686         16.6496          0.0254         -1.4566          0.1790        1.015771        0.768593
     1790.87032      1790.85457         30.4325          0.7749         16.7317          0.0276         -0.5597          0.1790        1.540262        0.774886
     1790.89115      1790.87541         30.6752          0.7806         16.7230          0.0276         -2.0299          0.1072        1.530880        0.780557
     1790.91198      1790.89624         31.9758          0.7915         16.6779          0.0269          0.1487          0.0488        2.294381        0.791495
     1790.93282      1790.91707         32.8943          0.7579         16.6472          0.0250         -1.2795          0.0488        1.082261        0.757893
     1790.95365      1790.93791         30.3724          0.7931         16.7338          0.0284         -1.1022         -0.4161        0.178969        0.793119
     1790.97448      1790.95874         32.0237          0.7932         16.6763          0.0269         -1.5290         -0.4161        0.757659        0.793154
     1790.99532      1790.97957         29.3142          0.7724         16.7723          0.0286         -0.9306         -0.6802        0.107214        0.772403
     1791.01615      1791.00041         33.1434          0.8100         16.6390          0.0265         -0.2072         -0.6802        0.884724        0.809980
     1791.03698      1791.02124         31.4148          0.8007         16.6972          0.0277         -0.8651         -0.5285        0.257240        0.800741
     1791.05782      1791.04207         32.5042          0.8114         16.6602          0.0271         -1.0144         -0.6802        1.039237        0.811392
     1791.07865      1791.06291         30.7262          0.7875         16.7212          0.0278         -0.9829         -0.6802        1.635697        0.787482
     1791.09948      1791.08374         30.9014          0.7835         16.7151          0.0275         -1.6035         -0.7242       -1.164252        0.783466
     1791.39115      1791.37541         32.3102          0.7658         16.6667          0.0257          0.6804         -0.6802       -0.680197        0.765845
     1791.41198      1791.39624         33.9079          0.7834         16.6142          0.0251         -1.7946         -0.6802       -1.111512        0.783406
     1791.43282      1791.41707         32.0347          0.7296         16.6759          0.0247         -1.5050         -0.7242       -0.899893        0.729630
     1791.45365      1791.43791         30.6107          0.7232         16.7253          0.0257         -0.9399         -0.7242       -2.307383        0.723222
     1791.47448      1791.45874         31.4784          0.7205         16.6950          0.0249          0.1663         -0.7242       -1.456186        0.720537
     1791.49532      1791.47957         32.6635          0.7462         16.6548          0.0248         -1.1429         -0.8372       -1.183736        0.746202
     1791.51615      1791.50041         33.0898          0.7525         16.6408          0.0247         -1.8714         -0.7242       -0.891403        0.752476
     1791.53698      1791.52124         33.8468          0.7431         16.6162          0.0238         -1.0888         -0.7242        0.367911        0.743074
     1791.55782      1791.54207         31.2781          0.7566         16.7019          0.0263         -1.3511         -0.7242       -1.705317        0.756594
     1791.57865      1791.56291         31.8770          0.7337         16.6813          0.0250         -0.0198         -0.7242       -1.349516        0.733663
     1791.59948      1791.58374         33.2879          0.7349         16.6343          0.0240         -0.5515         -0.7242       -0.724215        0.734908
     1791.62032      1791.60457         31.5075          0.7469         16.6940          0.0257         -0.8221         -0.7242       -1.125301        0.746883
     1791.64115      1791.62541         30.6263          0.7384         16.7248          0.0262         -0.9036         -0.7242       -1.078548        0.738440
     1791.66198      1791.64624         29.9753          0.7190         16.7481          0.0260          0.3698         -0.7242       -1.795371        0.718956
     1791.68282      1791.66707         29.6202          0.7184         16.7610          0.0263         -0.6199         -0.8372       -2.151866        0.718415
     1791.70365      1791.68791         30.2577          0.7204         16.7379          0.0258         -0.1839         -0.8372       -2.614481        0.720373
     1791.72448      1791.70874         30.0563          0.6958         16.7452          0.0251         -0.2163         -0.8372       -2.008877        0.695784
     1791.74532      1791.72957         33.1290          0.7244         16.6395          0.0237         -0.5713         -0.8372       -1.166357        0.724371
     1791.76615      1791.75041         33.0118          0.7021         16.6433          0.0231         -1.2625         -0.8372        0.023547        0.702138
     1791.78698      1791.77124         30.1832          0.7301         16.7406          0.0263         -0.2308         -0.8372       -0.528467        0.730111
     1791.80782      1791.79207         27.3044          0.7391         16.8494          0.0294         -0.2378         -0.8372       -2.955302        0.739069
     1791.82865      1791.81291         33.0096          0.7170         16.6434          0.0236         -0.5762         -0.8372        0.527526        0.716961
     1791.84948      1791.83374         29.7603          0.7377         16.7559          0.0269         -0.7652         -0.8372       -0.894464        0.737703
     1791.87032      1791.85457         31.5090          0.7167         16.6939          0.0247         -0.5084         -0.8411        0.137564        0.716733
     1791.89115      1791.87541         31.4617          0.7569         16.6955          0.0261         -1.6992         -0.8372       -0.837231        0.756901
     1791.91198      1791.89624         28.7566          0.7342         16.7932          0.0277         -0.2202         -0.8372       -1.102343        0.734168
     1791.93281      1791.91707         32.5761          0.7196         16.6578          0.0240         -0.1232         -0.7242        0.607658        0.719565
     1791.95365      1791.93791         32.0607          0.7396         16.6751          0.0250         -0.6402         -0.6401        0.524277        0.739607
     1791.97448      1791.95874         31.9808          0.7814         16.6778          0.0265         -0.9583         -0.5285       -0.841108        0.781450
     1791.99531      1791.97957         30.7422          0.7536         16.7207          0.0266         -0.1699         -0.5285        0.723743        0.753565
     1792.01615      1792.00041         29.6887          0.7730         16.7585          0.0283         -1.9364         -0.3285       -1.463426        0.773020
     1792.03698      1792.02124         31.6545          0.7687         16.6889          0.0264          0.0375         -0.2611        1.738110        0.768714
     1792.05781      1792.04207         30.8515          0.7376         16.7168          0.0260          0.5886         -0.2611       -0.640083        0.737643
     1792.07865      1792.06291         31.8011          0.7546         16.6839          0.0258         -0.6393         -0.1832        0.265932        0.754603
     1792.09948      1792.08374         33.4906          0.7417         16.6277          0.0240         -2.4863         -0.1832       -0.867493        0.741748
     1792.12031      1792.10457         29.4090          0.7617         16.7688          0.0281         -0.6358         -0.1780       -0.101085        0.761744
     1792.14115      1792.12541         32.1058          0.7593         16.6735          0.0257         -2.1684         -0.1406       -0.135271        0.759292
     1792.16198      1792.14624         30.3130          0.7711         16.7359          0.0276         -1.6136         -0.1406       -1.179033        0.771107
     1792.18281      1792.16707         30.7700          0.7764         16.7197          0.0274         -1.3192         -0.1353        0.109366        0.776411
     1792.20365      1792.18791         30.6929          0.7745         16.7224          0.0274         -0.7683         -0.1353       -0.261070        0.774503
     1792.22448      1792.20874         34.0771          0.7717         16.6088          0.0246         -0.8815         -0.1353        1.455447        0.771708
     1792.24531      1792.22957         29.9630          0.7700         16.7485          0.0279         -0.8364         -0.1011       -0.328528        0.770005
     1792.26615      1792.25041         32.1656          0.7699         16.6715          0.0260         -0.6001         -0.1011        0.010932        0.769880
     1792.28698      1792.27124         34.4190          0.7715         16.5980          0.0243         -0.7374         -0.1011        0.218034        0.771474
     1792.30781      1792.29207         30.9459          0.7661         16.7135          0.0269         -2.1525         -0.1011        0.596487        0.766144
     1792.32865      1792.31291         32.2090          0.7660         16.6701          0.0258         -0.8398         -0.0876        1.202839        0.765974
     1792.34948      1792.33374         31.6381          0.7401         16.6895          0.0254         -0.6481         -0.0876       -1.050331        0.740102
     1792.37031      1792.35457         32.1537          0.7374         16.6719          0.0249         -1.7846         -0.0876        0.683235        0.737374
     1792.39115      1792.37541         33.3140          0.7674         16.6334          0.0250         -1.9708         -0.1011        0.736333        0.767376
     1792.41198      1792.39624         31.7394          0.7494         16.6860          0.0256         -0.8511         -0.0876        1.258642        0.749359
     1792.43281      1792.41707         30.7992          0.7790         16.7187          0.0275         -1.4203         -0.0821        1.074540        0.778971
     1792.45365      1792.43791         30.3870          0.7845         16.7333          0.0280         -0.0277         -0.0876        0.439714        0.784490
     1792.47448      1792.45874         30.3071          0.7882         16.7361          0.0282         -0.7717         -0.1011       -0.828474        0.788187
     1792.49531      1792.47957         30.5926          0.7887         16.7260          0.0280         -1.7592         -0.1011        0.891443        0.788702
     1792.51615      1792.50041         29.4533          0.7744         16.7672          0.0285         -1.6003         -0.1353       -0.140600        0.774392
     1792.53698      1792.52124         29.9524          0.7723         16.7489          0.0280         -1.2377         -0.1353       -0.183189        0.772271
     1792.55781      1792.54207         30.2448          0.7733         16.7384          0.0278         -0.9702         -0.1353       -0.177962        0.773320
     1792.57865      1792.56291         28.6913          0.7613         16.7956          0.0288         -1.2852         -0.1353       -0.746169        0.761348
     1792.59948      1792.58374         32.3500          0.7945         16.6653          0.0267         -1.5293         -0.1406        1.895408        0.794546
     1792.62031      1792.60457         31.1719          0.7613         16.7056          0.0265         -1.6325         -0.1406       -0.087553        0.761337
     1792.64114      1792.62541         30.7612          0.7891         16.7200          0.0279         -2.1044         -0.1406       -0.159002        0.789110
     1792.66198      1792.64624         31.1963          0.7705         16.7047          0.0268         -1.4676         -0.1406        0.723834        0.770481
     1792.68281      1792.66707         28.2535          0.7685         16.8123          0.0295         -1.2838         -0.1406       -1.541544        0.768486
     1792.70364      1792.68791         30.0046          0.7764         16.7470          0.0281         -0.5476         -0.1406       -0.412339        0.776392
     1792.72448      1792.70874         31.2441          0.7987         16.7031          0.0278         -0.7787         -0.0876        0.517896        0.798661
     1792.74531      1792.72957         30.3759          0.7940         16.7337          0.0284         -0.4414         -0.1406       -1.143608        0.794000
     1792.76614      1792.75041         31.7403          0.7988         16.6860          0.0273         -0.3354         -0.1406        0.531329        0.798763
     1792.78698      1792.77124         30.4760          0.7966         16.7301          0.0284         -0.0003         -0.1590       -0.745083        0.796610
     1792.80781      1792.79207         33.2350          0.7934         16.6360          0.0259         -2.2277         -0.1590        0.850658        0.793389
     1792.82864      1792.81291         29.8527          0.7901         16.7525          0.0287         -1.3281         -0.1780       -0.082115        0.790149
     1792.84948      1792.83374         30.4897          0.7885         16.7296          0.0281         -1.3516         -0.1780       -0.486709        0.788545
     1792.87031      1792.85457         30.0814          0.7660         16.7443          0.0276         -1.4633         -0.1590       -1.682344        0.766035
     1792.89114      1792.87541         30.6693          0.7951         16.7232          0.0281          0.8399         -0.1780        0.130854        0.795116
     1792.91198      1792.89624         32.6888          0.7717         16.6540          0.0256         -1.1360         -0.1780        1.597817        0.771733
     1792.93281      1792.91707         30.7636          0.7949         16.7199          0.0281         -1.1507         -0.1832       -1.194990        0.794854
     1792.95364      1792.93791         30.7964          0.7909         16.7187          0.0279         -0.8453         -0.1832       -0.464079        0.790926
     1792.97448      1792.95874         30.2363          0.7715         16.7387          0.0277         -2.3028         -0.4123       -0.967149        0.771474
     1792.99531      1792.97957         29.0931          0.7755         16.7805          0.0289          0.9265         -0.4123       -0.566088        0.775527
     1793.01614      1793.00041         29.8435          0.7787         16.7529          0.0283         -1.2979         -0.4123       -0.447238        0.778700
     1793.03698      1793.02124         32.3224          0.7795         16.6662          0.0262         -1.0255         -0.4130        0.035923        0.779538
     1793.05781      1793.04207         30.5600          0.7816         16.7271          0.0278         -0.4439         -0.4130       -0.412999        0.781601
     1793.07864      1793.06291         29.9239          0.7789         16.7500          0.0283         -1.1926         -0.4472       -1.152212        0.778928
     1793.09947      1793.08374         30.0266          0.8130         16.7462          0.0294         -0.6335         -0.4130       -0.792515        0.813004
     1793.12031      1793.10457         30.0053          0.7751         16.7470          0.0280         -0.4265         -0.4472        0.544054        0.775055
     1793.14114      1793.12541         30.1861          0.7844         16.7405          0.0282          0.0544         -0.4641        0.128422        0.784393
     1793.16197      1793.14624         30.5610          0.7836         16.7271          0.0278         -0.8346         -0.4641       -0.477529        0.783627
     1793.18281      1793.16707         32.5130          0.7890         16.6599          0.0263         -0.6541         -0.4641        1.471240        0.789033
     1793.20364      1793.18791         30.3245          0.7740         16.7355          0.0277         -1.4100         -0.4472        0.022548        0.773952
     1793.22447      1793.20874         29.8843          0.7709         16.7514          0.0280         -0.6609         -0.4641       -1.319444        0.770924
     1793.24531      1793.22957         28.6333          0.7708         16.7978          0.0292         -1.2030         -0.4641       -2.058436        0.770755
     1793.26614      1793.25041         30.0256          0.7683         16.7463          0.0278         -0.4626         -0.4472       -0.660021        0.768334
     1793.28697      1793.27124         30.7163          0.7704         16.7216          0.0272         -1.9103         -0.4472        0.611146        0.770360
     1793.30781      1793.29207         29.0789          0.7685         16.7811          0.0287         -0.9121         -0.4130       -1.699569        0.768469
     1793.32864      1793.31291         32.2533          0.7708         16.6686          0.0259         -1.1042         -0.4472        0.641576        0.770848
     1793.34947      1793.33374         31.8633          0.7723         16.6818          0.0263         -0.5320         -0.4641        0.157749        0.772322
     1793.37031      1793.35457         28.3969          0.7760         16.8068          0.0297         -1.4554         -0.4641       -3.026833        0.775990
     1793.39114      1793.37541         32.6403          0.7611         16.6556          0.0253         -1.2986         -0.4472        1.271856        0.761068
     1793.41197      1793.39624         30.1672          0.7759         16.7412          0.0279         -0.4263         -0.4641       -0.474444        0.775877
     1793.43281      1793.41707         30.9466          0.7856         16.7135          0.0276          0.2442         -0.4744        0.967294        0.785590
     1793.45364      1793.43791         29.1453          0.7833         16.7786          0.0292         -0.3596         -0.4641       -1.715208        0.783270
     1793.47447      1793.45874         29.1760          0.7817         16.7774          0.0291         -1.0046         -0.4472       -1.307567        0.781720
     1793.49531      1793.47957         30.9768          0.7885         16.7124          0.0276         -0.6524         -0.4130       -0.033865        0.788501
     1793.51614      1793.50041         29.3154          0.7817         16.7723          0.0290         -0.2041         -0.4130       -0.893404        0.781748
     1793.53697      1793.52124         31.6134          0.7834         16.6903          0.0269         -0.5985         -0.2741       -0.274056        0.783434
     1793.55780      1793.54207         30.3267          0.8005         16.7354          0.0287          0.3872         -0.2741       -0.898559        0.800511
     1793.57864      1793.56290         31.4109          0.7919         16.6973          0.0274          0.6649         -0.2741        1.224355        0.791915
     1793.59947      1793.58374         27.9374          0.8055         16.8245          0.0313          0.0867         -0.2741       -1.629700        0.805476
     1793.62030      1793.60457         28.7903          0.8055         16.7919          0.0304          0.1822         -0.0339       -1.730343        0.805549
     1793.64114      1793.62540         33.9894          0.8019         16.6116          0.0256          0.0952         -0.2741        0.970252        0.801931
     1793.66197      1793.64624         29.8826          0.7976         16.7515          0.0290         -0.1105         -0.2741        0.017202        0.797575
     1793.68280      1793.66707         30.0293          0.8065         16.7461          0.0292         -0.0306         -0.0339        0.076741        0.806549
     1793.70364      1793.68790         30.9274          0.8061         16.7141          0.0283         -0.9140         -0.2741       -0.596516        0.806111
     1793.72447      1793.70874         34.2364          0.8140         16.6038          0.0258         -0.5901         -0.4744        1.060312        0.814037
     1793.74530      1793.72957         30.6351          0.8239         16.7245          0.0292         -0.8576         -0.2741        0.509390        0.823911
     1793.76614      1793.75040         31.3345          0.8144         16.6999          0.0282          2.4113         -0.0339        0.882650        0.814391
     1793.78697      1793.77124         30.2508          0.8028         16.7382          0.0288         -0.6773         -0.0339        1.223749        0.802849
     1793.80780      1793.79207         30.9982          0.7788         16.7117          0.0273          0.0716         -0.2741       -0.796730        0.778785
     1793.82864      1793.81290         32.2475          0.7914         16.6688          0.0266         -2.4040         -0.0339       -0.767913        0.791370
     1793.84947      1793.83374         29.6140          0.7933         16.7613          0.0291          0.2971         -0.0339       -0.859348        0.793282
     1793.87030      1793.85457         32.7129          0.7917         16.6532          0.0263         -1.2546         -0.2741        1.284043        0.791681
     1793.89114      1793.87540         28.8498          0.7951         16.7896          0.0299         -1.2548         -0.2741       -1.564598        0.795108
     1793.91197      1793.89624         29.2968          0.7945         16.7729          0.0294          0.3314         -0.4744       -1.743093        0.794451
     1793.93280      1793.91707         32.3175          0.7939         16.6664          0.0267          0.0980         -0.5224        0.409576        0.793916
     1793.95363      1793.93790         29.4322          0.7924         16.7679          0.0292          1.6954         -0.5430        0.172851        0.792447
     1793.97447      1793.95874         30.3849          0.8102         16.7334          0.0289         -0.5432         -0.5430        0.288896        0.810166
     1793.99530      1793.97957         29.1711          0.7995         16.7776          0.0298          0.2731         -0.5224       -1.037445        0.799533
     1794.01613      1794.00040         29.0104          0.7983         16.7836          0.0299          0.5885         -0.5224        0.007370        0.798285
     1794.03697      1794.02124         30.2308          0.7983         16.7389          0.0287         -0.2408         -0.5224        0.138087        0.798282
     1794.05780      1794.04207         33.2847          0.7724         16.6344          0.0252          0.0844         -0.5224       -1.088770        0.772443
     1794.07863      1794.06290         29.7635          0.7788         16.7558          0.0284         -0.6556         -0.5224       -1.409795        0.778756
     1794.09947      1794.08374         30.3751          0.7850         16.7337          0.0281         -1.2862         -0.5430        0.117735        0.785001
     1794.12030      1794.10457         29.2344          0.7719         16.7753          0.0287         -0.8348         -0.5224       -0.914017        0.771854
     1794.14113      1794.12540         31.2109          0.7684         16.7042          0.0267          0.4929         -0.3570        0.292989        0.768441
     1794.16197      1794.14624         30.8700          0.7678         16.7162          0.0270         -1.3789         -0.3570       -0.006360        0.767775
     1794.18280      1794.16707         29.5571          0.7672         16.7633          0.0282         -0.2794         -0.3570       -0.921374        0.767213
     1794.20363      1794.18790         27.0585          0.7678         16.8592          0.0308         -0.3355         -0.3862       -1.149394        0.767821
     1794.22447      1794.20874         32.2319          0.7967         16.6693          0.0268         -0.0573         -0.3862        1.595144        0.796712
