# reference_flux:        217.6176
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1790.68272      1790.66707        217.7398          0.8857         14.5952          0.0044         -0.3702          0.2515        0.470391        0.885683
     1790.70356      1790.68791        216.8634          0.8946         14.5995          0.0045         -0.0751          0.2515       -0.240118        0.894635
     1790.72439      1790.70874        215.0987          0.8874         14.6084          0.0045          1.3617          0.2515       -0.703918        0.887360
     1790.74522      1790.72957        219.5887          0.8870         14.5860          0.0044         -0.8472          0.2515        0.108671        0.886988
     1790.76606      1790.75041        219.8489          0.8858         14.5847          0.0044         -2.1440          0.2515        0.294170        0.885794
     1790.78689      1790.77124        219.9772          0.8874         14.5841          0.0044         -0.4842          0.2515        0.317410        0.887439
     1790.80772      1790.79207        217.2189          0.8888         14.5978          0.0044         -0.0838          0.2942       -0.032298        0.888832
     1790.82856      1790.81291        219.5413          0.8912         14.5862          0.0044         -2.6018          0.2942        0.189682        0.891198
     1790.84939      1790.83374        216.8027          0.8897         14.5998          0.0045         -0.5075          0.2942       -2.357626        0.889678
     1790.87022      1790.85457        218.6558          0.8928         14.5906          0.0044         -2.2423          0.2942        0.163459        0.892753
     1790.89106      1790.87541        216.4773          0.8924         14.6015          0.0045          1.1061          0.3174        0.251512        0.892443
     1790.91189      1790.89624        218.5611          0.8925         14.5911          0.0044         -0.7241          0.3174        1.744858        0.892477
     1790.93272      1790.91707        216.0795          0.8893         14.6035          0.0045          0.1419          0.3174        0.605026        0.889288
     1790.95356      1790.93791        218.9443          0.8902         14.5892          0.0044          0.9649          0.3174        0.969985        0.890234
     1790.97439      1790.95874        217.5981          0.8946         14.5959          0.0045          0.6638          0.3174       -1.363092        0.894602
     1790.99522      1790.97957        217.5434          0.8971         14.5961          0.0045         -0.0241          0.3374        1.611995        0.897101
     1791.01606      1791.00041        217.6118          0.8945         14.5958          0.0045          0.1491          0.4557        1.009444        0.894472
     1791.03689      1791.02124        214.1730          0.8864         14.6131          0.0045          0.3978          0.4704        0.031025        0.886424
     1791.05773      1791.04207        214.7795          0.8850         14.6100          0.0045          1.1474          0.4704       -1.692850        0.885029
     1791.07856      1791.06291        214.8608          0.8911         14.6096          0.0045          0.5999          0.6050       -0.623589        0.891084
     1791.09939      1791.08374        218.3427          0.8817         14.5922          0.0044         -1.2606          0.6873        0.455733        0.881728
     1791.39106      1791.37541        220.5539          0.9110         14.5812          0.0045          2.5731          0.9700        1.823965        0.911026
     1791.41189      1791.39624        220.8593          0.9091         14.5797          0.0045          2.9562          0.9700        3.282660        0.909093
     1791.43273      1791.41707        217.6872          0.9075         14.5954          0.0045          4.7082          1.0094        1.052280        0.907522
     1791.45356      1791.43791        216.6045          0.9006         14.6008          0.0045          1.8233          1.0523       -0.229105        0.900608
     1791.47440      1791.45874        218.9349          0.9052         14.5892          0.0045          0.0864          1.0523        0.337437        0.905198
     1791.49523      1791.47957        218.8336          0.9020         14.5897          0.0045          0.3969          1.3479        2.388214        0.901969
     1791.51606      1791.50041        219.7092          0.9009         14.5854          0.0045          0.9974          1.3494        2.252742        0.900932
     1791.53690      1791.52124        218.8703          0.9021         14.5895          0.0045          2.0346          1.4086        2.823753        0.902124
     1791.55773      1791.54207        219.9959          0.8983         14.5840          0.0044          1.4915          1.4086        1.349417        0.898334
     1791.57856      1791.56291        220.6591          0.9000         14.5807          0.0044          0.8655          1.4086        2.469809        0.900009
     1791.59940      1791.58374        220.9776          0.8995         14.5791          0.0044         -0.1740          1.4086        2.059813        0.899453
     1791.62023      1791.60457        220.4307          0.9071         14.5818          0.0045          1.8910          1.4086        0.687341        0.907089
     1791.64106      1791.62541        219.7148          0.8978         14.5854          0.0044          0.9368          1.4156        2.727183        0.897760
     1791.66190      1791.64624        223.4591          0.9091         14.5670          0.0044         -0.2245          1.4156        3.061717        0.909138
     1791.68273      1791.66707        220.7331          0.9055         14.5803          0.0045         -0.3015          1.4156        3.050965        0.905539
     1791.70356      1791.68791        220.7282          0.9002         14.5804          0.0044          0.6525          1.4086        3.778507        0.900244
     1791.72440      1791.70874        222.0914          0.9013         14.5737          0.0044          0.9947          1.4086        3.088453        0.901280
     1791.74523      1791.72957        219.3567          0.8981         14.5871          0.0044         -0.1300          1.4086        1.347884        0.898128
     1791.76606      1791.75041        219.0482          0.8941         14.5887          0.0044          0.8419          1.4086        2.789348        0.894073
     1791.78690      1791.77124        217.7393          0.8972         14.5952          0.0045          0.7522          1.3494        1.939982        0.897235
     1791.80773      1791.79207        219.5572          0.8922         14.5861          0.0044          0.0897          1.3494        2.454087        0.892172
     1791.82856      1791.81291        217.3169          0.8900         14.5973          0.0044          1.5550          1.3494        1.939590        0.889995
     1791.84940      1791.83374        221.7148          0.8916         14.5755          0.0044          0.7058          1.3494        1.415604        0.891634
     1791.87023      1791.85457        217.2722          0.8978         14.5975          0.0045          0.6062          1.4086        1.869686        0.897780
     1791.89106      1791.87541        216.9447          0.8930         14.5991          0.0045          0.0670          1.4086       -0.145950        0.893041
     1791.91190      1791.89624        218.2334          0.8948         14.5927          0.0045          0.3275          1.3494        2.047793        0.894812
     1791.93273      1791.91707        215.0216          0.8870         14.6088          0.0045          0.8297          1.3479        1.948832        0.886970
     1791.95356      1791.93791        218.2953          0.8925         14.5924          0.0044         -0.3477          1.3494        0.064974        0.892466
     1791.97440      1791.95874        216.9727          0.8900         14.5990          0.0045          0.6109          1.3494        3.051286        0.889956
     1791.99523      1791.97957        218.5652          0.8966         14.5910          0.0045         -0.8484          1.3494        1.947432        0.896640
     1792.01606      1792.00041        218.0993          0.8934         14.5934          0.0044         -0.4498          1.3479        1.408594        0.893424
     1792.03690      1792.02124        215.7003          0.8916         14.6054          0.0045         -0.9885          1.1451        0.123021        0.891597
     1792.05773      1792.04207        217.4103          0.8932         14.5968          0.0045          0.0196          1.1451        0.766610        0.893183
     1792.07856      1792.06291        216.7305          0.8917         14.6002          0.0045          1.1121          1.1451        0.606864        0.891699
     1792.09940      1792.08374        217.5600          0.8969         14.5961          0.0045          0.6267          1.1336        0.803350        0.896931
     1792.12023      1792.10457        219.0884          0.8849         14.5885          0.0044         -0.3430          1.0775        1.627460        0.884875
     1792.14106      1792.12541        217.0271          0.8943         14.5987          0.0045          0.8834          1.0775        0.337567        0.894336
     1792.16190      1792.14624        216.3624          0.8948         14.6020          0.0045          1.9548          0.8034        0.584472        0.894801
     1792.18273      1792.16707        215.8982          0.8925         14.6044          0.0045          1.4360          0.7666        0.327675        0.892474
     1792.20357      1792.18791        215.2449          0.8906         14.6077          0.0045          1.2132          0.7086       -0.345110        0.890607
     1792.22440      1792.20874        215.6318          0.8903         14.6057          0.0045          1.1856          0.6069        0.255573        0.890266
     1792.24523      1792.22957        216.0180          0.8903         14.6038          0.0045          0.9879          0.5845       -0.404546        0.890260
     1792.26607      1792.25041        216.9666          0.8916         14.5990          0.0045          0.9017          0.3376        1.077516        0.891551
     1792.28690      1792.27124        215.3238          0.8921         14.6073          0.0045          0.8883          0.3376       -0.317299        0.892147
     1792.30773      1792.29207        214.5136          0.8884         14.6114          0.0045          1.6771          0.3376       -0.147467        0.888417
     1792.32857      1792.31291        218.2566          0.8880         14.5926          0.0044          1.3652          0.3277        1.133566        0.888039
     1792.34940      1792.33374        216.9825          0.8909         14.5989          0.0045          1.2789          0.3190        1.435432        0.890902
     1792.37023      1792.35457        215.8182          0.8879         14.6048          0.0045          1.2988          0.3190        1.145100        0.887902
     1792.39107      1792.37541        217.4322          0.8805         14.5967          0.0044          0.1589          0.3023        0.260484        0.880518
     1792.41190      1792.39624        214.1615          0.8895         14.6131          0.0045          1.3435          0.3023       -1.150803        0.889542
     1792.43273      1792.41707        216.0298          0.8878         14.6037          0.0045          1.8928          0.2605        2.011849        0.887767
     1792.45357      1792.43791        215.4971          0.8817         14.6064          0.0044          1.6112          0.2556       -1.061637        0.881716
     1792.47440      1792.45874        216.6061          0.8900         14.6008          0.0045          1.3657          0.2556       -0.187950        0.889994
     1792.49523      1792.47957        215.4296          0.8898         14.6067          0.0045          0.6322          0.2556       -1.862168        0.889813
     1792.51607      1792.50041        214.4943          0.8884         14.6115          0.0045         -0.9669          0.2556        0.181094        0.888353
     1792.53690      1792.52124        219.8019          0.8881         14.5849          0.0044         -0.2753          0.2183        1.631670        0.888143
     1792.55773      1792.54207        216.1035          0.8873         14.6033          0.0045          0.6061          0.2556        1.739853        0.887315
     1792.57857      1792.56291        212.8684          0.8904         14.6197          0.0045          1.1202          0.2556       -1.352542        0.890433
     1792.59940      1792.58374        217.2384          0.8861         14.5977          0.0044         -1.1354          0.2556        0.708596        0.886143
     1792.62023      1792.60457        216.2794          0.8850         14.6025          0.0044          1.0281          0.2183       -0.914728        0.885018
     1792.64107      1792.62541        220.2626          0.8902         14.5826          0.0044          1.8041          0.1811        0.036490        0.890150
     1792.66190      1792.64624        215.2410          0.8912         14.6077          0.0045          1.3817          0.0365        0.318962        0.891244
     1792.68273      1792.66707        214.2936          0.8892         14.6125          0.0045          0.8248         -0.0160       -0.800337        0.889160
     1792.70357      1792.68791        214.5313          0.8887         14.6113          0.0045          2.1041         -0.1333       -0.183207        0.888663
     1792.72440      1792.70874        213.2994          0.8905         14.6175          0.0045          3.0026         -0.1333       -1.317430        0.890494
     1792.74523      1792.72957        214.7393          0.8905         14.6102          0.0045          1.1218         -0.1475        0.218345        0.890504
     1792.76607      1792.75041        219.4292          0.8929         14.5868          0.0044         -0.4737         -0.1475        0.964628        0.892900
     1792.78690      1792.77124        213.7136          0.8919         14.6154          0.0045         -0.8692         -0.1475        0.929044        0.891853
     1792.80773      1792.79207        218.7740          0.8954         14.5900          0.0044          0.2860         -0.1333        0.302312        0.895372
     1792.82857      1792.81291        213.5050          0.8944         14.6165          0.0045          0.9551         -0.0570       -0.133287        0.894421
     1792.84940      1792.83374        219.8793          0.8896         14.5845          0.0044         -0.9496         -0.1333        1.157959        0.889614
     1792.87023      1792.85457        212.6078          0.8910         14.6211          0.0046          0.6344         -0.1832       -0.650932        0.891040
     1792.89107      1792.87541        216.0197          0.8939         14.6038          0.0045         -0.9111         -0.1879       -0.864027        0.893890
     1792.91190      1792.89624        216.7673          0.8954         14.6000          0.0045         -0.1355         -0.1959       -0.844071        0.895360
     1792.93273      1792.91707        217.3367          0.8970         14.5972          0.0045          0.2033         -0.1959       -0.016006        0.897010
     1792.95357      1792.93791        215.8265          0.8855         14.6047          0.0045          1.3989         -0.2140       -1.159530        0.885451
     1792.97440      1792.95874        215.7691          0.8923         14.6050          0.0045         -0.5106         -0.2140        0.431229        0.892284
     1792.99523      1792.97957        216.1576          0.8932         14.6031          0.0045         -0.2666         -0.2140        0.456595        0.893187
     1793.01607      1793.00041        213.5505          0.8899         14.6162          0.0045          0.8229         -0.1959       -0.620156        0.889859
     1793.03690      1793.02124        216.5084          0.8957         14.6013          0.0045          0.9367         -0.2134        0.613074        0.895654
     1793.05773      1793.04207        218.3972          0.8935         14.5919          0.0044         -0.6496         -0.2140        0.922421        0.893484
     1793.07857      1793.06291        214.8318          0.8971         14.6098          0.0045         -0.2940         -0.3787        0.463902        0.897062
     1793.09940      1793.08374        211.9098          0.8895         14.6246          0.0046          0.5737         -0.3787       -2.264613        0.889487
     1793.12023      1793.10457        213.3148          0.8969         14.6174          0.0046          0.9649         -0.5196       -1.756963        0.896867
     1793.14107      1793.12541        215.4634          0.9049         14.6066          0.0046          1.0430         -0.3787       -1.980365        0.904906
     1793.16190      1793.14624        216.6626          0.8911         14.6005          0.0045          1.1437         -0.3787       -0.519626        0.891118
