# reference_flux:       -110.3747
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1790.68001      1790.66708         -3.4190          0.7458         19.5656         99.9000          1.9818         -1.2169       -2.994361        0.745818
     1790.70084      1790.68791         -6.2936          0.7222         19.6005         99.9000          0.9847         -1.2169       -2.389881        0.722244
     1790.72167      1790.70874         -3.4722          0.7260         19.5948         99.9000          1.9589         -1.2169       -0.058675        0.726046
     1790.74251      1790.72958         -2.7904          0.7171         19.6083         99.9000          1.8214         -1.2169        0.001934        0.717087
     1790.76334      1790.75041         -4.7118          0.7184         19.6063         99.9000          0.7397         -1.1645       -1.655773        0.718389
     1790.78417      1790.77124         -2.6923          0.7063         19.6247         99.9000          1.5238         -1.1645       -1.224316        0.706313
     1790.80501      1790.79208         -4.2462          0.7205         19.6031         99.9000          1.2478         -1.1174       -0.404416        0.720520
     1790.82584      1790.81291         -4.7312          0.6988         19.6363         99.9000          0.9028         -1.1174       -1.836531        0.698789
     1790.84667      1790.83374         -2.3405          0.7240         19.5978         99.9000          1.0202         -1.1155       -1.115519        0.724005
     1790.86751      1790.85458         -3.8599          0.7555         19.5517         99.9000          1.8984         -1.1155       -2.099680        0.755461
     1790.88834      1790.87541         -2.4560          0.7508         19.5584         99.9000          0.9007         -1.1155       -1.216885        0.750806
     1790.90917      1790.89624         -5.1714          0.7746         19.5246         99.9000          1.5547         -1.1155        0.690160        0.774563
     1790.93001      1790.91708         -2.6364          0.7073         19.6232         99.9000          1.3121         -1.1155       -0.645680        0.707269
     1790.95084      1790.93791         -5.7339          0.7238         19.5981         99.9000          3.2135         -1.1155       -0.772583        0.723835
     1790.97167      1790.95874         -4.6591          0.7118         19.6163         99.9000          1.5423         -1.0954       -0.510313        0.711797
     1790.99251      1790.97958         -3.0280          0.6986         19.6366         99.9000          2.1960         -0.9029       -1.323688        0.698598
     1791.01334      1791.00041         -3.5562          0.7187         19.6058         99.9000          0.8509         -0.7726       -1.164465        0.718725
     1791.03418      1791.02124         -5.8325          0.7337         19.5833         99.9000          2.4980         -0.6457       -1.362382        0.733742
     1791.05501      1791.04208         -6.1749          0.7278         19.5922         99.9000          1.7062         -0.6457       -1.920616        0.727798
     1791.07584      1791.06291         -4.2465          0.7235         19.5986         99.9000          1.2000         -0.5103       -1.567915        0.723468
     1791.09668      1791.08374         -5.3602          0.7430         19.5697         99.9000          0.8514         -0.5048       -1.218795        0.743008
     1791.38834      1791.37541         -1.7589          0.7473         19.5635         99.9000         -3.9052         -0.5048       -1.095373        0.747262
     1791.40918      1791.39624          0.9845          0.7608         19.5440         99.9000         -5.6711         -0.5048        1.664682        0.760840
