# reference_flux:       2207.7779
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1816.09671      1816.08373       2204.5689          1.2437         12.0817          0.0006         -0.4720          0.0347       -1.831142        1.243672
     1816.11754      1816.10457       2207.5315          1.2647         12.0802          0.0006          0.1083          0.0585       -0.327218        1.264687
     1816.13837      1816.12540       2204.3852          1.2400         12.0818          0.0006          1.3590          0.0585       -1.636136        1.240033
     1816.15920      1816.14623       2206.0868          1.2342         12.0809          0.0006         -1.5811          0.0585       -0.888429        1.234184
     1816.18004      1816.16707       2206.6681          1.2631         12.0807          0.0006          0.8155          0.0585       -0.580905        1.263139
     1816.20087      1816.18790       2208.2108          1.2424         12.0799          0.0006          0.3748          0.0585        0.106588        1.242431
     1816.22170      1816.20873       2206.9774          1.2625         12.0805          0.0006         -0.3546          0.0585       -0.716123        1.262505
     1816.24254      1816.22957       2207.8149          1.2655         12.0801          0.0006         -1.3180          0.0347        0.930948        1.265530
     1816.26337      1816.25040       2206.8084          1.2378         12.0806          0.0006         -1.6959          0.0347        0.388204        1.237771
     1816.28420      1816.27123       2209.8389          1.2182         12.0791          0.0006          0.3857         -0.0658        1.284238        1.218247
     1816.30504      1816.29207       2208.1971          1.2076         12.0799          0.0006         -1.7688         -0.2571        1.421879        1.207595
     1816.32587      1816.31290       2207.7557          1.2251         12.0801          0.0006         -2.1722         -0.2571       -0.348951        1.225126
     1816.34670      1816.33373       2210.0312          1.2376         12.0790          0.0006         -1.3299         -0.2598        1.048544        1.237578
     1816.36754      1816.35457       2213.0974          1.2283         12.0775          0.0006          0.0556         -0.2571        0.846120        1.228269
     1816.38837      1816.37540       2208.3157          1.1927         12.0798          0.0006         -0.8709         -0.2598        0.058487        1.192710
     1816.40920      1816.39623       2212.7639          1.2317         12.0777          0.0006         -1.4808         -0.2598        2.019777        1.231749
     1816.43004      1816.41707       2207.5475          1.2106         12.0802          0.0006         -1.9102         -0.2598        0.034661        1.210562
     1816.45087      1816.43790       2206.7976          1.2377         12.0806          0.0006         -0.8080         -0.2598        0.951494        1.237719
     1816.47170      1816.45873       2217.1492          1.2072         12.0755          0.0006         -2.6245         -0.2571        0.750340        1.207209
     1816.49254      1816.47957       2211.4979          1.1892         12.0783          0.0006         -0.5860         -0.2598        0.082078        1.189225
     1816.51337      1816.50040       2201.3363          1.1964         12.0833          0.0006          0.2782         -0.2571       -1.472094        1.196387
     1816.53420      1816.52123       2206.8969          1.2080         12.0805          0.0006         -1.3169         -0.2571       -2.054012        1.208005
     1816.55504      1816.54207       2207.1196          1.1986         12.0804          0.0006          0.0850         -0.0658       -1.118227        1.198578
     1816.57587      1816.56290       2209.4132          1.1879         12.0793          0.0006         -1.6934         -0.0658       -0.951358        1.187886
     1816.59670      1816.58373       2209.5973          1.1919         12.0792          0.0006          0.0231         -0.0658        0.313095        1.191892
     1816.61754      1816.60457       2205.0528          1.2235         12.0815          0.0006         -0.6986         -0.0658       -0.065799        1.223542
     1816.63837      1816.62540       2207.2499          1.1982         12.0804          0.0006         -0.8736         -0.0658       -0.733722        1.198241
     1816.65920      1816.64623       2205.4872          1.2289         12.0812          0.0006         -0.9999         -0.0547        0.180762        1.228904
     1816.68004      1816.66707       2208.1758          1.2291         12.0799          0.0006          0.4584         -0.0547       -1.030594        1.229103
     1816.70087      1816.68790       2208.9830          1.2160         12.0795          0.0006          0.3707         -0.0547        0.351901        1.216031
     1816.72170      1816.70873       2205.3792          1.2399         12.0813          0.0006         -0.5349         -0.0658       -0.257051        1.239850
     1816.74253      1816.72957       2208.8713          1.2453         12.0796          0.0006         -0.8251         -0.0547       -0.888156        1.245346
     1816.76337      1816.75040       2208.2048          1.2310         12.0799          0.0006         -1.8133         -0.0658       -0.692010        1.231018
