# reference_flux:        382.5755
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1816.09577      1816.08373        379.8909          0.7692         13.9909          0.0022         -0.0258         -0.2106       -0.063915        0.769183
     1816.11661      1816.10457        376.8991          0.7605         13.9994          0.0022          0.6434         -0.1760       -1.335342        0.760498
     1816.13744      1816.12540        376.8737          0.7677         13.9995          0.0022          1.0133         -0.1760        0.082512        0.767744
     1816.15828      1816.14623        377.3360          0.7704         13.9982          0.0022          0.4648         -0.1760        1.851626        0.770385
     1816.17911      1816.16707        381.8458          0.7672         13.9853          0.0022          1.5260         -0.1197        1.108744        0.767215
     1816.19994      1816.18790        378.1192          0.7717         13.9959          0.0022         -0.8386         -0.1197       -0.427218        0.771654
     1816.22078      1816.20873        380.7574          0.7752         13.9884          0.0022          1.0500         -0.1197        1.497992        0.775180
     1816.24161      1816.22957        377.0424          0.7874         13.9990          0.0023          1.1880         -0.0639        0.252886        0.787359
     1816.26244      1816.25040        380.7033          0.7795         13.9885          0.0022          1.3287         -0.0639        0.093295        0.779510
     1816.28328      1816.27123        382.8235          0.7891         13.9825          0.0022          0.5675         -0.0639        0.930361        0.789103
     1816.30411      1816.29207        378.5279          0.7875         13.9948          0.0023          1.7589         -0.0639        0.850295        0.787461
     1816.32494      1816.31290        377.1177          0.7890         13.9988          0.0023          0.7990          0.0623       -0.851234        0.788994
     1816.34578      1816.33373        379.7019          0.7913         13.9914          0.0023          0.2177          0.0623       -1.913009        0.791263
     1816.36661      1816.35457        381.4701          0.7666         13.9863          0.0022         -2.0612          0.0623       -0.176005        0.766614
     1816.38744      1816.37540        377.3721          0.7901         13.9981          0.0023          0.2340          0.0282       -0.119679        0.790100
     1816.40828      1816.39623        380.0798          0.7863         13.9903          0.0022         -0.0423         -0.0200       -0.304472        0.786335
     1816.42911      1816.41707        381.3451          0.7751         13.9867          0.0022          1.7432         -0.0639        1.128948        0.775124
     1816.44994      1816.43790        378.0342          0.7890         13.9962          0.0023          0.7338         -0.0639       -1.230573        0.788974
     1816.47078      1816.45873        381.0129          0.7892         13.9877          0.0022         -1.5120         -0.0639       -1.530290        0.789242
     1816.49161      1816.47957        381.9598          0.7885         13.9850          0.0022          1.3609         -0.0639       -0.615466        0.788462
