# reference_flux:       2070.2813
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1816.09613      1816.08373       2069.8375          1.1444         12.1502          0.0006         -0.2946          0.1322       -0.180127        1.144366
     1816.11697      1816.10457       2067.9855          1.1614         12.1511          0.0006         -1.5404          0.2011       -0.553115        1.161416
     1816.13780      1816.12540       2069.0796          1.1611         12.1506          0.0006          1.8274          0.1322        0.231383        1.161073
     1816.15863      1816.14623       2069.4765          1.1536         12.1503          0.0006          0.7906          0.1322        0.201110        1.153622
     1816.17947      1816.16707       2070.1761          1.1631         12.1500          0.0006         -0.3090          0.1930        1.824882        1.163059
     1816.20030      1816.18790       2070.1662          1.1544         12.1500          0.0006          0.1529          0.1930        0.075139        1.154412
     1816.22113      1816.20873       2071.5084          1.1588         12.1493          0.0006          0.4427          0.1930        1.569250        1.158798
     1816.24197      1816.22957       2068.3002          1.1637         12.1510          0.0006         -1.2859          0.1930        0.322050        1.163704
     1816.26280      1816.25040       2071.0807          1.1619         12.1495          0.0006         -0.0993          0.2011        1.444850        1.161945
     1816.28363      1816.27123       2072.2444          1.1535         12.1489          0.0006         -1.2180          0.2011       -0.309850        1.153485
     1816.30446      1816.29207       2067.8653          1.1681         12.1512          0.0006         -0.0797          0.2314       -1.379751        1.168051
     1816.32530      1816.31290       2067.5611          1.1529         12.1514          0.0006          0.7600          0.2314        0.501651        1.152852
     1816.34613      1816.33373       2069.3760          1.1508         12.1504          0.0006          0.5896          0.2314        0.007354        1.150761
     1816.36696      1816.35457       2067.9377          1.1498         12.1512          0.0006         -0.0007          0.2011       -1.105186        1.149800
     1816.38780      1816.37540       2070.5476          1.1603         12.1498          0.0006         -0.9641          0.2314        0.132151        1.160337
     1816.40863      1816.39623       2070.6922          1.1586         12.1497          0.0006         -0.8659          0.2314       -0.492254        1.158558
     1816.42946      1816.41707       2070.4786          1.1424         12.1498          0.0006          0.8716          0.2314       -0.415991        1.142414
     1816.45030      1816.43790       2071.3605          1.1466         12.1494          0.0006         -0.9354          0.2011        2.558500        1.146582
     1816.47113      1816.45873       2074.8515          1.1505         12.1475          0.0006         -1.0428          0.2011        1.157093        1.150545
     1816.49196      1816.47957       2073.7986          1.1600         12.1481          0.0006         -0.1871          0.2011        0.530685        1.159972
     1816.51280      1816.50040       2067.2704          1.1500         12.1515          0.0006          0.5441          0.2011       -1.652068        1.149966
     1816.53363      1816.52123       2071.9934          1.1545         12.1490          0.0006          0.8979          0.2011        0.998349        1.154539
     1816.55446      1816.54207       2069.1668          1.1608         12.1505          0.0006         -1.5420          0.1930        1.203592        1.160798
     1816.57530      1816.56290       2068.3857          1.1638         12.1509          0.0006         -0.4853          0.2011       -2.660628        1.163849
     1816.59613      1816.58373       2072.5534          1.1527         12.1487          0.0006         -0.2310          0.2011        1.904525        1.152668
     1816.61696      1816.60457       2069.9634          1.1598         12.1501          0.0006          0.8823          0.2011       -0.483524        1.159782
     1816.63780      1816.62540       2069.7026          1.1570         12.1502          0.0006          1.1218          0.2314        0.940422        1.156997
     1816.65863      1816.64623       2070.7298          1.1507         12.1497          0.0006         -1.7353          0.3221        0.192955        1.150705
     1816.67946      1816.66707       2071.1036          1.1411         12.1495          0.0006         -0.5942          0.3836        1.307592        1.141080
     1816.70029      1816.68790       2068.9322          1.1560         12.1506          0.0006          1.8325          0.3836        1.170891        1.155951
     1816.72113      1816.70873       2070.7017          1.1473         12.1497          0.0006         -0.2634          0.3836        0.896875        1.147284
     1816.74196      1816.72957       2069.1107          1.1599         12.1505          0.0006         -0.3732          0.3836        0.524326        1.159859
     1816.76279      1816.75040       2068.3451          1.1508         12.1509          0.0006         -0.5761          0.3836        0.745604        1.150806
     1816.78363      1816.77123       2069.6789          1.1567         12.1502          0.0006         -0.4050          0.1930        0.748820        1.156727
