# reference_flux:       1053.4415
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1842.51395      1842.50039       1043.7322          1.0794         12.8935          0.0011          5.3792          2.7108        1.719908        1.079363
     1842.53478      1842.52122       1044.7914          1.0813         12.8924          0.0011          5.9168          2.7706        0.852225        1.081320
     1842.55561      1842.54206       1041.0897          1.0796         12.8963          0.0011          5.4053          2.7706       -0.219586        1.079622
     1842.57645      1842.56289       1044.8956          1.0817         12.8923          0.0011          3.3294          2.7706        3.225905        1.081679
     1842.59728      1842.58372       1044.9121          1.0797         12.8923          0.0011          3.0137          2.7706        3.164371        1.079727
     1842.61811      1842.60456       1043.2631          1.0808         12.8940          0.0011          3.4447          2.7108        1.647247        1.080785
     1842.63895      1842.62539       1044.7675          1.0785         12.8925          0.0011          4.8394          2.7108        2.351021        1.078543
     1842.65978      1842.64622       1046.6822          1.0840         12.8905          0.0011          6.8549          2.6542        4.007693        1.083963
     1842.68061      1842.66706       1045.9346          1.0777         12.8912          0.0011          4.4783          2.6542        1.887846        1.077655
     1842.70145      1842.68789       1045.9415          1.0808         12.8912          0.0011          5.1584          2.6542        4.953523        1.080836
     1842.72228      1842.70872       1044.7838          1.0800         12.8924          0.0011          3.2000          2.7108        3.065963        1.079963
     1842.74311      1842.72956       1050.7101          1.0797         12.8863          0.0011          5.1485          2.7108        2.770570        1.079684
     1842.76395      1842.75039       1046.5023          1.0800         12.8906          0.0011          3.3449          2.6542        3.117228        1.079967
     1842.78478      1842.77122       1048.6271          1.0817         12.8884          0.0011          5.3810          2.3960        2.710782        1.081722
     1842.80561      1842.79206       1046.0726          1.0813         12.8911          0.0011          1.5418          2.3919        0.702003        1.081286
     1842.82645      1842.81289       1043.7206          1.0795         12.8935          0.0011          2.8744          2.3919        1.603949        1.079521
     1842.84728      1842.83372       1043.8718          1.0796         12.8934          0.0011          5.8014          2.3919        2.396049        1.079642
     1842.86811      1842.85456       1047.7487          1.0805         12.8894          0.0011          3.9752          2.3510        4.061024        1.080487
     1842.88895      1842.87539       1044.3376          1.0801         12.8929          0.0011          5.5331          2.3510        3.458140        1.080121
     1842.90978      1842.89622       1045.9765          1.0783         12.8912          0.0011          4.2981          2.3510        3.189778        1.078279
     1842.93061      1842.91706       1049.2009          1.0789         12.8879          0.0011          3.5581          2.3510        5.050372        1.078949
     1842.95145      1842.93789       1043.5883          1.0781         12.8937          0.0011          8.2317          2.3015        5.289725        1.078081
     1842.97228      1842.95872       1046.5866          1.0785         12.8906          0.0011          3.6552          2.3015        1.989382        1.078536
     1842.99311      1842.97956       1046.5588          1.0778         12.8906          0.0011          5.6534          2.3015        2.165071        1.077758
     1843.01395      1843.00039       1051.7504          1.0781         12.8852          0.0011          1.8225          2.3015        4.229090        1.078126
     1843.03478      1843.02122       1049.0262          1.0782         12.8880          0.0011         -0.6779          2.3015        4.032416        1.078186
     1843.05561      1843.04206       1046.2094          1.0785         12.8910          0.0011          2.5625          2.3015        2.654180        1.078529
     1843.07645      1843.06289       1047.8338          1.0786         12.8893          0.0011          3.5055          2.3510        4.010937        1.078628
     1843.09728      1843.08372       1045.7773          1.0785         12.8914          0.0011          4.0520          2.3015        2.073354        1.078494
     1843.11811      1843.10456       1048.3118          1.0802         12.8888          0.0011          0.2289          2.3015        0.103821        1.080226
     1843.13895      1843.12539       1048.2917          1.0799         12.8888          0.0011          0.9027          2.3015        2.290842        1.079948
     1843.15978      1843.14622       1051.7012          1.0819         12.8853          0.0011          0.2977          2.2908        1.205886        1.081869
     1843.18061      1843.16706       1045.0589          1.0803         12.8921          0.0011         -3.0205          2.2693       -1.243665        1.080343
     1843.20145      1843.18789       1050.3651          1.0813         12.8866          0.0011          3.4376          2.2693        3.868335        1.081250
     1843.22228      1843.20872       1048.3418          1.0802         12.8887          0.0011         -4.0336          2.2693        4.214941        1.080206
