# reference_flux:        405.9183
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1842.51289      1842.50039        413.6953          0.8211         13.8983          0.0022          1.5478          0.9302        2.313880        0.821126
     1842.53373      1842.52122        408.7523          0.6766         13.9113          0.0018          0.5670          0.9302       -0.359034        0.676572
     1842.55456      1842.54206        409.7677          0.8074         13.9087          0.0021          1.0594          0.9302        1.347008        0.807421
     1842.57539      1842.56289        411.3987          0.6295         13.9043          0.0017         -0.0643          1.3470        0.460202        0.629497
     1842.59623      1842.58372        412.9027          0.6584         13.9004          0.0017          0.3090          1.1723        1.949831        0.658432
     1842.61706      1842.60456        411.9703          0.6832         13.9028          0.0018          1.0159          1.1723       -0.081060        0.683236
     1842.63789      1842.62539        411.2395          0.7896         13.9048          0.0021          1.1134          0.9302        1.408395        0.789589
     1842.65873      1842.64622        411.9411          0.6567         13.9029          0.0017          1.0767          0.7546        1.502554        0.656711
     1842.67956      1842.66706        409.9348          0.7780         13.9082          0.0021          1.6751          0.9302        1.568452        0.777983
     1842.70040      1842.68789        409.5904          0.7791         13.9091          0.0021          1.4364          0.9302        0.264477        0.779123
     1842.72123      1842.70872        413.1866          0.7998         13.8996          0.0021          0.5926          0.9302        2.466826        0.799823
     1842.74206      1842.72956        413.8219          0.6719         13.8980          0.0018          0.4261          0.9302        0.347914        0.671935
     1842.76290      1842.75039        411.4546          0.6878         13.9042          0.0018          1.4804          0.9302        0.681951        0.687753
     1842.78373      1842.77122        412.4239          0.7871         13.9016          0.0021          0.8954          0.9302        0.754621        0.787053
     1842.80456      1842.79206        410.0610          0.6117         13.9079          0.0016          0.7350          0.8536        2.043576        0.611702
     1842.82540      1842.81289        413.0932          0.6862         13.8999          0.0018          1.9571          0.9302        0.676719        0.686182
     1842.84623      1842.83372        411.3814          0.6809         13.9044          0.0018          3.2686          0.9302        0.353992        0.680889
     1842.86706      1842.85456        411.1614          0.7941         13.9050          0.0021          2.3958          0.9302        2.010078        0.794102
     1842.88790      1842.87539        411.0885          0.8296         13.9052          0.0022         -0.2589          0.9302        2.276890        0.829631
