# reference_flux:         64.5099
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1842.51250      1842.50039         61.5643          0.6616         15.9667          0.0117          0.4353         -0.9215       -0.685187        0.661607
     1842.53334      1842.52122         60.4890          0.6532         15.9858          0.0117          1.3957         -0.9215       -1.692082        0.653201
     1842.55417      1842.54206         59.7072          0.6637         15.9999          0.0121          0.8130         -0.9215       -1.917151        0.663732
     1842.57500      1842.56289         61.0995          0.6549         15.9749          0.0116          0.9023         -0.9215       -2.256215        0.654907
     1842.59584      1842.58372         60.3395          0.6625         15.9885          0.0119          0.5533         -0.9215       -1.752875        0.662547
     1842.61667      1842.60456         61.6589          0.6605         15.9650          0.0116          2.4882         -0.9215       -0.653331        0.660482
     1842.63751      1842.62539         64.1858          0.6579         15.9214          0.0111          0.4181         -0.9215       -0.314359        0.657880
     1842.65834      1842.64622         62.9223          0.6608         15.9430          0.0114          0.7032         -0.9215       -0.334138        0.660839
     1842.67917      1842.66706         63.1038          0.6551         15.9399          0.0113          0.9490         -1.2505       -1.290166        0.655093
     1842.70001      1842.68789         63.5315          0.6587         15.9325          0.0113          0.1253         -0.9215       -0.490084        0.658698
     1842.72084      1842.70872         63.7503          0.6581         15.9288          0.0112          0.6410         -0.9215       -0.867307        0.658081
     1842.74167      1842.72956         63.1094          0.6564         15.9398          0.0113          0.5959         -0.9215       -0.921466        0.656408
     1842.76251      1842.75039         63.2399          0.6571         15.9375          0.0113          0.2330         -0.9215       -2.342238        0.657108
     1842.78334      1842.77122         62.1438          0.6497         15.9565          0.0114         -0.6915         -0.8707       -1.990508        0.649698
     1842.80417      1842.79206         62.7625          0.6721         15.9457          0.0116         -0.8478         -0.8707       -1.514476        0.672075
     1842.82501      1842.81289         63.0949          0.6807         15.9400          0.0117          0.0593         -0.8707       -1.349110        0.680702
     1842.84584      1842.83372         62.8967          0.6805         15.9434          0.0117          0.2052         -0.8673       -0.784538        0.680503
     1842.86667      1842.85456         64.1396          0.6442         15.9222          0.0109         -0.8699         -0.8673        0.186143        0.644165
     1842.88751      1842.87539         61.0236          0.6445         15.9763          0.0115          1.1278         -0.8673       -2.704215        0.644457
     1842.90834      1842.89622         62.0571          0.6482         15.9580          0.0113          1.8591         -0.8673       -0.870661        0.648151
     1842.92918      1842.91706         62.0469          0.6501         15.9582          0.0114          0.9429         -0.8673       -1.250478        0.650099
     1842.95001      1842.93789         63.1452          0.6481         15.9391          0.0111          1.1153         -0.8673        0.714376        0.648054
     1842.97084      1842.95872         62.4116          0.6465         15.9518          0.0112          1.2434         -0.7845       -0.665936        0.646491
     1842.99168      1842.97956         62.2389          0.6461         15.9548          0.0113          0.8276         -0.7845       -0.029960        0.646142
     1843.01251      1843.00039         60.0572          0.6483         15.9936          0.0117          1.1280         -0.7845       -2.011003        0.648346
     1843.03334      1843.02122         64.1270          0.6506         15.9224          0.0110          0.0090         -0.7845        0.312598        0.650589
     1843.05418      1843.04206         61.4088          0.6509         15.9694          0.0115          0.9997         -0.7467        1.126214        0.650871
     1843.07501      1843.06289         60.7865          0.6481         15.9805          0.0116          0.9390         -0.7467       -0.570982        0.648112
     1843.09584      1843.08372         63.6479          0.6686         15.9305          0.0114          0.6231         -0.7213       -1.492081        0.668633
     1843.11668      1843.10456         59.4042          0.6491         16.0055          0.0119          2.5744         -0.7213       -1.839999        0.649107
     1843.13751      1843.12539         63.5003          0.6512         15.9331          0.0111          0.5915         -0.7467        0.578615        0.651218
     1843.15835      1843.14622         62.2850          0.6558         15.9540          0.0114          0.8230         -0.7845       -1.722607        0.655771
     1843.17918      1843.16706         65.8807          0.6587         15.8931          0.0109          0.6270         -0.8673        0.300656        0.658658
     1843.20001      1843.18789         61.5515          0.6741         15.9669          0.0119          0.9027         -0.7845       -1.253757        0.674068
     1843.22085      1843.20872         64.6941          0.6797         15.9128          0.0114          2.6527         -0.8673        0.902348        0.679692
     1843.24168      1843.22956         61.5668          0.6612         15.9666          0.0117          0.0061         -0.7845       -1.135734        0.661156
     1843.26251      1843.25039         65.7358          0.6631         15.8955          0.0110          0.2022         -0.7845        0.772273        0.663133
     1843.28335      1843.27122         64.4477          0.6537         15.9170          0.0110          1.5751         -0.7749       -0.151202        0.653657
     1843.30418      1843.29206         61.5452          0.6665         15.9670          0.0118          0.9406         -0.7749       -0.077080        0.666481
     1843.32501      1843.31289         62.7541          0.6710         15.9459          0.0116          0.2828         -0.7749       -0.746687        0.670951
     1843.34585      1843.33372         63.9476          0.6661         15.9254          0.0113          0.6755         -0.7749        1.181177        0.666081
     1843.36668      1843.35456         62.6628          0.6654         15.9475          0.0115          0.5467         -0.7668       -0.019861        0.665435
     1843.38751      1843.37539         62.6053          0.6645         15.9485          0.0115          0.0864         -0.7749       -0.252205        0.664468
     1843.40835      1843.39622         63.2799          0.6698         15.9368          0.0115          0.0515         -0.7668       -1.161142        0.669826
     1843.42918      1843.41706         62.9704          0.6711         15.9422          0.0116         -0.4452         -0.7668       -1.354340        0.671117
     1843.45001      1843.43789         64.9918          0.6732         15.9079          0.0112         -0.8455         -0.7668        1.036834        0.673191
     1843.47085      1843.45872         63.2699          0.6717         15.9370          0.0115         -0.0721         -0.7668       -0.920471        0.671666
     1843.49168      1843.47956         63.7211          0.6712         15.9293          0.0114         -0.0233         -0.7749       -0.721305        0.671233
     1843.51252      1843.50039         64.4254          0.6735         15.9174          0.0114         -0.1825         -0.7749        0.179364        0.673516
     1843.53335      1843.52122         63.0408          0.6722         15.9409          0.0116          0.3869         -0.7668       -0.680891        0.672223
     1843.55418      1843.54206         60.0547          0.6660         15.9936          0.0120          1.4616         -0.7749       -1.100033        0.666010
     1843.57502      1843.56289         65.1329          0.6885         15.9055          0.0115          0.0722         -0.7900        0.659476        0.688478
     1843.59585      1843.58372         62.5228          0.6708         15.9499          0.0116         -0.3167         -0.8081       -1.769264        0.670821
     1843.61668      1843.60456         61.6108          0.6740         15.9659          0.0119          0.4141         -0.7900       -1.851650        0.673988
     1843.63752      1843.62539         62.4552          0.6692         15.9511          0.0116          1.0841         -0.7749       -0.886635        0.669229
     1843.65835      1843.64622         61.9841          0.6657         15.9593          0.0117         -0.1643         -0.7749       -1.132652        0.665712
