# reference_flux:          2.8801
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1842.51099      1842.50040         10.0357          0.5826         17.9361          0.0630          0.3325          1.4468        0.744948        0.582612
     1842.53182      1842.52123          8.5656          0.6006         18.1081          0.0761         -0.1077          1.4888        0.957932        0.600569
     1842.55265      1842.54206         10.6054          0.5831         17.8762          0.0597         -1.0641          1.4468        1.446835        0.583145
     1842.57349      1842.56290         10.7073          0.5897         17.8658          0.0598         -0.1489          1.4888        1.205818        0.589725
     1842.59432      1842.58373         11.0746          0.6056         17.8292          0.0594         -0.0109          1.4888        0.625766        0.605645
     1842.61515      1842.60456         11.5125          0.6369         17.7871          0.0601         -0.3213          1.4888        1.488797        0.636925
     1842.63599      1842.62540         13.5777          0.6123         17.6079          0.0490         -0.0528          1.4888       -0.012370        0.612258
     1842.65682      1842.64623         14.5506          0.6531         17.5328          0.0487         -0.4136          1.4468        2.058141        0.653107
     1842.67765      1842.66706         12.4603          0.5708         17.7012          0.0497         -0.3980          1.4468        1.853312        0.570826
     1842.69849      1842.68790         12.2056          0.5938         17.7236          0.0528         -0.2416          1.4282        1.962981        0.593831
     1842.71932      1842.70873         11.2968          0.5751         17.8076          0.0553         -0.2924          1.4468        1.213531        0.575129
     1842.74015      1842.72956         11.5225          0.5779         17.7861          0.0545         -0.1412          1.4468       -0.185928        0.577906
     1842.76098      1842.75040         10.3860          0.6148         17.8989          0.0643          0.7695          1.4468        1.756656        0.614812
     1842.78182      1842.77123         10.7158          0.6190         17.8649          0.0627         -0.6624          1.4468        1.700299        0.619040
     1842.80265      1842.79206         10.7163          0.5735         17.8649          0.0581          0.1351          1.4468        0.571834        0.573472
     1842.82348      1842.81290         11.6154          0.5884         17.7774          0.0550         -0.1093          1.4468        1.761906        0.588393
     1842.84432      1842.83373         12.7976          0.6115         17.6722          0.0519         -0.4806          1.4468        2.181605        0.611485
     1842.86515      1842.85456         11.4290          0.5688         17.7950          0.0540         -1.2174          1.4282        1.768469        0.568757
     1842.88598      1842.87540         14.1537          0.6093         17.5628          0.0467         -1.5356          1.4282        2.901243        0.609328
     1842.90682      1842.89623         11.3789          0.5921         17.7997          0.0565         -0.6930          1.4282       -0.107520        0.592121
     1842.92765      1842.91706         14.3531          0.5995         17.5476          0.0453         -0.0877          1.4282        2.557675        0.599507
     1842.94848      1842.93790          8.6931          0.5508         18.0921          0.0688          0.4044          1.4282        0.360726        0.550832
     1842.96932      1842.95873         11.8083          0.6503         17.7595          0.0598          0.3957          1.4282        2.677702        0.650300
     1842.99015      1842.97956          9.8633          0.5345         17.9549          0.0588          0.3670          1.4468        0.584389        0.534455
     1843.01098      1843.00040         10.7181          0.5609         17.8647          0.0568          0.2000          1.4888        2.130610        0.560934
     1843.03182      1843.02123         11.8298          0.6012         17.7576          0.0552         -1.0576          1.5535        1.428187        0.601220
     1843.05265      1843.04206         11.3026          0.5966         17.8071          0.0573         -0.1768          1.5535        2.903727        0.596568
     1843.07348      1843.06290         12.8833          0.6045         17.6649          0.0509         -0.7146          1.5535        1.871337        0.604535
     1843.09432      1843.08373         10.6698          0.6055         17.8696          0.0616         -0.8433          1.5535        0.888319        0.605534
     1843.11515      1843.10456         12.9962          0.6198         17.6555          0.0518         -1.0494          1.5535        2.491116        0.619769
     1843.13598      1843.12540         10.4448          0.6523         17.8927          0.0678          1.6952          1.5732        0.819231        0.652256
     1843.15682      1843.14623          9.6823          0.6469         17.9751          0.0725          0.1898          1.6205       -0.032484        0.646861
     1843.17765      1843.16706         12.6244          0.6413         17.6870          0.0552         -0.3294          1.5732        0.790870        0.641332
     1843.19848      1843.18790         15.7247          0.6484         17.4485          0.0448         -1.1573          1.5732        2.987888        0.648353
     1843.21932      1843.20873          9.7752          0.6329         17.9647          0.0703          0.8013          1.5732        1.683890        0.632935
     1843.24015      1843.22956         12.6196          0.6782         17.6874          0.0584         -0.1081          1.6205        3.328337        0.678228
     1843.26098      1843.25040         10.6749          0.6429         17.8691          0.0654         -0.3939          1.6205        1.248596        0.642875
     1843.28181      1843.27123         13.1954          0.6779         17.6389          0.0558         -0.8387          1.6205        3.763460        0.677893
     1843.30265      1843.29206         13.2257          0.6535         17.6365          0.0536         -1.1459          1.6205        1.620501        0.653472
     1843.32348      1843.31290          8.7198          0.6157         18.0887          0.0767          0.2251          1.6839        0.553654        0.615732
     1843.34431      1843.33373         10.9778          0.6682         17.8387          0.0661         -0.0236          1.6839        0.886654        0.668208
     1843.36515      1843.35456         11.9795          0.6722         17.7439          0.0609         -0.4522          1.6839        0.735551        0.672249
     1843.38598      1843.37540         12.4145          0.6891         17.7052          0.0603         -0.2653          1.6839        2.667702        0.689076
     1843.40681      1843.39623         12.6319          0.6520         17.6863          0.0560         -0.8228          1.6205        1.023260        0.651990
     1843.42765      1843.41706         12.6179          0.6446         17.6875          0.0555         -0.4784          1.6839        1.125823        0.644583
     1843.44848      1843.43790         11.2206          0.6055         17.8150          0.0586         -0.2400          1.6205        1.553458        0.605459
     1843.46931      1843.45873         10.2422          0.6321         17.9140          0.0670         -1.5431          1.6839        1.573164        0.632107
     1843.49015      1843.47956         12.2736          0.6417         17.7176          0.0568         -0.7556          1.6205        2.694519        0.641679
     1843.51098      1843.50040         11.8593          0.6384         17.7549          0.0584         -1.0993          1.6839        2.543970        0.638422
     1843.53181      1843.52123          9.7217          0.5582         17.9706          0.0623          0.2591          1.6839        0.460658        0.558158
