# reference_flux:         34.4870
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1842.51076      1842.50040         33.3797          0.6104         16.6313          0.0199          1.2011         -0.2500       -0.428376        0.610384
     1842.53159      1842.52123         36.1790          0.6180         16.5439          0.0185          1.6776         -0.2500        0.436037        0.617964
     1842.55243      1842.54206         34.0110          0.6382         16.6110          0.0204          1.1497         -0.2500       -0.467768        0.638203
     1842.57326      1842.56290         34.1495          0.5685         16.6065          0.0181          0.7728         -0.2500       -1.052631        0.568506
     1842.59410      1842.58373         35.8868          0.5723         16.5527          0.0173          0.2388         -0.2500        0.879654        0.572344
     1842.61493      1842.60456         36.4380          0.5729         16.5361          0.0171          0.6660         -0.2636        1.164715        0.572855
     1842.63576      1842.62540         33.4211          0.5691         16.6299          0.0185          0.2122         -0.2636       -0.831354        0.569103
     1842.65660      1842.64623         34.3448          0.5785         16.6003          0.0183          0.8958         -0.2636       -0.079307        0.578546
     1842.67743      1842.66706         34.1568          0.5741         16.6063          0.0182         -0.8685         -0.2500       -0.574147        0.574110
     1842.69826      1842.68790         34.1105          0.5731         16.6078          0.0182          1.2175         -0.2500       -0.893257        0.573061
     1842.71910      1842.70873         34.8564          0.5842         16.5843          0.0182         -1.3688         -0.2500        0.766293        0.584216
     1842.73993      1842.72956         33.8350          0.5791         16.6166          0.0186         -0.5179         -0.1453       -0.315450        0.579055
     1842.76076      1842.75040         33.6788          0.5786         16.6216          0.0187         -0.6766         -0.0793       -0.376436        0.578605
     1842.78160      1842.77123         33.3756          0.5667         16.6314          0.0184          0.6503         -0.0793       -0.249996        0.566667
     1842.80243      1842.79206         33.3609          0.5610         16.6319          0.0183          0.5881         -0.0793       -0.263564        0.561022
     1842.82326      1842.81290         35.5597          0.5746         16.5626          0.0175         -0.2521         -0.0793       -0.034616        0.574584
     1842.84410      1842.83373         33.5878          0.5789         16.6245          0.0187          1.0175         -0.0346       -0.649418        0.578907
     1842.86493      1842.85456         33.2966          0.5800         16.6340          0.0189          0.1885         -0.0341        0.158570        0.579972
     1842.88577      1842.87540         34.2612          0.5819         16.6030          0.0184          1.4229         -0.0341        0.124788        0.581900
     1842.90660      1842.89623         34.9229          0.5775         16.5822          0.0180          0.8699         -0.0341        0.382030        0.577472
     1842.92743      1842.91706         35.8002          0.5785         16.5553          0.0175         -0.2463         -0.0341        0.682602        0.578522
     1842.94827      1842.93790         33.4095          0.5984         16.6303          0.0194         -0.7324         -0.0341        0.041346        0.598404
     1842.96910      1842.95873         36.8200          0.5903         16.5248          0.0174         -0.2220         -0.0341        0.601150        0.590313
     1842.98993      1842.97956         33.0120          0.5961         16.6433          0.0196          1.0222         -0.0341       -0.774394        0.596146
     1843.01077      1843.00040         33.8102          0.5922         16.6174          0.0190          0.5937          0.0046       -0.337558        0.592184
     1843.03160      1843.02123         34.7147          0.5885         16.5887          0.0184          1.2588          0.0204        0.894930        0.588490
     1843.05243      1843.04206         36.0475          0.5901         16.5478          0.0178          0.8352          0.0204        0.004629        0.590069
     1843.07327      1843.06290         34.1901          0.6373         16.6052          0.0202          0.8424          0.0204       -0.379286        0.637258
     1843.09410      1843.08373         33.2831          0.5742         16.6344          0.0187          0.1428          0.0204       -0.565420        0.574187
     1843.11494      1843.10456         34.0819          0.5973         16.6087          0.0190          1.6014          0.0204        0.020355        0.597322
     1843.13577      1843.12540         35.1439          0.5735         16.5754          0.0177          0.8634          0.0046        0.420275        0.573547
     1843.15660      1843.14623         33.7097          0.6479         16.6206          0.0209         -0.0224          0.0046        0.204555        0.647940
     1843.17744      1843.16706         31.1070          0.6448         16.7079          0.0225          1.2510          0.0204        0.137171        0.644803
     1843.19827      1843.18790         33.3508          0.6427         16.6322          0.0209          0.3247          0.0204       -0.145272        0.642689
     1843.21910      1843.20873         36.3163          0.6135         16.5397          0.0183         -0.3498          0.0204        0.731693        0.613525
     1843.23994      1843.22956         35.8039          0.5880         16.5552          0.0178          0.6373          0.0204        1.000015        0.588007
     1843.26077      1843.25040         33.7042          0.5875         16.6208          0.0189          1.1202          0.0204       -0.698035        0.587506
     1843.28160      1843.27123         35.6513          0.5932         16.5598          0.0181          1.2352          0.0413        0.903387        0.593152
     1843.30244      1843.29206         34.4780          0.5947         16.5961          0.0187          0.4207          0.0413        0.116450        0.594654
     1843.32327      1843.31290         33.9900          0.5871         16.6116          0.0188          0.3887          0.1165       -0.034111        0.587134
