# reference_flux:         -5.6622
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1870.45330      1870.43787         -0.1476          1.1022         19.1416         99.9000         14.2063          1.5367        1.536669        1.102182
     1870.47414      1870.45871          0.7190          1.0822         19.1614         99.9000         13.5912          1.5367        4.053690        1.082203
     1870.49497      1870.47954          0.6927          1.0696         19.1742         99.9000         11.6692          1.5367        2.091255        1.069570
     1870.51580      1870.50037          2.0356          1.0545         19.1895         99.9000          9.8551          1.5133        1.797121        1.054546
     1870.53664      1870.52121          1.5740          1.0494         19.1948         99.9000          7.3706          1.5367        2.107012        1.049407
     1870.55747      1870.54204          1.3640          1.0378         19.2069         99.9000          5.2336          1.5367        1.563565        1.037833
     1870.57831      1870.56287          1.1336          1.0311         19.2139         99.9000          9.9534          1.5367        0.472608        1.031120
     1870.59914      1870.58371          3.8674          1.0230         18.9714          0.2872          7.8020          1.5133        2.531223        1.022952
     1870.61997      1870.60454         -0.4109          0.9966         19.2509         99.9000          4.4914          1.5133        1.513285        0.996602
     1870.64081      1870.62537          1.2397          0.9825         19.2663         99.9000          9.0365          1.5133        2.395485        0.982529
     1870.66164      1870.64621          2.1819          0.9762         19.2734         99.9000          9.3235          1.5133        1.064958        0.976193
     1870.68248      1870.66704          1.0941          0.9699         19.2804         99.9000          5.0791          1.5133        1.661778        0.969895
     1870.70331      1870.68787         -1.3636          0.9599         19.2916         99.9000          4.2241          1.5133       -1.673746        0.959903
     1870.72414      1870.70871         -0.7499          0.9599         19.2917         99.9000          4.5093          1.5113       -0.159073        0.959866
     1870.74498      1870.72954         -0.6936          0.9582         19.2935         99.9000          6.2425          1.5113        0.625057        0.958211
     1870.76581      1870.75037         -1.6787          0.9421         19.3119         99.9000          5.6021          1.4262       -0.614410        0.942115
     1870.78665      1870.77121          1.2907          0.9358         19.3192         99.9000          2.4114          1.3848        1.976099        0.935822
     1870.80748      1870.79204         -0.3581          0.9296         19.3264         99.9000          5.3100          1.2633        1.790773        0.929624
     1870.82831      1870.81287         -1.1466          0.9229         19.3344         99.9000          4.0086          1.3848        0.877475        0.922854
     1870.84915      1870.83371         -0.1418          0.9176         19.3406         99.9000          2.7503          1.2633        0.979410        0.917601
     1870.86998      1870.85454          1.2502          0.9120         19.3472         99.9000          1.2489          1.0650        0.904124        0.911982
     1870.89082      1870.87537         -0.1491          0.9103         19.3493         99.9000          3.6416          1.0073        2.175764        0.910272
     1870.91165      1870.89621         -0.7584          0.9135         19.3454         99.9000          2.4190          0.9794        1.837482        0.913514
     1870.93248      1870.91704         -1.3447          0.9181         19.3400         99.9000          2.2710          0.9794        0.702727        0.918090
     1870.95332      1870.93787         -3.5904          0.8940         19.3689         99.9000          1.1467          0.9041        0.784299        0.893971
     1870.97415      1870.95871         -0.5406          0.8896         19.3742         99.9000          2.7266          0.8854        1.384798        0.889622
     1870.99499      1870.97954          0.5414          0.8753         19.3918         99.9000         -6.9130          0.8854        1.426196        0.875294
     1871.01582      1871.00037          1.1643          0.8735         19.3941         99.9000          3.2688          0.8775        2.603936        0.873480
