# reference_flux:         83.2841
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1870.45383      1870.43787         82.4659          1.6001         15.6493          0.0211         15.3043          3.4619        2.548368        1.600141
     1870.47467      1870.45871         80.5691          1.5784         15.6746          0.0213         16.4897          3.4663        1.368180        1.578398
     1870.49550      1870.47954         83.2342          1.5651         15.6392          0.0204         19.9815          3.4663        1.719746        1.565133
     1870.51633      1870.50037         78.3359          1.5517         15.7051          0.0215         35.8852          3.4619        1.868784        1.551704
     1870.53717      1870.52121         86.1389          1.5438         15.6020          0.0195         44.4383          3.4619        4.792409        1.543772
     1870.55800      1870.54204         82.7846          1.5302         15.6451          0.0201         46.7791          3.4619        0.602205        1.530170
     1870.57883      1870.56287         82.0487          1.5141         15.6548          0.0200         43.8263          3.4663        3.064484        1.514092
     1870.59967      1870.58371         84.5427          1.5014         15.6223          0.0193         34.5191          3.4619        4.129463        1.501391
     1870.62050      1870.60454         75.4951          1.4699         15.7452          0.0211         35.2812          3.4619        0.996596        1.469945
     1870.64134      1870.62537         82.7676          1.4456         15.6453          0.0190         33.1636          3.2474        4.219129        1.445627
     1870.66217      1870.64621         83.1316          1.4629         15.6406          0.0191         35.8996          3.2474        3.534368        1.462935
     1870.68300      1870.66704         79.7915          1.4448         15.6851          0.0197         44.0113          3.2474        3.470386        1.444840
     1870.70384      1870.68787         80.0288          1.4493         15.6819          0.0197         44.4542          3.1846        5.722225        1.449348
     1870.72467      1870.70871         87.6976          1.4887         15.5825          0.0184         50.5061          3.0645        4.292132        1.488669
     1870.74550      1870.72954         83.9589          1.4455         15.6298          0.0187         45.4028          3.0645        5.527613        1.445526
     1870.76634      1870.75037         84.1511          1.4380         15.6274          0.0186         51.4506          2.9830        5.096109        1.438035
     1870.78717      1870.77121         78.5401          1.4378         15.7023          0.0199         57.6198          2.9830        3.461942        1.437797
     1870.80800      1870.79204         79.4110          1.4752         15.6903          0.0202         58.7197          2.9830        5.407340        1.475237
     1870.82884      1870.81287         81.2630          1.4458         15.6653          0.0193         55.0124          2.9830        1.501038        1.445784
     1870.84967      1870.83371         81.0797          1.4955         15.6677          0.0200         69.3324          2.9830        1.869726        1.495522
     1870.87050      1870.85454         84.3385          1.4438         15.6249          0.0186         55.1036          2.7768        2.559889        1.443761
     1870.89134      1870.87537         84.8301          1.4746         15.6186          0.0189         75.9103          2.7768        3.466336        1.474646
     1870.91217      1870.89621         87.0295          1.4783         15.5908          0.0184         59.5084          2.9830        3.566498        1.478334
     1870.93301      1870.91704         84.3753          1.4376         15.6245          0.0185         67.1470          2.9830        2.371797        1.437566
     1870.95384      1870.93787         89.9332          1.4623         15.5552          0.0177         54.6117          3.0645        6.895976        1.462292
     1870.97467      1870.95871         91.3221          1.4622         15.5386          0.0174         48.4617          3.0645        5.869695        1.462243
     1870.99551      1870.97954         89.6498          1.4806         15.5586          0.0179         53.6971          3.0645        2.983022        1.480627
     1871.01634      1871.00037         83.3108          1.4781         15.6382          0.0193         74.6825          3.0645        2.098842        1.478077
     1871.03717      1871.02121         87.5088          1.4898         15.5849          0.0185         76.9796          3.0645        3.184586        1.489785
     1871.05801      1871.04204         89.5309          1.4863         15.5601          0.0180         78.9420          2.9830        4.932804        1.486269
     1871.07884      1871.06287         85.4225          1.4809         15.6111          0.0188         82.8665          2.9830        1.238655        1.480934
     1871.09968      1871.08371         88.1738          1.4758         15.5767          0.0182         84.7172          2.7768        3.247448        1.475802
     1871.12051      1871.10454         80.3059          1.4039         15.6781          0.0190        106.4373          2.5599       -0.128063        1.403858
     1871.14134      1871.12537         91.5586          1.3939         15.5358          0.0165         95.8116          2.6904        9.450324        1.393940
     1871.16218      1871.14621         93.6931          1.3788         15.5107          0.0160         97.7261          2.5599       13.128273        1.378781
     1871.18301      1871.16704         84.5217          1.3511         15.6226          0.0174         96.1936          2.3913        2.356516        1.351062
     1871.20384      1871.18787         84.5860          1.3309         15.6218          0.0171         88.6518          2.3718        1.029350        1.330945
     1871.22468      1871.20871         87.6033          1.3223         15.5837          0.0164         84.2350          2.3565        1.836055        1.322304
     1871.24551      1871.22954         85.6166          1.3081         15.6086          0.0166         83.2515          2.2216        2.219314        1.308123
     1871.26634      1871.25037         85.9060          1.3004         15.6049          0.0164         79.2500          2.2193        1.400802        1.300434
