# reference_flux:        -11.2452
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1870.45354      1870.43787          4.9427          0.9905         18.7051          0.2176          4.3754          0.8358        1.340182        0.990453
     1870.47438      1870.45871          0.8040          0.9805         19.2686         99.9000         10.1519          0.8358        1.747395        0.980485
     1870.49521      1870.47954          1.4062          0.9752         19.2744         99.9000          5.7562          0.8358        0.383192        0.975230
     1870.51604      1870.50037          0.4168          0.9646         19.2864         99.9000          4.5597          0.8358        0.864176        0.964562
     1870.53688      1870.52121          3.6405          0.9570         19.0371          0.2854          3.1067          0.8358        1.615972        0.956975
     1870.55771      1870.54204         -0.7613          0.9502         19.3026         99.9000          3.5801          0.7641        0.382938        0.950214
     1870.57855      1870.56287          1.6812          0.9412         19.3130         99.9000          2.6142          0.7641        0.885473        0.941234
     1870.59938      1870.58371          2.5490          0.9203         19.3374         99.9000          3.3683          0.7641        2.324873        0.920305
     1870.62021      1870.60454          0.9100          0.9061         19.3542         99.9000          1.4282          0.8358        0.971076        0.906107
     1870.64105      1870.62537          0.0530          0.9095         19.3502         99.9000          1.4794          0.7641        0.764074        0.909468
     1870.66188      1870.64621         -2.7385          0.9067         19.3536         99.9000          2.6823          0.7641       -2.132254        0.906663
     1870.68272      1870.66704         -2.2722          0.9030         19.3579         99.9000          1.7398          0.7641       -0.281629        0.903041
     1870.70355      1870.68787          0.6084          0.8837         19.3814         99.9000          2.4252          0.7194        0.910763        0.883691
     1870.72438      1870.70871         -1.7251          0.8905         19.3731         99.9000          3.0962          0.7641        0.049848        0.890498
     1870.74522      1870.72954         -1.3248          0.9124         19.3467         99.9000          3.1058          0.7641        0.835797        0.912423
     1870.76605      1870.75037          0.6487          0.9052         19.3553         99.9000          2.4825          0.8358        0.969320        0.905221
     1870.78689      1870.77121         -1.9676          0.8997         19.3620         99.9000          1.6945          0.8358        0.048655        0.899658
     1870.80772      1870.79204         -2.6407          0.9070         19.3531         99.9000          3.0249          0.7641       -1.787921        0.907035
     1870.82855      1870.81287         -1.3355          0.9035         19.3574         99.9000          3.9163          0.7511        0.563867        0.903494
     1870.84939      1870.83371          1.1850          0.8926         19.3705         99.9000          1.3492          0.7511        1.325187        0.892632
     1870.87022      1870.85454          3.2516          0.8898         19.1598          0.2971         -0.2151          0.7194        1.481078        0.889770
     1870.89106      1870.87537         -3.3292          0.8877         19.3766         99.9000          1.7022          0.7194       -1.838849        0.887659
     1870.91189      1870.89621         -3.4643          0.8893         19.3746         99.9000          2.5140          0.7194       -0.879997        0.889264
     1870.93272      1870.91704         -1.2768          0.8904         19.3733         99.9000          1.8764          0.5887        1.162115        0.890369
     1870.95356      1870.93787         -0.2470          0.8664         19.4029         99.9000          0.6072          0.5887       -0.275312        0.866380
     1870.97439      1870.95871         -1.8525          0.8844         19.3806         99.9000          1.1929          0.5676       -0.422316        0.884361
     1870.99523      1870.97954          1.5043          0.8654         19.4042         99.9000          1.7119          0.5639        2.080417        0.865401
     1871.01606      1871.00037          1.2715          0.8840         19.3811         99.9000          1.2297          0.5676        0.719408        0.883986
     1871.03689      1871.02121         -1.3262          0.8610         19.4097         99.9000          2.3246          0.5639        0.514180        0.861026
     1871.05773      1871.04204          0.8145          0.8621         19.4083         99.9000          2.7557          0.5142        0.420256        0.862108
     1871.07856      1871.06287         -0.8162          0.8649         19.4048         99.9000          2.6725          0.5142        0.567579        0.864880
     1871.09940      1871.08371          0.8994          0.8727         19.3951         99.9000          2.7999          0.5142        1.793430        0.872679
     1871.12023      1871.10454         -2.7075          0.8845         19.3805         99.9000          3.3732          0.4203       -0.334740        0.884473
     1871.14106      1871.12537          2.4227          0.8540         19.4185         99.9000          0.7799          0.2731       -0.412102        0.854030
     1871.16190      1871.14621         -1.3156          0.8650         19.4046         99.9000          3.0439          0.1859       -0.584404        0.865011
     1871.18273      1871.16704          0.3040          0.8636         19.4064         99.9000          2.5087          0.1859        0.019426        0.863578
     1871.20357      1871.18787          1.0157          0.8529         19.4200         99.9000          2.1458          0.1859        2.760012        0.852858
     1871.22440      1871.20871          0.6393          0.8501         19.4235         99.9000          1.9641          0.1859        2.051603        0.850144
     1871.24523      1871.22954         -0.1110          0.8534         19.4193         99.9000          2.5767          0.1859        1.291196        0.853400
     1871.26607      1871.25037          1.6519          0.8557         19.4165         99.9000          2.1283          0.0487        1.066007        0.855653
     1871.28690      1871.27121         -2.2545          0.8528         19.4201         99.9000          2.6288          0.0194        0.588701        0.852803
     1871.30774      1871.29204          1.8263          0.8483         19.4258         99.9000          1.9542          0.0194        0.751052        0.848322
     1871.32857      1871.31287         -0.3288          0.8504         19.4232         99.9000          0.6101          0.1859       -0.057913        0.850351
     1871.34941      1871.33371         -0.6118          0.8522         19.4209         99.9000          2.4699          0.0194        0.016364        0.852191
     1871.37024      1871.35454          1.2576          0.8500         19.4236         99.9000          2.1524          0.0194        0.777839        0.850040
     1871.39107      1871.37537         -1.5771          0.8498         19.4238         99.9000          1.4377          0.0164       -0.952469        0.849843
     1871.41191      1871.39621         -0.8641          0.8475         19.4269         99.9000          2.0295          0.0164       -0.488632        0.847483
     1871.43274      1871.41704         -0.4684          0.8470         19.4275         99.9000          1.8815          0.0194        0.694888        0.846994
     1871.45357      1871.43787         -1.9723          0.8413         19.4348         99.9000          1.3924          0.0194       -1.795909        0.841344
     1871.47441      1871.45871         -2.2206          0.8440         19.4313         99.9000          2.1920          0.1810        0.273114        0.844009
     1871.49524      1871.47954          1.5137          0.8442         19.4311         99.9000          2.2316          0.1859        0.673234        0.844199
     1871.51608      1871.50037          0.5201          0.8426         19.4331         99.9000          0.6685          0.1810       -0.909307        0.842633
     1871.53691      1871.52121         -1.0317          0.8468         19.4278         99.9000          0.6838          0.1810       -1.087391        0.846760
     1871.55775      1871.54204         -0.1277          0.8406         19.4357         99.9000          0.0987          0.1810       -0.597113        0.840590
     1871.57858      1871.56287          1.5416          0.8373         19.4400         99.9000          0.9189          0.1810        0.711306        0.837304
     1871.59941      1871.58371         -3.7536          0.8362         19.4415         99.9000          2.0378          0.0194       -0.427786        0.836157
     1871.62025      1871.60454          0.6878          0.8273         19.4531         99.9000          0.9138          0.0194        0.185911        0.827263
     1871.64108      1871.62537         -3.1900          0.8229         19.4589         99.9000          1.2164          0.1810       -1.216976        0.822859
     1871.66192      1871.64621         -1.7398          0.8241         19.4573         99.9000          1.0777          0.1810       -1.357691        0.824090
     1871.68275      1871.66704         -2.9602          0.8204         19.4621         99.9000          2.1258          0.1810       -0.507055        0.820428
     1871.70358      1871.68787         -0.5821          0.8175         19.4660         99.9000          1.1119          0.1810        0.846447        0.817473
     1871.72442      1871.70871         -1.6895          0.8148         19.4695         99.9000          1.4084          0.1810       -0.703448        0.814840
     1871.74525      1871.72954          0.6005          0.8154         19.4688         99.9000          0.3955          0.1810       -0.299935        0.815384
     1871.76608      1871.75037          2.6688          0.8165         19.3742          0.3322          0.5544          0.0164       -0.449228        0.816503
     1871.78692      1871.77120          0.9175          0.8220         19.4600         99.9000          1.1869         -0.0579        0.695949        0.821994
     1871.80775      1871.79204          2.0531          0.8230         19.4588         99.9000          1.9593         -0.0579        1.649073        0.822959
     1871.82859      1871.81287         -1.2703          0.8199         19.4628         99.9000          0.5646         -0.0579       -1.862363        0.819914
     1871.84942      1871.83370          0.6330          0.8235         19.4580         99.9000          1.0382          0.0164        1.285308        0.823522
     1871.87026      1871.85454          0.4428          0.8293         19.4505         99.9000         -0.0953          0.0678       -0.290275        0.829273
     1871.89109      1871.87537         -1.6113          0.8264         19.4542         99.9000          0.9631         -0.1197       -0.119678        0.826426
     1871.91192      1871.89620          0.2150          0.8253         19.4557         99.9000         -0.2446          0.0678        0.181038        0.825254
     1871.93276      1871.91704          1.0446          0.8245         19.4567         99.9000          0.7815          0.1810        0.817402        0.824528
