# reference_flux:          8.7228
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1870.45367      1870.43787          3.5290          1.0613         19.0709          0.3265         -2.0354         -2.0620       -0.975332        1.061258
     1870.47450      1870.45871          4.5077          1.0483         18.8051          0.2525         -1.2158         -2.0620       -2.153783        1.048343
     1870.49534      1870.47954          3.8863          1.0382         18.9662          0.2900          0.6826         -2.0620        0.175510        1.038206
     1870.51617      1870.50037          4.9089          1.0299         18.7125          0.2278         -1.0869         -2.0620       -2.279719        1.029891
     1870.53700      1870.52121          5.2871          1.0228         18.6320          0.2100          1.1927         -2.0371       -1.362421        1.022809
     1870.55784      1870.54204          7.5493          1.0163         18.2452          0.1462         -1.0569         -2.0371       -0.909208        1.016311
     1870.57867      1870.56287          5.5459          1.0088         18.5801          0.1975         -0.9249         -2.0371       -2.872030        1.008821
     1870.59951      1870.58371          4.7104          0.9993         18.7574          0.2303         -0.3773         -1.9539       -5.161190        0.999320
     1870.62034      1870.60454          5.8868          0.9897         18.5153          0.1825         -0.9990         -1.9539       -1.725948        0.989699
     1870.64118      1870.62537          4.7402          0.9835         18.7505          0.2253          0.7091         -1.8552       -3.465032        0.983547
     1870.66201      1870.64621          8.2428          0.9779         18.1498          0.1288          0.2217         -1.7788       -1.572624        0.977881
     1870.68284      1870.66704          6.8336          0.9740         18.3534          0.1547          1.5660         -1.7788       -2.309670        0.973984
     1870.70368      1870.68787          3.8938          0.9676         18.9641          0.2698         -0.9869         -1.7788       -3.205102        0.967585
     1870.72451      1870.70871         10.3763          0.9645         17.8999          0.1009         -1.0217         -1.7259       -0.320984        0.964523
     1870.74534      1870.72954          4.0155          0.9594         18.9306          0.2594         -1.8588         -1.7259       -2.654587        0.959384
     1870.76618      1870.75037          6.2978          0.9558         18.4420          0.1648         -0.9947         -1.7259       -2.107708        0.955790
     1870.78701      1870.77121          7.3612          0.9516         18.2726          0.1403         -1.6155         -1.6653       -1.855186        0.951561
     1870.80785      1870.79204          3.9545          0.9497         18.9473          0.2607         -1.1681         -1.6352       -2.076894        0.949672
     1870.82868      1870.81287          5.7499          0.9450         18.5409          0.1784         -1.1456         -1.5726       -1.549007        0.944994
     1870.84952      1870.83371          4.8174          0.9417         18.7330          0.2122         -0.0687         -1.5726       -2.257693        0.941701
     1870.87035      1870.85454          3.7766          0.9385         18.9973          0.2698         -0.9803         -1.5726       -2.061961        0.938531
     1870.89118      1870.87537          6.1684          0.9362         18.4646          0.1648         -1.1410         -1.5726       -1.635207        0.936156
     1870.91202      1870.89621          7.4539          0.9323         18.2590          0.1358         -2.0313         -1.6352       -1.778789        0.932346
     1870.93285      1870.91704          6.2798          0.9315         18.4451          0.1610         -1.1641         -1.5726       -1.953875        0.931452
     1870.95369      1870.93787          5.4352          0.9280         18.6020          0.1854         -0.8008         -1.5885       -2.037080        0.927986
     1870.97452      1870.95871          3.8370          0.9263         18.9800          0.2621         -0.8483         -1.5885       -1.456830        0.926317
     1870.99535      1870.97954          6.7369          0.9271         18.3688          0.1494         -1.0824         -1.5726       -0.253558        0.927062
     1871.01619      1871.00037          4.6875          0.9242         18.7627          0.2141         -0.4442         -1.5726       -1.665335        0.924158
     1871.03702      1871.02121          4.6731          0.9244         18.7660          0.2148          0.2169         -1.5490       -2.439055        0.924409
     1871.05786      1871.04204          5.8490          0.9209         18.5223          0.1709         -0.0660         -1.5490       -1.244031        0.920890
     1871.07869      1871.06287          7.2135          0.9198         18.2946          0.1384         -0.3134         -1.5490        1.145155        0.919767
     1871.09952      1871.08371          5.9208          0.9189         18.5091          0.1685         -0.9057         -1.5404       -0.722202        0.918897
     1871.12036      1871.10454          3.6729          0.9151         19.0275          0.2705          0.7686         -1.5144       -0.402980        0.915053
     1871.14119      1871.12537          7.6077          0.9135         18.2369          0.1304         -1.0627         -1.4983        0.086782        0.913540
     1871.16203      1871.14621          5.1365          0.9109         18.6633          0.1925         -1.3404         -1.4805       -1.540383        0.910938
     1871.18286      1871.16704          7.6272          0.9101         18.2341          0.1296         -1.5122         -1.4805       -2.000104        0.910107
     1871.20369      1871.18787          6.7552          0.9097         18.3659          0.1462         -0.5036         -1.4568       -1.498323        0.909682
     1871.22453      1871.20871          5.9591          0.9063         18.5020          0.1651         -0.2865         -1.2625       -1.480535        0.906274
     1871.24536      1871.22954          4.0098          0.9047         18.9322          0.2450          0.5419         -1.2625        0.608125        0.904732
     1871.26619      1871.25037          7.9285          0.9056         18.1920          0.1240         -1.6225         -1.2440       -0.269652        0.905576
     1871.28703      1871.27121          5.7675          0.9032         18.5375          0.1700          0.1024         -1.2395       -1.152635        0.903215
     1871.30786      1871.29204          7.7037          0.9037         18.2233          0.1274         -2.5712         -1.2395       -0.955549        0.903742
     1871.32870      1871.31287          7.1418          0.9020         18.3055          0.1371         -0.5183         -1.2395        0.437665        0.902035
     1871.34953      1871.33371          7.4891          0.9009         18.2539          0.1306         -0.8214         -1.1526       -0.160563        0.900873
     1871.37037      1871.35454          5.2926          0.8988         18.6308          0.1844         -0.0588         -0.9573       -2.262262        0.898802
     1871.39120      1871.37537          6.0134          0.8993         18.4922          0.1624          0.1387         -0.9555       -1.673274        0.899253
     1871.41203      1871.39621          7.0669          0.8974         18.3169          0.1379         -0.1955         -0.8787       -1.514436        0.897359
