# reference_flux:          6.5510
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1870.45281      1870.43789         43.2074          1.3861         16.3511          0.0348        134.6136          9.8969       31.994653        1.386095
     1870.47364      1870.45872         41.5248          1.3637         16.3942          0.0357        278.7449          9.8969       26.635144        1.363700
     1870.49448      1870.47956         34.6036          1.2915         16.5922          0.0405        264.8272          9.8969       24.579800        1.291499
     1870.51531      1870.50039         35.8767          1.2897         16.5530          0.0390        295.8525          9.8969       25.811574        1.289696
     1870.53614      1870.52122         25.6472          1.2795         16.9174          0.0542        318.1020          9.8969       14.033124        1.279541
     1870.55698      1870.54206         22.9403          1.2458         17.0385          0.0590        308.3350          9.8969       11.219616        1.245841
     1870.57781      1870.56289         11.7170          1.2347         17.7680          0.1144        315.4423          9.8969        2.759127        1.234719
     1870.59864      1870.58372         17.4772          1.2194         17.3338          0.0757        273.2012          9.8969        9.896898        1.219350
     1870.61948      1870.60456         27.1222          1.1943         16.8567          0.0478        240.5821          9.8969       17.568749        1.194328
     1870.64031      1870.62539         34.0657          1.1301         16.6092          0.0360        214.5386          9.8969       15.716310        1.130119
     1870.66114      1870.64622         39.5090          1.1098         16.4483          0.0305        199.6291          9.8969       10.944852        1.109814
     1870.68198      1870.66706         33.3846          1.1354         16.6311          0.0369        188.7512          9.8969       14.252028        1.135401
     1870.70281      1870.68789         35.1863          1.1429         16.5741          0.0353        171.2879          2.7591       13.801063        1.142933
     1870.72364      1870.70872         27.5067          1.1144         16.8414          0.0440        150.1007          2.7591       10.057729        1.114357
     1870.74448      1870.72956         16.0021          1.0833         17.4296          0.0735        129.5002          2.0833        2.083298        1.083291
     1870.76531      1870.75039         12.3911          1.0960         17.7072          0.0960        122.6974          0.8935        0.893508        1.095985
     1870.78614      1870.77122          4.7740          1.0698         18.7428          0.2433         41.6926         -3.1540       -3.153985        1.069791
     1870.80698      1870.79206          0.7840          1.0368         19.2080         99.9000         28.8456         -3.1902       -4.639749        1.036769
     1870.82781      1870.81289         -3.7323          1.0279         19.2173         99.9000         17.8251         -3.9149       -9.723851        1.027888
     1870.84864      1870.83372         -4.4828          1.0004         19.2468         99.9000         17.3592         -4.6397       -9.049533        1.000371
     1870.86948      1870.85456         -4.6496          0.9965         19.2510         99.9000         23.9349         -4.9786      -10.363438        0.996495
     1870.89031      1870.87539         -7.7211          1.0178         19.2280         99.9000          7.3647         -4.9786      -11.786836        1.017834
     1870.91114      1870.89622        -11.2831          0.9904         19.2577         99.9000          8.0019         -5.0433      -10.530056        0.990399
     1870.93198      1870.91706         -9.0736          0.9641         19.2868         99.9000         -0.1593         -5.1503       -9.554958        0.964140
     1870.95281      1870.93789        -14.1457          0.9577         19.2941         99.9000         -1.9702         -5.2512      -14.538716        0.957697
     1870.97364      1870.95872        -15.6604          0.9473         19.3060         99.9000         23.3029         -5.4676      -14.164035        0.947306
     1870.99448      1870.97956        -15.5732          0.9689         19.2815         99.9000         18.1399         -5.4676      -15.737662        0.968926
