# reference_flux:         55.6005
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1870.45008      1870.43788         54.2613          1.0164         16.1038          0.0203         52.6838          1.4876        6.738736        1.016358
     1870.47091      1870.45871         55.8087          0.9845         16.0732          0.0192         45.2186          1.4876        7.038079        0.984530
     1870.49174      1870.47954         56.1127          0.9583         16.0673          0.0185         35.5789          1.4876        3.865353        0.958340
     1870.51258      1870.50038         58.1931          0.9282         16.0278          0.0173         33.1549          1.5380        4.788664        0.928202
     1870.53341      1870.52121         57.5897          0.9006         16.0391          0.0170         30.1248          1.4876        3.648910        0.900568
     1870.55424      1870.54204         56.4600          0.8792         16.0606          0.0169         24.2394          1.4876        3.018318        0.879191
     1870.57508      1870.56288         56.8011          0.8576         16.0541          0.0164         18.1859          1.4876        4.164994        0.857606
     1870.59591      1870.58371         53.7439          0.8369         16.1142          0.0169         17.0764          1.4876        1.487561        0.836947
     1870.61674      1870.60454         54.3606          0.8140         16.1018          0.0163         22.2294          1.4876        1.073839        0.813971
     1870.63758      1870.62538         54.1264          0.8013         16.1065          0.0161         20.9890          1.4876        0.513503        0.801263
     1870.65841      1870.64621         55.7527          0.7903         16.0743          0.0154         19.6443          1.4717        0.855923        0.790264
     1870.67924      1870.66704         58.3722          0.7792         16.0245          0.0145         19.1002          1.4717        2.204707        0.779183
     1870.70008      1870.68788         58.7079          0.7680         16.0183          0.0142         18.1583          1.4527        1.871404        0.768048
     1870.72091      1870.70871         57.0413          0.7631         16.0495          0.0145         16.9007          1.0738        1.452698        0.763119
     1870.74174      1870.72954         58.4959          0.7558         16.0222          0.0140         14.4124          1.0738        2.536843        0.755801
     1870.76258      1870.75038         55.5084          0.7436         16.0791          0.0145         14.9311          1.0738        0.079066        0.743604
     1870.78341      1870.77121         58.3802          0.7395         16.0243          0.0138         12.2355          1.0738        1.471706        0.739481
     1870.80424      1870.79204         55.9061          0.7395         16.0714          0.0144         11.9659          1.0738        0.827115        0.739474
     1870.82508      1870.81288         58.2255          0.7294         16.0272          0.0136         10.6391          1.0738        1.025156        0.729430
     1870.84591      1870.83371         57.0192          0.7247         16.0499          0.0138         10.1486          1.0738        1.933969        0.724663
     1870.86674      1870.85454         58.7073          0.7220         16.0183          0.0134          7.3853          1.0252        1.538034        0.721958
     1870.88758      1870.87538         58.1723          0.7183         16.0282          0.0134          1.6557          0.9991        0.665137        0.718296
     1870.90841      1870.89621         52.8255          0.7139         16.1329          0.0147          3.2909          0.9630       -1.476813        0.713900
     1870.92924      1870.91704         53.2406          0.7136         16.1244          0.0146          4.4277          0.9363       -1.510109        0.713581
     1870.95008      1870.93788         55.7310          0.7100         16.0748          0.0138          2.2316          0.9363       -0.580021        0.709959
     1870.97091      1870.95871         55.9253          0.7020         16.0710          0.0136          0.8882          0.9363       -0.198548        0.702000
     1870.99174      1870.97954         58.7692          0.6987         16.0171          0.0129         -0.1232          0.8559        2.249544        0.698690
     1871.01258      1871.00038         55.4336          0.6967         16.0806          0.0136          0.7584          0.8559        0.643689        0.696657
     1871.03341      1871.02121         55.8585          0.6929         16.0723          0.0135          1.4295          0.8271        0.109184        0.692897
     1871.05424      1871.04204         55.8674          0.6908         16.0721          0.0134          1.0041          0.8271        0.125051        0.690755
     1871.07508      1871.06288         55.3343          0.6873         16.0825          0.0135         -0.0877          0.6651       -0.007214        0.687269
     1871.09591      1871.08371         55.2900          0.6889         16.0834          0.0135          0.9610          0.6504        0.963018        0.688941
     1871.11674      1871.10454         54.9072          0.6857         16.0909          0.0136          2.0439          0.6504       -0.213630        0.685681
     1871.13758      1871.12538         56.1374          0.6843         16.0669          0.0132          1.7683          0.6437        0.589474        0.684303
     1871.15841      1871.14621         56.4484          0.6833         16.0609          0.0131          1.5334          0.6504        0.599079        0.683345
     1871.17924      1871.16704         54.8379          0.6782         16.0923          0.0134         -0.4716          0.6437        0.162945        0.678242
     1871.20008      1871.18788         56.2867          0.6762         16.0640          0.0130         -1.6487          0.6299       -0.430023        0.676176
     1871.22091      1871.20871         55.4123          0.6737         16.0810          0.0132          1.0613          0.5991        0.936275        0.673688
     1871.24174      1871.22954         56.5585          0.6731         16.0588          0.0129          0.7466          0.5895        0.390491        0.673078
     1871.26258      1871.25038         55.2876          0.6697         16.0834          0.0132          0.1375          0.5255        0.999121        0.669696
     1871.28341      1871.27121         57.9779          0.6682         16.0318          0.0125         -0.3081          0.5816        1.083365        0.668162
     1871.30424      1871.29204         56.9765          0.6663         16.0508          0.0127          0.6069          0.5816        1.185755        0.666278
     1871.32508      1871.31288         55.0881          0.6649         16.0874          0.0131         -1.1523          0.5816        1.583929        0.664895
     1871.34591      1871.33371         54.4913          0.6646         16.0992          0.0132          0.9014          0.5255       -0.306142        0.664614
     1871.36674      1871.35454         57.4823          0.6632         16.0412          0.0125          0.4735          0.4503        0.525528        0.663240
     1871.38758      1871.37538         56.0406          0.6629         16.0687          0.0128         -0.1284          0.4179        0.176932        0.662909
     1871.40841      1871.39621         56.0681          0.6615         16.0682          0.0128          0.4818          0.4179        0.208461        0.661488
     1871.42924      1871.41704         55.9582          0.6576         16.0703          0.0128         -0.5596          0.4179        1.019941        0.657632
     1871.45008      1871.43788         57.9330          0.6560         16.0327          0.0123          0.2779          0.4179        2.309478        0.655987
     1871.47091      1871.45871         55.9377          0.6575         16.0707          0.0128          1.0223          0.4503        0.450338        0.657452
     1871.49174      1871.47954         57.7500          0.6545         16.0361          0.0123         -0.0622          0.4503        1.069769        0.654520
