# reference_flux:        -36.5689
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1899.32597      1899.31287          4.3332          1.4418         18.8480          0.3613          2.8322         -0.6980        0.786703        1.441764
     1899.34681      1899.33370         -1.8851          1.4125         18.8722         99.9000          5.4160         -0.6436       -1.926392        1.412476
     1899.36764      1899.35453         -5.5256          1.3751         18.9014         99.9000          2.3722         -0.6980       -1.570757        1.375055
     1899.38848      1899.37537          2.0431          1.3499         18.9214         99.9000         -2.2015         -0.6980       -1.395916        1.349927
     1899.40931      1899.39620         -0.1076          1.3174         18.9479         99.9000          1.0060         -0.6980       -1.549544        1.317365
     1899.43014      1899.41703         -2.2012          1.2936         18.9677         99.9000          0.7531         -0.6980       -3.064624        1.293604
     1899.45098      1899.43787         -2.3708          1.2772         18.9816         99.9000          1.7165         -0.8441       -2.527872        1.277159
     1899.47181      1899.45870         -3.2490          1.2648         18.9922         99.9000          1.5885         -0.9009       -1.546826        1.264758
     1899.49264      1899.47953         -2.8677          1.2512         19.0039         99.9000          2.1694         -1.0163       -1.707194        1.251219
     1899.51348      1899.50037         -1.6298          1.2371         19.0161         99.9000          3.9440         -1.3484       -1.348410        1.237149
     1899.53431      1899.52120          2.3933          1.2293         19.0230         99.9000          2.0219         -1.3484        0.078964        1.229321
     1899.55515      1899.54203          0.6435          1.2201         19.0312         99.9000          2.6096         -1.3484       -1.664427        1.220139
     1899.57598      1899.56287          3.9039          1.2122         18.9613          0.3371          8.2607         -1.3484        1.099334        1.212199
     1899.59681      1899.58370          3.3515          1.2015         19.0478         99.9000          8.0201         -1.3484        0.866612        1.201550
     1899.61765      1899.60453          1.7308          1.1787         19.0687         99.9000          3.4826         -1.3484        0.024117        1.178688
     1899.63848      1899.62537          3.2168          1.1714         19.0754         99.9000          1.3550         -1.3484        0.627641        1.171443
     1899.65931      1899.64620          6.1548          1.1626         18.4670          0.2051          0.3269         -1.0678        2.419730        1.162572
     1899.68015      1899.66703         -1.0472          1.1572         19.0887         99.9000          2.8540         -1.0163       -0.698020        1.157210
     1899.70098      1899.68787          1.0558          1.1500         19.0954         99.9000          6.5502         -1.0163        0.148678        1.150012
