# reference_flux:         54.9417
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1899.32500      1899.31287         48.5790          1.1236         16.2239          0.0251         -2.4537          0.0155        2.592036        1.123597
     1899.34583      1899.33370         45.1380          1.1033         16.3036          0.0265         -2.5872          0.0155        1.335212        1.103276
     1899.36666      1899.35453         37.8403          1.0747         16.4951          0.0308          6.9890          0.0155       -1.729480        1.074726
     1899.38750      1899.37537         40.3832          1.0537         16.4245          0.0283          1.3516          0.0155       -1.897256        1.053734
     1899.40833      1899.39620         43.0200          1.0267         16.3558          0.0259          6.7167          0.0155        1.598162        1.026719
     1899.42917      1899.41703         41.4171          1.0247         16.3971          0.0269         10.9801          0.0155       -0.462883        1.024686
     1899.45000      1899.43787         45.9609          0.9956         16.2840          0.0235          4.9201          0.0155        0.015539        0.995588
     1899.47083      1899.45870         46.2023          0.9890         16.2783          0.0232          2.4285          0.1272        2.004698        0.989013
     1899.49167      1899.47953         43.2257          0.9692         16.3506          0.0243          2.5417          0.1272        2.413917        0.969207
     1899.51250      1899.50037         44.6993          0.9728         16.3142          0.0236          2.8099          0.2476       -1.447893        0.972766
     1899.53333      1899.52120         43.2824          0.9650         16.3492          0.0242          2.3896          0.2476        0.721724        0.964953
     1899.55417      1899.54203         42.9719          0.9537         16.3570          0.0241          4.2332          0.2476        0.492536        0.953706
     1899.57500      1899.56287         49.3504          0.9505         16.2068          0.0209          4.0347          0.1272        2.475297        0.950537
     1899.59584      1899.58370         46.4633          0.9469         16.2722          0.0221          4.3626          0.0155       -0.621635        0.946914
     1899.61667      1899.60453         41.9510          0.9425         16.3831          0.0244          5.8322          0.0155       -0.565701        0.942450
     1899.63750      1899.62537         42.2467          0.9426         16.3755          0.0242          7.5347          0.0155       -0.018226        0.942579
     1899.65834      1899.64620         43.4390          0.9471         16.3453          0.0237          5.7567         -0.0182       -0.155694        0.947068
     1899.67917      1899.66703         45.3749          0.9421         16.2980          0.0225          5.5177         -0.0182       -0.216721        0.942147
     1899.70001      1899.68787         42.7751          0.9350         16.3620          0.0237         -1.0067         -0.0941       -0.564832        0.934955
     1899.72084      1899.70870         40.3828          0.9265         16.4245          0.0249          5.2304         -0.0941        1.223745        0.926506
     1899.74167      1899.72953         42.4957          0.9147         16.3691          0.0234          2.9531         -0.1557       -1.246661        0.914749
     1899.76251      1899.75037         43.2381          0.9122         16.3503          0.0229          2.5610         -0.0941        0.283546        0.912239
     1899.78334      1899.77120         42.3331          0.9049         16.3733          0.0232          3.8275         -0.0182        0.127235        0.904892
     1899.80418      1899.79203         43.0028          0.8973         16.3563          0.0227         -1.9904         -0.0182        0.257473        0.897278
     1899.82501      1899.81287         40.0638          0.8928         16.4331          0.0242          0.5451         -0.0941        0.247576        0.892783
     1899.84584      1899.83370         44.3823          0.8816         16.3220          0.0216          5.2277         -0.0941        1.044156        0.881598
     1899.86668      1899.85453         46.0348          0.8656         16.2823          0.0204          2.5383         -0.1557        0.293424        0.865588
     1899.88751      1899.87537         44.8130          0.8640         16.3115          0.0209          2.1152         -0.1557       -0.669541        0.864023
     1899.90834      1899.89620         42.6098          0.8585         16.3662          0.0219          3.4395         -0.0941       -1.071980        0.858537
     1899.92918      1899.91703         47.3457          0.8515         16.2518          0.0195          1.2345         -0.1557        1.390769        0.851509
     1899.95001      1899.93787         44.9561          0.8403         16.3080          0.0203         -0.1561         -0.1557        0.377928        0.840312
     1899.97085      1899.95870         46.2938          0.8360         16.2762          0.0196          5.3238         -0.1557       -0.094138        0.836004
     1899.99168      1899.97953         46.2544          0.8307         16.2771          0.0195          1.2640         -0.1916        0.808605        0.830707
     1900.01251      1900.00037         40.7970          0.8207         16.4134          0.0218          0.3395         -0.2167       -1.778729        0.820659
     1900.03335      1900.02120         43.0725          0.8142         16.3545          0.0205          2.5162         -0.1916       -0.191557        0.814209
     1900.05418      1900.04203         43.6314          0.8104         16.3405          0.0202          0.5724         -0.1916       -1.057191        0.810369
     1900.07502      1900.06287         42.1614          0.7989         16.3777          0.0206          0.1421         -0.2167       -2.075453        0.798866
     1900.09585      1900.08370         42.9811          0.7938         16.3568          0.0201          3.0462         -0.3501       -0.604709        0.793815
     1900.11668      1900.10453         42.9926          0.7965         16.3565          0.0201          3.7192         -0.3501       -2.037210        0.796454
     1900.13752      1900.12537         40.2675          0.7926         16.4276          0.0214          0.2676         -0.3501       -1.191122        0.792639
     1900.15835      1900.14620         43.7304          0.7820         16.3380          0.0194          0.3535         -0.5648        0.214750        0.781997
     1900.17918      1900.16703         41.4581          0.7841         16.3960          0.0205          1.0396         -0.6047       -1.794453        0.784101
     1900.20002      1900.18787         43.2487          0.7809         16.3501          0.0196          1.0180         -0.6047       -1.379192        0.780893
     1900.22085      1900.20870         38.6846          0.7869         16.4712          0.0221          2.2251         -0.6451       -1.147562        0.786900
     1900.24169      1900.22953         41.5556          0.7827         16.3934          0.0205         -1.1147         -0.6695        0.102377        0.782739
     1900.26252      1900.25037         41.2617          0.7755         16.4011          0.0204          1.9706         -0.6695        0.336432        0.775517
     1900.28335      1900.27120         44.5614          0.7689         16.3176          0.0187          0.0496         -0.9068        0.342769        0.768914
     1900.30419      1900.29203         41.9653          0.7718         16.3828          0.0200          1.4923         -0.9068       -1.127471        0.771771
     1900.32502      1900.31287         45.3941          0.7689         16.2975          0.0184         -1.6429         -1.0572       -0.093212        0.768948
     1900.34586      1900.33370         42.0496          0.7598         16.3806          0.0196         -1.0304         -1.0572       -1.696937        0.759772
     1900.36669      1900.35453         46.3280          0.7606         16.2754          0.0178         -0.3633         -1.0720       -1.475894        0.760556
     1900.38752      1900.37537         42.8461          0.7488         16.3602          0.0190          0.5377         -1.1275        0.071494        0.748826
     1900.40836      1900.39620         42.1776          0.7709         16.3773          0.0198          8.0608         -1.1476       -2.975127        0.770854
     1900.42919      1900.41703         42.4012          0.7659         16.3716          0.0196          1.1770         -1.1476       -0.350143        0.765904
     1900.45003      1900.43787         44.4413          0.7603         16.3205          0.0186          1.4275         -1.1476        0.248433        0.760260
     1900.47086      1900.45870         42.6917          0.7553         16.3641          0.0192          4.8782         -1.1911       -0.645069        0.755348
     1900.49169      1900.47953         42.3574          0.7384         16.3727          0.0189          3.5483         -1.1911       -2.254893        0.738373
     1900.51253      1900.50037         41.9144          0.7509         16.3841          0.0195         -7.1682         -1.1911        0.336013        0.750915
     1900.53336      1900.52120         43.8156          0.7419         16.3359          0.0184          1.0446         -1.1911       -0.020673        0.741855
     1900.55419      1900.54203         40.8834          0.7414         16.4111          0.0197          2.4678         -1.3792       -1.633866        0.741435
     1900.57503      1900.56287         42.5086          0.7407         16.3688          0.0189          0.5548         -1.3792       -0.906791        0.740653
     1900.59586      1900.58370         41.7754          0.7402         16.3877          0.0192          2.5461         -1.3792       -1.486539        0.740158
     1900.61670      1900.60453         41.8335          0.7383         16.3862          0.0192          4.1012         -1.4608       -3.380268        0.738270
     1900.63753      1900.62537         39.7057          0.7364         16.4429          0.0201          2.7673         -1.3792       -3.377545        0.736446
     1900.65836      1900.64620         42.3909          0.7368         16.3718          0.0189          1.1708         -1.3792       -1.763814        0.736812
     1900.67920      1900.66703         43.3925          0.7292         16.3465          0.0182          4.7679         -1.4608       -0.262288        0.729225
     1900.70003      1900.68787         42.2606          0.7270         16.3752          0.0187          4.0522         -1.3792       -1.649830        0.726961
     1900.72087      1900.70870         39.3244          0.7294         16.4533          0.0201          3.8636         -1.4608       -1.565333        0.729382
     1900.74170      1900.72953         41.4228          0.7202         16.3969          0.0189         -2.5169         -1.4759       -3.745981        0.720153
     1900.76253      1900.75036         43.3235          0.7203         16.3482          0.0181          2.9954         -1.4759       -2.081995        0.720269
     1900.78337      1900.77120         44.6054          0.7295         16.3165          0.0178          2.1520         -1.4759        2.092679        0.729514
     1900.80420      1900.79203         43.4152          0.7253         16.3459          0.0181          3.3680         -1.4759       -1.620798        0.725297
     1900.82503      1900.81286         43.3689          0.7263         16.3471          0.0182         -0.3939         -1.4865       -0.891194        0.726311
     1900.84587      1900.83370         42.6402          0.7190         16.3655          0.0183         -2.7253         -1.5215       -1.521546        0.719005
     1900.86670      1900.85453         43.3092          0.7147         16.3485          0.0179         -0.2962         -1.4865       -2.614743        0.714650
     1900.88754      1900.87536         41.7671          0.7078         16.3879          0.0184          2.7853         -1.4865       -1.739290        0.707769
     1900.90837      1900.89620         44.2460          0.7052         16.3253          0.0173         -4.4207         -1.4865       -0.779301        0.705221
     1900.92920      1900.91703         43.6093          0.7218         16.3411          0.0180         -1.6331         -1.4865        0.568657        0.721764
     1900.95004      1900.93786         41.7867          0.6997         16.3874          0.0182         -1.8509         -1.5215       -1.688554        0.699663
     1900.97087      1900.95870         42.9637          0.7045         16.3572          0.0178         -3.5858         -1.5215       -0.303422        0.704509
     1900.99171      1900.97953         43.7518          0.7081         16.3375          0.0176         -2.7974         -1.5215       -1.039338        0.708140
     1901.01254      1901.00036         45.3143          0.6866         16.2994          0.0165         -2.8892         -1.4865       -2.260565        0.686621
     1901.03337      1901.02120         42.0518          0.6853         16.3805          0.0177         -2.8367         -1.4865       -1.907679        0.685270
     1901.05421      1901.04203         42.8160          0.6812         16.3610          0.0173         -4.1107         -1.5215       -0.600670        0.681200
