# reference_flux:        104.7167
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     1928.11873      1928.10453         98.1782          4.4963         15.4600          0.0497       -358.8820          1.3468       10.209344        4.496330
     1928.13957      1928.12536         99.9850          4.4452         15.4402          0.0483       -364.3305          1.3468        5.280382        4.445231
     1928.16040      1928.14620         93.6336          4.3032         15.5114          0.0499       -357.7284          1.3468        1.837016        4.303165
     1928.18124      1928.16703         96.7545          4.2016         15.4758          0.0471       -357.5689          1.3334       -1.974772        4.201582
     1928.20207      1928.18786         98.9115          4.1634         15.4519          0.0457       -334.3873          1.3334       -6.231042        4.163435
     1928.22290      1928.20870        105.4208          3.5887         15.3827          0.0370       -259.7448          1.3334        5.330484        3.588708
     1928.24374      1928.22953         98.5674          3.7088         15.4557          0.0409       -289.8119          1.3468       -2.148227        3.708790
     1928.26457      1928.25036        104.8969          3.5499         15.3881          0.0367       -275.6429          1.3468        5.820501        3.549861
     1928.28541      1928.27120         96.2693          3.5416         15.4813          0.0399       -286.7517          1.3334        7.338021        3.541648
     1928.30624      1928.29203        105.6993          3.4213         15.3798          0.0351       -282.5995          1.3334        9.876959        3.421257
     1928.32707      1928.31286         94.4437          3.3287         15.5021          0.0383       -285.0530          0.9800        1.346777        3.328671
     1928.34791      1928.33370        100.5360          2.5116         15.4342          0.0271        -38.6631          1.3334       -0.826499        2.511565
     1928.36874      1928.35453        103.9423          2.4134         15.3980          0.0252        -15.3707          0.9800        4.367843        2.413439
     1928.38957      1928.37536         96.5200          2.3285         15.4785          0.0262          1.5565          0.9800       -1.426796        2.328491
     1928.41041      1928.39620        105.9371          3.0891         15.3774          0.0317       -252.9810          0.9800        7.250991        3.089133
     1928.43124      1928.41703        103.8958          2.1250         15.3985          0.0222         -4.1212          0.7624        1.333409        2.125048
     1928.45208      1928.43786        104.1326          2.8491         15.3960          0.0297       -216.2752          0.7568        2.644428        2.849103
     1928.47291      1928.45870        106.6468          2.0418         15.3701          0.0208        -20.7766          0.3825        0.056225        2.041769
     1928.49374      1928.47953        101.9993          2.0032         15.4185          0.0213        -14.5750          0.3825        0.756802        2.003205
     1928.51458      1928.50036        101.5013          1.9760         15.4238          0.0211        -17.6112          0.1304       -1.613749        1.976039
     1928.53541      1928.52120        103.6760          2.0161         15.4008          0.0211        -19.6746          0.1304        0.382462        2.016128
     1928.55625      1928.54203        104.2930          2.7031         15.3944          0.0281       -209.7998          0.1304        7.111280        2.703060
     1928.57708      1928.56286        101.8075          1.9647         15.4206          0.0210        -11.4854          0.1304        2.314751        1.964664
     1928.59791      1928.58370         98.7130          1.9550         15.4541          0.0215          5.8822          0.0887       -1.559080        1.955003
     1928.61875      1928.60453         97.9028          1.9798         15.4630          0.0220        -19.2738          0.0822       -2.830549        1.979812
     1928.63958      1928.62536         99.8960          1.9566         15.4411          0.0213          7.4073          0.0598        0.088671        1.956644
     1928.66042      1928.64620        103.2539          1.9591         15.4052          0.0206          7.7113          0.0562       -0.345349        1.959091
     1928.68125      1928.66703         97.8201          1.9645         15.4639          0.0218         -9.3358         -0.3453       -3.326521        1.964534
